Time,Toronto,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
11:02.0,Turnover by M. Flynn (bad pass),26-35, ,,2,35,26,9,778.0
10:43.0, ,26-38,S. Hauser makes 3-pt jump shot from 27 ft (assist by J. Tatum),,2,38,26,12,797.0
10:33.0,Toronto full timeout,26-38, ,,2,38,26,12,807.0
10:13.0,O. Anunoby misses 3-pt jump shot from 27 ft,26-38, ,,2,38,26,12,827.0
10:10.0, ,26-38,Defensive rebound by A. Horford,,2,38,26,12,830.0
10:02.0, ,26-40,A. Horford makes 2-pt layup from 4 ft (assist by J. Tatum),,2,40,26,14,838.0
9:45.0,M. Flynn makes 3-pt jump shot from 27 ft (assist by S. Barnes),29-40, ,,2,40,29,11,855.0
9:21.0, ,29-43,J. Tatum makes 3-pt jump shot from 27 ft,,2,43,29,14,879.0
9:00.0,S. Barnes makes 3-pt jump shot from 27 ft (assist by P. Achiuwa),32-43, ,,2,43,32,11,900.0
8:40.0, ,32-43,Turnover by P. Pritchard (traveling),,2,43,32,11,920.0
8:40.0,G. Dick enters the game for C. Boucher,32-43, ,,2,43,32,11,920.0
8:32.0,O. Anunoby misses 3-pt jump shot from 26 ft,32-43, ,,2,43,32,11,928.0
8:30.0, ,32-43,Defensive rebound by P. Pritchard,,2,43,32,11,930.0
8:18.0, ,32-45,A. Horford makes 2-pt hook shot from 6 ft,,2,45,32,13,942.0
7:58.0,S. Barnes misses 3-pt jump shot from 25 ft,32-45, ,,2,45,32,13,962.0
7:55.0, ,32-45,Defensive rebound by S. Hauser,,2,45,32,13,965.0
7:43.0, ,32-45,Turnover by J. Holiday (bad pass; steal by O. Anunoby),,2,45,32,13,977.0
7:38.0,G. Dick makes 2-pt layup from 2 ft,34-45, ,,2,45,34,11,982.0
7:19.0, ,34-45,J. Holiday misses 3-pt jump shot from 24 ft,,2,45,34,11,1001.0
7:19.0,Defensive rebound by P. Achiuwa,34-45, ,,2,45,34,11,1001.0
7:09.0,P. Achiuwa misses 2-pt layup from 2 ft,34-45, ,,2,45,34,11,1011.0
7:06.0, ,34-45,Defensive rebound by S. Hauser,,2,45,34,11,1014.0
6:59.0, ,34-45,J. Tatum misses 2-pt layup from 5 ft,,2,45,34,11,1021.0
6:58.0, ,34-45,Offensive rebound by A. Horford,,2,45,34,11,1022.0
6:56.0, ,34-45,S. Hauser misses 3-pt jump shot from 29 ft,,2,45,34,11,1024.0
6:54.0, ,34-45,Offensive rebound by P. Pritchard,,2,45,34,11,1026.0
6:54.0, ,34-45,P. Pritchard misses 2-pt layup at rim,,2,45,34,11,1026.0
6:52.0,Defensive rebound by P. Achiuwa,34-45, ,,2,45,34,11,1028.0
6:51.0,Personal foul by J. Tatum (drawn by P. Achiuwa),34-45, ,,2,45,34,11,1029.0
6:51.0,C. Boucher enters the game for P. Achiuwa,34-45, ,,2,45,34,11,1029.0
6:51.0,J. Poeltl enters the game for O. Anunoby,34-45, ,,2,45,34,11,1029.0
6:51.0,D. Schröder enters the game for S. Barnes,34-45, ,,2,45,34,11,1029.0
6:51.0,P. Siakam enters the game for M. Flynn,34-45, ,,2,45,34,11,1029.0
6:51.0, ,34-45,J. Brown enters the game for P. Pritchard,,2,45,34,11,1029.0
6:51.0, ,34-45,D. White enters the game for J. Tatum,,2,45,34,11,1029.0
6:36.0,Personal foul by S. Hauser (drawn by P. Siakam),34-45, ,,2,45,34,11,1044.0
6:34.0,Personal foul by J. Holiday (drawn by D. Schröder),34-45, ,,2,45,34,11,1046.0
6:25.0,D. Schröder makes 3-pt jump shot from 25 ft (assist by P. Siakam),37-45, ,,2,45,37,8,1055.0
6:17.0, ,37-45,A. Horford misses 3-pt jump shot from 23 ft,,2,45,37,8,1063.0
6:16.0,Defensive rebound by Team,37-45, ,,2,45,37,8,1064.0
6:16.0, ,37-45,K. Porziņģis enters the game for A. Horford,,2,45,37,8,1064.0
6:03.0,J. Poeltl misses 2-pt layup from 6 ft,37-45, ,,2,45,37,8,1077.0
5:59.0,Offensive rebound by J. Poeltl,37-45, ,,2,45,37,8,1081.0
5:59.0,J. Poeltl makes 2-pt layup from 3 ft,39-45, ,,2,45,39,6,1081.0
5:39.0, ,39-45,J. Brown misses 3-pt jump shot from 28 ft,,2,45,39,6,1101.0
5:36.0,Defensive rebound by C. Boucher,39-45, ,,2,45,39,6,1104.0
5:34.0,Turnover by P. Siakam (bad pass),39-45, ,,2,45,39,6,1106.0
5:19.0, ,39-45,K. Porziņģis misses 3-pt jump shot from 27 ft,,2,45,39,6,1121.0
5:16.0,Defensive rebound by P. Siakam,39-45, ,,2,45,39,6,1124.0
5:01.0,G. Dick misses 3-pt jump shot from 25 ft,39-45, ,,2,45,39,6,1139.0
4:57.0, ,39-45,Defensive rebound by J. Brown,,2,45,39,6,1143.0
4:44.0, ,39-45,Turnover by K. Porziņģis (traveling),,2,45,39,6,1156.0
4:34.0,P. Siakam makes 2-pt dunk from 1 ft (assist by J. Poeltl),41-45, ,,2,45,41,4,1166.0
4:34.0, ,41-45,Boston full timeout,,2,45,41,4,1166.0
4:34.0, ,41-45,J. Tatum enters the game for S. Hauser,,2,45,41,4,1166.0
4:15.0, ,41-47,K. Porziņģis makes 2-pt layup from 5 ft (assist by J. Brown),,2,47,41,6,1185.0
3:56.0,P. Siakam misses 3-pt jump shot from 27 ft,41-47, ,,2,47,41,6,1204.0
3:53.0, ,41-47,Defensive rebound by J. Tatum,,2,47,41,6,1207.0
3:39.0, ,41-47,J. Brown misses 3-pt jump shot from 25 ft,,2,47,41,6,1221.0
3:35.0,Defensive rebound by J. Poeltl,41-47, ,,2,47,41,6,1225.0
3:22.0,Turnover by P. Siakam (lost ball; steal by J. Holiday),41-47, ,,2,47,41,6,1238.0
3:18.0, ,41-47,D. White misses 3-pt jump shot from 24 ft,,2,47,41,6,1242.0
3:14.0,Defensive rebound by G. Dick,41-47, ,,2,47,41,6,1246.0
2:56.0,Turnover by J. Poeltl (traveling),41-47, ,,2,47,41,6,1264.0
2:56.0,O. Anunoby enters the game for C. Boucher,41-47, ,,2,47,41,6,1264.0
2:56.0,S. Barnes enters the game for G. Dick,41-47, ,,2,47,41,6,1264.0
2:47.0, ,41-49,J. Holiday makes 2-pt dunk from 4 ft,,2,49,41,8,1273.0
2:20.0,P. Siakam misses 2-pt jump shot from 10 ft,41-49, ,,2,49,41,8,1300.0
2:20.0,Offensive rebound by Team,41-49, ,,2,49,41,8,1300.0
2:20.0,Turnover by Team (shot clock),41-49, ,,2,49,41,8,1300.0
2:06.0, ,41-49,Turnover by J. Holiday (bad pass; steal by P. Siakam),,2,49,41,8,1314.0
1:56.0,O. Anunoby misses 3-pt jump shot from 26 ft,41-49, ,,2,49,41,8,1324.0
1:53.0, ,41-49,Defensive rebound by K. Porziņģis,,2,49,41,8,1327.0
1:49.0, ,41-49,Personal foul by D. Schröder (drawn by J. Brown),,2,49,41,8,1331.0
1:49.0,M. Flynn enters the game for D. Schröder,41-49, ,,2,49,41,8,1331.0
1:39.0, ,41-51,J. Tatum makes 2-pt layup from 2 ft,,2,51,41,10,1341.0
1:39.0, ,41-51,P. Pritchard enters the game for J. Holiday,,2,51,41,10,1341.0
1:19.0,Shooting foul by J. Tatum (drawn by P. Siakam),41-51, ,,2,51,41,10,1361.0
1:19.0,P. Siakam makes free throw 1 of 2,42-51, ,,2,51,42,9,1361.0
1:19.0,P. Siakam misses free throw 2 of 2,42-51, ,,2,51,42,9,1361.0
1:19.0, ,42-51,Defensive rebound by D. White,,2,51,42,9,1361.0
1:01.0, ,42-51,Personal foul by J. Poeltl (drawn by J. Tatum),,2,51,42,9,1379.0
1:01.0, ,42-52,J. Tatum makes free throw 1 of 2,,2,52,42,10,1379.0
1:01.0, ,42-52,A. Horford enters the game for D. White,,2,52,42,10,1379.0
1:01.0, ,42-53,J. Tatum makes free throw 2 of 2,,2,53,42,11,1379.0
0:47.0,J. Poeltl makes 2-pt layup from 1 ft (assist by M. Flynn),44-53, ,,2,53,44,9,1393.0
0:34.0, ,44-53,J. Tatum misses 3-pt jump shot from 28 ft,,2,53,44,9,1406.0
0:30.0,Defensive rebound by S. Barnes,44-53, ,,2,53,44,9,1410.0
0:09.0,J. Poeltl makes 2-pt layup from 3 ft (assist by S. Barnes),46-53, ,,2,53,46,7,1431.0
0:09.0, ,46-53,Violation by Team (def goaltending),,2,53,46,7,1431.0
0:02.0, ,46-55,J. Tatum makes 2-pt layup from 3 ft,,2,55,46,9,1438.0
0:00.0,O. Anunoby misses 3-pt jump shot from 29 ft,46-55, ,,2,55,46,9,1440.0
0:00.0,Offensive rebound by Team,46-55, ,,2,55,46,9,1440.0
0:00.0,End of 2nd quarter,46-55,,,2,55,46,9,1440.0
12:00.0,Start of 3rd quarter,46-55,,,3,55,46,9,1440.0
