Time,Boston,Score,New Orleans,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:37.0,K. Porziņģis makes 2-pt dunk from 1 ft (assist by D. White),18-23, ,,1,18,23,-5,443.0
4:27.0, ,18-23,Shooting foul by K. Porziņģis (drawn by Z. Williamson),,1,18,23,-5,453.0
4:27.0, ,18-24,Z. Williamson makes free throw 1 of 2,,1,18,24,-6,453.0
4:27.0,P. Pritchard enters the game for D. White,18-24, ,,1,18,24,-6,453.0
4:27.0, ,18-24,J. Hawkins enters the game for C. McCollum,,1,18,24,-6,453.0
4:27.0, ,18-25,Z. Williamson makes free throw 2 of 2,,1,18,25,-7,453.0
4:06.0,K. Porziņģis makes 2-pt jump shot from 8 ft,20-25, ,,1,20,25,-5,474.0
3:51.0, ,20-25,Z. Williamson misses 2-pt layup from 4 ft,,1,20,25,-5,489.0
3:49.0,Defensive rebound by K. Porziņģis,20-25, ,,1,20,25,-5,491.0
3:45.0,S. Hauser misses 3-pt jump shot from 26 ft,20-25, ,,1,20,25,-5,495.0
3:41.0, ,20-25,Defensive rebound by L. Nance,,1,20,25,-5,499.0
3:27.0, ,20-25,J. Hawkins misses 3-pt jump shot from 26 ft,,1,20,25,-5,513.0
3:23.0,Defensive rebound by K. Porziņģis,20-25, ,,1,20,25,-5,517.0
3:17.0,S. Hauser misses 3-pt jump shot from 23 ft,20-25, ,,1,20,25,-5,523.0
3:14.0,Offensive rebound by P. Pritchard,20-25, ,,1,20,25,-5,526.0
3:11.0,Turnover by J. Brown (lost ball; steal by T. Murphy),20-25, ,,1,20,25,-5,529.0
3:02.0, ,20-28,H. Jones makes 3-pt jump shot from 23 ft (assist by J. Hawkins),,1,20,28,-8,538.0
2:44.0,P. Pritchard misses 3-pt jump shot from 27 ft,20-28, ,,1,20,28,-8,556.0
2:41.0, ,20-28,Defensive rebound by L. Nance,,1,20,28,-8,559.0
2:33.0, ,20-30,H. Jones makes 2-pt layup from 1 ft (assist by Z. Williamson),,1,20,30,-10,567.0
2:06.0,J. Brown makes 3-pt jump shot from 23 ft (assist by S. Hauser),23-30, ,,1,23,30,-7,594.0
2:05.0,Violation by Team (delay of game),23-30, ,,1,23,30,-7,595.0
2:00.0, ,23-30,Personal take foul by S. Hauser (drawn by Z. Williamson),,1,23,30,-7,600.0
2:00.0, ,23-30,New Orleans full timeout,,1,23,30,-7,600.0
2:00.0,J. Holiday enters the game for J. Brown,23-30, ,,1,23,30,-7,600.0
2:00.0,J. Tatum enters the game for K. Porziņģis,23-30, ,,1,23,30,-7,600.0
2:00.0, ,23-30,N. Marshall enters the game for H. Jones,,1,23,30,-7,600.0
2:00.0, ,23-30,C. McCollum enters the game for Z. Williamson,,1,23,30,-7,600.0
1:46.0, ,23-32,C. McCollum makes 2-pt jump shot from 18 ft,,1,23,32,-9,614.0
1:24.0,Turnover by P. Pritchard (bad pass),23-32, ,,1,23,32,-9,636.0
1:24.0, ,23-32,New Orleans full timeout,,1,23,32,-9,636.0
1:24.0, ,23-32,Instant Replay (Challenge: Ruling Stands),,1,23,32,-9,636.0
1:07.0, ,23-34,C. McCollum makes 2-pt layup from 4 ft (assist by L. Nance),,1,23,34,-11,653.0
1:06.0, ,23-34,Violation by Team (delay of game),,1,23,34,-11,654.0
0:50.0,J. Holiday makes 2-pt layup from 3 ft,25-34, ,,1,25,34,-9,670.0
0:32.0, ,25-34,C. McCollum misses 2-pt jump shot from 18 ft,,1,25,34,-9,688.0
0:29.0,Defensive rebound by A. Horford,25-34, ,,1,25,34,-9,691.0
0:19.0,J. Holiday makes 3-pt jump shot from 25 ft (assist by J. Tatum),28-34, ,,1,28,34,-6,701.0
