Time,Boston,Score,Orlando,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
11:00.0,J. Tatum misses 3-pt jump shot from 26 ft,30-21, ,,2,30,21,9,780.0
10:57.0, ,30-21,Defensive rebound by J. Isaac,,2,30,21,9,783.0
10:47.0, ,30-23,M. Wagner makes 2-pt dunk from 3 ft (assist by C. Anthony),,2,30,23,7,793.0
10:36.0,A. Horford makes 3-pt jump shot from 26 ft (assist by P. Pritchard),33-23, ,,2,33,23,10,804.0
10:22.0, ,33-25,M. Wagner makes 2-pt layup from 3 ft,,2,33,25,8,818.0
10:02.0,S. Hauser makes 3-pt jump shot from 26 ft,36-25, ,,2,36,25,11,838.0
9:52.0, ,36-25,C. Anthony misses 2-pt jump shot from 3 ft,,2,36,25,11,848.0
9:51.0,Defensive rebound by A. Horford,36-25, ,,2,36,25,11,849.0
9:41.0,Turnover by P. Pritchard (bad pass; steal by C. Anthony),36-25, ,,2,36,25,11,859.0
9:38.0, ,36-25,Shooting foul by J. Tatum (drawn by C. Anthony),,2,36,25,11,862.0
9:38.0, ,36-25,C. Anthony misses free throw 1 of 2,,2,36,25,11,862.0
9:38.0, ,36-25,Offensive rebound by Team,,2,36,25,11,862.0
9:38.0,L. Kornet enters the game for O. Brissett,36-25, ,,2,36,25,11,862.0
9:38.0, ,36-26,C. Anthony makes free throw 2 of 2,,2,36,26,10,862.0
9:12.0,J. Tatum misses 2-pt jump shot from 15 ft,36-26, ,,2,36,26,10,888.0
9:12.0,Offensive rebound by Team,36-26, ,,2,36,26,10,888.0
9:11.0,Turnover by Team (shot clock),36-26, ,,2,36,26,10,889.0
8:59.0, ,36-26,G. Harris misses 3-pt jump shot from 27 ft,,2,36,26,10,901.0
8:56.0,Defensive rebound by J. Tatum,36-26, ,,2,36,26,10,904.0
8:50.0,Offensive foul by J. Tatum (drawn by M. Wagner),36-26, ,,2,36,26,10,910.0
8:50.0,Turnover by J. Tatum (offensive foul),36-26, ,,2,36,26,10,910.0
8:42.0, ,36-26,F. Wagner misses 2-pt layup from 4 ft (block by L. Kornet),,2,36,26,10,918.0
8:42.0, ,36-26,Offensive rebound by J. Isaac,,2,36,26,10,918.0
8:42.0, ,36-26,Shooting foul by A. Horford (drawn by J. Isaac),,2,36,26,10,918.0
8:42.0, ,36-27,J. Isaac makes free throw 1 of 2,,2,36,27,9,918.0
8:42.0,D. White enters the game for P. Pritchard,36-27, ,,2,36,27,9,918.0
8:42.0, ,36-28,J. Isaac makes free throw 2 of 2,,2,36,28,8,918.0
8:22.0,S. Hauser misses 3-pt jump shot from 26 ft,36-28, ,,2,36,28,8,938.0
8:19.0, ,36-28,Defensive rebound by C. Anthony,,2,36,28,8,941.0
8:11.0, ,36-31,C. Anthony makes 3-pt jump shot from 28 ft (assist by F. Wagner),,2,36,31,5,949.0
7:50.0,L. Kornet makes 2-pt hook shot from 5 ft (assist by A. Horford),38-31, ,,2,38,31,7,970.0
7:39.0, ,38-31,M. Wagner misses 3-pt jump shot from 26 ft,,2,38,31,7,981.0
7:36.0,Defensive rebound by A. Horford,38-31, ,,2,38,31,7,984.0
7:20.0,L. Kornet makes 2-pt dunk from 2 ft (assist by D. White),40-31, ,,2,40,31,9,1000.0
7:20.0, ,40-31,Orlando full timeout,,2,40,31,9,1000.0
7:20.0, ,40-31,P. Banchero enters the game for J. Isaac,,2,40,31,9,1000.0
7:02.0, ,40-31,C. Anthony misses 2-pt jump shot from 19 ft,,2,40,31,9,1018.0
7:00.0,Defensive rebound by A. Horford,40-31, ,,2,40,31,9,1020.0
6:52.0,Turnover by D. White (lost ball; steal by C. Anthony),40-31, ,,2,40,31,9,1028.0
6:49.0, ,40-31,F. Wagner misses 2-pt layup from 2 ft,,2,40,31,9,1031.0
6:44.0, ,40-31,Offensive rebound by M. Wagner,,2,40,31,9,1036.0
6:44.0, ,40-33,M. Wagner makes 2-pt layup at rim,,2,40,33,7,1036.0
6:33.0,A. Horford misses 3-pt jump shot from 24 ft,40-33, ,,2,40,33,7,1047.0
6:31.0, ,40-33,Defensive rebound by F. Wagner,,2,40,33,7,1049.0
6:20.0, ,40-33,C. Anthony misses 2-pt jump shot from 16 ft (block by D. White),,2,40,33,7,1060.0
6:16.0, ,40-33,Offensive rebound by P. Banchero,,2,40,33,7,1064.0
6:15.0, ,40-33,F. Wagner misses 3-pt jump shot from 27 ft,,2,40,33,7,1065.0
6:13.0, ,40-33,Offensive rebound by C. Anthony,,2,40,33,7,1067.0
6:10.0, ,40-36,C. Anthony makes 3-pt jump shot from 26 ft,,2,40,36,4,1070.0
5:44.0,D. White misses 3-pt jump shot from 28 ft,40-36, ,,2,40,36,4,1096.0
5:42.0, ,40-36,Defensive rebound by F. Wagner,,2,40,36,4,1098.0
5:37.0, ,40-36,Shooting foul by A. Horford (drawn by M. Wagner),,2,40,36,4,1103.0
5:37.0, ,40-37,M. Wagner makes free throw 1 of 2,,2,40,37,3,1103.0
5:37.0,J. Brown enters the game for S. Hauser,40-37, ,,2,40,37,3,1103.0
5:37.0,K. Porziņģis enters the game for L. Kornet,40-37, ,,2,40,37,3,1103.0
5:37.0, ,40-37,J. Suggs enters the game for G. Harris,,2,40,37,3,1103.0
5:37.0, ,40-37,M. Wagner misses free throw 2 of 2,,2,40,37,3,1103.0
5:33.0,Defensive rebound by J. Tatum,40-37, ,,2,40,37,3,1107.0
5:24.0,J. Brown misses 3-pt jump shot from 28 ft,40-37, ,,2,40,37,3,1116.0
5:22.0, ,40-37,Defensive rebound by Team,,2,40,37,3,1118.0
5:08.0, ,40-39,M. Wagner makes 2-pt layup from 1 ft (assist by P. Banchero),,2,40,39,1,1132.0
5:08.0, ,40-39,Shooting foul by K. Porziņģis (drawn by M. Wagner),,2,40,39,1,1132.0
5:08.0, ,40-39,J. Ingles enters the game for C. Anthony,,2,40,39,1,1132.0
5:08.0, ,40-40,M. Wagner makes free throw 1 of 1,Tie,2,40,40,0,1132.0
4:57.0,Personal foul by M. Wagner (drawn by K. Porziņģis),40-40, ,,2,40,40,0,1143.0
4:57.0, ,40-40,G. Bitadze enters the game for M. Wagner,,2,40,40,0,1143.0
