Time,Minnesota,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
1:38.0,N. Alexander-Walker makes free throw 2 of 2,46-50, ,,2,50,46,4,1342.0
1:26.0, ,46-50,Shooting foul by K. Towns (drawn by J. Tatum),,2,50,46,4,1354.0
1:26.0, ,46-51,J. Tatum makes free throw 1 of 2,,2,51,46,5,1354.0
1:26.0, ,46-52,J. Tatum makes free throw 2 of 2,,2,52,46,6,1354.0
1:09.0,Personal foul by J. Tatum (drawn by K. Towns),46-52, ,,2,52,46,6,1371.0
1:09.0,K. Towns makes free throw 1 of 2,47-52, ,,2,52,47,5,1371.0
1:09.0,K. Towns makes free throw 2 of 2,48-52, ,,2,52,48,4,1371.0
0:54.0, ,48-54,J. Brown makes 2-pt jump shot from 15 ft,,2,54,48,6,1386.0
0:38.0,Def 3 sec tech foul by Team,48-54, ,,2,54,48,6,1402.0
0:38.0,K. Towns makes technical free throw,49-54, ,,2,54,49,5,1402.0
0:29.0,A. Edwards makes 2-pt jump shot from 21 ft,51-54, ,,2,54,51,3,1411.0
0:10.0, ,51-54,Turnover by J. Tatum (bad pass; steal by K. Towns),,2,54,51,3,1430.0
0:07.0,A. Edwards makes 2-pt dunk from 2 ft (assist by K. Towns),53-54, ,,2,54,53,1,1433.0
0:03.0, ,53-54,A. Horford misses 3-pt jump shot from 24 ft,,2,54,53,1,1437.0
0:02.0,Defensive rebound by K. Anderson,53-54, ,,2,54,53,1,1438.0
0:00.0,End of 2nd quarter,53-54,,,2,54,53,1,1440.0
12:00.0,Start of 3rd quarter,53-54,,,3,54,53,1,1440.0
11:43.0,K. Towns makes 2-pt layup from 2 ft,55-54, ,Lead change,3,54,55,-1,1457.0
11:23.0, ,55-57,A. Horford makes 3-pt jump shot from 26 ft (assist by J. Brown),Lead change,3,57,55,2,1477.0
11:05.0,K. Towns makes 2-pt layup from 6 ft (assist by N. Alexander-Walker),57-57, ,Tie,3,57,57,0,1495.0
10:57.0, ,57-60,J. Brown makes 3-pt jump shot from 26 ft (assist by J. Tatum),,3,60,57,3,1503.0
10:45.0,K. Towns misses 2-pt jump shot from 20 ft,57-60, ,,3,60,57,3,1515.0
10:42.0, ,57-60,Defensive rebound by J. Brown,,3,60,57,3,1518.0
10:30.0, ,57-60,J. Holiday misses 3-pt jump shot from 27 ft,,3,60,57,3,1530.0
10:28.0,Defensive rebound by K. Towns,57-60, ,,3,60,57,3,1532.0
10:10.0,Personal foul by A. Horford (drawn by K. Anderson),57-60, ,,3,60,57,3,1550.0
9:59.0,J. McDaniels makes 3-pt jump shot from 25 ft (assist by K. Anderson),60-60, ,Tie,3,60,60,0,1561.0
9:43.0, ,60-60,J. Brown misses 2-pt layup from 7 ft,,3,60,60,0,1577.0
9:41.0,Defensive rebound by K. Towns,60-60, ,,3,60,60,0,1579.0
9:33.0,K. Towns misses 3-pt jump shot from 27 ft,60-60, ,,3,60,60,0,1587.0
9:32.0, ,60-60,Defensive rebound by A. Horford,,3,60,60,0,1588.0
9:23.0, ,60-60,Personal foul by J. McDaniels (drawn by J. Tatum),,3,60,60,0,1597.0
