Time,Sacramento,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:15.0,Defensive rebound by K. Murray,6-3, ,,1,3,6,-3,345.0
5:56.0,H. Barnes makes 2-pt jump shot from 11 ft,8-3, ,,1,3,8,-5,364.0
5:41.0, ,8-5,K. Porziņģis makes 2-pt layup from 3 ft (assist by J. Holiday),,1,5,8,-3,379.0
5:32.0,H. Barnes misses 3-pt jump shot from 26 ft,8-5, ,,1,5,8,-3,388.0
5:31.0, ,8-5,Defensive rebound by K. Porziņģis,,1,5,8,-3,389.0
5:15.0, ,8-5,Shooting foul by K. Murray (drawn by J. Tatum),,1,5,8,-3,405.0
5:15.0, ,8-6,J. Tatum makes free throw 1 of 2,,1,6,8,-2,405.0
5:15.0,K. Edwards enters the game for K. Ellis,8-6, ,,1,6,8,-2,405.0
5:15.0,D. Mitchell enters the game for D. Fox,8-6, ,,1,6,8,-2,405.0
5:15.0, ,8-6,P. Pritchard enters the game for J. Holiday,,1,6,8,-2,405.0
5:15.0, ,8-6,X. Tillman enters the game for A. Horford,,1,6,8,-2,405.0
5:15.0, ,8-7,J. Tatum makes free throw 2 of 2,,1,7,8,-1,405.0
4:56.0,K. Murray misses 3-pt jump shot from 26 ft,8-7, ,,1,7,8,-1,424.0
4:54.0, ,8-7,Defensive rebound by S. Hauser,,1,7,8,-1,426.0
4:43.0, ,8-10,X. Tillman makes 3-pt jump shot from 24 ft (assist by P. Pritchard),Lead change,1,10,8,2,437.0
4:26.0,D. Sabonis makes 2-pt jump shot from 8 ft (assist by D. Mitchell),10-10, ,Tie,1,10,10,0,454.0
4:26.0,Shooting foul by P. Pritchard (drawn by D. Sabonis),10-10, ,,1,10,10,0,454.0
4:26.0,D. Sabonis makes free throw 1 of 1,11-10, ,Lead change,1,10,11,-1,454.0
4:07.0, ,11-12,J. Tatum makes 2-pt jump shot from 15 ft,Lead change,1,12,11,1,473.0
3:53.0,H. Barnes misses 3-pt jump shot from 26 ft,11-12, ,,1,12,11,1,487.0
3:52.0, ,11-12,Defensive rebound by K. Porziņģis,,1,12,11,1,488.0
3:42.0, ,11-15,K. Porziņģis makes 3-pt jump shot from 30 ft (assist by J. Tatum),,1,15,11,4,498.0
3:40.0,Sacramento full timeout,11-15, ,,1,15,11,4,500.0
3:40.0,T. Lyles enters the game for H. Barnes,11-15, ,,1,15,11,4,500.0
3:40.0, ,11-15,L. Kornet enters the game for S. Hauser,,1,15,11,4,500.0
3:40.0, ,11-15,S. Mykhailiuk enters the game for K. Porziņģis,,1,15,11,4,500.0
3:22.0,D. Sabonis misses 2-pt jump shot from 14 ft,11-15, ,,1,15,11,4,518.0
3:20.0, ,11-15,Defensive rebound by X. Tillman,,1,15,11,4,520.0
3:20.0,D. Fox enters the game for K. Murray,11-15, ,,1,15,11,4,520.0
3:15.0,Sacramento full timeout,11-15, ,,1,15,11,4,525.0
3:15.0,K. Murray enters the game for D. Fox,11-15, ,,1,15,11,4,525.0
3:15.0,Instant Replay (Challenge: Ruling Stands),11-15, ,,1,15,11,4,525.0
3:15.0,D. Fox enters the game for K. Murray,11-15, ,,1,15,11,4,525.0
3:15.0,A. Len enters the game for D. Sabonis,11-15, ,,1,15,11,4,525.0
3:15.0, ,11-15,Turnover by P. Pritchard (lost ball; steal by K. Edwards),,1,15,11,4,525.0
3:15.0,Jump ball: K. Edwards vs. L. Kornet (D. Mitchell gains possession),11-15,,,1,15,11,4,525.0
2:57.0,D. Fox misses 3-pt jump shot from 28 ft,11-15, ,,1,15,11,4,543.0
2:55.0,Offensive rebound by D. Mitchell,11-15, ,,1,15,11,4,545.0
2:52.0,T. Lyles misses 3-pt jump shot from 23 ft,11-15, ,,1,15,11,4,548.0
2:50.0, ,11-15,Defensive rebound by X. Tillman,,1,15,11,4,550.0
2:31.0, ,11-18,P. Pritchard makes 3-pt jump shot from 23 ft (assist by X. Tillman),,1,18,11,7,569.0
2:03.0,K. Edwards misses 3-pt jump shot from 24 ft,11-18, ,,1,18,11,7,597.0
2:02.0, ,11-18,Defensive rebound by S. Mykhailiuk,,1,18,11,7,598.0
1:43.0, ,11-20,X. Tillman makes 2-pt layup from 4 ft (assist by P. Pritchard),,1,20,11,9,617.0
1:26.0,A. Len misses 2-pt hook shot from 9 ft,11-20, ,,1,20,11,9,634.0
1:25.0, ,11-20,Defensive rebound by J. Tatum,,1,20,11,9,635.0
1:19.0, ,11-20,J. Tatum misses 3-pt jump shot from 28 ft,,1,20,11,9,641.0
1:18.0, ,11-20,Offensive rebound by L. Kornet,,1,20,11,9,642.0
1:18.0, ,11-22,L. Kornet makes 2-pt dunk at rim,,1,22,11,11,642.0
0:51.0,K. Edwards makes 3-pt jump shot from 28 ft (assist by D. Fox),14-22, ,,1,22,14,8,669.0
0:34.0, ,14-22,Personal foul by T. Lyles (drawn by L. Kornet),,1,22,14,8,686.0
