Time,LA Clippers,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:12.0,R. Westbrook misses 2-pt layup from 3 ft (block by L. Kornet),19-11, ,,1,11,19,-8,528.0
3:11.0, ,19-11,Defensive rebound by P. Pritchard,,1,11,19,-8,529.0
3:06.0, ,19-13,L. Kornet makes 2-pt dunk from 3 ft (assist by D. White),,1,13,19,-6,534.0
2:48.0,Offensive foul by K. Leonard (drawn by P. Pritchard),19-13, ,,1,13,19,-6,552.0
2:48.0,Turnover by K. Leonard (offensive foul),19-13, ,,1,13,19,-6,552.0
2:48.0, ,19-13,J. Holiday enters the game for J. Brown,,1,13,19,-6,552.0
2:48.0, ,19-13,J. Tatum enters the game for D. White,,1,13,19,-6,552.0
2:30.0, ,19-13,S. Hauser misses 3-pt jump shot from 27 ft,,1,13,19,-6,570.0
2:28.0,Defensive rebound by Team,19-13, ,,1,13,19,-6,572.0
2:12.0,R. Westbrook misses 3-pt jump shot from 23 ft,19-13, ,,1,13,19,-6,588.0
2:09.0, ,19-13,Defensive rebound by S. Hauser,,1,13,19,-6,591.0
1:59.0, ,19-13,J. Holiday misses 2-pt jump shot from 6 ft,,1,13,19,-6,601.0
1:55.0,Defensive rebound by D. Theis,19-13, ,,1,13,19,-6,605.0
1:46.0,K. Leonard makes 2-pt jump shot from 6 ft (assist by N. Powell),21-13, ,,1,13,21,-8,614.0
1:31.0, ,21-13,P. Pritchard misses 3-pt jump shot from 24 ft,,1,13,21,-8,629.0
1:28.0,Defensive rebound by A. Coffey,21-13, ,,1,13,21,-8,632.0
1:18.0,R. Westbrook misses 2-pt jump shot from 19 ft,21-13, ,,1,13,21,-8,642.0
1:15.0, ,21-13,Defensive rebound by J. Tatum,,1,13,21,-8,645.0
1:09.0, ,21-16,J. Tatum makes 3-pt jump shot from 27 ft,,1,16,21,-5,651.0
0:55.0,N. Powell makes 2-pt jump shot from 19 ft (assist by R. Westbrook),23-16, ,,1,16,23,-7,665.0
0:46.0, ,23-16,Shooting foul by D. Theis (drawn by J. Holiday),,1,16,23,-7,674.0
0:46.0, ,23-17,J. Holiday makes free throw 1 of 2,,1,17,23,-6,674.0
0:46.0, ,23-18,J. Holiday makes free throw 2 of 2,,1,18,23,-5,674.0
0:29.0,K. Leonard makes 3-pt jump shot from 27 ft,26-18, ,,1,18,26,-8,691.0
0:18.0, ,26-21,P. Pritchard makes 3-pt jump shot from 23 ft (assist by J. Tatum),,1,21,26,-5,702.0
0:02.0,N. Powell misses 3-pt jump shot from 27 ft,26-21, ,,1,21,26,-5,718.0
0:02.0,Offensive rebound by Team,26-21, ,,1,21,26,-5,718.0
0:00.0,End of 1st quarter,26-21,,,1,21,26,-5,720.0
12:00.0,Start of 2nd quarter,26-21,,,2,21,26,-5,720.0
11:48.0,Def 3 sec tech foul by Team,26-21, ,,2,21,26,-5,732.0
11:48.0,J. Harden makes technical free throw,27-21, ,,2,21,27,-6,732.0
11:35.0,R. Westbrook misses 2-pt layup from 3 ft,27-21, ,,2,21,27,-6,745.0
11:33.0, ,27-21,Defensive rebound by J. Tatum,,2,21,27,-6,747.0
11:27.0, ,27-24,S. Hauser makes 3-pt jump shot from 27 ft (assist by P. Pritchard),,2,24,27,-3,753.0
11:07.0,A. Coffey misses 3-pt jump shot from 24 ft,27-24, ,,2,24,27,-3,773.0
11:05.0, ,27-24,Defensive rebound by S. Hauser,,2,24,27,-3,775.0
10:55.0, ,27-24,J. Holiday misses 3-pt jump shot from 24 ft,,2,24,27,-3,785.0
10:52.0,Defensive rebound by N. Powell,27-24, ,,2,24,27,-3,788.0
10:46.0,D. Theis makes 3-pt jump shot from 27 ft (assist by R. Westbrook),30-24, ,,2,24,30,-6,794.0
10:24.0, ,30-24,P. Pritchard misses 3-pt jump shot from 26 ft,,2,24,30,-6,816.0
10:21.0,Defensive rebound by D. Theis,30-24, ,,2,24,30,-6,819.0
10:04.0,A. Coffey makes 2-pt jump shot from 8 ft (assist by J. Harden),32-24, ,,2,24,32,-8,836.0
9:49.0, ,32-24,J. Holiday misses 2-pt jump shot from 13 ft,,2,24,32,-8,851.0
9:47.0, ,32-24,Offensive rebound by L. Kornet,,2,24,32,-8,853.0
9:46.0, ,32-24,L. Kornet misses 2-pt layup from 2 ft,,2,24,32,-8,854.0
9:45.0,Defensive rebound by D. Theis,32-24, ,,2,24,32,-8,855.0
9:35.0,R. Westbrook misses 2-pt layup from 3 ft,32-24, ,,2,24,32,-8,865.0
9:32.0, ,32-24,Defensive rebound by J. Tatum,,2,24,32,-8,868.0
9:25.0, ,32-26,L. Kornet makes 2-pt dunk from 3 ft (assist by J. Holiday),,2,26,32,-6,875.0
9:03.0,R. Westbrook misses 3-pt jump shot from 26 ft,32-26, ,,2,26,32,-6,897.0
9:00.0, ,32-26,Defensive rebound by P. Pritchard,,2,26,32,-6,900.0
8:55.0, ,32-26,Personal foul by N. Powell (drawn by J. Tatum),,2,26,32,-6,905.0
8:55.0,T. Mann enters the game for R. Westbrook,32-26, ,,2,26,32,-6,905.0
8:45.0, ,32-26,J. Tatum misses 2-pt jump shot from 13 ft,,2,26,32,-6,915.0
8:43.0,Defensive rebound by J. Harden,32-26, ,,2,26,32,-6,917.0
8:38.0,T. Mann makes 2-pt dunk from 1 ft (assist by J. Harden),34-26, ,,2,26,34,-8,922.0
8:27.0, ,34-26,J. Holiday misses 3-pt jump shot from 28 ft,,2,26,34,-8,933.0
8:25.0,Defensive rebound by T. Mann,34-26, ,,2,26,34,-8,935.0
8:20.0,D. Theis makes 2-pt layup from 3 ft (assist by T. Mann),36-26, ,,2,26,36,-10,940.0
8:20.0,Shooting foul by L. Kornet (drawn by D. Theis),36-26, ,,2,26,36,-10,940.0
8:20.0, ,36-26,Boston full timeout,,2,26,36,-10,940.0
8:20.0, ,36-26,O. Brissett enters the game for S. Hauser,,2,26,36,-10,940.0
8:20.0, ,36-26,J. Brown enters the game for J. Tatum,,2,26,36,-10,940.0
8:20.0,D. Theis misses free throw 1 of 1,36-26, ,,2,26,36,-10,940.0
8:18.0, ,36-26,Defensive rebound by O. Brissett,,2,26,36,-10,942.0
7:56.0, ,36-28,L. Kornet makes 2-pt layup from 4 ft (assist by J. Holiday),,2,28,36,-8,964.0
7:29.0,Flagrant foul type 1 by J. Brown (drawn by J. Harden),36-28, ,,2,28,36,-8,991.0
7:29.0,Instant Replay (Request: Ruling Stands),36-28, ,,2,28,36,-8,991.0
7:29.0,J. Harden makes flagrant free throw 1 of 3,37-28, ,,2,28,37,-9,991.0
7:29.0,J. Harden makes flagrant free throw 2 of 3,38-28, ,,2,28,38,-10,991.0
7:29.0,J. Harden makes flagrant free throw 3 of 3,39-28, ,,2,28,39,-11,991.0
7:29.0, ,39-28,D. White enters the game for J. Holiday,,2,28,39,-11,991.0
7:18.0,A. Coffey misses 3-pt jump shot from 27 ft,39-28, ,,2,28,39,-11,1002.0
7:14.0, ,39-28,Defensive rebound by O. Brissett,,2,28,39,-11,1006.0
6:55.0, ,39-28,P. Pritchard misses 3-pt jump shot from 28 ft,,2,28,39,-11,1025.0
6:48.0, ,39-28,Offensive rebound by L. Kornet,,2,28,39,-11,1032.0
6:48.0, ,39-28,L. Kornet misses 2-pt layup at rim,,2,28,39,-11,1032.0
6:48.0,Defensive rebound by N. Powell,39-28, ,,2,28,39,-11,1032.0
6:39.0,A. Coffey makes 2-pt layup from 4 ft (assist by N. Powell),41-28, ,,2,28,41,-13,1041.0
6:36.0, ,41-30,J. Brown makes 2-pt layup from 5 ft,,2,30,41,-11,1044.0
6:28.0,J. Harden misses 3-pt jump shot from 26 ft,41-30, ,,2,30,41,-11,1052.0
6:28.0, ,41-30,Defensive rebound by P. Pritchard,,2,30,41,-11,1052.0
6:19.0, ,41-30,Turnover by J. Brown (lost ball; steal by D. Theis),,2,30,41,-11,1061.0
6:14.0,T. Mann misses 2-pt layup from 3 ft,41-30, ,,2,30,41,-11,1066.0
6:13.0,Offensive rebound by J. Harden,41-30, ,,2,30,41,-11,1067.0
6:13.0,J. Harden makes 2-pt layup at rim,43-30, ,,2,30,43,-13,1067.0
6:13.0, ,43-30,Boston full timeout,,2,30,43,-13,1067.0
6:13.0,P. George enters the game for A. Coffey,43-30, ,,2,30,43,-13,1067.0
6:13.0,K. Leonard enters the game for N. Powell,43-30, ,,2,30,43,-13,1067.0
6:13.0, ,43-30,A. Horford enters the game for L. Kornet,,2,30,43,-13,1067.0
6:13.0, ,43-30,J. Tatum enters the game for P. Pritchard,,2,30,43,-13,1067.0
6:00.0, ,43-30,J. Brown misses 3-pt jump shot from 24 ft,,2,30,43,-13,1080.0
