Time,Boston,Score,Sacramento,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:31.0, ,30-29,Defensive rebound by T. Lyles,,1,30,29,1,569.0
2:20.0, ,30-32,T. Lyles makes 3-pt jump shot from 23 ft (assist by M. Monk),Lead change,1,30,32,-2,580.0
2:08.0,D. White makes 3-pt jump shot from 25 ft,33-32, ,Lead change,1,33,32,1,592.0
1:56.0, ,33-35,T. Lyles makes 3-pt jump shot from 26 ft (assist by D. Fox),Lead change,1,33,35,-2,604.0
1:41.0,Shooting foul by K. Murray (drawn by D. White),33-35, ,,1,33,35,-2,619.0
1:41.0,D. White makes free throw 1 of 2,34-35, ,,1,34,35,-1,619.0
1:41.0, ,34-35,A. Vezenkov enters the game for K. Murray,,1,34,35,-1,619.0
1:41.0,D. White makes free throw 2 of 2,35-35, ,Tie,1,35,35,0,619.0
1:31.0, ,35-35,M. Monk misses 3-pt jump shot from 26 ft,,1,35,35,0,629.0
1:27.0,Defensive rebound by N. Queta,35-35, ,,1,35,35,0,633.0
1:19.0,D. White misses 3-pt jump shot from 26 ft,35-35, ,,1,35,35,0,641.0
1:14.0, ,35-35,Defensive rebound by T. Lyles,,1,35,35,0,646.0
0:59.0, ,35-38,D. Fox makes 3-pt jump shot from 26 ft,,1,35,38,-3,661.0
0:44.0,P. Pritchard makes 3-pt jump shot from 26 ft (assist by J. Holiday),38-38, ,Tie,1,38,38,0,676.0
0:31.0, ,38-41,D. Fox makes 3-pt jump shot from 26 ft,,1,38,41,-3,689.0
0:09.0,J. Holiday misses 2-pt jump shot from 15 ft (block by K. Ellis),38-41, ,,1,38,41,-3,711.0
0:05.0,Offensive rebound by J. Holiday,38-41, ,,1,38,41,-3,715.0
0:04.0,J. Holiday misses 2-pt jump shot from 3 ft,38-41, ,,1,38,41,-3,716.0
0:00.0, ,38-41,Defensive rebound by M. Monk,,1,38,41,-3,720.0
0:00.0, ,38-41,D. Fox misses 3-pt jump shot from 26 ft,,1,38,41,-3,720.0
