Time,Golden State,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
1:27.0, ,22-37,Defensive rebound by P. Pritchard,,1,37,22,15,633.0
1:09.0, ,22-37,J. Tatum misses 2-pt jump shot from 10 ft,,1,37,22,15,651.0
1:08.0,Defensive rebound by L. Quinones,22-37, ,,1,37,22,15,652.0
1:01.0,J. Kuminga misses 2-pt jump shot from 6 ft,22-37, ,,1,37,22,15,659.0
1:00.0, ,22-37,Defensive rebound by S. Hauser,,1,37,22,15,660.0
0:55.0, ,22-39,P. Pritchard makes 2-pt layup from 3 ft,,1,39,22,17,665.0
0:40.0,T. Jackson-Davis misses 2-pt layup from 4 ft (block by L. Kornet),22-39, ,,1,39,22,17,680.0
0:39.0, ,22-39,Defensive rebound by J. Holiday,,1,39,22,17,681.0
0:35.0, ,22-42,P. Pritchard makes 3-pt jump shot from 25 ft (assist by J. Holiday),,1,42,22,20,685.0
0:11.0,C. Paul misses 2-pt jump shot from 18 ft (block by J. Tatum),22-42, ,,1,42,22,20,709.0
0:10.0, ,22-42,Defensive rebound by L. Kornet,,1,42,22,20,710.0
0:01.0, ,22-44,J. Holiday makes 2-pt layup from 5 ft (assist by J. Tatum),,1,44,22,22,719.0
0:00.0,End of 1st quarter,22-44,,,1,44,22,22,720.0
12:00.0,Start of 2nd quarter,22-44,,,2,44,22,22,720.0
11:38.0,K. Thompson makes 2-pt layup from 2 ft (assist by K. Looney),24-44, ,,2,44,24,20,742.0
11:20.0, ,24-44,J. Tatum misses 2-pt jump shot from 13 ft,,2,44,24,20,760.0
11:19.0,Defensive rebound by M. Moody,24-44, ,,2,44,24,20,761.0
11:03.0,Personal foul by J. Holiday (drawn by J. Kuminga),24-44, ,,2,44,24,20,777.0
10:56.0,K. Looney misses 2-pt layup from 2 ft (block by S. Hauser),24-44, ,,2,44,24,20,784.0
10:55.0, ,24-44,Defensive rebound by P. Pritchard,,2,44,24,20,785.0
10:48.0, ,24-47,S. Hauser makes 3-pt jump shot from 27 ft (assist by P. Pritchard),,2,47,24,23,792.0
10:32.0,K. Thompson misses 3-pt jump shot from 28 ft,24-47, ,,2,47,24,23,808.0
10:31.0, ,24-47,Defensive rebound by P. Pritchard,,2,47,24,23,809.0
10:17.0, ,24-47,X. Tillman misses 2-pt hook shot from 6 ft,,2,47,24,23,823.0
10:16.0,Defensive rebound by K. Thompson,24-47, ,,2,47,24,23,824.0
10:01.0,J. Kuminga misses 2-pt jump shot from 4 ft,24-47, ,,2,47,24,23,839.0
10:00.0, ,24-47,Defensive rebound by P. Pritchard,,2,47,24,23,840.0
9:53.0, ,24-49,P. Pritchard makes 2-pt layup from 1 ft,,2,49,24,25,847.0
9:53.0,Golden State full timeout,24-49, ,,2,49,24,25,847.0
9:53.0,L. Quinones enters the game for K. Thompson,24-49, ,,2,49,24,25,847.0
9:27.0,J. Kuminga misses 2-pt jump shot from 16 ft,24-49, ,,2,49,24,25,873.0
9:26.0, ,24-49,Defensive rebound by J. Holiday,,2,49,24,25,874.0
9:17.0, ,24-51,J. Tatum makes 2-pt layup from 3 ft,,2,51,24,27,883.0
8:59.0,C. Paul misses 3-pt jump shot from 23 ft,24-51, ,,2,51,24,27,901.0
8:58.0, ,24-51,Defensive rebound by X. Tillman,,2,51,24,27,902.0
8:51.0, ,24-51,J. Holiday misses 3-pt jump shot from 27 ft,,2,51,24,27,909.0
8:50.0,Defensive rebound by K. Looney,24-51, ,,2,51,24,27,910.0
8:27.0,Turnover by K. Looney (3 sec),24-51, ,,2,51,24,27,933.0
8:15.0, ,24-51,Shooting foul by J. Kuminga (drawn by J. Tatum),,2,51,24,27,945.0
8:15.0, ,24-52,J. Tatum makes free throw 1 of 2,,2,52,24,28,945.0
8:15.0,S. Curry enters the game for C. Paul,24-52, ,,2,52,24,28,945.0
8:15.0, ,24-52,J. Brown enters the game for S. Hauser,,2,52,24,28,945.0
8:15.0, ,24-53,J. Tatum makes free throw 2 of 2,,2,53,24,29,945.0
7:54.0,J. Kuminga makes 2-pt jump shot from 11 ft,26-53, ,,2,53,26,27,966.0
7:31.0, ,26-55,J. Tatum makes 2-pt layup from 2 ft (assist by J. Holiday),,2,55,26,29,989.0
7:20.0,Turnover by M. Moody (bad pass),26-55, ,,2,55,26,29,1000.0
7:15.0, ,26-55,J. Brown misses 2-pt layup from 4 ft,,2,55,26,29,1005.0
7:14.0,Defensive rebound by S. Curry,26-55, ,,2,55,26,29,1006.0
7:03.0,M. Moody makes 2-pt layup from 2 ft (assist by J. Kuminga),28-55, ,,2,55,28,27,1017.0
6:40.0, ,28-57,J. Tatum makes 2-pt layup from 2 ft,,2,57,28,29,1040.0
6:31.0,Personal foul by J. Tatum (drawn by S. Curry),28-57, ,,2,57,28,29,1049.0
6:31.0,D. Green enters the game for K. Looney,28-57, ,,2,57,28,29,1049.0
6:31.0,G. Payton enters the game for M. Moody,28-57, ,,2,57,28,29,1049.0
6:31.0, ,28-57,A. Horford enters the game for P. Pritchard,,2,57,28,29,1049.0
6:31.0, ,28-57,D. White enters the game for X. Tillman,,2,57,28,29,1049.0
6:21.0,S. Curry misses 3-pt jump shot from 26 ft,28-57, ,,2,57,28,29,1059.0
6:20.0, ,28-57,Defensive rebound by A. Horford,,2,57,28,29,1060.0
6:04.0, ,28-60,J. Tatum makes 3-pt jump shot from 27 ft (assist by D. White),,2,60,28,32,1076.0
5:50.0,Turnover by S. Curry (bad pass; steal by J. Tatum),28-60, ,,2,60,28,32,1090.0
5:39.0, ,28-60,A. Horford misses 2-pt hook shot from 8 ft,,2,60,28,32,1101.0
