Time,San Antonio,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:54.0,T. Jones misses 3-pt jump shot from 25 ft,17-23, ,,1,23,17,6,426.0
4:52.0, ,17-23,Defensive rebound by J. Brown,,1,23,17,6,428.0
4:42.0, ,17-25,J. Brown makes 2-pt layup from 5 ft,,1,25,17,8,438.0
4:24.0,Shooting foul by A. Horford (drawn by D. Vassell),17-25, ,,1,25,17,8,456.0
4:24.0,D. Vassell makes free throw 1 of 2,18-25, ,,1,25,18,7,456.0
4:24.0,D. Vassell makes free throw 2 of 2,19-25, ,,1,25,19,6,456.0
4:24.0,M. Branham enters the game for T. Jones,19-25, ,,1,25,19,6,456.0
4:24.0, ,19-25,N. Queta enters the game for A. Horford,,1,25,19,6,456.0
4:18.0, ,19-25,J. Brown misses 2-pt layup from 5 ft,,1,25,19,6,462.0
4:16.0,Defensive rebound by D. Vassell,19-25, ,,1,25,19,6,464.0
4:03.0,J. Sochan misses 3-pt jump shot from 26 ft,19-25, ,,1,25,19,6,477.0
4:00.0, ,19-25,Defensive rebound by O. Brissett,,1,25,19,6,480.0
3:45.0, ,19-25,Turnover by S. Hauser (bad pass; steal by J. Sochan),,1,25,19,6,495.0
3:40.0,K. Johnson misses 2-pt jump shot from 7 ft,19-25, ,,1,25,19,6,500.0
3:38.0, ,19-25,Defensive rebound by S. Hauser,,1,25,19,6,502.0
3:38.0, ,19-25,Boston full timeout,,1,25,19,6,502.0
3:38.0,C. Osman enters the game for J. Sochan,19-25, ,,1,25,19,6,502.0
3:38.0, ,19-25,J. Tatum enters the game for J. Brown,,1,25,19,6,502.0
3:21.0, ,19-27,S. Hauser makes 2-pt jump shot from 10 ft (assist by J. Tatum),,1,27,19,8,519.0
2:54.0,K. Johnson makes 2-pt layup from 7 ft,21-27, ,,1,27,21,6,546.0
2:39.0, ,21-27,O. Brissett misses 3-pt jump shot from 24 ft,,1,27,21,6,561.0
2:36.0,Defensive rebound by Team,21-27, ,,1,27,21,6,564.0
2:36.0, ,21-27,Loose ball foul by N. Queta (drawn by D. Barlow),,1,27,21,6,564.0
2:36.0,B. Wesley enters the game for D. Vassell,21-27, ,,1,27,21,6,564.0
2:22.0,B. Wesley misses 2-pt jump shot from 12 ft,21-27, ,,1,27,21,6,578.0
2:20.0,Offensive rebound by C. Osman,21-27, ,,1,27,21,6,580.0
2:06.0,M. Branham makes 2-pt layup from 2 ft (assist by B. Wesley),23-27, ,,1,27,23,4,594.0
1:46.0, ,23-27,Personal foul by C. Osman (drawn by J. Tatum),,1,27,23,4,614.0
1:46.0, ,23-27,J. Holiday enters the game for O. Brissett,,1,27,23,4,614.0
1:36.0, ,23-27,P. Pritchard misses 2-pt jump shot from 15 ft,,1,27,23,4,624.0
1:33.0,Defensive rebound by M. Branham,23-27, ,,1,27,23,4,627.0
1:27.0,M. Branham misses 2-pt jump shot from 11 ft (block by N. Queta),23-27, ,,1,27,23,4,633.0
1:26.0, ,23-27,Defensive rebound by J. Holiday,,1,27,23,4,634.0
1:23.0, ,23-27,Shooting foul by K. Johnson (drawn by J. Tatum),,1,27,23,4,637.0
1:23.0, ,23-28,J. Tatum makes free throw 1 of 2,,1,28,23,5,637.0
1:23.0, ,23-28,J. Tatum misses free throw 2 of 2,,1,28,23,5,637.0
1:21.0,Defensive rebound by C. Osman,23-28, ,,1,28,23,5,639.0
1:12.0,M. Branham makes 2-pt layup from 4 ft,25-28, ,,1,28,25,3,648.0
1:01.0, ,25-28,S. Hauser misses 3-pt jump shot from 27 ft,,1,28,25,3,659.0
1:00.0, ,25-28,Offensive rebound by N. Queta,,1,28,25,3,660.0
0:48.0, ,25-28,Shooting foul by C. Osman (drawn by N. Queta),,1,28,25,3,672.0
0:48.0, ,25-29,N. Queta makes free throw 1 of 2,,1,29,25,4,672.0
