Time,San Antonio,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
0:48.0, ,25-30,N. Queta makes free throw 2 of 2,,1,30,25,5,672.0
0:28.0,M. Branham misses 3-pt jump shot from 26 ft,25-30, ,,1,30,25,5,692.0
0:26.0, ,25-30,Defensive rebound by N. Queta,,1,30,25,5,694.0
0:05.0, ,25-30,J. Holiday misses 2-pt jump shot from 21 ft,,1,30,25,5,715.0
0:03.0,Defensive rebound by B. Wesley,25-30, ,,1,30,25,5,717.0
0:00.0,B. Wesley misses 2-pt jump shot from 13 ft,25-30, ,,1,30,25,5,720.0
0:00.0,Offensive rebound by Team,25-30, ,,1,30,25,5,720.0
0:00.0,End of 1st quarter,25-30,,,1,30,25,5,720.0
12:00.0,Start of 2nd quarter,25-30,,,2,30,25,5,720.0
11:47.0,M. Branham makes 2-pt layup from 3 ft (assist by D. McDermott),27-30, ,,2,30,27,3,733.0
11:32.0, ,27-32,S. Hauser makes 2-pt layup from 5 ft (assist by J. Holiday),,2,32,27,5,748.0
11:18.0,C. Osman makes 2-pt layup from 2 ft (assist by K. Johnson),29-32, ,,2,32,29,3,762.0
11:09.0, ,29-32,J. Holiday misses 2-pt jump shot from 18 ft,,2,32,29,3,771.0
11:08.0,Defensive rebound by Team,29-32, ,,2,32,29,3,772.0
10:51.0,V. Wembanyama misses 3-pt jump shot from 28 ft,29-32, ,,2,32,29,3,789.0
10:48.0, ,29-32,Defensive rebound by J. Tatum,,2,32,29,3,792.0
10:33.0, ,29-34,N. Queta makes 2-pt dunk from 2 ft (assist by P. Pritchard),,2,34,29,5,807.0
10:16.0,V. Wembanyama misses 2-pt hook shot from 5 ft,29-34, ,,2,34,29,5,824.0
10:15.0, ,29-34,Defensive rebound by J. Tatum,,2,34,29,5,825.0
10:07.0, ,29-37,P. Pritchard makes 3-pt jump shot from 27 ft,,2,37,29,8,833.0
9:51.0,D. McDermott misses 3-pt jump shot from 28 ft,29-37, ,,2,37,29,8,849.0
9:49.0, ,29-37,Defensive rebound by J. Tatum,,2,37,29,8,851.0
9:38.0, ,29-37,P. Pritchard misses 2-pt jump shot from 22 ft,,2,37,29,8,862.0
9:36.0,Defensive rebound by C. Osman,29-37, ,,2,37,29,8,864.0
9:26.0,C. Osman misses 2-pt layup from 3 ft,29-37, ,,2,37,29,8,874.0
9:24.0, ,29-37,Defensive rebound by J. Holiday,,2,37,29,8,876.0
9:21.0, ,29-40,P. Pritchard makes 3-pt jump shot from 24 ft (assist by S. Hauser),,2,40,29,11,879.0
9:21.0,San Antonio full timeout,29-40, ,,2,40,29,11,879.0
9:21.0,T. Jones enters the game for M. Branham,29-40, ,,2,40,29,11,879.0
9:21.0, ,29-40,L. Kornet enters the game for N. Queta,,2,40,29,11,879.0
9:09.0,V. Wembanyama misses 2-pt layup from 3 ft,29-40, ,,2,40,29,11,891.0
9:07.0,Offensive rebound by C. Osman,29-40, ,,2,40,29,11,893.0
8:58.0,T. Jones misses 3-pt jump shot from 28 ft,29-40, ,,2,40,29,11,902.0
8:55.0, ,29-40,Defensive rebound by S. Hauser,,2,40,29,11,905.0
8:45.0, ,29-40,J. Tatum misses 2-pt jump shot from 14 ft,,2,40,29,11,915.0
8:43.0,Defensive rebound by C. Osman,29-40, ,,2,40,29,11,917.0
8:32.0,V. Wembanyama makes 2-pt jump shot from 19 ft,31-40, ,,2,40,31,9,928.0
8:05.0, ,31-43,J. Holiday makes 3-pt jump shot from 28 ft,,2,43,31,12,955.0
7:53.0,V. Wembanyama makes 2-pt jump shot from 18 ft (assist by C. Osman),33-43, ,,2,43,33,10,967.0
7:36.0, ,33-45,J. Tatum makes 2-pt dunk from 3 ft,,2,45,33,12,984.0
7:20.0,Turnover by V. Wembanyama (bad pass),33-45, ,,2,45,33,12,1000.0
7:20.0,J. Sochan enters the game for K. Johnson,33-45, ,,2,45,33,12,1000.0
7:20.0,D. Vassell enters the game for C. Osman,33-45, ,,2,45,33,12,1000.0
7:20.0, ,33-45,J. Brown enters the game for S. Hauser,,2,45,33,12,1000.0
7:20.0, ,33-45,A. Horford enters the game for P. Pritchard,,2,45,33,12,1000.0
7:05.0, ,33-47,L. Kornet makes 2-pt layup from 4 ft (assist by J. Tatum),,2,47,33,14,1015.0
6:50.0,Turnover by D. Vassell (traveling),33-47, ,,2,47,33,14,1030.0
6:32.0, ,33-50,J. Tatum makes 3-pt jump shot from 28 ft (assist by L. Kornet),,2,50,33,17,1048.0
6:25.0,D. McDermott makes 2-pt dunk from 2 ft (assist by T. Jones),35-50, ,,2,50,35,15,1055.0
6:11.0, ,35-50,J. Tatum misses 3-pt jump shot from 28 ft,,2,50,35,15,1069.0
6:09.0,Defensive rebound by V. Wembanyama,35-50, ,,2,50,35,15,1071.0
5:56.0,Turnover by V. Wembanyama (bad pass),35-50, ,,2,50,35,15,1084.0
5:56.0, ,35-50,P. Pritchard enters the game for J. Tatum,,2,50,35,15,1084.0
5:41.0, ,35-53,A. Horford makes 3-pt jump shot from 27 ft (assist by L. Kornet),,2,53,35,18,1099.0
5:24.0,D. Vassell misses 2-pt jump shot from 4 ft,35-53, ,,2,53,35,18,1116.0
5:22.0, ,35-53,Defensive rebound by L. Kornet,,2,53,35,18,1118.0
5:01.0, ,35-53,L. Kornet misses 2-pt jump shot from 8 ft,,2,53,35,18,1139.0
4:57.0, ,35-53,Offensive rebound by J. Brown,,2,53,35,18,1143.0
4:53.0, ,35-53,Turnover by L. Kornet (bad pass),,2,53,35,18,1147.0
4:53.0,D. Barlow enters the game for D. McDermott,35-53, ,,2,53,35,18,1147.0
4:53.0,J. Champagnie enters the game for V. Wembanyama,35-53, ,,2,53,35,18,1147.0
4:34.0,J. Champagnie misses 2-pt jump shot from 6 ft,35-53, ,,2,53,35,18,1166.0
4:31.0,Offensive rebound by J. Sochan,35-53, ,,2,53,35,18,1169.0
4:23.0,J. Sochan misses 2-pt hook shot from 5 ft,35-53, ,,2,53,35,18,1177.0
4:20.0, ,35-53,Defensive rebound by L. Kornet,,2,53,35,18,1180.0
4:13.0, ,35-56,J. Holiday makes 3-pt jump shot from 27 ft (assist by J. Brown),,2,56,35,21,1187.0
3:59.0,D. Vassell makes 2-pt layup from 2 ft,37-56, ,,2,56,37,19,1201.0
3:41.0, ,37-58,J. Holiday makes 2-pt jump shot from 5 ft,,2,58,37,21,1219.0
3:27.0,T. Jones makes 3-pt jump shot from 27 ft (assist by D. Vassell),40-58, ,,2,58,40,18,1233.0
3:13.0, ,40-58,Turnover by J. Holiday (traveling),,2,58,40,18,1247.0
3:13.0,M. Branham enters the game for T. Jones,40-58, ,,2,58,40,18,1247.0
3:13.0, ,40-58,S. Hauser enters the game for J. Holiday,,2,58,40,18,1247.0
3:01.0,D. Vassell makes 2-pt jump shot from 14 ft,42-58, ,,2,58,42,16,1259.0
3:01.0,Shooting foul by P. Pritchard (drawn by D. Vassell),42-58, ,,2,58,42,16,1259.0
3:01.0, ,42-58,Boston full timeout,,2,58,42,16,1259.0
3:01.0, ,42-58,J. Tatum enters the game for S. Hauser,,2,58,42,16,1259.0
3:01.0,D. Vassell makes free throw 1 of 1,43-58, ,,2,58,43,15,1259.0
2:59.0, ,43-58,Personal foul by J. Sochan (drawn by J. Tatum),,2,58,43,15,1261.0
2:40.0, ,43-58,Turnover by L. Kornet (bad pass; steal by J. Sochan),,2,58,43,15,1280.0
2:37.0,J. Champagnie misses 3-pt jump shot from 26 ft,43-58, ,,2,58,43,15,1283.0
2:35.0, ,43-58,Defensive rebound by L. Kornet,,2,58,43,15,1285.0
2:24.0, ,43-60,J. Tatum makes 2-pt jump shot from 14 ft,,2,60,43,17,1296.0
2:16.0,M. Branham misses 3-pt jump shot from 26 ft,43-60, ,,2,60,43,17,1304.0
2:14.0, ,43-60,Defensive rebound by L. Kornet,,2,60,43,17,1306.0
2:08.0, ,43-62,J. Brown makes 2-pt layup from 4 ft,,2,62,43,19,1312.0
1:46.0,J. Champagnie makes 2-pt layup from 2 ft (assist by D. Vassell),45-62, ,,2,62,45,17,1334.0
1:22.0, ,45-64,J. Brown makes 2-pt layup from 3 ft,,2,64,45,19,1358.0
1:10.0,J. Champagnie misses 2-pt jump shot from 15 ft (block by J. Brown),45-64, ,,2,64,45,19,1370.0
1:09.0,Offensive rebound by J. Champagnie,45-64, ,,2,64,45,19,1371.0
1:08.0,Turnover by J. Champagnie (lost ball; steal by P. Pritchard),45-64, ,,2,64,45,19,1372.0
1:03.0, ,45-64,Turnover by J. Brown (bad pass; steal by J. Sochan),,2,64,45,19,1377.0
