Time,Boston,Score,Utah,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:13.0, ,24-17,C. Sexton misses 2-pt jump shot from 11 ft,,1,24,17,7,347.0
6:09.0,Defensive rebound by J. Tatum,24-17, ,,1,24,17,7,351.0
6:06.0,P. Pritchard misses 2-pt layup from 3 ft (block by K. George),24-17, ,,1,24,17,7,354.0
6:05.0, ,24-17,Defensive rebound by L. Šamanić,,1,24,17,7,355.0
6:05.0, ,24-17,Personal foul by D. White (drawn by K. George),,1,24,17,7,355.0
5:53.0, ,24-17,Shooting foul by L. Kornet (drawn by J. Collins),,1,24,17,7,367.0
5:53.0, ,24-18,J. Collins makes free throw 1 of 2,,1,24,18,6,367.0
5:53.0,J. Holiday enters the game for L. Kornet,24-18, ,,1,24,18,6,367.0
5:53.0,X. Tillman enters the game for D. White,24-18, ,,1,24,18,6,367.0
5:53.0, ,24-19,J. Collins makes free throw 2 of 2,,1,24,19,5,367.0
5:33.0,P. Pritchard makes 3-pt jump shot from 24 ft,27-19, ,,1,27,19,8,387.0
5:20.0, ,27-22,K. George makes 3-pt jump shot from 26 ft,,1,27,22,5,400.0
5:00.0,P. Pritchard misses 3-pt jump shot from 25 ft,27-22, ,,1,27,22,5,420.0
4:57.0,Offensive rebound by O. Brissett,27-22, ,,1,27,22,5,423.0
4:55.0,J. Tatum misses 3-pt jump shot from 25 ft,27-22, ,,1,27,22,5,425.0
4:51.0, ,27-22,Defensive rebound by K. Dunn,,1,27,22,5,429.0
4:48.0, ,27-25,K. George makes 3-pt jump shot from 26 ft (assist by K. Dunn),,1,27,25,2,432.0
4:47.0,Boston full timeout,27-25, ,,1,27,25,2,433.0
4:47.0, ,27-25,J. Clarkson enters the game for J. Collins,,1,27,25,2,433.0
4:47.0, ,27-25,W. Kessler enters the game for L. Šamanić,,1,27,25,2,433.0
4:32.0,J. Tatum makes 3-pt jump shot from 26 ft (assist by J. Holiday),30-25, ,,1,30,25,5,448.0
4:15.0, ,30-27,C. Sexton makes 2-pt jump shot from 8 ft (assist by K. George),,1,30,27,3,465.0
3:53.0,X. Tillman makes 3-pt jump shot from 24 ft (assist by J. Holiday),33-27, ,,1,33,27,6,487.0
3:36.0, ,33-27,C. Sexton misses 2-pt layup from 6 ft (block by J. Tatum),,1,33,27,6,504.0
3:34.0, ,33-27,Offensive rebound by C. Sexton,,1,33,27,6,506.0
