Time,Boston,Score,Golden State,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:32.0,J. Brown misses 2-pt jump shot from 11 ft,34-24, ,,1,34,24,10,568.0
2:29.0,Offensive rebound by J. Brown,34-24, ,,1,34,24,10,571.0
2:29.0,J. Brown misses 2-pt dunk from 1 ft,34-24, ,,1,34,24,10,571.0
2:27.0, ,34-24,Defensive rebound by C. Paul,,1,34,24,10,573.0
2:20.0, ,34-27,D. Šarić makes 3-pt jump shot from 27 ft (assist by C. Paul),,1,34,27,7,580.0
2:19.0,Boston full timeout,34-27, ,,1,34,27,7,581.0
2:19.0,J. Holiday enters the game for O. Brissett,34-27, ,,1,34,27,7,581.0
2:19.0,S. Mykhailiuk enters the game for J. Brown,34-27, ,,1,34,27,7,581.0
2:19.0,N. Queta enters the game for A. Horford,34-27, ,,1,34,27,7,581.0
1:58.0,Turnover by J. Holiday (out of bounds lost ball),34-27, ,,1,34,27,7,602.0
1:43.0, ,34-27,A. Wiggins misses 2-pt jump shot from 18 ft,,1,34,27,7,617.0
1:39.0,Defensive rebound by S. Hauser,34-27, ,,1,34,27,7,621.0
1:28.0,N. Queta misses 2-pt layup from 4 ft,34-27, ,,1,34,27,7,632.0
1:25.0,Offensive rebound by N. Queta,34-27, ,,1,34,27,7,635.0
1:25.0,N. Queta misses 2-pt layup at rim,34-27, ,,1,34,27,7,635.0
1:21.0,Offensive rebound by N. Queta,34-27, ,,1,34,27,7,639.0
1:21.0,N. Queta makes 2-pt layup at rim,36-27, ,,1,36,27,9,639.0
1:12.0, ,36-27,M. Moody misses 2-pt layup from 5 ft,,1,36,27,9,648.0
1:08.0,Defensive rebound by J. Holiday,36-27, ,,1,36,27,9,652.0
1:07.0,S. Mykhailiuk misses 3-pt jump shot from 27 ft,36-27, ,,1,36,27,9,653.0
1:03.0, ,36-27,Defensive rebound by C. Paul,,1,36,27,9,657.0
0:58.0, ,36-30,B. Podziemski makes 3-pt jump shot from 26 ft,,1,36,30,6,662.0
0:41.0,P. Pritchard makes 2-pt jump shot from 19 ft,38-30, ,,1,38,30,8,679.0
0:21.0, ,38-30,M. Moody misses 3-pt jump shot from 25 ft,,1,38,30,8,699.0
0:16.0,Defensive rebound by J. Holiday,38-30, ,,1,38,30,8,704.0
0:01.0,J. Holiday makes 2-pt jump shot from 10 ft,40-30, ,,1,40,30,10,719.0
0:00.0,End of 1st quarter,40-30,,,1,40,30,10,720.0
12:00.0,Start of 2nd quarter,40-30,,,2,40,30,10,720.0
11:46.0, ,40-33,M. Moody makes 3-pt jump shot from 25 ft,,2,40,33,7,734.0
11:24.0,J. Holiday misses 2-pt jump shot from 17 ft,40-33, ,,2,40,33,7,756.0
11:21.0, ,40-33,Defensive rebound by D. Šarić,,2,40,33,7,759.0
11:12.0, ,40-36,D. Šarić makes 3-pt jump shot from 25 ft (assist by C. Paul),,2,40,36,4,768.0
10:53.0,S. Hauser misses 3-pt jump shot from 24 ft,40-36, ,,2,40,36,4,787.0
10:50.0, ,40-36,Defensive rebound by D. Šarić,,2,40,36,4,790.0
10:49.0, ,40-36,Turnover by D. Šarić (lost ball; steal by J. Holiday),,2,40,36,4,791.0
10:48.0,J. Holiday makes 2-pt layup from 4 ft,42-36, ,,2,42,36,6,792.0
10:36.0, ,42-36,Shooting foul by J. Holiday (drawn by D. Šarić),,2,42,36,6,804.0
10:36.0, ,42-37,D. Šarić makes free throw 1 of 2,,2,42,37,5,804.0
10:36.0, ,42-38,D. Šarić makes free throw 2 of 2,,2,42,38,4,804.0
10:25.0,J. Tatum misses 3-pt jump shot from 27 ft,42-38, ,,2,42,38,4,815.0
10:22.0,Offensive rebound by N. Queta,42-38, ,,2,42,38,4,818.0
10:21.0,P. Pritchard makes 3-pt jump shot from 24 ft (assist by N. Queta),45-38, ,,2,45,38,7,819.0
10:07.0, ,45-38,M. Moody misses 3-pt jump shot from 26 ft,,2,45,38,7,833.0
10:02.0, ,45-38,Offensive rebound by A. Wiggins,,2,45,38,7,838.0
9:53.0, ,45-38,M. Moody misses 2-pt jump shot from 8 ft,,2,45,38,7,847.0
9:51.0,Defensive rebound by N. Queta,45-38, ,,2,45,38,7,849.0
9:48.0,P. Pritchard misses 3-pt jump shot from 29 ft,45-38, ,,2,45,38,7,852.0
9:44.0, ,45-38,Defensive rebound by B. Podziemski,,2,45,38,7,856.0
9:39.0, ,45-41,D. Šarić makes 3-pt jump shot from 26 ft (assist by A. Wiggins),,2,45,41,4,861.0
9:29.0,N. Queta makes 2-pt layup from 5 ft (assist by P. Pritchard),47-41, ,,2,47,41,6,871.0
9:07.0, ,47-41,Offensive foul by B. Podziemski (drawn by P. Pritchard),,2,47,41,6,893.0
9:07.0, ,47-41,Turnover by B. Podziemski (offensive foul),,2,47,41,6,893.0
9:07.0, ,47-41,K. Thompson enters the game for M. Moody,,2,47,41,6,893.0
8:53.0,N. Queta makes 2-pt layup from 6 ft (assist by J. Tatum),49-41, ,,2,49,41,8,907.0
8:38.0, ,49-41,D. Šarić misses 2-pt layup from 5 ft,,2,49,41,8,922.0
8:36.0,Defensive rebound by S. Hauser,49-41, ,,2,49,41,8,924.0
8:23.0,J. Tatum makes 3-pt jump shot from 28 ft,52-41, ,,2,52,41,11,937.0
8:15.0, ,52-41,Golden State full timeout,,2,52,41,11,945.0
8:15.0,A. Horford enters the game for N. Queta,52-41, ,,2,52,41,11,945.0
8:15.0, ,52-41,S. Curry enters the game for C. Paul,,2,52,41,11,945.0
8:15.0, ,52-41,T. Jackson-Davis enters the game for D. Šarić,,2,52,41,11,945.0
8:11.0, ,52-44,K. Thompson makes 3-pt jump shot from 26 ft (assist by S. Curry),,2,52,44,8,949.0
7:46.0,J. Tatum misses 2-pt jump shot from 20 ft,52-44, ,,2,52,44,8,974.0
7:43.0, ,52-44,Defensive rebound by T. Jackson-Davis,,2,52,44,8,977.0
7:39.0, ,52-44,Shooting foul by S. Hauser (drawn by A. Wiggins),,2,52,44,8,981.0
7:39.0, ,52-45,A. Wiggins makes free throw 1 of 2,,2,52,45,7,981.0
7:39.0,J. Brown enters the game for S. Hauser,52-45, ,,2,52,45,7,981.0
7:39.0,D. White enters the game for P. Pritchard,52-45, ,,2,52,45,7,981.0
