Time,New Orleans,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:12.0,Defensive rebound by Team,25-16, ,,1,16,25,-9,468.0
4:12.0,N. Marshall enters the game for H. Jones,25-16, ,,1,16,25,-9,468.0
4:12.0,L. Nance enters the game for J. Valančiūnas,25-16, ,,1,16,25,-9,468.0
4:12.0, ,25-16,N. Queta enters the game for A. Horford,,1,16,25,-9,468.0
3:56.0,T. Murphy makes 3-pt jump shot from 25 ft (assist by L. Nance),28-16, ,,1,16,28,-12,484.0
3:37.0, ,28-16,S. Hauser misses 3-pt jump shot from 27 ft,,1,16,28,-12,503.0
3:34.0,Defensive rebound by C. McCollum,28-16, ,,1,16,28,-12,506.0
3:26.0,C. McCollum makes 2-pt jump shot from 10 ft,30-16, ,,1,16,30,-14,514.0
3:20.0, ,30-16,D. White misses 2-pt layup from 8 ft (block by B. Ingram),,1,16,30,-14,520.0
3:19.0, ,30-16,Offensive rebound by Team,,1,16,30,-14,521.0
3:19.0,J. Hawkins enters the game for C. McCollum,30-16, ,,1,16,30,-14,521.0
3:14.0, ,30-18,N. Queta makes 2-pt layup from 3 ft (assist by J. Brown),,1,18,30,-12,526.0
2:56.0,B. Ingram makes 2-pt jump shot from 16 ft,32-18, ,,1,18,32,-14,544.0
2:40.0, ,32-21,D. White makes 3-pt jump shot from 26 ft (assist by J. Brown),,1,21,32,-11,560.0
2:28.0,J. Hawkins misses 3-pt jump shot from 26 ft,32-21, ,,1,21,32,-11,572.0
2:25.0, ,32-21,Defensive rebound by N. Queta,,1,21,32,-11,575.0
2:19.0, ,32-21,D. White misses 2-pt jump shot from 12 ft,,1,21,32,-11,581.0
2:17.0,Defensive rebound by B. Ingram,32-21, ,,1,21,32,-11,583.0
2:13.0,Turnover by B. Ingram (bad pass; steal by P. Pritchard),32-21, ,,1,21,32,-11,587.0
2:07.0, ,32-21,S. Hauser misses 3-pt jump shot from 26 ft,,1,21,32,-11,593.0
2:05.0,Defensive rebound by J. Hawkins,32-21, ,,1,21,32,-11,595.0
