Time,Orlando,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:24.0, ,36-40,Defensive rebound by J. Tatum,,2,40,36,4,936.0
8:15.0, ,36-42,J. Tatum makes 2-pt layup from 2 ft,,2,42,36,6,945.0
8:15.0, ,36-42,Shooting foul by M. Wagner (drawn by J. Tatum),,2,42,36,6,945.0
8:15.0, ,36-42,J. Tatum misses free throw 1 of 1,,2,42,36,6,945.0
8:12.0,Defensive rebound by F. Wagner,36-42, ,,2,42,36,6,948.0
8:00.0,Shooting foul by N. Queta (drawn by F. Wagner),36-42, ,,2,42,36,6,960.0
8:00.0,F. Wagner makes free throw 1 of 2,37-42, ,,2,42,37,5,960.0
8:00.0,P. Banchero enters the game for M. Wagner,37-42, ,,2,42,37,5,960.0
8:00.0, ,37-42,S. Hauser enters the game for N. Queta,,2,42,37,5,960.0
8:00.0,F. Wagner makes free throw 2 of 2,38-42, ,,2,42,38,4,960.0
7:43.0, ,38-44,O. Brissett makes 2-pt dunk from 2 ft (assist by J. Holiday),,2,44,38,6,977.0
7:32.0,F. Wagner misses 2-pt hook shot from 3 ft,38-44, ,,2,44,38,6,988.0
7:28.0,Offensive rebound by J. Isaac,38-44, ,,2,44,38,6,992.0
7:28.0,J. Isaac makes 2-pt layup at rim,40-44, ,,2,44,40,4,992.0
7:23.0, ,40-44,Personal foul by G. Harris (drawn by J. Holiday),,2,44,40,4,997.0
7:23.0, ,40-44,J. Brown enters the game for O. Brissett,,2,44,40,4,997.0
7:23.0, ,40-44,D. White enters the game for P. Pritchard,,2,44,40,4,997.0
7:18.0, ,40-44,Personal foul by C. Anthony (drawn by D. White),,2,44,40,4,1002.0
7:18.0,J. Suggs enters the game for G. Harris,40-44, ,,2,44,40,4,1002.0
7:06.0, ,40-44,J. Holiday misses 2-pt jump shot from 16 ft,,2,44,40,4,1014.0
7:04.0,Defensive rebound by J. Isaac,40-44, ,,2,44,40,4,1016.0
6:47.0,C. Anthony misses 2-pt jump shot from 12 ft,40-44, ,,2,44,40,4,1033.0
6:47.0, ,40-44,Defensive rebound by Team,,2,44,40,4,1033.0
6:47.0, ,40-44,Boston full timeout,,2,44,40,4,1033.0
6:47.0,C. Houstan enters the game for C. Anthony,40-44, ,,2,44,40,4,1033.0
6:33.0, ,40-46,D. White makes 2-pt layup from 3 ft,,2,46,40,6,1047.0
6:06.0,J. Suggs misses 3-pt jump shot from 27 ft,40-46, ,,2,46,40,6,1074.0
6:04.0, ,40-46,Defensive rebound by J. Tatum,,2,46,40,6,1076.0
5:48.0, ,40-48,J. Tatum makes 2-pt jump shot from 15 ft,,2,48,40,8,1092.0
5:32.0,P. Banchero misses 2-pt layup from 5 ft (block by D. White),40-48, ,,2,48,40,8,1108.0
5:29.0,Offensive rebound by P. Banchero,40-48, ,,2,48,40,8,1111.0
5:28.0,Turnover by P. Banchero (bad pass; steal by J. Holiday),40-48, ,,2,48,40,8,1112.0
5:23.0, ,40-50,J. Brown makes 2-pt dunk from 2 ft (assist by J. Holiday),,2,50,40,10,1117.0
5:08.0,J. Isaac makes 2-pt dunk from 2 ft (assist by F. Wagner),42-50, ,,2,50,42,8,1132.0
4:53.0, ,42-53,J. Holiday makes 3-pt jump shot from 26 ft,,2,53,42,11,1147.0
4:41.0,Personal foul by J. Holiday (drawn by P. Banchero),42-53, ,,2,53,42,11,1159.0
4:41.0,P. Banchero makes free throw 1 of 2,43-53, ,,2,53,43,10,1159.0
4:41.0,A. Black enters the game for J. Isaac,43-53, ,,2,53,43,10,1159.0
4:41.0,P. Banchero misses free throw 2 of 2,43-53, ,,2,53,43,10,1159.0
4:39.0, ,43-53,Defensive rebound by J. Brown,,2,53,43,10,1161.0
4:28.0, ,43-55,J. Brown makes 2-pt dunk from 2 ft (assist by D. White),,2,55,43,12,1172.0
4:04.0,Turnover by F. Wagner (bad pass; steal by S. Hauser),43-55, ,,2,55,43,12,1196.0
3:55.0, ,43-55,J. Tatum misses 3-pt jump shot from 29 ft,,2,55,43,12,1205.0
3:54.0,Defensive rebound by Team,43-55, ,,2,55,43,12,1206.0
3:39.0,C. Houstan misses 3-pt jump shot from 27 ft,43-55, ,,2,55,43,12,1221.0
3:37.0, ,43-55,Defensive rebound by J. Tatum,,2,55,43,12,1223.0
3:30.0, ,43-57,J. Tatum makes 2-pt layup from 2 ft (assist by D. White),,2,57,43,14,1230.0
3:30.0,Orlando full timeout,43-57, ,,2,57,43,14,1230.0
3:30.0,G. Bitadze enters the game for C. Houstan,43-57, ,,2,57,43,14,1230.0
3:13.0,F. Wagner makes 2-pt layup from 3 ft (assist by P. Banchero),45-57, ,,2,57,45,12,1247.0
2:57.0, ,45-60,S. Hauser makes 3-pt jump shot from 28 ft (assist by J. Brown),,2,60,45,15,1263.0
2:45.0,P. Banchero misses 2-pt layup from 7 ft,45-60, ,,2,60,45,15,1275.0
2:41.0,Offensive rebound by G. Bitadze,45-60, ,,2,60,45,15,1279.0
2:41.0,G. Bitadze makes 2-pt layup at rim,47-60, ,,2,60,47,13,1279.0
2:24.0, ,47-60,J. Brown misses 3-pt jump shot from 23 ft,,2,60,47,13,1296.0
2:22.0,Defensive rebound by J. Suggs,47-60, ,,2,60,47,13,1298.0
