Time,Orlando,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:41.0,G. Bitadze makes 2-pt layup from 4 ft (assist by G. Harris),21-16, ,,1,16,21,-5,499.0
3:31.0, ,21-16,J. Brown misses 2-pt layup from 7 ft (block by G. Bitadze),,1,16,21,-5,509.0
3:30.0, ,21-16,Offensive rebound by J. Brown,,1,16,21,-5,510.0
3:24.0, ,21-18,J. Brown makes 2-pt jump shot from 17 ft,,1,18,21,-3,516.0
3:13.0,Shooting foul by A. Horford (drawn by P. Banchero),21-18, ,,1,18,21,-3,527.0
3:13.0,P. Banchero makes free throw 1 of 2,22-18, ,,1,18,22,-4,527.0
3:13.0,F. Wagner enters the game for C. Houstan,22-18, ,,1,18,22,-4,527.0
3:13.0,P. Banchero makes free throw 2 of 2,23-18, ,,1,18,23,-5,527.0
2:59.0,Orlando full timeout,23-18, ,,1,18,23,-5,541.0
2:59.0, ,23-18,P. Pritchard enters the game for J. Brown,,1,18,23,-5,541.0
2:59.0, ,23-18,J. Tatum enters the game for D. White,,1,18,23,-5,541.0
2:48.0, ,23-20,K. Porziņģis makes 2-pt jump shot from 8 ft (assist by J. Tatum),,1,20,23,-3,552.0
2:29.0,P. Banchero makes 3-pt jump shot from 28 ft (assist by G. Harris),26-20, ,,1,20,26,-6,571.0
2:13.0, ,26-22,S. Hauser makes 2-pt jump shot from 5 ft (assist by J. Tatum),,1,22,26,-4,587.0
1:58.0,F. Wagner misses 2-pt layup from 4 ft,26-22, ,,1,22,26,-4,602.0
1:56.0, ,26-22,Defensive rebound by K. Porziņģis,,1,22,26,-4,604.0
1:41.0, ,26-22,Turnover by K. Porziņģis (lost ball; steal by G. Bitadze),,1,22,26,-4,619.0
1:38.0,F. Wagner misses 2-pt layup from 7 ft (block by P. Pritchard),26-22, ,,1,22,26,-4,622.0
1:36.0, ,26-22,Defensive rebound by A. Horford,,1,22,26,-4,624.0
1:33.0, ,26-24,J. Tatum makes 2-pt dunk at rim (assist by A. Horford),,1,24,26,-2,627.0
1:15.0,P. Banchero makes 3-pt jump shot from 28 ft (assist by C. Anthony),29-24, ,,1,24,29,-5,645.0
0:56.0, ,29-27,J. Tatum makes 3-pt jump shot from 28 ft,,1,27,29,-2,664.0
0:45.0,P. Banchero makes 2-pt layup from 6 ft (assist by C. Anthony),31-27, ,,1,27,31,-4,675.0
0:29.0, ,31-27,K. Porziņģis misses 2-pt hook shot from 7 ft,,1,27,31,-4,691.0
0:24.0,Defensive rebound by G. Bitadze,31-27, ,,1,27,31,-4,696.0
0:07.0,Turnover by P. Banchero (bad pass),31-27, ,,1,27,31,-4,713.0
0:07.0,A. Black enters the game for C. Anthony,31-27, ,,1,27,31,-4,713.0
0:07.0,J. Isaac enters the game for P. Banchero,31-27, ,,1,27,31,-4,713.0
0:07.0,M. Wagner enters the game for G. Bitadze,31-27, ,,1,27,31,-4,713.0
0:00.0, ,31-27,S. Hauser misses 3-pt jump shot from 27 ft,,1,27,31,-4,720.0
0:00.0, ,31-27,Offensive rebound by Team,,1,27,31,-4,720.0
0:00.0,End of 1st quarter,31-27,,,1,27,31,-4,720.0
12:00.0,Start of 2nd quarter,31-27,,,2,27,31,-4,720.0
11:44.0, ,31-29,J. Tatum makes 2-pt layup from 2 ft (assist by P. Pritchard),,2,29,31,-2,736.0
11:44.0, ,31-29,Shooting foul by M. Wagner (drawn by J. Tatum),,2,29,31,-2,736.0
11:44.0, ,31-29,J. Tatum misses free throw 1 of 1,,2,29,31,-2,736.0
11:44.0,Defensive rebound by J. Isaac,31-29, ,,2,29,31,-2,736.0
11:32.0,F. Wagner misses 3-pt jump shot from 26 ft,31-29, ,,2,29,31,-2,748.0
11:30.0,Offensive rebound by Team,31-29, ,,2,29,31,-2,750.0
11:28.0,Shooting foul by J. Tatum (drawn by J. Isaac),31-29, ,,2,29,31,-2,752.0
11:28.0,J. Isaac makes free throw 1 of 2,32-29, ,,2,29,32,-3,752.0
11:28.0,J. Isaac makes free throw 2 of 2,33-29, ,,2,29,33,-4,752.0
11:09.0, ,33-29,J. Holiday misses 3-pt jump shot from 24 ft,,2,29,33,-4,771.0
11:07.0, ,33-29,Offensive rebound by S. Hauser,,2,29,33,-4,773.0
11:03.0, ,33-29,Turnover by S. Hauser (back court),,2,29,33,-4,777.0
10:52.0,C. Anthony misses 2-pt jump shot from 16 ft,33-29, ,,2,29,33,-4,788.0
10:49.0, ,33-29,Defensive rebound by J. Holiday,,2,29,33,-4,791.0
10:42.0, ,33-29,J. Tatum misses 3-pt jump shot from 27 ft,,2,29,33,-4,798.0
10:40.0,Defensive rebound by M. Wagner,33-29, ,,2,29,33,-4,800.0
10:37.0,F. Wagner misses 3-pt jump shot from 27 ft,33-29, ,,2,29,33,-4,803.0
10:34.0, ,33-29,Defensive rebound by J. Tatum,,2,29,33,-4,806.0
10:29.0, ,33-31,J. Tatum makes 2-pt layup from 3 ft,,2,31,33,-2,811.0
10:12.0,F. Wagner misses 3-pt jump shot from 27 ft,33-31, ,,2,31,33,-2,828.0
10:09.0, ,33-31,Defensive rebound by P. Pritchard,,2,31,33,-2,831.0
9:53.0, ,33-31,J. Tatum misses 2-pt jump shot from 14 ft,,2,31,33,-2,847.0
9:51.0,Defensive rebound by M. Wagner,33-31, ,,2,31,33,-2,849.0
9:41.0,M. Wagner misses 3-pt jump shot from 27 ft,33-31, ,,2,31,33,-2,859.0
9:37.0, ,33-31,Defensive rebound by S. Hauser,,2,31,33,-2,863.0
9:29.0, ,33-31,S. Hauser misses 3-pt jump shot from 27 ft,,2,31,33,-2,871.0
9:26.0, ,33-31,Offensive rebound by Team,,2,31,33,-2,874.0
9:26.0,Loose ball foul by M. Wagner (drawn by N. Queta),33-31, ,,2,31,33,-2,874.0
9:26.0, ,33-31,Boston full timeout,,2,31,33,-2,874.0
9:26.0, ,33-31,Instant Replay (Challenge: Ruling Stands),,2,31,33,-2,874.0
9:15.0, ,33-31,J. Holiday misses 2-pt hook shot from 7 ft,,2,31,33,-2,885.0
9:14.0, ,33-31,Offensive rebound by P. Pritchard,,2,31,33,-2,886.0
9:09.0, ,33-34,P. Pritchard makes 3-pt jump shot from 24 ft,Lead change,2,34,33,1,891.0
8:48.0,C. Anthony misses 2-pt layup from 6 ft,33-34, ,,2,34,33,1,912.0
8:45.0, ,33-34,Defensive rebound by N. Queta,,2,34,33,1,915.0
8:41.0, ,33-37,J. Holiday makes 3-pt jump shot from 27 ft,,2,37,33,4,919.0
8:18.0,Shooting foul by P. Pritchard (drawn by M. Wagner),33-37, ,,2,37,33,4,942.0
8:18.0,M. Wagner misses free throw 1 of 2,33-37, ,,2,37,33,4,942.0
8:18.0,Offensive rebound by Team,33-37, ,,2,37,33,4,942.0
8:18.0,M. Wagner makes free throw 2 of 2,34-37, ,,2,37,34,3,942.0
8:07.0, ,34-37,Offensive foul by J. Tatum (drawn by M. Wagner),,2,37,34,3,953.0
8:07.0, ,34-37,Turnover by J. Tatum (offensive foul),,2,37,34,3,953.0
8:07.0,Orlando full timeout,34-37, ,,2,37,34,3,953.0
8:07.0,Instant Replay (Challenge: Ruling Stands),34-37, ,,2,37,34,3,953.0
8:07.0,P. Banchero enters the game for M. Wagner,34-37, ,,2,37,34,3,953.0
8:07.0, ,34-37,J. Brown enters the game for S. Hauser,,2,37,34,3,953.0
8:07.0, ,34-37,A. Horford enters the game for J. Tatum,,2,37,34,3,953.0
7:48.0,C. Anthony misses 3-pt jump shot from 26 ft,34-37, ,,2,37,34,3,972.0
7:45.0, ,34-37,Defensive rebound by J. Brown,,2,37,34,3,975.0
7:35.0, ,34-37,N. Queta misses 2-pt hook shot from 7 ft,,2,37,34,3,985.0
7:33.0,Defensive rebound by P. Banchero,34-37, ,,2,37,34,3,987.0
7:30.0,G. Harris misses 3-pt jump shot from 30 ft,34-37, ,,2,37,34,3,990.0
7:27.0, ,34-37,Defensive rebound by J. Holiday,,2,37,34,3,993.0
7:22.0, ,34-39,J. Holiday makes 2-pt layup from 1 ft (assist by J. Brown),,2,39,34,5,998.0
7:05.0,F. Wagner misses 2-pt hook shot from 7 ft,34-39, ,,2,39,34,5,1015.0
7:02.0, ,34-39,Defensive rebound by P. Pritchard,,2,39,34,5,1018.0
6:55.0, ,34-39,P. Pritchard misses 2-pt layup from 5 ft (block by J. Isaac),,2,39,34,5,1025.0
6:52.0,Defensive rebound by P. Banchero,34-39, ,,2,39,34,5,1028.0
6:38.0,C. Anthony makes 2-pt jump shot from 8 ft,36-39, ,,2,39,36,3,1042.0
6:25.0, ,36-39,J. Brown misses 3-pt jump shot from 25 ft,,2,39,36,3,1055.0
6:23.0,Defensive rebound by F. Wagner,36-39, ,,2,39,36,3,1057.0
6:18.0,P. Banchero makes 3-pt jump shot from 27 ft,39-39, ,Tie,2,39,39,0,1062.0
6:01.0, ,39-41,J. Holiday makes 2-pt jump shot from 21 ft,,2,41,39,2,1079.0
5:48.0,P. Banchero makes 2-pt jump shot from 13 ft,41-41, ,Tie,2,41,41,0,1092.0
5:32.0, ,41-43,J. Brown makes 2-pt jump shot from 13 ft,,2,43,41,2,1108.0
5:20.0,F. Wagner misses 3-pt jump shot from 26 ft,41-43, ,,2,43,41,2,1120.0
5:19.0, ,41-43,Defensive rebound by A. Horford,,2,43,41,2,1121.0
5:03.0, ,41-46,A. Horford makes 3-pt jump shot from 26 ft (assist by J. Brown),,2,46,41,5,1137.0
4:45.0,Turnover by C. Anthony (bad pass),41-46, ,,2,46,41,5,1155.0
4:45.0,G. Bitadze enters the game for C. Anthony,41-46, ,,2,46,41,5,1155.0
4:45.0,C. Houstan enters the game for G. Harris,41-46, ,,2,46,41,5,1155.0
4:45.0,J. Suggs enters the game for J. Isaac,41-46, ,,2,46,41,5,1155.0
4:45.0, ,41-46,K. Porziņģis enters the game for P. Pritchard,,2,46,41,5,1155.0
4:45.0, ,41-46,D. White enters the game for N. Queta,,2,46,41,5,1155.0
4:36.0, ,41-48,J. Brown makes 2-pt layup from 2 ft,,2,48,41,7,1164.0
4:18.0,P. Banchero misses 2-pt jump shot from 14 ft,41-48, ,,2,48,41,7,1182.0
4:15.0, ,41-48,Defensive rebound by A. Horford,,2,48,41,7,1185.0
4:04.0, ,41-48,K. Porziņģis misses 2-pt jump shot from 15 ft,,2,48,41,7,1196.0
4:01.0,Defensive rebound by C. Houstan,41-48, ,,2,48,41,7,1199.0
3:41.0,F. Wagner misses 2-pt jump shot from 12 ft (block by D. White),41-48, ,,2,48,41,7,1219.0
3:40.0,Offensive rebound by F. Wagner,41-48, ,,2,48,41,7,1220.0
3:40.0,Shooting foul by D. White (drawn by F. Wagner),41-48, ,,2,48,41,7,1220.0
3:40.0,F. Wagner makes free throw 1 of 2,42-48, ,,2,48,42,6,1220.0
3:40.0,F. Wagner makes free throw 2 of 2,43-48, ,,2,48,43,5,1220.0
3:28.0, ,43-51,J. Brown makes 3-pt jump shot from 25 ft,,2,51,43,8,1232.0
3:12.0,G. Bitadze misses 2-pt layup from 4 ft (block by J. Brown),43-51, ,,2,51,43,8,1248.0
3:10.0, ,43-51,Defensive rebound by D. White,,2,51,43,8,1250.0
3:06.0, ,43-53,K. Porziņģis makes 2-pt dunk from 1 ft (assist by J. Brown),,2,53,43,10,1254.0
3:06.0,Orlando full timeout,43-53, ,,2,53,43,10,1254.0
2:51.0,Turnover by P. Banchero (bad pass; steal by J. Brown),43-53, ,,2,53,43,10,1269.0
2:46.0, ,43-53,A. Horford misses 2-pt layup from 7 ft,,2,53,43,10,1274.0
2:44.0,Defensive rebound by G. Bitadze,43-53, ,,2,53,43,10,1276.0
2:40.0,P. Banchero misses 3-pt jump shot from 24 ft,43-53, ,,2,53,43,10,1280.0
2:38.0,Offensive rebound by F. Wagner,43-53, ,,2,53,43,10,1282.0
2:36.0,J. Suggs makes 3-pt jump shot from 26 ft (assist by F. Wagner),46-53, ,,2,53,46,7,1284.0
2:23.0, ,46-53,Personal foul by G. Bitadze (drawn by J. Brown),,2,53,46,7,1297.0
2:23.0,G. Harris enters the game for F. Wagner,46-53, ,,2,53,46,7,1297.0
2:18.0, ,46-56,D. White makes 3-pt jump shot from 28 ft,,2,56,46,10,1302.0
2:10.0,Offensive foul by G. Bitadze (drawn by D. White),46-56, ,,2,56,46,10,1310.0
2:10.0,Turnover by G. Bitadze (offensive foul),46-56, ,,2,56,46,10,1310.0
1:56.0, ,46-56,Offensive foul by K. Porziņģis (drawn by G. Harris),,2,56,46,10,1324.0
1:56.0, ,46-56,Turnover by K. Porziņģis (offensive foul),,2,56,46,10,1324.0
1:45.0,G. Harris misses 3-pt jump shot from 26 ft,46-56, ,,2,56,46,10,1335.0
1:43.0, ,46-56,Defensive rebound by J. Holiday,,2,56,46,10,1337.0
1:33.0, ,46-56,Shooting foul by G. Harris (drawn by J. Brown),,2,56,46,10,1347.0
1:33.0, ,46-57,J. Brown makes free throw 1 of 2,,2,57,46,11,1347.0
1:33.0, ,46-58,J. Brown makes free throw 2 of 2,,2,58,46,12,1347.0
1:11.0,P. Banchero misses 3-pt jump shot from 27 ft,46-58, ,,2,58,46,12,1369.0
1:07.0, ,46-58,Defensive rebound by J. Brown,,2,58,46,12,1373.0
0:58.0, ,46-61,J. Holiday makes 3-pt jump shot from 23 ft (assist by D. White),,2,61,46,15,1382.0
0:42.0,Personal foul by J. Brown (drawn by P. Banchero),46-61, ,,2,61,46,15,1398.0
0:38.0,J. Suggs makes 2-pt layup from 3 ft (assist by G. Bitadze),48-61, ,,2,61,48,13,1402.0
0:29.0, ,48-61,Turnover by D. White (bad pass),,2,61,48,13,1411.0
0:11.0,P. Banchero makes 2-pt jump shot from 20 ft,50-61, ,,2,61,50,11,1429.0
0:00.0, ,50-61,J. Holiday misses 2-pt layup from 6 ft,,2,61,50,11,1440.0
0:00.0, ,50-61,Offensive rebound by Team,,2,61,50,11,1440.0
0:00.0,End of 2nd quarter,50-61,,,2,61,50,11,1440.0
12:00.0,Start of 3rd quarter,50-61,,,3,61,50,11,1440.0
11:48.0, ,50-64,K. Porziņģis makes 3-pt jump shot from 27 ft (assist by J. Tatum),,3,64,50,14,1452.0
11:19.0,A. Black misses 3-pt jump shot from 24 ft,50-64, ,,3,64,50,14,1481.0
11:16.0, ,50-64,Defensive rebound by K. Porziņģis,,3,64,50,14,1484.0
10:54.0, ,50-64,Turnover by J. Holiday (bad pass),,3,64,50,14,1506.0
10:41.0,J. Suggs makes 2-pt jump shot from 20 ft (assist by A. Black),52-64, ,,3,64,52,12,1519.0
10:29.0, ,52-64,Personal foul by F. Wagner (drawn by K. Porziņģis),,3,64,52,12,1531.0
10:18.0, ,52-64,J. Holiday misses 3-pt jump shot from 27 ft,,3,64,52,12,1542.0
10:15.0,Defensive rebound by F. Wagner,52-64, ,,3,64,52,12,1545.0
10:08.0,G. Bitadze makes 2-pt dunk from 1 ft (assist by F. Wagner),54-64, ,,3,64,54,10,1552.0
9:57.0, ,54-64,Turnover by J. Holiday (bad pass; steal by J. Suggs),,3,64,54,10,1563.0
9:54.0,J. Suggs makes 2-pt layup at rim,56-64, ,,3,64,56,8,1566.0
9:38.0, ,56-64,J. Tatum misses 2-pt layup from 3 ft,,3,64,56,8,1582.0
9:36.0,Defensive rebound by P. Banchero,56-64, ,,3,64,56,8,1584.0
9:19.0,F. Wagner misses 2-pt jump shot from 18 ft,56-64, ,,3,64,56,8,1601.0
9:15.0, ,56-64,Defensive rebound by K. Porziņģis,,3,64,56,8,1605.0
9:10.0, ,56-67,J. Brown makes 3-pt jump shot from 24 ft (assist by D. White),,3,67,56,11,1610.0
8:53.0,P. Banchero misses 2-pt jump shot from 14 ft (block by D. White),56-67, ,,3,67,56,11,1627.0
8:50.0, ,56-67,Defensive rebound by J. Brown,,3,67,56,11,1630.0
8:47.0, ,56-67,J. Brown misses 3-pt jump shot from 24 ft,,3,67,56,11,1633.0
8:44.0,Defensive rebound by F. Wagner,56-67, ,,3,67,56,11,1636.0
8:34.0,J. Suggs misses 3-pt jump shot from 25 ft,56-67, ,,3,67,56,11,1646.0
8:32.0, ,56-67,Defensive rebound by D. White,,3,67,56,11,1648.0
8:22.0, ,56-67,Turnover by K. Porziņģis (bad pass; steal by A. Black),,3,67,56,11,1658.0
8:20.0,A. Black makes 2-pt layup from 2 ft,58-67, ,,3,67,58,9,1660.0
8:20.0,Shooting foul by J. Brown (drawn by A. Black),58-67, ,,3,67,58,9,1660.0
8:20.0,A. Black misses free throw 1 of 1,58-67, ,,3,67,58,9,1660.0
8:17.0,Offensive rebound by G. Bitadze,58-67, ,,3,67,58,9,1663.0
8:17.0,G. Bitadze misses 2-pt layup at rim,58-67, ,,3,67,58,9,1663.0
8:16.0, ,58-67,Defensive rebound by D. White,,3,67,58,9,1664.0
7:59.0, ,58-67,J. Tatum misses 2-pt jump shot from 16 ft,,3,67,58,9,1681.0
7:58.0,Defensive rebound by P. Banchero,58-67, ,,3,67,58,9,1682.0
7:51.0,P. Banchero misses 2-pt layup from 2 ft (block by K. Porziņģis),58-67, ,,3,67,58,9,1689.0
7:48.0,Offensive rebound by A. Black,58-67, ,,3,67,58,9,1692.0
7:48.0,Turnover by J. Suggs (step out of bounds),58-67, ,,3,67,58,9,1692.0
7:48.0, ,58-67,Boston full timeout,,3,67,58,9,1692.0
7:33.0, ,58-67,J. Holiday misses 3-pt jump shot from 27 ft,,3,67,58,9,1707.0
7:31.0,Defensive rebound by J. Suggs,58-67, ,,3,67,58,9,1709.0
7:15.0,P. Banchero makes 2-pt jump shot from 11 ft,60-67, ,,3,67,60,7,1725.0
7:05.0, ,60-67,Personal foul by F. Wagner (drawn by K. Porziņģis),,3,67,60,7,1735.0
6:55.0, ,60-67,J. Brown misses 2-pt jump shot from 14 ft,,3,67,60,7,1745.0
6:52.0,Defensive rebound by J. Suggs,60-67, ,,3,67,60,7,1748.0
6:38.0,Turnover by P. Banchero (lost ball; steal by D. White),60-67, ,,3,67,60,7,1762.0
6:33.0, ,60-69,D. White makes 2-pt layup from 2 ft,,3,69,60,9,1767.0
6:18.0,Personal foul by J. Brown (drawn by P. Banchero),60-69, ,,3,69,60,9,1782.0
6:10.0,F. Wagner makes 2-pt layup from 1 ft,62-69, ,,3,69,62,7,1790.0
5:56.0, ,62-69,Turnover by J. Brown (lost ball; steal by G. Bitadze),,3,69,62,7,1804.0
5:53.0,Shooting foul by K. Porziņģis (drawn by J. Suggs),62-69, ,,3,69,62,7,1807.0
5:53.0,J. Suggs makes free throw 1 of 2,63-69, ,,3,69,63,6,1807.0
5:53.0,G. Harris enters the game for A. Black,63-69, ,,3,69,63,6,1807.0
5:53.0,C. Houstan enters the game for F. Wagner,63-69, ,,3,69,63,6,1807.0
5:53.0,J. Suggs makes free throw 2 of 2,64-69, ,,3,69,64,5,1807.0
5:35.0, ,64-69,D. White misses 3-pt jump shot from 29 ft,,3,69,64,5,1825.0
5:32.0,Defensive rebound by G. Bitadze,64-69, ,,3,69,64,5,1828.0
5:25.0,C. Houstan misses 3-pt jump shot from 26 ft,64-69, ,,3,69,64,5,1835.0
5:22.0,Offensive rebound by C. Houstan,64-69, ,,3,69,64,5,1838.0
5:18.0,Shooting foul by J. Holiday (drawn by P. Banchero),64-69, ,,3,69,64,5,1842.0
5:18.0,P. Banchero misses free throw 1 of 2,64-69, ,,3,69,64,5,1842.0
5:18.0,Offensive rebound by Team,64-69, ,,3,69,64,5,1842.0
5:18.0,P. Banchero makes free throw 2 of 2,65-69, ,,3,69,65,4,1842.0
5:03.0, ,65-69,D. White misses 3-pt jump shot from 27 ft,,3,69,65,4,1857.0
5:01.0, ,65-69,Offensive rebound by K. Porziņģis,,3,69,65,4,1859.0
5:01.0, ,65-71,K. Porziņģis makes 2-pt dunk at rim,,3,71,65,6,1859.0
5:01.0, ,65-71,Shooting foul by J. Suggs (drawn by K. Porziņģis),,3,71,65,6,1859.0
5:01.0, ,65-72,K. Porziņģis makes free throw 1 of 1,,3,72,65,7,1859.0
4:44.0,P. Banchero misses 3-pt jump shot from 26 ft,65-72, ,,3,72,65,7,1876.0
4:42.0, ,65-72,Defensive rebound by J. Tatum,,3,72,65,7,1878.0
4:42.0, ,65-72,Personal foul by C. Houstan (drawn by J. Tatum),,3,72,65,7,1878.0
4:42.0, ,65-72,S. Hauser enters the game for J. Brown,,3,72,65,7,1878.0
4:21.0, ,65-72,D. White misses 3-pt jump shot from 29 ft,,3,72,65,7,1899.0
4:17.0,Defensive rebound by G. Bitadze,65-72, ,,3,72,65,7,1903.0
4:10.0,Turnover by P. Banchero (bad pass; steal by S. Hauser),65-72, ,,3,72,65,7,1910.0
4:01.0, ,65-72,J. Tatum misses 2-pt jump shot from 15 ft,,3,72,65,7,1919.0
