Time,New York,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:46.0, ,16-16,J. Brown makes 2-pt hook shot from 3 ft,Tie,1,16,16,0,374.0
5:29.0,J. Randle misses 3-pt jump shot from 25 ft,16-16, ,,1,16,16,0,391.0
5:26.0,Offensive rebound by M. Robinson,16-16, ,,1,16,16,0,394.0
5:24.0,J. Brunson makes 3-pt jump shot from 27 ft (assist by J. Hart),19-16, ,,1,16,19,-3,396.0
5:11.0, ,19-16,Turnover by J. Brown (bad pass),,1,16,19,-3,409.0
5:11.0,I. Quickley enters the game for J. Hart,19-16, ,,1,16,19,-3,409.0
5:11.0, ,19-16,S. Hauser enters the game for J. Holiday,,1,16,19,-3,409.0
5:02.0,Turnover by J. Brunson (bad pass),19-16, ,,1,16,19,-3,418.0
4:51.0, ,19-16,D. White misses 3-pt jump shot from 28 ft,,1,16,19,-3,429.0
4:49.0,Defensive rebound by Team,19-16, ,,1,16,19,-3,431.0
4:28.0,I. Quickley misses 2-pt jump shot from 20 ft,19-16, ,,1,16,19,-3,452.0
4:25.0,Offensive rebound by J. Randle,19-16, ,,1,16,19,-3,455.0
4:22.0,J. Randle misses 2-pt layup from 3 ft,19-16, ,,1,16,19,-3,458.0
4:21.0, ,19-16,Defensive rebound by Team,,1,16,19,-3,459.0
4:20.0,Loose ball foul by J. Randle (drawn by K. Porziņģis),19-16, ,,1,16,19,-3,460.0
4:20.0,J. Hart enters the game for J. Randle,19-16, ,,1,16,19,-3,460.0
4:09.0, ,19-16,Turnover by D. White (bad pass),,1,16,19,-3,471.0
3:59.0,J. Brunson makes 2-pt jump shot from 17 ft,21-16, ,,1,16,21,-5,481.0
3:39.0, ,21-16,K. Porziņģis misses 2-pt jump shot from 9 ft,,1,16,21,-5,501.0
3:37.0,Defensive rebound by J. Hart,21-16, ,,1,16,21,-5,503.0
3:31.0,I. Quickley misses 2-pt layup from 10 ft,21-16, ,,1,16,21,-5,509.0
3:30.0, ,21-16,Defensive rebound by A. Horford,,1,16,21,-5,510.0
3:23.0, ,21-18,J. Brown makes 2-pt layup from 1 ft,,1,18,21,-3,517.0
3:14.0,New York full timeout,21-18, ,,1,18,21,-3,526.0
3:14.0,D. DiVincenzo enters the game for Q. Grimes,21-18, ,,1,18,21,-3,526.0
3:05.0,I. Quickley misses 3-pt jump shot from 25 ft,21-18, ,,1,18,21,-3,535.0
3:02.0,Offensive rebound by M. Robinson,21-18, ,,1,18,21,-3,538.0
2:57.0,J. Brunson misses 3-pt jump shot from 26 ft,21-18, ,,1,18,21,-3,543.0
2:53.0, ,21-18,Defensive rebound by S. Hauser,,1,18,21,-3,547.0
2:38.0, ,21-20,A. Horford makes 2-pt dunk from 1 ft (assist by S. Hauser),,1,20,21,-1,562.0
2:16.0,J. Brunson misses 2-pt jump shot from 21 ft,21-20, ,,1,20,21,-1,584.0
2:13.0, ,21-20,Defensive rebound by S. Hauser,,1,20,21,-1,587.0
2:02.0, ,21-20,Turnover by J. Brown (lost ball; steal by M. Robinson),,1,20,21,-1,598.0
1:57.0,I. Quickley misses 2-pt layup from 4 ft (block by J. Brown),21-20, ,,1,20,21,-1,603.0
1:55.0,Offensive rebound by J. Hart,21-20, ,,1,20,21,-1,605.0
1:54.0,D. DiVincenzo makes 3-pt jump shot from 26 ft (assist by J. Hart),24-20, ,,1,20,24,-4,606.0
1:34.0, ,24-20,K. Porziņģis misses 3-pt jump shot from 25 ft,,1,20,24,-4,626.0
1:31.0,Defensive rebound by J. Hart,24-20, ,,1,20,24,-4,629.0
1:13.0,J. Hart misses 3-pt jump shot from 24 ft,24-20, ,,1,20,24,-4,647.0
1:09.0, ,24-20,Defensive rebound by S. Hauser,,1,20,24,-4,651.0
1:03.0, ,24-22,J. Brown makes 2-pt dunk from 1 ft (assist by D. White),,1,22,24,-2,657.0
0:39.0,I. Quickley misses 2-pt jump shot from 14 ft,24-22, ,,1,22,24,-2,681.0
0:38.0,Offensive rebound by Team,24-22, ,,1,22,24,-2,682.0
0:38.0, ,24-22,Loose ball foul by J. Brown (drawn by M. Robinson),,1,22,24,-2,682.0
0:38.0,I. Hartenstein enters the game for M. Robinson,24-22, ,,1,22,24,-2,682.0
0:38.0, ,24-22,P. Pritchard enters the game for J. Brown,,1,22,24,-2,682.0
0:38.0, ,24-22,J. Tatum enters the game for D. White,,1,22,24,-2,682.0
0:32.0,J. Hart misses 2-pt jump shot from 18 ft,24-22, ,,1,22,24,-2,688.0
0:29.0, ,24-22,Defensive rebound by K. Porziņģis,,1,22,24,-2,691.0
0:13.0, ,24-25,S. Hauser makes 3-pt jump shot from 24 ft (assist by J. Tatum),Lead change,1,25,24,1,707.0
0:03.0,J. Brunson misses 2-pt jump shot from 14 ft,24-25, ,,1,25,24,1,717.0
0:00.0, ,24-25,Defensive rebound by P. Pritchard,,1,25,24,1,720.0
0:00.0,End of 1st quarter,24-25,,,1,25,24,1,720.0
12:00.0,Start of 2nd quarter,24-25,,,2,25,24,1,720.0
11:42.0,D. DiVincenzo misses 3-pt jump shot from 28 ft,24-25, ,,2,25,24,1,738.0
11:39.0,Offensive rebound by I. Hartenstein,24-25, ,,2,25,24,1,741.0
11:37.0,J. Randle misses 3-pt jump shot from 27 ft,24-25, ,,2,25,24,1,743.0
11:34.0, ,24-25,Defensive rebound by J. Tatum,,2,25,24,1,746.0
11:27.0, ,24-25,J. Tatum misses 3-pt jump shot from 27 ft,,2,25,24,1,753.0
11:25.0,Defensive rebound by I. Quickley,24-25, ,,2,25,24,1,755.0
11:01.0,J. Hart makes 2-pt layup from 7 ft (assist by J. Randle),26-25, ,Lead change,2,25,26,-1,779.0
10:42.0, ,26-25,J. Tatum misses 3-pt jump shot from 26 ft,,2,25,26,-1,798.0
10:40.0,Defensive rebound by J. Randle,26-25, ,,2,25,26,-1,800.0
10:23.0,J. Hart makes 3-pt jump shot from 24 ft (assist by D. DiVincenzo),29-25, ,,2,25,29,-4,817.0
10:09.0, ,29-25,Turnover by J. Holiday (bad pass; steal by I. Quickley),,2,25,29,-4,831.0
9:54.0,J. Randle misses 2-pt layup from 8 ft,29-25, ,,2,25,29,-4,846.0
9:51.0, ,29-25,Defensive rebound by A. Horford,,2,25,29,-4,849.0
9:46.0, ,29-25,Shooting foul by D. DiVincenzo (drawn by J. Tatum),,2,25,29,-4,854.0
9:46.0, ,29-25,J. Tatum misses free throw 1 of 2,,2,25,29,-4,854.0
9:46.0, ,29-25,Offensive rebound by Team,,2,25,29,-4,854.0
9:46.0, ,29-26,J. Tatum makes free throw 2 of 2,,2,26,29,-3,854.0
9:23.0,J. Hart misses 2-pt jump shot from 16 ft,29-26, ,,2,26,29,-3,877.0
9:20.0,Offensive rebound by J. Randle,29-26, ,,2,26,29,-3,880.0
9:19.0,J. Randle makes 2-pt layup from 2 ft,31-26, ,,2,26,31,-5,881.0
9:03.0, ,31-29,S. Hauser makes 3-pt jump shot from 25 ft (assist by P. Pritchard),,2,29,31,-2,897.0
8:52.0,I. Quickley misses 2-pt jump shot from 16 ft,31-29, ,,2,29,31,-2,908.0
8:50.0, ,31-29,Defensive rebound by P. Pritchard,,2,29,31,-2,910.0
8:40.0, ,31-29,J. Tatum misses 3-pt jump shot from 30 ft,,2,29,31,-2,920.0
8:37.0,Defensive rebound by J. Hart,31-29, ,,2,29,31,-2,923.0
8:25.0,J. Randle makes 2-pt jump shot from 13 ft,33-29, ,,2,29,33,-4,935.0
8:25.0,Shooting foul by A. Horford (drawn by J. Randle),33-29, ,,2,29,33,-4,935.0
8:25.0,J. Randle makes free throw 1 of 1,34-29, ,,2,29,34,-5,935.0
8:13.0, ,34-29,J. Holiday misses 2-pt jump shot from 11 ft,,2,29,34,-5,947.0
8:11.0,Defensive rebound by I. Quickley,34-29, ,,2,29,34,-5,949.0
7:54.0,J. Randle misses 2-pt layup from 7 ft,34-29, ,,2,29,34,-5,966.0
7:53.0,Offensive rebound by Team,34-29, ,,2,29,34,-5,967.0
7:51.0,D. DiVincenzo misses 2-pt jump shot from 11 ft,34-29, ,,2,29,34,-5,969.0
7:49.0, ,34-29,Defensive rebound by A. Horford,,2,29,34,-5,971.0
7:36.0, ,34-29,P. Pritchard misses 2-pt jump shot from 22 ft,,2,29,34,-5,984.0
7:34.0,Defensive rebound by I. Quickley,34-29, ,,2,29,34,-5,986.0
7:12.0,I. Hartenstein makes 3-pt jump shot from 28 ft (assist by I. Quickley),37-29, ,,2,29,37,-8,1008.0
6:42.0, ,37-29,J. Holiday misses 2-pt layup from 5 ft,,2,29,37,-8,1038.0
6:39.0, ,37-29,Offensive rebound by J. Holiday,,2,29,37,-8,1041.0
6:37.0, ,37-32,S. Hauser makes 3-pt jump shot from 27 ft (assist by P. Pritchard),,2,32,37,-5,1043.0
6:09.0,Turnover by Team (shot clock),37-32, ,,2,32,37,-5,1071.0
6:09.0, ,37-32,Boston full timeout,,2,32,37,-5,1071.0
6:09.0,J. Brunson enters the game for D. DiVincenzo,37-32, ,,2,32,37,-5,1071.0
6:09.0,M. Robinson enters the game for I. Hartenstein,37-32, ,,2,32,37,-5,1071.0
6:09.0, ,37-32,J. Brown enters the game for A. Horford,,2,32,37,-5,1071.0
6:09.0, ,37-32,K. Porziņģis enters the game for P. Pritchard,,2,32,37,-5,1071.0
5:53.0, ,37-32,S. Hauser misses 3-pt jump shot from 24 ft,,2,32,37,-5,1087.0
5:51.0,Defensive rebound by M. Robinson,37-32, ,,2,32,37,-5,1089.0
5:30.0,I. Quickley makes 3-pt jump shot from 26 ft (assist by M. Robinson),40-32, ,,2,32,40,-8,1110.0
5:22.0, ,40-32,Personal foul by I. Quickley (drawn by J. Tatum),,2,32,40,-8,1118.0
5:12.0, ,40-34,J. Tatum makes 2-pt jump shot from 10 ft,,2,34,40,-6,1128.0
5:12.0, ,40-34,Shooting foul by J. Hart (drawn by J. Tatum),,2,34,40,-6,1128.0
5:12.0, ,40-35,J. Tatum makes free throw 1 of 1,,2,35,40,-5,1128.0
5:01.0,Offensive foul by M. Robinson (drawn by J. Brown),40-35, ,,2,35,40,-5,1139.0
5:01.0,Turnover by M. Robinson (offensive foul),40-35, ,,2,35,40,-5,1139.0
4:48.0, ,40-35,J. Tatum misses 3-pt jump shot from 27 ft,,2,35,40,-5,1152.0
4:44.0, ,40-35,Offensive rebound by J. Tatum,,2,35,40,-5,1156.0
4:39.0, ,40-35,J. Holiday misses 3-pt jump shot from 26 ft,,2,35,40,-5,1161.0
4:36.0,Defensive rebound by I. Quickley,40-35, ,,2,35,40,-5,1164.0
4:22.0,J. Brunson misses 3-pt jump shot from 24 ft,40-35, ,,2,35,40,-5,1178.0
4:19.0, ,40-35,Defensive rebound by J. Tatum,,2,35,40,-5,1181.0
4:14.0, ,40-35,J. Brown misses 2-pt layup from 3 ft,,2,35,40,-5,1186.0
4:12.0,Defensive rebound by J. Hart,40-35, ,,2,35,40,-5,1188.0
4:09.0,Personal foul by J. Tatum (drawn by J. Hart),40-35, ,,2,35,40,-5,1191.0
4:09.0,Q. Grimes enters the game for I. Quickley,40-35, ,,2,35,40,-5,1191.0
4:09.0, ,40-35,D. White enters the game for J. Holiday,,2,35,40,-5,1191.0
4:02.0,J. Brunson makes 2-pt jump shot from 19 ft,42-35, ,,2,35,42,-7,1198.0
3:37.0, ,42-37,K. Porziņģis makes 2-pt jump shot from 8 ft,,2,37,42,-5,1223.0
3:37.0, ,42-37,Shooting foul by M. Robinson (drawn by K. Porziņģis),,2,37,42,-5,1223.0
3:37.0, ,42-37,P. Pritchard enters the game for S. Hauser,,2,37,42,-5,1223.0
3:37.0, ,42-38,K. Porziņģis makes free throw 1 of 1,,2,38,42,-4,1223.0
3:20.0,J. Hart makes 3-pt jump shot from 25 ft (assist by J. Randle),45-38, ,,2,38,45,-7,1240.0
3:06.0, ,45-40,J. Brown makes 2-pt jump shot from 13 ft (assist by J. Tatum),,2,40,45,-5,1254.0
2:57.0,Personal foul by P. Pritchard (drawn by J. Brunson),45-40, ,,2,40,45,-5,1263.0
2:57.0,New York full timeout,45-40, ,,2,40,45,-5,1263.0
2:36.0,J. Randle makes 3-pt jump shot from 27 ft (assist by J. Hart),48-40, ,,2,40,48,-8,1284.0
2:11.0, ,48-43,J. Brown makes 3-pt jump shot from 26 ft (assist by D. White),,2,43,48,-5,1309.0
1:54.0,J. Brunson misses 3-pt jump shot from 30 ft,48-43, ,,2,43,48,-5,1326.0
1:51.0, ,48-43,Defensive rebound by P. Pritchard,,2,43,48,-5,1329.0
1:41.0, ,48-43,J. Brown misses 3-pt jump shot from 26 ft,,2,43,48,-5,1339.0
1:36.0, ,48-43,Offensive rebound by D. White,,2,43,48,-5,1344.0
1:36.0, ,48-43,D. White misses 2-pt layup at rim,,2,43,48,-5,1344.0
1:35.0,Defensive rebound by J. Randle,48-43, ,,2,43,48,-5,1345.0
1:33.0,Q. Grimes makes 3-pt jump shot from 24 ft (assist by J. Brunson),51-43, ,,2,43,51,-8,1347.0
1:15.0, ,51-45,K. Porziņģis makes 2-pt hook shot from 3 ft (assist by J. Brown),,2,45,51,-6,1365.0
0:57.0,J. Brunson misses 2-pt layup from 5 ft (block by D. White),51-45, ,,2,45,51,-6,1383.0
0:57.0, ,51-45,Defensive rebound by J. Brown,,2,45,51,-6,1383.0
0:53.0, ,51-47,J. Tatum makes 2-pt dunk at rim (assist by J. Brown),,2,47,51,-4,1387.0
0:37.0,J. Randle misses 3-pt jump shot from 26 ft,51-47, ,,2,47,51,-4,1403.0
0:37.0, ,51-47,Defensive rebound by J. Tatum,,2,47,51,-4,1403.0
0:32.0, ,51-49,P. Pritchard makes 2-pt layup at rim (assist by J. Tatum),,2,49,51,-2,1408.0
0:07.0,J. Brunson makes 2-pt jump shot from 18 ft,53-49, ,,2,49,53,-4,1433.0
0:00.0, ,53-52,J. Brown makes 3-pt jump shot from 26 ft (assist by J. Tatum),,2,52,53,-1,1440.0
0:00.0, ,53-52,Instant Replay (Request: Ruling Stands),,2,52,53,-1,1440.0
0:00.0,End of 2nd quarter,53-52,,,2,52,53,-1,1440.0
12:00.0,Start of 3rd quarter,53-52,,,3,52,53,-1,1440.0
11:46.0,Q. Grimes misses 3-pt jump shot from 25 ft,53-52, ,,3,52,53,-1,1454.0
11:42.0, ,53-52,Defensive rebound by J. Holiday,,3,52,53,-1,1458.0
11:26.0, ,53-52,Shooting foul by Q. Grimes (drawn by J. Brown),,3,52,53,-1,1474.0
11:26.0, ,53-53,J. Brown makes free throw 1 of 2,Tie,3,53,53,0,1474.0
11:26.0, ,53-54,J. Brown makes free throw 2 of 2,Lead change,3,54,53,1,1474.0
11:21.0,Personal foul by J. Tatum (drawn by J. Hart),53-54, ,,3,54,53,1,1479.0
11:04.0,J. Randle misses 3-pt jump shot from 28 ft,53-54, ,,3,54,53,1,1496.0
10:59.0, ,53-54,Defensive rebound by K. Porziņģis,,3,54,53,1,1501.0
10:50.0, ,53-54,Turnover by J. Tatum (bad pass; steal by J. Brunson),,3,54,53,1,1510.0
10:48.0,Personal foul by D. White (drawn by J. Brunson),53-54, ,,3,54,53,1,1512.0
10:39.0,J. Brunson makes 3-pt jump shot from 25 ft,56-54, ,Lead change,3,54,56,-2,1521.0
10:27.0, ,56-54,Personal foul by J. Randle (drawn by K. Porziņģis),,3,54,56,-2,1533.0
10:17.0, ,56-56,J. Tatum makes 2-pt jump shot from 15 ft,Tie,3,56,56,0,1543.0
10:09.0,Personal foul by J. Holiday (drawn by J. Hart),56-56, ,,3,56,56,0,1551.0
9:53.0,Turnover by J. Randle (bad pass; steal by J. Tatum),56-56, ,,3,56,56,0,1567.0
9:48.0, ,56-56,J. Brown misses 2-pt layup from 6 ft,,3,56,56,0,1572.0
9:48.0,Defensive rebound by Team,56-56, ,,3,56,56,0,1572.0
9:48.0, ,56-56,Loose ball foul by K. Porziņģis (drawn by J. Randle),,3,56,56,0,1572.0
9:24.0,J. Brunson misses 2-pt jump shot from 7 ft,56-56, ,,3,56,56,0,1596.0
9:23.0,Offensive rebound by Team,56-56, ,,3,56,56,0,1597.0
9:23.0,Turnover by Team (shot clock),56-56, ,,3,56,56,0,1597.0
9:07.0, ,56-56,D. White misses 3-pt jump shot from 26 ft,,3,56,56,0,1613.0
9:02.0,Defensive rebound by J. Randle,56-56, ,,3,56,56,0,1618.0
8:48.0,J. Hart misses 3-pt jump shot from 28 ft,56-56, ,,3,56,56,0,1632.0
8:45.0, ,56-56,Defensive rebound by J. Brown,,3,56,56,0,1635.0
8:32.0, ,56-56,D. White misses 2-pt layup from 5 ft,,3,56,56,0,1648.0
8:28.0, ,56-56,Offensive rebound by K. Porziņģis,,3,56,56,0,1652.0
8:28.0, ,56-58,K. Porziņģis makes 2-pt dunk at rim,Lead change,3,58,56,2,1652.0
8:15.0,Shooting foul by K. Porziņģis (drawn by J. Randle),56-58, ,,3,58,56,2,1665.0
8:15.0,J. Randle makes free throw 1 of 2,57-58, ,,3,58,57,1,1665.0
8:15.0,J. Randle makes free throw 2 of 2,58-58, ,Tie,3,58,58,0,1665.0
8:01.0, ,58-58,J. Tatum misses 2-pt layup from 5 ft (block by M. Robinson),,3,58,58,0,1679.0
8:00.0, ,58-58,Offensive rebound by Team,,3,58,58,0,1680.0
7:53.0, ,58-58,J. Tatum misses 3-pt jump shot from 27 ft,,3,58,58,0,1687.0
7:50.0, ,58-58,Offensive rebound by J. Brown,,3,58,58,0,1690.0
7:49.0, ,58-58,J. Brown misses 2-pt dunk from 4 ft (block by M. Robinson),,3,58,58,0,1691.0
7:48.0,Defensive rebound by J. Randle,58-58, ,,3,58,58,0,1692.0
7:39.0, ,58-58,Boston full timeout,,3,58,58,0,1701.0
7:39.0, ,58-58,Instant Replay (Challenge: Ruling Stands),,3,58,58,0,1701.0
7:39.0,Turnover by J. Randle (out of bounds lost ball),58-58, ,,3,58,58,0,1701.0
7:26.0, ,58-61,K. Porziņģis makes 3-pt jump shot from 27 ft (assist by D. White),,3,61,58,3,1714.0
7:00.0,Shooting foul by K. Porziņģis (drawn by J. Randle),58-61, ,,3,61,58,3,1740.0
7:00.0,J. Randle misses free throw 1 of 2,58-61, ,,3,61,58,3,1740.0
7:00.0,Offensive rebound by Team,58-61, ,,3,61,58,3,1740.0
7:00.0,J. Randle makes free throw 2 of 2,59-61, ,,3,61,59,2,1740.0
6:46.0, ,59-61,J. Brown misses 3-pt jump shot from 25 ft,,3,61,59,2,1754.0
6:43.0,Defensive rebound by J. Brunson,59-61, ,,3,61,59,2,1757.0
6:40.0,J. Randle misses 2-pt layup from 1 ft,59-61, ,,3,61,59,2,1760.0
6:40.0, ,59-61,Defensive rebound by K. Porziņģis,,3,61,59,2,1760.0
6:32.0, ,59-63,J. Brown makes 2-pt dunk from 3 ft (assist by D. White),,3,63,59,4,1768.0
6:30.0,New York full timeout,59-63, ,,3,63,59,4,1770.0
6:06.0,Turnover by Team (shot clock),59-63, ,,3,63,59,4,1794.0
5:48.0,Jump ball: J. Hart vs. K. Porziņģis (J. Brunson gains possession),59-63,,,3,63,59,4,1812.0
5:48.0, ,59-63,Turnover by K. Porziņģis (lost ball; steal by J. Hart),,3,63,59,4,1812.0
5:48.0,Personal foul by D. White (drawn by J. Brunson),59-63, ,,3,63,59,4,1812.0
5:48.0,J. Brunson makes free throw 1 of 2,60-63, ,,3,63,60,3,1812.0
5:48.0,J. Brunson makes free throw 2 of 2,61-63, ,,3,63,61,2,1812.0
5:30.0, ,61-63,J. Tatum misses 2-pt jump shot from 19 ft,,3,63,61,2,1830.0
5:28.0,Defensive rebound by M. Robinson,61-63, ,,3,63,61,2,1832.0
5:18.0,Q. Grimes makes 3-pt jump shot from 27 ft (assist by J. Randle),64-63, ,Lead change,3,63,64,-1,1842.0
4:51.0, ,64-65,J. Holiday makes 2-pt hook shot from 7 ft,Lead change,3,65,64,1,1869.0
4:37.0,Q. Grimes makes 3-pt jump shot from 26 ft (assist by J. Brunson),67-65, ,Lead change,3,65,67,-2,1883.0
4:24.0, ,67-65,J. Tatum misses 3-pt jump shot from 26 ft,,3,65,67,-2,1896.0
4:21.0, ,67-65,Offensive rebound by J. Holiday,,3,65,67,-2,1899.0
4:19.0, ,67-68,J. Tatum makes 3-pt jump shot from 25 ft (assist by J. Holiday),Lead change,3,68,67,1,1901.0
4:05.0,J. Brunson misses 2-pt jump shot from 17 ft,67-68, ,,3,68,67,1,1915.0
4:02.0,Offensive rebound by J. Hart,67-68, ,,3,68,67,1,1918.0
4:02.0,Turnover by J. Hart (lost ball),67-68, ,,3,68,67,1,1918.0
4:02.0, ,67-68,Personal foul by J. Hart (drawn by D. White),,3,68,67,1,1918.0
4:02.0, ,67-69,J. Tatum makes free throw 1 of 1,,3,69,67,2,1918.0
4:02.0,I. Quickley enters the game for J. Hart,67-69, ,,3,69,67,2,1918.0
4:02.0, ,67-69,A. Horford enters the game for J. Holiday,,3,69,67,2,1918.0
3:50.0, ,67-72,K. Porziņģis makes 3-pt jump shot from 26 ft (assist by J. Brown),,3,72,67,5,1930.0
3:25.0,J. Randle makes 2-pt layup from 7 ft (assist by Q. Grimes),69-72, ,,3,72,69,3,1955.0
3:16.0, ,69-72,A. Horford misses 3-pt jump shot from 26 ft,,3,72,69,3,1964.0
3:13.0,Defensive rebound by I. Quickley,69-72, ,,3,72,69,3,1967.0
3:05.0,Q. Grimes makes 3-pt jump shot from 24 ft (assist by J. Randle),72-72, ,Tie,3,72,72,0,1975.0
2:49.0, ,72-72,Shooting foul by I. Quickley (drawn by K. Porziņģis),,3,72,72,0,1991.0
2:49.0, ,72-73,K. Porziņģis makes free throw 1 of 3,,3,73,72,1,1991.0
2:49.0, ,72-74,K. Porziņģis makes free throw 2 of 3,,3,74,72,2,1991.0
2:49.0,I. Hartenstein enters the game for M. Robinson,72-74, ,,3,74,72,2,1991.0
2:49.0, ,72-74,S. Hauser enters the game for J. Tatum,,3,74,72,2,1991.0
2:49.0, ,72-74,P. Pritchard enters the game for D. White,,3,74,72,2,1991.0
2:49.0, ,72-75,K. Porziņģis makes free throw 3 of 3,,3,75,72,3,1991.0
2:24.0,J. Brunson misses 3-pt jump shot from 26 ft,72-75, ,,3,75,72,3,2016.0
2:20.0, ,72-75,Defensive rebound by K. Porziņģis,,3,75,72,3,2020.0
2:17.0, ,72-75,Personal foul by Q. Grimes (drawn by J. Brown),,3,75,72,3,2023.0
2:17.0, ,72-76,J. Brown makes free throw 1 of 2,,3,76,72,4,2023.0
2:17.0,D. DiVincenzo enters the game for J. Brunson,72-76, ,,3,76,72,4,2023.0
2:17.0, ,72-76,J. Holiday enters the game for K. Porziņģis,,3,76,72,4,2023.0
2:17.0, ,72-77,J. Brown makes free throw 2 of 2,,3,77,72,5,2023.0
1:55.0,J. Randle makes 2-pt dunk from 1 ft (assist by I. Hartenstein),74-77, ,,3,77,74,3,2045.0
1:43.0, ,74-77,Def 3 sec tech foul by Team,,3,77,74,3,2057.0
1:43.0, ,74-78,J. Holiday makes technical free throw,,3,78,74,4,2057.0
1:32.0, ,74-78,J. Brown misses 3-pt jump shot from 26 ft,,3,78,74,4,2068.0
1:28.0,Defensive rebound by I. Quickley,74-78, ,,3,78,74,4,2072.0
1:21.0,D. DiVincenzo misses 3-pt jump shot from 24 ft,74-78, ,,3,78,74,4,2079.0
1:19.0, ,74-78,Defensive rebound by J. Holiday,,3,78,74,4,2081.0
1:12.0, ,74-81,S. Hauser makes 3-pt jump shot from 28 ft (assist by P. Pritchard),,3,81,74,7,2088.0
0:56.0,I. Quickley misses 2-pt layup from 3 ft,74-81, ,,3,81,74,7,2104.0
