Time,Philadelphia,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:29.0, ,18-21,J. Tatum misses free throw 1 of 2,,1,21,18,3,331.0
6:29.0, ,18-21,Offensive rebound by Team,,1,21,18,3,331.0
6:29.0,R. Covington enters the game for T. Harris,18-21, ,,1,21,18,3,331.0
6:29.0, ,18-21,S. Hauser enters the game for D. White,,1,21,18,3,331.0
6:29.0, ,18-22,J. Tatum makes free throw 2 of 2,,1,22,18,4,331.0
6:06.0,M. Morris misses 2-pt jump shot from 20 ft,18-22, ,,1,22,18,4,354.0
6:04.0, ,18-22,Defensive rebound by A. Horford,,1,22,18,4,356.0
5:59.0, ,18-24,J. Tatum makes 2-pt layup from 3 ft,,1,24,18,6,361.0
5:59.0, ,18-24,Shooting foul by D. Melton (drawn by J. Tatum),,1,24,18,6,361.0
5:59.0, ,18-25,J. Tatum makes free throw 1 of 1,,1,25,18,7,361.0
5:46.0,D. Melton misses 3-pt jump shot from 28 ft,18-25, ,,1,25,18,7,374.0
5:45.0,Offensive rebound by D. Melton,18-25, ,,1,25,18,7,375.0
5:43.0,Shooting foul by S. Hauser (drawn by D. Melton),18-25, ,,1,25,18,7,377.0
5:43.0,D. Melton makes free throw 1 of 2,19-25, ,,1,25,19,6,377.0
5:43.0,K. Martin enters the game for P. Reed,19-25, ,,1,25,19,6,377.0
5:43.0,D. Melton makes free throw 2 of 2,20-25, ,,1,25,20,5,377.0
5:31.0, ,20-25,Turnover by J. Tatum (lost ball; steal by R. Covington),,1,25,20,5,389.0
5:24.0,Turnover by D. Melton (bad pass),20-25, ,,1,25,20,5,396.0
5:15.0, ,20-25,Turnover by J. Brown (lost ball; steal by R. Covington),,1,25,20,5,405.0
5:10.0,R. Covington makes 3-pt jump shot from 27 ft (assist by D. Melton),23-25, ,,1,25,23,2,410.0
4:50.0, ,23-28,S. Hauser makes 3-pt jump shot from 28 ft (assist by J. Tatum),,1,28,23,5,430.0
4:33.0,D. Melton makes 2-pt jump shot from 8 ft,25-28, ,,1,28,25,3,447.0
4:13.0, ,25-28,Turnover by S. Hauser (lost ball; steal by F. Korkmaz),,1,28,25,3,467.0
4:07.0,K. Martin misses 2-pt layup from 4 ft,25-28, ,,1,28,25,3,473.0
4:05.0, ,25-28,Defensive rebound by J. Holiday,,1,28,25,3,475.0
3:55.0, ,25-28,Turnover by J. Tatum (lost ball; steal by K. Martin),,1,28,25,3,485.0
3:50.0, ,25-28,Technical foul by J. Tatum,,1,28,25,3,490.0
3:50.0,M. Morris makes technical free throw,26-28, ,,1,28,26,2,490.0
3:50.0,M. Bamba enters the game for D. Melton,26-28, ,,1,28,26,2,490.0
3:50.0,P. Beverley enters the game for M. Morris,26-28, ,,1,28,26,2,490.0
3:50.0, ,26-28,D. Banton enters the game for A. Horford,,1,28,26,2,490.0
3:50.0, ,26-28,N. Queta enters the game for J. Tatum,,1,28,26,2,490.0
3:44.0,Turnover by M. Bamba (off goaltending),26-28, ,,1,28,26,2,496.0
3:23.0, ,26-30,D. Banton makes 2-pt layup from 5 ft (assist by S. Hauser),,1,30,26,4,517.0
3:23.0, ,26-30,Shooting foul by F. Korkmaz (drawn by D. Banton),,1,30,26,4,517.0
3:23.0, ,26-30,D. Banton misses free throw 1 of 1,,1,30,26,4,517.0
3:22.0, ,26-30,Offensive rebound by N. Queta,,1,30,26,4,518.0
3:22.0, ,26-30,Personal foul by M. Bamba (drawn by N. Queta),,1,30,26,4,518.0
3:22.0, ,26-31,N. Queta makes free throw 1 of 2,,1,31,26,5,518.0
3:22.0, ,26-31,D. White enters the game for J. Holiday,,1,31,26,5,518.0
3:22.0,Philadelphia full timeout,26-31, ,,1,31,26,5,518.0
3:22.0,T. Harris enters the game for K. Martin,26-31, ,,1,31,26,5,518.0
3:22.0, ,26-32,N. Queta makes free throw 2 of 2,,1,32,26,6,518.0
3:10.0,R. Covington makes 3-pt jump shot from 28 ft (assist by P. Beverley),29-32, ,,1,32,29,3,530.0
2:55.0, ,29-32,J. Brown misses 2-pt jump shot from 19 ft,,1,32,29,3,545.0
2:54.0, ,29-32,Offensive rebound by D. Banton,,1,32,29,3,546.0
2:41.0, ,29-32,Turnover by N. Queta (lost ball; steal by R. Covington),,1,32,29,3,559.0
2:32.0,Turnover by P. Beverley (bad pass; steal by J. Brown),29-32, ,,1,32,29,3,568.0
2:25.0, ,29-35,D. White makes 3-pt jump shot from 26 ft (assist by D. Banton),,1,35,29,6,575.0
2:02.0,P. Beverley makes 3-pt jump shot from 27 ft (assist by T. Harris),32-35, ,,1,35,32,3,598.0
1:51.0, ,32-35,Personal foul by F. Korkmaz (drawn by S. Hauser),,1,35,32,3,609.0
1:51.0, ,32-36,S. Hauser makes free throw 1 of 2,,1,36,32,4,609.0
1:51.0,D. Melton enters the game for F. Korkmaz,32-36, ,,1,36,32,4,609.0
1:51.0, ,32-36,P. Pritchard enters the game for J. Brown,,1,36,32,4,609.0
1:51.0, ,32-37,S. Hauser makes free throw 2 of 2,,1,37,32,5,609.0
1:43.0,Personal foul by D. White (drawn by P. Beverley),32-37, ,,1,37,32,5,617.0
1:34.0,P. Beverley misses 2-pt jump shot from 10 ft,32-37, ,,1,37,32,5,626.0
1:32.0,Offensive rebound by M. Bamba,32-37, ,,1,37,32,5,628.0
1:27.0,Shooting foul by D. White (drawn by R. Covington),32-37, ,,1,37,32,5,633.0
1:27.0,Technical foul by N. Nurse,32-37, ,,1,37,32,5,633.0
1:27.0, ,32-38,D. White makes technical free throw,,1,38,32,6,633.0
1:27.0,R. Covington makes free throw 1 of 2,33-38, ,,1,38,33,5,633.0
1:27.0,R. Covington makes free throw 2 of 2,34-38, ,,1,38,34,4,633.0
1:19.0, ,34-38,D. White misses 2-pt jump shot from 12 ft,,1,38,34,4,641.0
1:17.0,Defensive rebound by R. Covington,34-38, ,,1,38,34,4,643.0
1:08.0,R. Covington misses 3-pt jump shot from 28 ft,34-38, ,,1,38,34,4,652.0
1:07.0, ,34-38,Defensive rebound by S. Hauser,,1,38,34,4,653.0
0:52.0, ,34-41,D. White makes 3-pt jump shot from 26 ft (assist by P. Pritchard),,1,41,34,7,668.0
0:39.0,P. Beverley makes 2-pt layup from 4 ft,36-41, ,,1,41,36,5,681.0
0:39.0, ,36-41,Violation by Team (def goaltending),,1,41,36,5,681.0
0:39.0,Shooting foul by S. Hauser (drawn by P. Beverley),36-41, ,,1,41,36,5,681.0
0:39.0,P. Beverley misses free throw 1 of 1,36-41, ,,1,41,36,5,681.0
0:37.0, ,36-41,Defensive rebound by N. Queta,,1,41,36,5,683.0
0:33.0, ,36-41,D. White misses 3-pt jump shot from 26 ft,,1,41,36,5,687.0
0:31.0,Defensive rebound by Team,36-41, ,,1,41,36,5,689.0
0:13.0,D. Melton misses 2-pt layup from 6 ft (block by D. Banton),36-41, ,,1,41,36,5,707.0
0:08.0, ,36-41,Defensive rebound by D. White,,1,41,36,5,712.0
0:02.0, ,36-44,S. Hauser makes 3-pt jump shot from 27 ft (assist by P. Pritchard),,1,44,36,8,718.0
0:00.0,End of 1st quarter,36-44,,,1,44,36,8,720.0
12:00.0,Start of 2nd quarter,36-44,,,2,44,36,8,720.0
11:51.0, ,36-44,J. Holiday misses 2-pt jump shot from 10 ft (block by M. Bamba),,2,44,36,8,729.0
11:50.0, ,36-44,Offensive rebound by Team,,2,44,36,8,730.0
11:43.0, ,36-44,S. Hauser misses 3-pt jump shot from 26 ft,,2,44,36,8,737.0
11:42.0,Defensive rebound by M. Morris,36-44, ,,2,44,36,8,738.0
11:30.0,Personal foul by P. Pritchard (drawn by T. Harris),36-44, ,,2,44,36,8,750.0
11:17.0,M. Morris misses 3-pt jump shot from 24 ft,36-44, ,,2,44,36,8,763.0
11:16.0,Offensive rebound by M. Bamba,36-44, ,,2,44,36,8,764.0
11:15.0,Shooting foul by J. Holiday (drawn by M. Bamba),36-44, ,,2,44,36,8,765.0
11:15.0,M. Bamba misses free throw 1 of 2,36-44, ,,2,44,36,8,765.0
11:15.0,Offensive rebound by Team,36-44, ,,2,44,36,8,765.0
11:15.0,M. Bamba makes free throw 2 of 2,37-44, ,,2,44,37,7,765.0
11:06.0, ,37-44,J. Tatum misses 3-pt jump shot from 27 ft,,2,44,37,7,774.0
11:05.0,Defensive rebound by M. Morris,37-44, ,,2,44,37,7,775.0
10:54.0,M. Morris makes 2-pt jump shot from 21 ft,39-44, ,,2,44,39,5,786.0
10:41.0, ,39-47,J. Tatum makes 3-pt jump shot from 27 ft (assist by J. Holiday),,2,47,39,8,799.0
10:38.0,Philadelphia full timeout,39-47, ,,2,47,39,8,802.0
10:17.0,D. Melton makes 3-pt jump shot from 27 ft,42-47, ,,2,47,42,5,823.0
10:04.0, ,42-47,Turnover by J. Tatum (bad pass; steal by M. Morris),,2,47,42,5,836.0
10:00.0,M. Morris makes 2-pt layup from 2 ft,44-47, ,,2,47,44,3,840.0
9:42.0, ,44-47,P. Pritchard misses 3-pt jump shot from 33 ft,,2,47,44,3,858.0
9:40.0,Defensive rebound by M. Bamba,44-47, ,,2,47,44,3,860.0
9:32.0,Personal foul by N. Queta (drawn by T. Harris),44-47, ,,2,47,44,3,868.0
9:32.0,P. Reed enters the game for M. Bamba,44-47, ,,2,47,44,3,868.0
9:32.0, ,44-47,A. Horford enters the game for N. Queta,,2,47,44,3,868.0
9:24.0,P. Beverley makes 2-pt layup from 4 ft,46-47, ,,2,47,46,1,876.0
9:12.0, ,46-49,A. Horford makes 2-pt jump shot from 16 ft (assist by J. Holiday),,2,49,46,3,888.0
8:58.0,D. Melton makes 3-pt jump shot from 27 ft,49-49, ,Tie,2,49,49,0,902.0
8:39.0, ,49-49,P. Pritchard misses 3-pt jump shot from 28 ft,,2,49,49,0,921.0
8:36.0, ,49-49,Offensive rebound by S. Hauser,,2,49,49,0,924.0
8:27.0, ,49-52,S. Hauser makes 3-pt jump shot from 28 ft (assist by P. Pritchard),,2,52,49,3,933.0
8:08.0,M. Morris misses 2-pt layup from 4 ft (block by S. Hauser),49-52, ,,2,52,49,3,952.0
8:07.0,Offensive rebound by M. Morris,49-52, ,,2,52,49,3,953.0
8:07.0,M. Morris misses 2-pt layup from 2 ft,49-52, ,,2,52,49,3,953.0
8:06.0, ,49-52,Defensive rebound by J. Holiday,,2,52,49,3,954.0
7:57.0, ,49-52,Turnover by J. Tatum (traveling),,2,52,49,3,963.0
7:57.0, ,49-52,J. Brown enters the game for S. Hauser,,2,52,49,3,963.0
7:35.0,P. Reed makes 2-pt dunk from 2 ft (assist by T. Harris),51-52, ,,2,52,51,1,985.0
7:23.0, ,51-52,J. Brown misses 2-pt layup from 4 ft,,2,52,51,1,997.0
7:21.0,Defensive rebound by P. Beverley,51-52, ,,2,52,51,1,999.0
7:18.0,T. Harris makes 2-pt layup from 2 ft (assist by P. Beverley),53-52, ,Lead change,2,52,53,-1,1002.0
7:18.0, ,53-52,Boston full timeout,,2,52,53,-1,1002.0
7:18.0,F. Korkmaz enters the game for P. Beverley,53-52, ,,2,52,53,-1,1002.0
7:18.0,K. Martin enters the game for M. Morris,53-52, ,,2,52,53,-1,1002.0
6:58.0, ,53-52,J. Brown misses 2-pt jump shot from 7 ft,,2,52,53,-1,1022.0
6:57.0,Defensive rebound by Team,53-52, ,,2,52,53,-1,1023.0
6:34.0,F. Korkmaz misses 3-pt jump shot from 27 ft,53-52, ,,2,52,53,-1,1046.0
6:32.0, ,53-52,Defensive rebound by P. Pritchard,,2,52,53,-1,1048.0
6:20.0, ,53-54,A. Horford makes 2-pt jump shot from 6 ft (assist by J. Holiday),Lead change,2,54,53,1,1060.0
6:04.0,D. Melton makes 3-pt jump shot from 27 ft,56-54, ,Lead change,2,54,56,-2,1076.0
5:43.0, ,56-54,J. Holiday misses 3-pt jump shot from 27 ft,,2,54,56,-2,1097.0
5:41.0,Defensive rebound by T. Harris,56-54, ,,2,54,56,-2,1099.0
5:37.0,T. Harris makes 2-pt layup from 6 ft,58-54, ,,2,54,58,-4,1103.0
5:37.0,Shooting foul by A. Horford (drawn by T. Harris),58-54, ,,2,54,58,-4,1103.0
5:37.0,R. Covington enters the game for D. Melton,58-54, ,,2,54,58,-4,1103.0
5:37.0, ,58-54,D. White enters the game for J. Holiday,,2,54,58,-4,1103.0
5:37.0,T. Harris makes free throw 1 of 1,59-54, ,,2,54,59,-5,1103.0
5:24.0, ,59-54,Turnover by J. Tatum (bad pass; steal by R. Covington),,2,54,59,-5,1116.0
5:06.0,P. Reed makes 2-pt hook shot from 11 ft,61-54, ,,2,54,61,-7,1134.0
4:50.0, ,61-56,A. Horford makes 2-pt dunk from 1 ft (assist by P. Pritchard),,2,56,61,-5,1150.0
4:35.0,R. Covington misses 3-pt jump shot from 24 ft,61-56, ,,2,56,61,-5,1165.0
4:33.0, ,61-56,Defensive rebound by J. Brown,,2,56,61,-5,1167.0
4:29.0, ,61-56,Turnover by J. Brown (lost ball; steal by K. Martin),,2,56,61,-5,1171.0
4:27.0,K. Martin misses 2-pt layup from 5 ft (block by J. Tatum),61-56, ,,2,56,61,-5,1173.0
4:26.0, ,61-56,Defensive rebound by Team,,2,56,61,-5,1174.0
4:26.0,P. Beverley enters the game for T. Harris,61-56, ,,2,56,61,-5,1174.0
4:26.0,D. Melton enters the game for F. Korkmaz,61-56, ,,2,56,61,-5,1174.0
4:13.0, ,61-56,Personal foul by P. Reed (drawn by D. White),,2,56,61,-5,1187.0
4:13.0,M. Morris enters the game for P. Reed,61-56, ,,2,56,61,-5,1187.0
4:07.0, ,61-56,J. Brown misses 2-pt layup from 11 ft (block by R. Covington),,2,56,61,-5,1193.0
4:03.0,Defensive rebound by P. Beverley,61-56, ,,2,56,61,-5,1197.0
4:02.0,Turnover by P. Beverley (lost ball; steal by D. White),61-56, ,,2,56,61,-5,1198.0
3:59.0, ,61-58,J. Brown makes 2-pt layup from 2 ft (assist by D. White),,2,58,61,-3,1201.0
3:46.0,R. Covington makes 2-pt hook shot from 3 ft (assist by M. Morris),63-58, ,,2,58,63,-5,1214.0
3:33.0, ,63-58,J. Brown misses 3-pt jump shot from 24 ft,,2,58,63,-5,1227.0
3:31.0,Defensive rebound by K. Martin,63-58, ,,2,58,63,-5,1229.0
3:24.0,Turnover by D. Melton (bad pass; steal by J. Tatum),63-58, ,,2,58,63,-5,1236.0
3:06.0, ,63-61,D. White makes 3-pt jump shot from 27 ft (assist by J. Tatum),,2,61,63,-2,1254.0
2:39.0,M. Morris misses 2-pt jump shot from 21 ft,63-61, ,,2,61,63,-2,1281.0
2:37.0, ,63-61,Defensive rebound by J. Tatum,,2,61,63,-2,1283.0
2:30.0, ,63-61,P. Pritchard misses 3-pt jump shot from 24 ft,,2,61,63,-2,1290.0
2:29.0,Defensive rebound by M. Morris,63-61, ,,2,61,63,-2,1291.0
2:09.0,Shooting foul by A. Horford (drawn by D. Melton),63-61, ,,2,61,63,-2,1311.0
2:09.0,D. Melton makes free throw 1 of 2,64-61, ,,2,61,64,-3,1311.0
2:09.0,T. Harris enters the game for K. Martin,64-61, ,,2,61,64,-3,1311.0
2:09.0, ,64-61,S. Hauser enters the game for A. Horford,,2,61,64,-3,1311.0
2:09.0, ,64-61,J. Holiday enters the game for P. Pritchard,,2,61,64,-3,1311.0
2:09.0,D. Melton misses free throw 2 of 2,64-61, ,,2,61,64,-3,1311.0
2:09.0, ,64-61,Defensive rebound by J. Tatum,,2,61,64,-3,1311.0
1:59.0, ,64-63,J. Brown makes 2-pt jump shot from 10 ft,,2,63,64,-1,1321.0
1:32.0,P. Beverley makes 2-pt jump shot from 12 ft (assist by T. Harris),66-63, ,,2,63,66,-3,1348.0
1:22.0, ,66-63,Personal foul by D. Melton (drawn by J. Brown),,2,63,66,-3,1358.0
1:11.0, ,66-65,D. White makes 2-pt layup from 3 ft,,2,65,66,-1,1369.0
1:11.0, ,66-65,Shooting foul by M. Morris (drawn by D. White),,2,65,66,-1,1369.0
1:11.0, ,66-66,D. White makes free throw 1 of 1,Tie,2,66,66,0,1369.0
1:00.0,Turnover by T. Harris (traveling),66-66, ,,2,66,66,0,1380.0
0:48.0, ,66-66,J. Holiday misses 2-pt layup from 5 ft,,2,66,66,0,1392.0
0:47.0, ,66-66,Offensive rebound by D. White,,2,66,66,0,1393.0
0:46.0, ,66-66,D. White misses 2-pt layup from 1 ft,,2,66,66,0,1394.0
0:45.0,Defensive rebound by D. Melton,66-66, ,,2,66,66,0,1395.0
0:39.0,D. Melton misses 3-pt jump shot from 29 ft,66-66, ,,2,66,66,0,1401.0
0:37.0,Offensive rebound by P. Beverley,66-66, ,,2,66,66,0,1403.0
0:31.0,P. Beverley makes 3-pt jump shot from 28 ft,69-66, ,,2,66,69,-3,1409.0
0:11.0, ,69-69,J. Tatum makes 3-pt jump shot from 28 ft (assist by D. White),Tie,2,69,69,0,1429.0
0:00.0,M. Morris makes 3-pt jump shot from 24 ft (assist by D. Melton),72-69, ,,2,69,72,-3,1440.0
0:00.0,End of 2nd quarter,72-69,,,2,69,72,-3,1440.0
12:00.0,Start of 3rd quarter,72-69,,,3,69,72,-3,1440.0
11:45.0, ,72-69,D. White misses 2-pt layup from 3 ft (block by P. Reed),,3,69,72,-3,1455.0
11:44.0, ,72-69,Offensive rebound by A. Horford,,3,69,72,-3,1456.0
11:44.0, ,72-71,A. Horford makes 2-pt layup from 1 ft,,3,71,72,-1,1456.0
11:24.0,T. Harris makes 3-pt jump shot from 28 ft (assist by P. Reed),75-71, ,,3,71,75,-4,1476.0
11:10.0, ,75-71,J. Brown misses 3-pt jump shot from 27 ft,,3,71,75,-4,1490.0
11:10.0,Defensive rebound by D. Melton,75-71, ,,3,71,75,-4,1490.0
11:00.0,D. Melton misses 3-pt jump shot from 27 ft,75-71, ,,3,71,75,-4,1500.0
10:59.0, ,75-71,Defensive rebound by J. Brown,,3,71,75,-4,1501.0
10:43.0, ,75-71,Shooting foul by D. Melton (drawn by J. Tatum),,3,71,75,-4,1517.0
10:43.0, ,75-72,J. Tatum makes free throw 1 of 2,,3,72,75,-3,1517.0
10:43.0, ,75-73,J. Tatum makes free throw 2 of 2,,3,73,75,-2,1517.0
10:24.0,P. Beverley makes 2-pt hook shot from 8 ft,77-73, ,,3,73,77,-4,1536.0
10:08.0, ,77-75,J. Holiday makes 2-pt layup from 6 ft (assist by A. Horford),,3,75,77,-2,1552.0
9:44.0,T. Harris misses 2-pt layup from 4 ft,77-75, ,,3,75,77,-2,1576.0
9:43.0, ,77-75,Defensive rebound by J. Holiday,,3,75,77,-2,1577.0
9:33.0, ,77-75,Turnover by J. Tatum (lost ball; steal by P. Beverley),,3,75,77,-2,1587.0
9:29.0,D. Melton misses 3-pt jump shot from 28 ft,77-75, ,,3,75,77,-2,1591.0
9:27.0, ,77-75,Defensive rebound by J. Tatum,,3,75,77,-2,1593.0
9:16.0, ,77-77,J. Tatum makes 2-pt layup from 4 ft (assist by D. White),Tie,3,77,77,0,1604.0
8:50.0,P. Beverley misses 3-pt jump shot from 26 ft,77-77, ,,3,77,77,0,1630.0
8:49.0, ,77-77,Defensive rebound by D. White,,3,77,77,0,1631.0
8:41.0, ,77-77,J. Holiday misses 3-pt jump shot from 28 ft,,3,77,77,0,1639.0
8:40.0,Defensive rebound by P. Reed,77-77, ,,3,77,77,0,1640.0
8:25.0,P. Reed misses 2-pt jump shot from 8 ft,77-77, ,,3,77,77,0,1655.0
8:23.0, ,77-77,Defensive rebound by A. Horford,,3,77,77,0,1657.0
8:12.0, ,77-77,J. Brown misses 2-pt layup from 4 ft,,3,77,77,0,1668.0
8:10.0,Defensive rebound by T. Harris,77-77, ,,3,77,77,0,1670.0
8:02.0,Turnover by P. Reed (lost ball; steal by A. Horford),77-77, ,,3,77,77,0,1678.0
7:53.0, ,77-80,J. Brown makes 3-pt jump shot from 24 ft (assist by D. White),Lead change,3,80,77,3,1687.0
7:45.0,Philadelphia full timeout,77-80, ,,3,80,77,3,1695.0
7:45.0, ,77-80,S. Hauser enters the game for J. Tatum,,3,80,77,3,1695.0
7:29.0,T. Harris misses 2-pt jump shot from 11 ft,77-80, ,,3,80,77,3,1711.0
7:28.0, ,77-80,Defensive rebound by A. Horford,,3,80,77,3,1712.0
7:20.0, ,77-80,J. Holiday misses 2-pt hook shot from 8 ft,,3,80,77,3,1720.0
7:18.0,Defensive rebound by M. Morris,77-80, ,,3,80,77,3,1722.0
7:03.0,P. Reed makes 2-pt layup from 3 ft,79-80, ,,3,80,79,1,1737.0
6:46.0, ,79-80,J. Brown misses 2-pt jump shot from 18 ft,,3,80,79,1,1754.0
6:45.0,Defensive rebound by P. Reed,79-80, ,,3,80,79,1,1755.0
6:23.0,M. Morris misses 2-pt jump shot from 18 ft,79-80, ,,3,80,79,1,1777.0
6:20.0, ,79-80,Defensive rebound by D. White,,3,80,79,1,1780.0
6:14.0, ,79-80,Shooting foul by D. Melton (drawn by D. White),,3,80,79,1,1786.0
6:14.0, ,79-81,D. White makes free throw 1 of 2,,3,81,79,2,1786.0
6:14.0,M. Bamba enters the game for D. Melton,79-81, ,,3,81,79,2,1786.0
6:14.0,R. Covington enters the game for M. Morris,79-81, ,,3,81,79,2,1786.0
6:14.0,F. Korkmaz enters the game for P. Reed,79-81, ,,3,81,79,2,1786.0
6:14.0, ,79-81,D. Banton enters the game for J. Holiday,,3,81,79,2,1786.0
6:14.0, ,79-81,L. Kornet enters the game for A. Horford,,3,81,79,2,1786.0
6:14.0, ,79-82,D. White makes free throw 2 of 2,,3,82,79,3,1786.0
5:59.0,R. Covington misses 2-pt jump shot from 9 ft,79-82, ,,3,82,79,3,1801.0
5:57.0, ,79-82,Defensive rebound by D. Banton,,3,82,79,3,1803.0
5:53.0, ,79-84,J. Brown makes 2-pt layup from 4 ft,,3,84,79,5,1807.0
5:33.0,Turnover by T. Harris (bad pass),79-84, ,,3,84,79,5,1827.0
5:24.0, ,79-84,D. White misses 2-pt jump shot from 16 ft,,3,84,79,5,1836.0
5:22.0,Defensive rebound by P. Beverley,79-84, ,,3,84,79,5,1838.0
5:18.0,Shooting foul by D. Banton (drawn by R. Covington),79-84, ,,3,84,79,5,1842.0
5:18.0,R. Covington makes free throw 1 of 2,80-84, ,,3,84,80,4,1842.0
5:18.0,R. Covington makes free throw 2 of 2,81-84, ,,3,84,81,3,1842.0
5:05.0, ,81-84,J. Brown misses 2-pt jump shot from 20 ft,,3,84,81,3,1855.0
5:04.0, ,81-84,Offensive rebound by J. Brown,,3,84,81,3,1856.0
5:03.0, ,81-86,J. Brown makes 2-pt layup from 4 ft,,3,86,81,5,1857.0
5:03.0, ,81-86,Shooting foul by P. Beverley (drawn by J. Brown),,3,86,81,5,1857.0
5:03.0,Philadelphia full timeout,81-86, ,,3,86,81,5,1857.0
5:03.0,Technical foul by P. Beverley,81-86, ,,3,86,81,5,1857.0
5:03.0,Instant Replay (Challenge: Ruling Stands),81-86, ,,3,86,81,5,1857.0
5:03.0, ,81-86,J. Brown misses technical free throw,,3,86,81,5,1857.0
5:03.0, ,81-86,Offensive rebound by Team,,3,86,81,5,1857.0
5:03.0, ,81-87,J. Brown makes free throw 1 of 1,,3,87,81,6,1857.0
4:44.0,Turnover by M. Bamba (bad pass; steal by S. Hauser),81-87, ,,3,87,81,6,1876.0
