Time,Oklahoma City,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:37.0,I. Joe makes 2-pt layup from 6 ft,42-54, ,,2,54,42,12,1283.0
2:35.0, ,42-54,Boston full timeout,,2,54,42,12,1285.0
2:35.0, ,42-54,J. Holiday enters the game for S. Hauser,,2,54,42,12,1285.0
2:27.0, ,42-56,A. Horford makes 2-pt layup from 1 ft (assist by D. White),,2,56,42,14,1293.0
2:10.0,J. Williams misses 3-pt jump shot from 24 ft,42-56, ,,2,56,42,14,1310.0
2:09.0,Offensive rebound by J. Giddey,42-56, ,,2,56,42,14,1311.0
2:08.0,J. Giddey misses 2-pt jump shot from 6 ft,42-56, ,,2,56,42,14,1312.0
2:07.0,Offensive rebound by Team,42-56, ,,2,56,42,14,1313.0
2:06.0,L. Dort misses 2-pt layup from 5 ft (block by A. Horford),42-56, ,,2,56,42,14,1314.0
2:05.0, ,42-56,Defensive rebound by Team,,2,56,42,14,1315.0
2:05.0, ,42-56,Boston full timeout,,2,56,42,14,1315.0
2:05.0, ,42-56,Instant Replay (Challenge: Ruling Stands),,2,56,42,14,1315.0
1:44.0, ,42-58,J. Tatum makes 2-pt layup from 2 ft,,2,58,42,16,1336.0
1:20.0,Shooting foul by J. Brown (drawn by J. Williams),42-58, ,,2,58,42,16,1360.0
1:20.0,J. Williams makes free throw 1 of 2,43-58, ,,2,58,43,15,1360.0
1:20.0,C. Wallace enters the game for K. Williams,43-58, ,,2,58,43,15,1360.0
1:20.0,J. Williams makes free throw 2 of 2,44-58, ,,2,58,44,14,1360.0
1:02.0, ,44-58,J. Holiday misses 3-pt jump shot from 25 ft,,2,58,44,14,1378.0
1:01.0,Defensive rebound by J. Giddey,44-58, ,,2,58,44,14,1379.0
0:55.0,Shooting foul by D. White (drawn by L. Dort),44-58, ,,2,58,44,14,1385.0
0:55.0,L. Dort makes free throw 1 of 2,45-58, ,,2,58,45,13,1385.0
0:55.0,L. Dort makes free throw 2 of 2,46-58, ,,2,58,46,12,1385.0
0:40.0, ,46-61,J. Holiday makes 3-pt jump shot from 24 ft (assist by D. White),,2,61,46,15,1400.0
0:30.0,Shooting foul by D. White (drawn by J. Williams),46-61, ,,2,61,46,15,1410.0
0:30.0,J. Williams makes free throw 1 of 2,47-61, ,,2,61,47,14,1410.0
0:30.0,C. Holmgren enters the game for I. Joe,47-61, ,,2,61,47,14,1410.0
0:30.0, ,47-61,K. Porziņģis enters the game for A. Horford,,2,61,47,14,1410.0
0:30.0,J. Williams misses free throw 2 of 2,47-61, ,,2,61,47,14,1410.0
0:30.0, ,47-61,Defensive rebound by K. Porziņģis,,2,61,47,14,1410.0
