Time,Indiana,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:48.0,Personal foul by K. Porziņģis (drawn by B. Brown),20-28, ,,1,28,20,8,492.0
3:48.0,B. Brown misses free throw 1 of 2,20-28, ,,1,28,20,8,492.0
3:48.0,Offensive rebound by Team,20-28, ,,1,28,20,8,492.0
3:48.0,I. Jackson enters the game for A. Nembhard,20-28, ,,1,28,20,8,492.0
3:48.0,T. McConnell enters the game for M. Turner,20-28, ,,1,28,20,8,492.0
3:48.0, ,20-28,P. Pritchard enters the game for J. Holiday,,1,28,20,8,492.0
3:48.0,B. Brown makes free throw 2 of 2,21-28, ,,1,28,21,7,492.0
3:30.0, ,21-28,Personal foul by A. Nesmith (drawn by K. Porziņģis),,1,28,21,7,510.0
3:30.0, ,21-28,J. Tatum enters the game for J. Brown,,1,28,21,7,510.0
3:30.0, ,21-28,D. White enters the game for K. Porziņģis,,1,28,21,7,510.0
3:21.0, ,21-30,J. Tatum makes 2-pt jump shot from 15 ft,,1,30,21,9,519.0
3:21.0, ,21-30,Shooting foul by T. McConnell (drawn by J. Tatum),,1,30,21,9,519.0
3:21.0, ,21-31,J. Tatum makes free throw 1 of 1,,1,31,21,10,519.0
3:07.0,B. Hield misses 3-pt jump shot from 25 ft,21-31, ,,1,31,21,10,533.0
3:05.0,Offensive rebound by Team,21-31, ,,1,31,21,10,535.0
3:05.0, ,21-31,Loose ball foul by S. Hauser (drawn by I. Jackson),,1,31,21,10,535.0
2:54.0,Turnover by T. McConnell (lost ball; steal by A. Horford),21-31, ,,1,31,21,10,546.0
2:41.0, ,21-33,J. Tatum makes 2-pt jump shot from 16 ft,,1,33,21,12,559.0
2:19.0,I. Jackson makes 2-pt layup from 3 ft (assist by B. Hield),23-33, ,,1,33,23,10,581.0
2:07.0, ,23-36,D. White makes 3-pt jump shot from 26 ft,,1,36,23,13,593.0
1:54.0,T. McConnell makes 2-pt jump shot from 12 ft,25-36, ,,1,36,25,11,606.0
1:36.0, ,25-36,Personal foul by T. McConnell (drawn by J. Tatum),,1,36,25,11,624.0
1:36.0,A. Nembhard enters the game for T. McConnell,25-36, ,,1,36,25,11,624.0
1:23.0, ,25-39,S. Hauser makes 3-pt jump shot from 24 ft (assist by J. Tatum),,1,39,25,14,637.0
1:10.0,A. Nesmith misses 3-pt jump shot from 27 ft,25-39, ,,1,39,25,14,650.0
1:07.0, ,25-39,Defensive rebound by A. Horford,,1,39,25,14,653.0
0:52.0, ,25-39,P. Pritchard misses 2-pt layup from 4 ft,,1,39,25,14,668.0
0:50.0, ,25-39,Offensive rebound by A. Horford,,1,39,25,14,670.0
0:50.0, ,25-39,Personal foul by A. Nesmith (drawn by A. Horford),,1,39,25,14,670.0
0:50.0, ,25-40,A. Horford makes free throw 1 of 2,,1,40,25,15,670.0
0:50.0,B. Mathurin enters the game for B. Brown,25-40, ,,1,40,25,15,670.0
0:50.0,O. Toppin enters the game for A. Nesmith,25-40, ,,1,40,25,15,670.0
0:50.0, ,25-41,A. Horford makes free throw 2 of 2,,1,41,25,16,670.0
0:34.0,A. Nembhard makes 2-pt jump shot from 10 ft,27-41, ,,1,41,27,14,686.0
0:29.0, ,27-41,Turnover by J. Tatum (lost ball; steal by O. Toppin),,1,41,27,14,691.0
0:09.0,A. Nembhard misses 3-pt jump shot from 27 ft,27-41, ,,1,41,27,14,711.0
0:06.0, ,27-41,Defensive rebound by D. White,,1,41,27,14,714.0
0:01.0, ,27-44,D. White makes 3-pt jump shot from 26 ft,,1,44,27,17,719.0
0:00.0,End of 1st quarter,27-44,,,1,44,27,17,720.0
12:00.0,Start of 2nd quarter,27-44,,,2,44,27,17,720.0
11:48.0,A. Nembhard makes 3-pt jump shot from 28 ft (assist by I. Jackson),30-44, ,,2,44,30,14,732.0
11:20.0, ,30-44,J. Tatum misses 3-pt jump shot from 27 ft,,2,44,30,14,760.0
11:18.0, ,30-44,Offensive rebound by A. Horford,,2,44,30,14,762.0
11:17.0, ,30-44,A. Horford misses 2-pt jump shot from 3 ft (block by I. Jackson),,2,44,30,14,763.0
11:17.0, ,30-44,Offensive rebound by Team,,2,44,30,14,763.0
11:17.0, ,30-44,Turnover by Team (shot clock),,2,44,30,14,763.0
11:02.0,Turnover by O. Toppin (bad pass; steal by S. Hauser),30-44, ,,2,44,30,14,778.0
10:57.0, ,30-44,Shooting foul by B. Mathurin (drawn by J. Tatum),,2,44,30,14,783.0
10:57.0, ,30-45,J. Tatum makes free throw 1 of 2,,2,45,30,15,783.0
10:57.0, ,30-46,J. Tatum makes free throw 2 of 2,,2,46,30,16,783.0
10:42.0,A. Nembhard misses 2-pt jump shot from 11 ft,30-46, ,,2,46,30,16,798.0
10:39.0, ,30-46,Defensive rebound by P. Pritchard,,2,46,30,16,801.0
10:32.0, ,30-46,J. Tatum misses 2-pt layup from 11 ft (block by I. Jackson),,2,46,30,16,808.0
10:32.0, ,30-46,Offensive rebound by Team,,2,46,30,16,808.0
10:32.0,T. McConnell enters the game for A. Nembhard,30-46, ,,2,46,30,16,808.0
10:20.0, ,30-48,J. Tatum makes 2-pt jump shot from 17 ft,,2,48,30,18,820.0
10:07.0,T. McConnell makes 2-pt layup from 6 ft,32-48, ,,2,48,32,16,833.0
9:53.0, ,32-48,Shooting foul by B. Hield (drawn by S. Hauser),,2,48,32,16,847.0
9:53.0, ,32-49,S. Hauser makes free throw 1 of 2,,2,49,32,17,847.0
9:53.0,B. Sheppard enters the game for B. Hield,32-49, ,,2,49,32,17,847.0
9:53.0, ,32-50,S. Hauser makes free throw 2 of 2,,2,50,32,18,847.0
9:35.0,T. McConnell makes 2-pt layup from 4 ft,34-50, ,,2,50,34,16,865.0
9:17.0, ,34-52,D. White makes 2-pt jump shot from 19 ft,,2,52,34,18,883.0
9:04.0, ,34-52,Boston full timeout,,2,52,34,18,896.0
9:04.0, ,34-52,Instant Replay (Challenge: Ruling Stands),,2,52,34,18,896.0
9:04.0, ,34-52,O. Brissett enters the game for S. Hauser,,2,52,34,18,896.0
9:02.0,O. Toppin makes 2-pt layup from 5 ft (assist by T. McConnell),36-52, ,,2,52,36,16,898.0
9:02.0, ,36-52,Violation by Team (def goaltending),,2,52,36,16,898.0
8:50.0, ,36-54,P. Pritchard makes 2-pt layup from 1 ft (assist by D. White),,2,54,36,18,910.0
8:43.0,Personal foul by P. Pritchard (drawn by I. Jackson),36-54, ,,2,54,36,18,917.0
8:33.0,I. Jackson misses 2-pt layup from 5 ft (block by A. Horford),36-54, ,,2,54,36,18,927.0
8:31.0, ,36-54,Defensive rebound by J. Tatum,,2,54,36,18,929.0
8:24.0, ,36-54,J. Tatum misses 2-pt layup from 5 ft,,2,54,36,18,936.0
8:21.0, ,36-54,Offensive rebound by J. Tatum,,2,54,36,18,939.0
8:21.0, ,36-54,J. Tatum misses 2-pt layup at rim,,2,54,36,18,939.0
8:21.0, ,36-54,Turnover by J. Tatum (bad pass),,2,54,36,18,939.0
8:16.0,Turnover by I. Jackson (lost ball; steal by O. Brissett),36-54, ,,2,54,36,18,944.0
8:04.0, ,36-56,J. Tatum makes 2-pt layup from 2 ft,,2,56,36,20,956.0
7:42.0,B. Mathurin makes 2-pt layup from 3 ft (assist by B. Sheppard),38-56, ,,2,56,38,18,978.0
7:35.0, ,38-56,Personal foul by B. Sheppard (drawn by D. White),,2,56,38,18,985.0
7:35.0, ,38-56,J. Brown enters the game for A. Horford,,2,56,38,18,985.0
7:35.0, ,38-56,K. Porziņģis enters the game for D. White,,2,56,38,18,985.0
7:30.0, ,38-56,J. Brown misses 2-pt hook shot from 5 ft,,2,56,38,18,990.0
7:26.0,Defensive rebound by T. McConnell,38-56, ,,2,56,38,18,994.0
7:21.0,B. Mathurin misses 3-pt jump shot from 25 ft,38-56, ,,2,56,38,18,999.0
7:18.0, ,38-56,Defensive rebound by J. Brown,,2,56,38,18,1002.0
7:15.0, ,38-56,P. Pritchard misses 3-pt jump shot from 25 ft,,2,56,38,18,1005.0
7:13.0, ,38-56,Offensive rebound by P. Pritchard,,2,56,38,18,1007.0
7:11.0, ,38-58,P. Pritchard makes 2-pt layup from 1 ft,,2,58,38,20,1009.0
7:11.0,Indiana full timeout,38-58, ,,2,58,38,20,1009.0
7:11.0,B. Brown enters the game for I. Jackson,38-58, ,,2,58,38,20,1009.0
7:11.0,B. Hield enters the game for B. Mathurin,38-58, ,,2,58,38,20,1009.0
7:11.0,M. Turner enters the game for B. Sheppard,38-58, ,,2,58,38,20,1009.0
7:11.0, ,38-58,J. Holiday enters the game for J. Tatum,,2,58,38,20,1009.0
7:02.0,M. Turner misses 2-pt layup from 7 ft,38-58, ,,2,58,38,20,1018.0
7:00.0,Offensive rebound by T. McConnell,38-58, ,,2,58,38,20,1020.0
6:55.0,B. Brown misses 3-pt jump shot from 27 ft,38-58, ,,2,58,38,20,1025.0
6:51.0,Offensive rebound by O. Toppin,38-58, ,,2,58,38,20,1029.0
6:48.0,B. Hield misses 3-pt jump shot from 26 ft,38-58, ,,2,58,38,20,1032.0
6:45.0, ,38-58,Defensive rebound by P. Pritchard,,2,58,38,20,1035.0
6:41.0, ,38-58,J. Brown misses 3-pt jump shot from 26 ft,,2,58,38,20,1039.0
6:37.0,Defensive rebound by T. McConnell,38-58, ,,2,58,38,20,1043.0
6:24.0,T. McConnell makes 2-pt jump shot from 12 ft,40-58, ,,2,58,40,18,1056.0
6:15.0, ,40-60,J. Holiday makes 2-pt jump shot from 11 ft,,2,60,40,20,1065.0
5:55.0,M. Turner misses 3-pt jump shot from 27 ft,40-60, ,,2,60,40,20,1085.0
5:52.0, ,40-60,Defensive rebound by J. Holiday,,2,60,40,20,1088.0
5:46.0, ,40-60,J. Holiday misses 2-pt jump shot from 23 ft,,2,60,40,20,1094.0
5:42.0,Defensive rebound by T. McConnell,40-60, ,,2,60,40,20,1098.0
5:37.0,O. Toppin misses 3-pt jump shot from 27 ft,40-60, ,,2,60,40,20,1103.0
5:33.0, ,40-60,Defensive rebound by J. Brown,,2,60,40,20,1107.0
5:28.0, ,40-62,J. Brown makes 2-pt jump shot from 16 ft,,2,62,40,22,1112.0
5:26.0,Indiana full timeout,40-62, ,,2,62,40,22,1114.0
5:26.0,A. Nesmith enters the game for O. Toppin,40-62, ,,2,62,40,22,1114.0
5:10.0,B. Hield makes 2-pt layup from 7 ft (assist by M. Turner),42-62, ,,2,62,42,20,1130.0
5:02.0, ,42-62,J. Brown misses 2-pt layup from 2 ft,,2,62,42,20,1138.0
4:59.0,Defensive rebound by Team,42-62, ,,2,62,42,20,1141.0
4:37.0,T. McConnell misses 2-pt jump shot from 17 ft,42-62, ,,2,62,42,20,1163.0
4:34.0, ,42-62,Defensive rebound by J. Holiday,,2,62,42,20,1166.0
4:26.0, ,42-62,J. Brown misses 2-pt layup from 4 ft,,2,62,42,20,1174.0
4:23.0, ,42-62,Offensive rebound by J. Brown,,2,62,42,20,1177.0
4:23.0, ,42-64,J. Brown makes 2-pt dunk at rim,,2,64,42,22,1177.0
4:12.0,Personal foul by K. Porziņģis (drawn by M. Turner),42-64, ,,2,64,42,22,1188.0
4:12.0, ,42-64,Violation by Team (delay of game),,2,64,42,22,1188.0
4:00.0,B. Hield misses 2-pt layup from 4 ft,42-64, ,,2,64,42,22,1200.0
3:58.0, ,42-64,Defensive rebound by J. Holiday,,2,64,42,22,1202.0
3:53.0, ,42-64,O. Brissett misses 2-pt layup from 1 ft (block by M. Turner),,2,64,42,22,1207.0
3:51.0,Defensive rebound by M. Turner,42-64, ,,2,64,42,22,1209.0
3:48.0,B. Hield makes 3-pt jump shot from 24 ft (assist by A. Nesmith),45-64, ,,2,64,45,19,1212.0
3:30.0, ,45-64,Shooting foul by B. Hield (drawn by K. Porziņģis),,2,64,45,19,1230.0
3:30.0, ,45-65,K. Porziņģis makes free throw 1 of 2,,2,65,45,20,1230.0
3:30.0,A. Nembhard enters the game for T. McConnell,45-65, ,,2,65,45,20,1230.0
3:30.0, ,45-65,J. Tatum enters the game for O. Brissett,,2,65,45,20,1230.0
3:30.0, ,45-65,D. White enters the game for P. Pritchard,,2,65,45,20,1230.0
3:30.0, ,45-66,K. Porziņģis makes free throw 2 of 2,,2,66,45,21,1230.0
3:18.0,A. Nesmith makes 3-pt jump shot from 24 ft (assist by B. Hield),48-66, ,,2,66,48,18,1242.0
3:09.0, ,48-66,D. White misses 3-pt jump shot from 26 ft,,2,66,48,18,1251.0
3:07.0, ,48-66,Offensive rebound by K. Porziņģis,,2,66,48,18,1253.0
3:07.0, ,48-66,K. Porziņģis misses 2-pt dunk at rim,,2,66,48,18,1253.0
3:06.0,Defensive rebound by A. Nembhard,48-66, ,,2,66,48,18,1254.0
3:02.0,B. Brown misses 3-pt jump shot from 26 ft,48-66, ,,2,66,48,18,1258.0
3:00.0, ,48-66,Defensive rebound by J. Brown,,2,66,48,18,1260.0
2:50.0, ,48-66,J. Brown misses 2-pt jump shot from 9 ft,,2,66,48,18,1270.0
2:44.0,Defensive rebound by A. Nembhard,48-66, ,,2,66,48,18,1276.0
2:41.0,A. Nesmith misses 3-pt jump shot from 27 ft,48-66, ,,2,66,48,18,1279.0
2:38.0, ,48-66,Defensive rebound by J. Holiday,,2,66,48,18,1282.0
2:23.0, ,48-66,Shooting foul by B. Hield (drawn by J. Tatum),,2,66,48,18,1297.0
2:23.0, ,48-66,Instant Replay (Request: Ruling Stands),,2,66,48,18,1297.0
2:23.0, ,48-67,J. Tatum makes free throw 1 of 3,,2,67,48,19,1297.0
2:23.0, ,48-68,J. Tatum makes free throw 2 of 3,,2,68,48,20,1297.0
2:23.0,B. Mathurin enters the game for B. Hield,48-68, ,,2,68,48,20,1297.0
2:23.0, ,48-69,J. Tatum makes free throw 3 of 3,,2,69,48,21,1297.0
2:11.0,A. Nesmith makes 2-pt layup from 5 ft,50-69, ,,2,69,50,19,1309.0
1:53.0, ,50-69,J. Tatum misses 2-pt jump shot from 17 ft,,2,69,50,19,1327.0
1:50.0,Defensive rebound by M. Turner,50-69, ,,2,69,50,19,1330.0
1:40.0,M. Turner misses 2-pt hook shot from 10 ft,50-69, ,,2,69,50,19,1340.0
1:37.0, ,50-69,Defensive rebound by K. Porziņģis,,2,69,50,19,1343.0
1:28.0, ,50-72,K. Porziņģis makes 3-pt jump shot from 26 ft (assist by J. Holiday),,2,72,50,22,1352.0
1:16.0,Offensive foul by M. Turner (drawn by K. Porziņģis),50-72, ,,2,72,50,22,1364.0
1:16.0,Turnover by M. Turner (offensive foul),50-72, ,,2,72,50,22,1364.0
1:08.0, ,50-72,Offensive foul by J. Brown (drawn by M. Turner),,2,72,50,22,1372.0
1:08.0, ,50-72,Turnover by J. Brown (offensive foul),,2,72,50,22,1372.0
0:54.0,Personal foul by J. Brown (drawn by A. Nesmith),50-72, ,,2,72,50,22,1386.0
0:46.0,B. Mathurin makes 2-pt layup from 4 ft,52-72, ,,2,72,52,20,1394.0
0:35.0, ,52-75,J. Tatum makes 3-pt jump shot from 27 ft (assist by D. White),,2,75,52,23,1405.0
0:24.0,A. Nembhard makes 2-pt jump shot from 14 ft (assist by M. Turner),54-75, ,,2,75,54,21,1416.0
0:00.0, ,54-75,J. Tatum misses 3-pt jump shot from 26 ft,,2,75,54,21,1440.0
0:00.0, ,54-75,Offensive rebound by Team,,2,75,54,21,1440.0
0:00.0,End of 2nd quarter,54-75,,,2,75,54,21,1440.0
12:00.0,Start of 3rd quarter,54-75,,,3,75,54,21,1440.0
11:48.0,Shooting foul by K. Porziņģis (drawn by A. Nembhard),54-75, ,,3,75,54,21,1452.0
11:48.0,A. Nembhard misses free throw 1 of 2,54-75, ,,3,75,54,21,1452.0
11:48.0,Offensive rebound by Team,54-75, ,,3,75,54,21,1452.0
11:48.0,A. Nembhard makes free throw 2 of 2,55-75, ,,3,75,55,20,1452.0
11:39.0, ,55-75,Offensive foul by D. White (drawn by M. Turner),,3,75,55,20,1461.0
11:39.0, ,55-75,Turnover by D. White (offensive foul),,3,75,55,20,1461.0
11:33.0,A. Nembhard misses 2-pt jump shot from 17 ft,55-75, ,,3,75,55,20,1467.0
11:29.0, ,55-75,Defensive rebound by J. Holiday,,3,75,55,20,1471.0
11:20.0, ,55-75,Shooting foul by O. Toppin (drawn by J. Tatum),,3,75,55,20,1480.0
11:20.0, ,55-76,J. Tatum makes free throw 1 of 2,,3,76,55,21,1480.0
11:20.0, ,55-77,J. Tatum makes free throw 2 of 2,,3,77,55,22,1480.0
11:08.0,A. Nembhard misses 3-pt jump shot from 25 ft,55-77, ,,3,77,55,22,1492.0
11:05.0, ,55-77,Defensive rebound by J. Tatum,,3,77,55,22,1495.0
10:53.0, ,55-80,J. Tatum makes 3-pt jump shot from 24 ft,,3,80,55,25,1507.0
10:43.0,B. Mathurin misses 3-pt jump shot from 27 ft,55-80, ,,3,80,55,25,1517.0
10:39.0, ,55-80,Defensive rebound by J. Holiday,,3,80,55,25,1521.0
10:33.0, ,55-82,K. Porziņģis makes 2-pt dunk from 2 ft (assist by J. Holiday),,3,82,55,27,1527.0
10:33.0,Indiana full timeout,55-82, ,,3,82,55,27,1527.0
10:08.0,A. Nembhard misses 3-pt jump shot from 24 ft,55-82, ,,3,82,55,27,1552.0
10:06.0, ,55-82,Defensive rebound by D. White,,3,82,55,27,1554.0
10:00.0, ,55-82,Turnover by D. White (bad pass),,3,82,55,27,1560.0
9:48.0,B. Brown misses 2-pt jump shot from 14 ft,55-82, ,,3,82,55,27,1572.0
9:46.0, ,55-82,Defensive rebound by J. Tatum,,3,82,55,27,1574.0
9:37.0, ,55-84,J. Brown makes 2-pt jump shot from 16 ft,,3,84,55,29,1583.0
9:37.0,B. Hield enters the game for B. Brown,55-84, ,,3,84,55,29,1583.0
9:37.0,J. Nwora enters the game for B. Mathurin,55-84, ,,3,84,55,29,1583.0
9:19.0,A. Nembhard misses 3-pt jump shot from 27 ft,55-84, ,,3,84,55,29,1601.0
9:16.0, ,55-84,Defensive rebound by J. Holiday,,3,84,55,29,1604.0
9:12.0, ,55-87,J. Holiday makes 3-pt jump shot from 26 ft,,3,87,55,32,1608.0
8:53.0,M. Turner makes 2-pt layup from 4 ft (assist by B. Hield),57-87, ,,3,87,57,30,1627.0
8:42.0, ,57-89,J. Brown makes 2-pt layup from 4 ft,,3,89,57,32,1638.0
8:37.0,Personal foul by J. Tatum (drawn by O. Toppin),57-89, ,,3,89,57,32,1643.0
8:27.0,A. Nembhard misses 2-pt jump shot from 16 ft,57-89, ,,3,89,57,32,1653.0
8:24.0,Offensive rebound by O. Toppin,57-89, ,,3,89,57,32,1656.0
8:19.0,M. Turner misses 3-pt jump shot from 27 ft,57-89, ,,3,89,57,32,1661.0
8:12.0,Offensive rebound by B. Hield,57-89, ,,3,89,57,32,1668.0
8:12.0,B. Hield misses 2-pt layup at rim,57-89, ,,3,89,57,32,1668.0
8:11.0, ,57-89,Defensive rebound by J. Brown,,3,89,57,32,1669.0
8:07.0, ,57-89,Turnover by K. Porziņģis (lost ball; steal by M. Turner),,3,89,57,32,1673.0
8:03.0,O. Toppin makes 2-pt layup from 1 ft (assist by J. Nwora),59-89, ,,3,89,59,30,1677.0
7:48.0, ,59-91,D. White makes 2-pt layup from 5 ft (assist by J. Holiday),,3,91,59,32,1692.0
7:35.0,A. Nembhard misses 3-pt jump shot from 29 ft,59-91, ,,3,91,59,32,1705.0
7:35.0, ,59-91,Defensive rebound by K. Porziņģis,,3,91,59,32,1705.0
7:28.0, ,59-94,D. White makes 3-pt jump shot from 27 ft (assist by J. Holiday),,3,94,59,35,1712.0
7:01.0,A. Nembhard makes 2-pt jump shot from 10 ft,61-94, ,,3,94,61,33,1739.0
6:49.0, ,61-94,K. Porziņģis misses 2-pt layup from 5 ft,,3,94,61,33,1751.0
6:46.0,Defensive rebound by M. Turner,61-94, ,,3,94,61,33,1754.0
6:44.0,J. Nwora makes 2-pt layup from 1 ft (assist by B. Hield),63-94, ,,3,94,63,31,1756.0
6:44.0, ,63-94,Boston full timeout,,3,94,63,31,1756.0
6:44.0,T. McConnell enters the game for A. Nembhard,63-94, ,,3,94,63,31,1756.0
6:44.0,A. Nesmith enters the game for O. Toppin,63-94, ,,3,94,63,31,1756.0
6:26.0, ,63-94,K. Porziņģis misses 3-pt jump shot from 28 ft,,3,94,63,31,1774.0
6:24.0,Defensive rebound by B. Hield,63-94, ,,3,94,63,31,1776.0
6:12.0,T. McConnell misses 3-pt jump shot from 26 ft,63-94, ,,3,94,63,31,1788.0
6:09.0, ,63-94,Defensive rebound by K. Porziņģis,,3,94,63,31,1791.0
6:03.0, ,63-94,J. Holiday misses 3-pt jump shot from 24 ft,,3,94,63,31,1797.0
5:59.0,Defensive rebound by T. McConnell,63-94, ,,3,94,63,31,1801.0
5:49.0,M. Turner misses 2-pt jump shot from 7 ft,63-94, ,,3,94,63,31,1811.0
5:48.0, ,63-94,Defensive rebound by K. Porziņģis,,3,94,63,31,1812.0
5:39.0, ,63-94,Shooting foul by A. Nesmith (drawn by J. Brown),,3,94,63,31,1821.0
5:39.0, ,63-95,J. Brown makes free throw 1 of 2,,3,95,63,32,1821.0
5:39.0,I. Jackson enters the game for M. Turner,63-95, ,,3,95,63,32,1821.0
5:39.0, ,63-96,J. Brown makes free throw 2 of 2,,3,96,63,33,1821.0
5:27.0,Shooting foul by D. White (drawn by T. McConnell),63-96, ,,3,96,63,33,1833.0
5:27.0,T. McConnell makes free throw 1 of 2,64-96, ,,3,96,64,32,1833.0
