Time,Atlanta,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:09.0,Defensive rebound by S. Bey,16-16, ,,1,16,16,0,411.0
4:58.0,D. Hunter makes 3-pt jump shot from 26 ft,19-16, ,,1,16,19,-3,422.0
4:58.0,Shooting foul by S. Hauser (drawn by D. Hunter),19-16, ,,1,16,19,-3,422.0
4:58.0,D. Hunter makes free throw 1 of 1,20-16, ,,1,16,20,-4,422.0
4:48.0, ,20-16,Turnover by D. White (bad pass; steal by P. Mills),,1,16,20,-4,432.0
4:43.0,D. Hunter misses 3-pt jump shot from 25 ft,20-16, ,,1,16,20,-4,437.0
4:42.0, ,20-16,Defensive rebound by D. White,,1,16,20,-4,438.0
4:33.0, ,20-18,J. Brown makes 2-pt jump shot from 4 ft,,1,18,20,-2,447.0
4:17.0,B. Bogdanović misses 2-pt jump shot from 18 ft,20-18, ,,1,18,20,-2,463.0
4:14.0,Offensive rebound by O. Okongwu,20-18, ,,1,18,20,-2,466.0
4:10.0,S. Bey makes 3-pt jump shot from 24 ft (assist by O. Okongwu),23-18, ,,1,18,23,-5,470.0
3:50.0, ,23-20,J. Brown makes 2-pt layup from 3 ft,,1,20,23,-3,490.0
3:39.0,S. Bey misses 3-pt jump shot from 24 ft,23-20, ,,1,20,23,-3,501.0
3:38.0, ,23-20,Defensive rebound by S. Hauser,,1,20,23,-3,502.0
3:37.0, ,23-20,Personal foul by S. Bey (drawn by L. Kornet),,1,20,23,-3,503.0
3:37.0, ,23-21,K. Porziņģis makes free throw 1 of 1,,1,21,23,-2,503.0
3:37.0,J. Johnson enters the game for S. Bey,23-21, ,,1,21,23,-2,503.0
3:37.0,G. Mathews enters the game for B. Bogdanović,23-21, ,,1,21,23,-2,503.0
3:37.0,T. Young enters the game for P. Mills,23-21, ,,1,21,23,-2,503.0
3:29.0, ,23-23,L. Kornet makes 2-pt dunk from 1 ft (assist by D. White),Tie,1,23,23,0,511.0
3:10.0,Shooting foul by K. Porziņģis (drawn by D. Hunter),23-23, ,,1,23,23,0,530.0
3:10.0,D. Hunter makes free throw 1 of 2,24-23, ,,1,23,24,-1,530.0
3:10.0, ,24-23,J. Tatum enters the game for J. Brown,,1,23,24,-1,530.0
3:10.0,D. Hunter makes free throw 2 of 2,25-23, ,,1,23,25,-2,530.0
2:58.0, ,25-25,K. Porziņģis makes 2-pt jump shot from 14 ft (assist by D. White),Tie,1,25,25,0,542.0
2:44.0,T. Young makes 2-pt layup from 3 ft,27-25, ,,1,25,27,-2,556.0
2:35.0, ,27-25,Personal foul by D. Hunter (drawn by L. Kornet),,1,25,27,-2,565.0
2:35.0,Atlanta full timeout,27-25, ,,1,25,27,-2,565.0
2:35.0,B. Fernando enters the game for O. Okongwu,27-25, ,,1,25,27,-2,565.0
2:35.0, ,27-25,A. Horford enters the game for K. Porziņģis,,1,25,27,-2,565.0
2:35.0, ,27-25,P. Pritchard enters the game for D. White,,1,25,27,-2,565.0
2:20.0, ,27-27,J. Tatum makes 2-pt jump shot from 14 ft (assist by A. Horford),Tie,1,27,27,0,580.0
2:04.0,T. Young makes 3-pt jump shot from 27 ft,30-27, ,,1,27,30,-3,596.0
1:49.0, ,30-27,Shooting foul by D. Hunter (drawn by J. Tatum),,1,27,30,-3,611.0
1:49.0, ,30-28,J. Tatum makes free throw 1 of 2,,1,28,30,-2,611.0
1:49.0, ,30-29,J. Tatum makes free throw 2 of 2,,1,29,30,-1,611.0
1:37.0,T. Young misses 3-pt jump shot from 27 ft,30-29, ,,1,29,30,-1,623.0
1:36.0, ,30-29,Defensive rebound by Team,,1,29,30,-1,624.0
1:25.0, ,30-29,Offensive foul by J. Tatum (drawn by T. Young),,1,29,30,-1,635.0
1:25.0, ,30-29,Turnover by J. Tatum (offensive foul),,1,29,30,-1,635.0
1:19.0,Offensive foul by D. Hunter (drawn by J. Tatum),30-29, ,,1,29,30,-1,641.0
1:19.0,Turnover by D. Hunter (offensive foul),30-29, ,,1,29,30,-1,641.0
1:07.0, ,30-29,J. Tatum misses 3-pt jump shot from 26 ft,,1,29,30,-1,653.0
1:06.0,Defensive rebound by B. Fernando,30-29, ,,1,29,30,-1,654.0
0:56.0,B. Fernando makes 2-pt layup from 4 ft (assist by T. Young),32-29, ,,1,29,32,-3,664.0
0:48.0, ,32-32,S. Hauser makes 3-pt jump shot from 25 ft (assist by J. Tatum),Tie,1,32,32,0,672.0
0:39.0,T. Young makes 3-pt jump shot from 27 ft,35-32, ,,1,32,35,-3,681.0
0:31.0, ,35-32,P. Pritchard misses 3-pt jump shot from 27 ft,,1,32,35,-3,689.0
0:29.0,Defensive rebound by B. Fernando,35-32, ,,1,32,35,-3,691.0
0:06.0,B. Fernando makes 2-pt dunk from 2 ft (assist by J. Johnson),37-32, ,,1,32,37,-5,714.0
0:02.0, ,37-35,J. Tatum makes 3-pt jump shot from 27 ft,,1,35,37,-2,718.0
0:00.0,T. Young misses 3-pt jump shot from 53 ft,37-35, ,,1,35,37,-2,720.0
0:00.0,Offensive rebound by Team,37-35, ,,1,35,37,-2,720.0
0:00.0,End of 1st quarter,37-35,,,1,35,37,-2,720.0
12:00.0,Start of 2nd quarter,37-35,,,2,35,37,-2,720.0
12:00.0,Instant Replay,37-35, ,,2,35,37,-2,720.0
12:00.0, ,37-35,O. Brissett enters the game for L. Kornet,,2,35,37,-2,720.0
11:43.0,Turnover by J. Johnson (bad pass; steal by P. Pritchard),37-35, ,,2,35,37,-2,737.0
11:41.0, ,37-37,P. Pritchard makes 2-pt layup from 2 ft (assist by O. Brissett),Tie,2,37,37,0,739.0
11:41.0,Violation by Team (def goaltending),37-37, ,,2,37,37,0,739.0
11:30.0,Turnover by T. Young (lost ball; steal by A. Horford),37-37, ,,2,37,37,0,750.0
11:27.0, ,37-39,A. Horford makes 2-pt dunk from 2 ft,Lead change,2,39,37,2,753.0
11:10.0,T. Young makes 2-pt layup from 4 ft,39-39, ,Tie,2,39,39,0,770.0
10:57.0, ,39-42,A. Horford makes 3-pt jump shot from 26 ft (assist by J. Tatum),,2,42,39,3,783.0
10:42.0,B. Fernando misses 2-pt jump shot from 7 ft,39-42, ,,2,42,39,3,798.0
10:40.0,Offensive rebound by B. Fernando,39-42, ,,2,42,39,3,800.0
10:34.0,T. Young makes 2-pt jump shot from 12 ft (assist by B. Fernando),41-42, ,,2,42,41,1,806.0
10:16.0, ,41-42,Offensive foul by P. Pritchard (drawn by D. Hunter),,2,42,41,1,824.0
10:16.0, ,41-42,Turnover by P. Pritchard (offensive foul),,2,42,41,1,824.0
10:10.0,D. Hunter makes 2-pt layup from 4 ft (assist by T. Young),43-42, ,Lead change,2,42,43,-1,830.0
10:00.0, ,43-42,J. Tatum misses 3-pt jump shot from 25 ft,,2,42,43,-1,840.0
10:00.0,Defensive rebound by T. Young,43-42, ,,2,42,43,-1,840.0
9:43.0,J. Johnson makes 3-pt jump shot from 27 ft (assist by T. Young),46-42, ,,2,42,46,-4,857.0
9:21.0, ,46-44,J. Tatum makes 2-pt layup from 1 ft (assist by A. Horford),,2,44,46,-2,879.0
9:03.0,T. Young misses 3-pt jump shot from 27 ft (block by A. Horford),46-44, ,,2,44,46,-2,897.0
9:02.0, ,46-44,Defensive rebound by J. Tatum,,2,44,46,-2,898.0
8:55.0, ,46-44,Shooting foul by G. Mathews (drawn by O. Brissett),,2,44,46,-2,905.0
8:55.0, ,46-45,O. Brissett makes free throw 1 of 2,,2,45,46,-1,905.0
8:55.0,B. Bogdanović enters the game for J. Johnson,46-45, ,,2,45,46,-1,905.0
8:55.0,P. Mills enters the game for T. Young,46-45, ,,2,45,46,-1,905.0
8:55.0, ,46-46,O. Brissett makes free throw 2 of 2,Tie,2,46,46,0,905.0
8:41.0,Shooting foul by A. Horford (drawn by B. Fernando),46-46, ,,2,46,46,0,919.0
8:41.0,B. Fernando makes free throw 1 of 2,47-46, ,,2,46,47,-1,919.0
8:41.0,B. Fernando makes free throw 2 of 2,48-46, ,,2,46,48,-2,919.0
8:19.0, ,48-49,A. Horford makes 3-pt jump shot from 24 ft (assist by O. Brissett),Lead change,2,49,48,1,941.0
8:04.0,B. Fernando misses 2-pt layup from 7 ft,48-49, ,,2,49,48,1,956.0
8:03.0, ,48-49,Defensive rebound by S. Hauser,,2,49,48,1,957.0
7:43.0, ,48-49,A. Horford misses 3-pt jump shot from 26 ft,,2,49,48,1,977.0
7:42.0, ,48-49,Offensive rebound by S. Hauser,,2,49,48,1,978.0
7:42.0, ,48-49,S. Hauser misses 2-pt layup at rim,,2,49,48,1,978.0
7:41.0, ,48-49,Offensive rebound by S. Hauser,,2,49,48,1,979.0
7:40.0, ,48-51,S. Hauser makes 2-pt layup at rim,,2,51,48,3,980.0
7:38.0,Atlanta full timeout,48-51, ,,2,51,48,3,982.0
7:38.0,S. Bey enters the game for B. Fernando,48-51, ,,2,51,48,3,982.0
7:38.0,J. Johnson enters the game for D. Hunter,48-51, ,,2,51,48,3,982.0
7:38.0,O. Okongwu enters the game for G. Mathews,48-51, ,,2,51,48,3,982.0
7:38.0, ,48-51,J. Brown enters the game for S. Hauser,,2,51,48,3,982.0
7:38.0, ,48-51,L. Kornet enters the game for A. Horford,,2,51,48,3,982.0
7:38.0, ,48-51,D. White enters the game for P. Pritchard,,2,51,48,3,982.0
7:26.0,Shooting foul by L. Kornet (drawn by O. Okongwu),48-51, ,,2,51,48,3,994.0
7:26.0,O. Okongwu makes free throw 1 of 2,49-51, ,,2,51,49,2,994.0
7:26.0,O. Okongwu makes free throw 2 of 2,50-51, ,,2,51,50,1,994.0
7:15.0, ,50-51,D. White misses 3-pt jump shot from 27 ft,,2,51,50,1,1005.0
7:11.0,Defensive rebound by Team,50-51, ,,2,51,50,1,1009.0
6:53.0,S. Bey misses 2-pt jump shot from 10 ft,50-51, ,,2,51,50,1,1027.0
6:52.0, ,50-51,Defensive rebound by J. Tatum,,2,51,50,1,1028.0
6:41.0, ,50-51,O. Brissett misses 3-pt jump shot from 23 ft,,2,51,50,1,1039.0
6:39.0,Defensive rebound by P. Mills,50-51, ,,2,51,50,1,1041.0
6:33.0,O. Okongwu makes 2-pt dunk from 3 ft (assist by P. Mills),52-51, ,Lead change,2,51,52,-1,1047.0
6:14.0, ,52-51,J. Tatum misses 3-pt jump shot from 25 ft,,2,51,52,-1,1066.0
6:11.0,Defensive rebound by J. Johnson,52-51, ,,2,51,52,-1,1069.0
6:03.0,J. Johnson makes 2-pt jump shot from 3 ft,54-51, ,,2,51,54,-3,1077.0
6:03.0, ,54-51,Boston full timeout,,2,51,54,-3,1077.0
6:03.0,T. Young enters the game for P. Mills,54-51, ,,2,51,54,-3,1077.0
6:03.0, ,54-51,S. Hauser enters the game for O. Brissett,,2,51,54,-3,1077.0
6:03.0, ,54-51,K. Porziņģis enters the game for J. Tatum,,2,51,54,-3,1077.0
5:49.0, ,54-53,J. Brown makes 2-pt layup from 1 ft (assist by D. White),,2,53,54,-1,1091.0
5:49.0, ,54-53,Shooting foul by O. Okongwu (drawn by J. Brown),,2,53,54,-1,1091.0
5:49.0, ,54-54,J. Brown makes free throw 1 of 1,Tie,2,54,54,0,1091.0
5:34.0,J. Johnson misses 3-pt jump shot from 23 ft,54-54, ,,2,54,54,0,1106.0
5:33.0, ,54-54,Defensive rebound by J. Brown,,2,54,54,0,1107.0
5:23.0, ,54-56,J. Brown makes 2-pt layup from 1 ft,Lead change,2,56,54,2,1117.0
5:11.0,O. Okongwu makes 3-pt jump shot from 23 ft (assist by S. Bey),57-56, ,Lead change,2,56,57,-1,1129.0
4:55.0, ,57-56,J. Brown misses 3-pt jump shot from 31 ft,,2,56,57,-1,1145.0
4:54.0,Defensive rebound by J. Johnson,57-56, ,,2,56,57,-1,1146.0
4:44.0,S. Bey misses 2-pt layup from 6 ft (block by L. Kornet),57-56, ,,2,56,57,-1,1156.0
4:43.0,Offensive rebound by S. Bey,57-56, ,,2,56,57,-1,1157.0
4:42.0,S. Bey makes 2-pt layup from 2 ft,59-56, ,,2,56,59,-3,1158.0
4:31.0, ,59-58,D. White makes 2-pt layup from 3 ft,,2,58,59,-1,1169.0
4:17.0,S. Bey makes 3-pt jump shot from 25 ft (assist by O. Okongwu),62-58, ,,2,58,62,-4,1183.0
4:01.0, ,62-60,J. Brown makes 2-pt layup from 2 ft,,2,60,62,-2,1199.0
3:46.0,T. Young misses 2-pt jump shot from 10 ft,62-60, ,,2,60,62,-2,1214.0
3:44.0,Offensive rebound by O. Okongwu,62-60, ,,2,60,62,-2,1216.0
3:40.0,B. Bogdanović misses 2-pt jump shot from 10 ft,62-60, ,,2,60,62,-2,1220.0
3:39.0,Offensive rebound by B. Bogdanović,62-60, ,,2,60,62,-2,1221.0
3:33.0,J. Johnson misses 3-pt jump shot from 27 ft,62-60, ,,2,60,62,-2,1227.0
3:31.0, ,62-60,Defensive rebound by D. White,,2,60,62,-2,1229.0
3:19.0, ,62-62,K. Porziņģis makes 2-pt layup from 3 ft (assist by J. Brown),Tie,2,62,62,0,1241.0
3:00.0,J. Johnson misses 2-pt layup from 4 ft,62-62, ,,2,62,62,0,1260.0
2:58.0, ,62-62,Defensive rebound by Team,,2,62,62,0,1262.0
2:58.0, ,62-62,A. Horford enters the game for S. Hauser,,2,62,62,0,1262.0
2:58.0, ,62-62,J. Tatum enters the game for L. Kornet,,2,62,62,0,1262.0
2:44.0, ,62-62,Shooting foul by O. Okongwu (drawn by K. Porziņģis),,2,62,62,0,1276.0
2:44.0, ,62-62,K. Porziņģis misses free throw 1 of 2,,2,62,62,0,1276.0
2:44.0, ,62-62,Offensive rebound by Team,,2,62,62,0,1276.0
2:44.0, ,62-63,K. Porziņģis makes free throw 2 of 2,Lead change,2,63,62,1,1276.0
2:33.0,B. Bogdanović misses 3-pt jump shot from 28 ft,62-63, ,,2,63,62,1,1287.0
2:32.0, ,62-63,Defensive rebound by J. Tatum,,2,63,62,1,1288.0
2:18.0, ,62-63,A. Horford misses 3-pt jump shot from 23 ft,,2,63,62,1,1302.0
2:17.0,Defensive rebound by S. Bey,62-63, ,,2,63,62,1,1303.0
2:08.0,T. Young misses 2-pt jump shot from 9 ft,62-63, ,,2,63,62,1,1312.0
2:07.0,Offensive rebound by O. Okongwu,62-63, ,,2,63,62,1,1313.0
2:07.0,O. Okongwu misses 2-pt layup from 2 ft (block by D. White),62-63, ,,2,63,62,1,1313.0
2:06.0, ,62-63,Defensive rebound by A. Horford,,2,63,62,1,1314.0
1:49.0, ,62-63,J. Tatum misses 2-pt jump shot from 12 ft,,2,63,62,1,1331.0
1:47.0,Defensive rebound by S. Bey,62-63, ,,2,63,62,1,1333.0
1:41.0,B. Bogdanović misses 2-pt layup from 5 ft,62-63, ,,2,63,62,1,1339.0
1:40.0,Offensive rebound by O. Okongwu,62-63, ,,2,63,62,1,1340.0
1:40.0,O. Okongwu makes 2-pt layup at rim,64-63, ,Lead change,2,63,64,-1,1340.0
1:32.0, ,64-65,D. White makes 2-pt layup from 1 ft,Lead change,2,65,64,1,1348.0
1:25.0,Turnover by T. Young (bad pass; steal by J. Tatum),64-65, ,,2,65,64,1,1355.0
1:19.0, ,64-65,J. Tatum misses 3-pt jump shot from 26 ft,,2,65,64,1,1361.0
1:18.0, ,64-65,Offensive rebound by A. Horford,,2,65,64,1,1362.0
1:14.0, ,64-65,J. Tatum misses 3-pt jump shot from 26 ft,,2,65,64,1,1366.0
1:13.0,Defensive rebound by J. Johnson,64-65, ,,2,65,64,1,1367.0
1:03.0,T. Young misses 2-pt jump shot from 21 ft,64-65, ,,2,65,64,1,1377.0
1:02.0, ,64-65,Defensive rebound by A. Horford,,2,65,64,1,1378.0
0:54.0, ,64-68,A. Horford makes 3-pt jump shot from 24 ft (assist by D. White),,2,68,64,4,1386.0
0:39.0,J. Johnson misses 2-pt layup from 5 ft,64-68, ,,2,68,64,4,1401.0
0:38.0,Offensive rebound by J. Johnson,64-68, ,,2,68,64,4,1402.0
0:35.0,T. Young misses 3-pt jump shot from 28 ft,64-68, ,,2,68,64,4,1405.0
0:34.0, ,64-68,Defensive rebound by D. White,,2,68,64,4,1406.0
0:30.0, ,64-68,Turnover by D. White (bad pass),,2,68,64,4,1410.0
0:27.0,T. Young misses 2-pt layup from 7 ft (block by A. Horford),64-68, ,,2,68,64,4,1413.0
0:26.0,Offensive rebound by Team,64-68, ,,2,68,64,4,1414.0
0:11.0,S. Bey makes 3-pt jump shot from 27 ft (assist by B. Bogdanović),67-68, ,,2,68,67,1,1429.0
0:04.0, ,67-71,K. Porziņģis makes 3-pt jump shot from 30 ft (assist by J. Brown),,2,71,67,4,1436.0
0:00.0,B. Bogdanović misses 3-pt jump shot from 39 ft,67-71, ,,2,71,67,4,1440.0
0:00.0,Offensive rebound by Team,67-71, ,,2,71,67,4,1440.0
0:00.0,End of 2nd quarter,67-71,,,2,71,67,4,1440.0
12:00.0,Start of 3rd quarter,67-71,,,3,71,67,4,1440.0
11:45.0,B. Bogdanović misses 3-pt jump shot from 26 ft,67-71, ,,3,71,67,4,1455.0
11:44.0, ,67-71,Defensive rebound by A. Horford,,3,71,67,4,1456.0
11:25.0, ,67-71,J. Tatum misses 3-pt jump shot from 27 ft,,3,71,67,4,1475.0
11:24.0,Defensive rebound by J. Johnson,67-71, ,,3,71,67,4,1476.0
11:14.0,Turnover by T. Young (bad pass; steal by A. Horford),67-71, ,,3,71,67,4,1486.0
11:09.0, ,67-73,J. Tatum makes 2-pt layup from 3 ft (assist by J. Brown),,3,73,67,6,1491.0
10:55.0,O. Okongwu misses 2-pt hook shot from 5 ft,67-73, ,,3,73,67,6,1505.0
10:53.0, ,67-73,Defensive rebound by J. Brown,,3,73,67,6,1507.0
10:48.0, ,67-73,Turnover by J. Tatum (bad pass; steal by J. Johnson),,3,73,67,6,1512.0
10:43.0,J. Johnson makes 2-pt layup from 3 ft,69-73, ,,3,73,69,4,1517.0
10:43.0,Shooting foul by J. Tatum (drawn by J. Johnson),69-73, ,,3,73,69,4,1517.0
10:43.0,J. Johnson makes free throw 1 of 1,70-73, ,,3,73,70,3,1517.0
10:34.0, ,70-73,K. Porziņģis misses 3-pt jump shot from 27 ft,,3,73,70,3,1526.0
10:33.0,Defensive rebound by B. Bogdanović,70-73, ,,3,73,70,3,1527.0
10:23.0,Turnover by T. Young (bad pass; steal by J. Brown),70-73, ,,3,73,70,3,1537.0
10:15.0, ,70-73,K. Porziņģis misses 2-pt layup from 3 ft,,3,73,70,3,1545.0
10:15.0,Defensive rebound by B. Bogdanović,70-73, ,,3,73,70,3,1545.0
10:08.0,B. Bogdanović misses 3-pt jump shot from 29 ft,70-73, ,,3,73,70,3,1552.0
10:07.0, ,70-73,Defensive rebound by D. White,,3,73,70,3,1553.0
9:56.0, ,70-75,J. Tatum makes 2-pt layup from 4 ft,,3,75,70,5,1564.0
9:35.0,Shooting foul by J. Tatum (drawn by S. Bey),70-75, ,,3,75,70,5,1585.0
9:35.0,S. Bey makes free throw 1 of 2,71-75, ,,3,75,71,4,1585.0
9:35.0,S. Bey makes free throw 2 of 2,72-75, ,,3,75,72,3,1585.0
9:25.0, ,72-77,K. Porziņģis makes 2-pt dunk from 1 ft (assist by D. White),,3,77,72,5,1595.0
9:11.0,O. Okongwu makes 2-pt dunk from 1 ft (assist by T. Young),74-77, ,,3,77,74,3,1609.0
8:46.0, ,74-80,D. White makes 3-pt jump shot from 24 ft (assist by A. Horford),,3,80,74,6,1634.0
8:32.0,J. Johnson makes 2-pt dunk from 1 ft (assist by T. Young),76-80, ,,3,80,76,4,1648.0
8:06.0, ,76-82,K. Porziņģis makes 2-pt layup from 2 ft (assist by A. Horford),,3,82,76,6,1674.0
7:44.0,T. Young misses 2-pt jump shot from 9 ft,76-82, ,,3,82,76,6,1696.0
7:43.0, ,76-82,Defensive rebound by Team,,3,82,76,6,1697.0
7:32.0, ,76-82,A. Horford misses 2-pt hook shot from 12 ft,,3,82,76,6,1708.0
7:31.0,Defensive rebound by J. Johnson,76-82, ,,3,82,76,6,1709.0
7:23.0,Shooting foul by D. White (drawn by O. Okongwu),76-82, ,,3,82,76,6,1717.0
7:23.0,O. Okongwu makes free throw 1 of 2,77-82, ,,3,82,77,5,1717.0
7:23.0,O. Okongwu makes free throw 2 of 2,78-82, ,,3,82,78,4,1717.0
7:15.0, ,78-82,D. White misses 3-pt jump shot from 27 ft,,3,82,78,4,1725.0
7:14.0,Defensive rebound by S. Bey,78-82, ,,3,82,78,4,1726.0
7:08.0,B. Bogdanović misses 2-pt layup from 3 ft,78-82, ,,3,82,78,4,1732.0
7:07.0, ,78-82,Defensive rebound by J. Tatum,,3,82,78,4,1733.0
6:56.0, ,78-82,Turnover by J. Tatum (bad pass; steal by S. Bey),,3,82,78,4,1744.0
6:52.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by T. Young),81-82, ,,3,82,81,1,1748.0
6:50.0, ,81-82,Boston full timeout,,3,82,81,1,1750.0
6:50.0, ,81-82,S. Hauser enters the game for J. Tatum,,3,82,81,1,1750.0
6:50.0, ,81-82,P. Pritchard enters the game for D. White,,3,82,81,1,1750.0
6:36.0, ,81-82,Turnover by K. Porziņģis (3 sec),,3,82,81,1,1764.0
6:24.0,O. Okongwu misses 3-pt jump shot from 24 ft,81-82, ,,3,82,81,1,1776.0
6:23.0, ,81-82,Defensive rebound by J. Brown,,3,82,81,1,1777.0
6:09.0, ,81-82,Turnover by S. Hauser (bad pass; steal by B. Bogdanović),,3,82,81,1,1791.0
6:06.0,J. Johnson misses 2-pt layup from 1 ft (block by A. Horford),81-82, ,,3,82,81,1,1794.0
6:04.0, ,81-82,Defensive rebound by A. Horford,,3,82,81,1,1796.0
5:55.0, ,81-85,P. Pritchard makes 3-pt jump shot from 27 ft,,3,85,81,4,1805.0
5:33.0,S. Bey misses 2-pt layup from 6 ft (block by K. Porziņģis),81-85, ,,3,85,81,4,1827.0
5:31.0, ,81-85,Defensive rebound by P. Pritchard,,3,85,81,4,1829.0
5:22.0, ,81-85,K. Porziņģis misses 3-pt jump shot from 27 ft,,3,85,81,4,1838.0
5:21.0,Defensive rebound by J. Johnson,81-85, ,,3,85,81,4,1839.0
5:06.0,B. Bogdanović makes 2-pt jump shot from 6 ft (assist by J. Johnson),83-85, ,,3,85,83,2,1854.0
5:00.0, ,83-85,Turnover by J. Brown (out of bounds lost ball),,3,85,83,2,1860.0
5:00.0,D. Hunter enters the game for J. Johnson,83-85, ,,3,85,83,2,1860.0
5:00.0,P. Mills enters the game for T. Young,83-85, ,,3,85,83,2,1860.0
