Time,Cleveland,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:27.0, ,14-4,Defensive rebound by J. Tatum,,1,4,14,-10,213.0
8:23.0, ,14-4,J. Holiday misses 3-pt jump shot from 26 ft,,1,4,14,-10,217.0
8:21.0,Defensive rebound by D. Garland,14-4, ,,1,4,14,-10,219.0
8:10.0,J. Allen misses 2-pt dunk from 2 ft,14-4, ,,1,4,14,-10,230.0
8:08.0, ,14-4,Defensive rebound by J. Tatum,,1,4,14,-10,232.0
8:03.0, ,14-4,J. Tatum misses 3-pt jump shot from 25 ft,,1,4,14,-10,237.0
8:02.0,Defensive rebound by M. Strus,14-4, ,,1,4,14,-10,238.0
7:54.0,Shooting foul by J. Tatum (drawn by D. Mitchell),14-4, ,,1,4,14,-10,246.0
7:54.0,D. Mitchell makes free throw 1 of 2,15-4, ,,1,4,15,-11,246.0
7:54.0,D. Mitchell makes free throw 2 of 2,16-4, ,,1,4,16,-12,246.0
7:39.0, ,16-4,Turnover by K. Porziņģis (bad pass; steal by J. Allen),,1,4,16,-12,261.0
7:34.0,D. Mitchell makes 2-pt layup from 3 ft (assist by D. Garland),18-4, ,,1,4,18,-14,266.0
7:19.0, ,18-4,J. Holiday misses 3-pt jump shot from 27 ft,,1,4,18,-14,281.0
7:18.0,Defensive rebound by D. Mitchell,18-4, ,,1,4,18,-14,282.0
7:04.0,D. Mitchell misses 3-pt jump shot from 26 ft (block by D. White),18-4, ,,1,4,18,-14,296.0
7:02.0, ,18-4,Defensive rebound by K. Porziņģis,,1,4,18,-14,298.0
6:53.0, ,18-6,J. Brown makes 2-pt layup from 1 ft,,1,6,18,-12,307.0
6:33.0,J. Allen makes 2-pt dunk from 2 ft (assist by M. Strus),20-6, ,,1,6,20,-14,327.0
6:26.0, ,20-6,Shooting foul by M. Strus (drawn by J. Brown),,1,6,20,-14,334.0
6:26.0, ,20-7,J. Brown makes free throw 1 of 2,,1,7,20,-13,334.0
6:26.0,C. LeVert enters the game for D. Garland,20-7, ,,1,7,20,-13,334.0
6:26.0, ,20-7,S. Hauser enters the game for J. Holiday,,1,7,20,-13,334.0
6:26.0, ,20-7,A. Horford enters the game for J. Tatum,,1,7,20,-13,334.0
6:26.0, ,20-8,J. Brown makes free throw 2 of 2,,1,8,20,-12,334.0
6:10.0,D. Mitchell makes 2-pt dunk from 2 ft (assist by J. Allen),22-8, ,,1,8,22,-14,350.0
5:49.0, ,22-8,Shooting foul by D. Wade (drawn by K. Porziņģis),,1,8,22,-14,371.0
5:49.0, ,22-9,K. Porziņģis makes free throw 1 of 2,,1,9,22,-13,371.0
5:49.0, ,22-10,K. Porziņģis makes free throw 2 of 2,,1,10,22,-12,371.0
5:34.0,Turnover by C. LeVert (bad pass; steal by K. Porziņģis),22-10, ,,1,10,22,-12,386.0
5:26.0, ,22-10,K. Porziņģis misses 3-pt jump shot from 30 ft,,1,10,22,-12,394.0
5:25.0,Defensive rebound by Team,22-10, ,,1,10,22,-12,395.0
5:25.0,I. Okoro enters the game for D. Wade,22-10, ,,1,10,22,-12,395.0
5:15.0,D. Mitchell makes 3-pt jump shot from 27 ft,25-10, ,,1,10,25,-15,405.0
5:03.0, ,25-10,J. Brown misses 3-pt jump shot from 27 ft,,1,10,25,-15,417.0
5:01.0,Defensive rebound by I. Okoro,25-10, ,,1,10,25,-15,419.0
4:57.0,D. Mitchell misses 3-pt jump shot from 27 ft,25-10, ,,1,10,25,-15,423.0
4:55.0, ,25-10,Defensive rebound by J. Brown,,1,10,25,-15,425.0
4:36.0, ,25-10,K. Porziņģis misses 2-pt jump shot from 17 ft,,1,10,25,-15,444.0
4:34.0,Defensive rebound by D. Mitchell,25-10, ,,1,10,25,-15,446.0
4:26.0,C. LeVert misses 3-pt jump shot from 26 ft,25-10, ,,1,10,25,-15,454.0
4:24.0, ,25-10,Defensive rebound by K. Porziņģis,,1,10,25,-15,456.0
4:10.0, ,25-10,J. Brown misses 2-pt jump shot from 4 ft,,1,10,25,-15,470.0
4:09.0,Defensive rebound by D. Mitchell,25-10, ,,1,10,25,-15,471.0
4:03.0,Turnover by I. Okoro (step out of bounds),25-10, ,,1,10,25,-15,477.0
4:03.0,G. Niang enters the game for M. Strus,25-10, ,,1,10,25,-15,477.0
4:03.0, ,25-10,P. Pritchard enters the game for K. Porziņģis,,1,10,25,-15,477.0
3:46.0, ,25-12,J. Brown makes 2-pt layup from 3 ft (assist by D. White),,1,12,25,-13,494.0
3:32.0,C. LeVert makes 2-pt jump shot from 15 ft,27-12, ,,1,12,27,-15,508.0
3:19.0, ,27-12,P. Pritchard misses 3-pt jump shot from 29 ft,,1,12,27,-15,521.0
3:17.0,Defensive rebound by D. Mitchell,27-12, ,,1,12,27,-15,523.0
3:12.0,Turnover by D. Mitchell (bad pass; steal by P. Pritchard),27-12, ,,1,12,27,-15,528.0
3:10.0, ,27-12,Turnover by P. Pritchard (bad pass),,1,12,27,-15,530.0
3:10.0,D. Garland enters the game for J. Allen,27-12, ,,1,12,27,-15,530.0
3:10.0,T. Thompson enters the game for D. Mitchell,27-12, ,,1,12,27,-15,530.0
3:10.0, ,27-12,J. Tatum enters the game for J. Brown,,1,12,27,-15,530.0
3:00.0,D. Garland misses 3-pt jump shot from 27 ft,27-12, ,,1,12,27,-15,540.0
2:59.0, ,27-12,Defensive rebound by J. Tatum,,1,12,27,-15,541.0
2:50.0, ,27-12,A. Horford misses 3-pt jump shot from 25 ft,,1,12,27,-15,550.0
2:48.0,Defensive rebound by I. Okoro,27-12, ,,1,12,27,-15,552.0
2:38.0,D. Garland misses 3-pt jump shot from 24 ft,27-12, ,,1,12,27,-15,562.0
2:36.0, ,27-12,Defensive rebound by S. Hauser,,1,12,27,-15,564.0
2:23.0, ,27-14,J. Tatum makes 2-pt layup from 1 ft,,1,14,27,-13,577.0
2:05.0,C. LeVert makes 2-pt layup from 3 ft,29-14, ,,1,14,29,-15,595.0
1:45.0, ,29-17,P. Pritchard makes 3-pt jump shot from 27 ft (assist by J. Tatum),,1,17,29,-12,615.0
1:23.0,D. Garland makes 2-pt layup from 3 ft,31-17, ,,1,17,31,-14,637.0
1:11.0, ,31-19,A. Horford makes 2-pt jump shot from 17 ft (assist by D. White),,1,19,31,-12,649.0
0:47.0,C. LeVert misses 2-pt jump shot from 10 ft,31-19, ,,1,19,31,-12,673.0
0:46.0,Offensive rebound by Team,31-19, ,,1,19,31,-12,674.0
0:46.0, ,31-19,Loose ball foul by S. Hauser (drawn by T. Thompson),,1,19,31,-12,674.0
0:46.0,Cleveland full timeout,31-19, ,,1,19,31,-12,674.0
0:46.0, ,31-19,J. Holiday enters the game for D. White,,1,19,31,-12,674.0
0:36.0,D. Garland misses 2-pt jump shot from 22 ft,31-19, ,,1,19,31,-12,684.0
0:34.0, ,31-19,Defensive rebound by P. Pritchard,,1,19,31,-12,686.0
0:20.0, ,31-21,J. Tatum makes 2-pt layup from 4 ft (assist by P. Pritchard),,1,21,31,-10,700.0
0:01.0,I. Okoro misses 2-pt jump shot from 14 ft,31-21, ,,1,21,31,-10,719.0
0:00.0,Offensive rebound by Team,31-21, ,,1,21,31,-10,720.0
0:00.0,End of 1st quarter,31-21,,,1,21,31,-10,720.0
12:00.0,Start of 2nd quarter,31-21,,,2,21,31,-10,720.0
11:38.0, ,31-21,Shooting foul by I. Okoro (drawn by J. Tatum),,2,21,31,-10,742.0
11:38.0, ,31-22,J. Tatum makes free throw 1 of 2,,2,22,31,-9,742.0
11:38.0, ,31-23,J. Tatum makes free throw 2 of 2,,2,23,31,-8,742.0
11:25.0,G. Niang makes 3-pt jump shot from 25 ft (assist by D. Garland),34-23, ,,2,23,34,-11,755.0
11:03.0, ,34-26,J. Holiday makes 3-pt jump shot from 28 ft (assist by J. Tatum),,2,26,34,-8,777.0
10:54.0,Personal foul by P. Pritchard (drawn by M. Strus),34-26, ,,2,26,34,-8,786.0
10:47.0,I. Okoro makes 3-pt jump shot from 25 ft (assist by D. Garland),37-26, ,,2,26,37,-11,793.0
10:24.0, ,37-29,P. Pritchard makes 3-pt jump shot from 23 ft (assist by A. Horford),,2,29,37,-8,816.0
10:04.0,Turnover by D. Garland (lost ball; steal by A. Horford),37-29, ,,2,29,37,-8,836.0
9:56.0, ,37-29,Shooting foul by M. Strus (drawn by J. Tatum),,2,29,37,-8,844.0
9:56.0, ,37-30,J. Tatum makes free throw 1 of 2,,2,30,37,-7,844.0
9:56.0, ,37-30,L. Kornet enters the game for A. Horford,,2,30,37,-7,844.0
9:56.0, ,37-31,J. Tatum makes free throw 2 of 2,,2,31,37,-6,844.0
9:45.0,D. Garland misses 2-pt jump shot from 19 ft,37-31, ,,2,31,37,-6,855.0
9:44.0, ,37-31,Defensive rebound by S. Hauser,,2,31,37,-6,856.0
9:34.0, ,37-31,Turnover by J. Holiday (bad pass; steal by I. Okoro),,2,31,37,-6,866.0
9:31.0,I. Okoro misses 2-pt layup from 3 ft (block by P. Pritchard),37-31, ,,2,31,37,-6,869.0
9:30.0,Offensive rebound by Team,37-31, ,,2,31,37,-6,870.0
9:24.0,M. Strus misses 3-pt jump shot from 25 ft,37-31, ,,2,31,37,-6,876.0
9:22.0,Offensive rebound by T. Thompson,37-31, ,,2,31,37,-6,878.0
9:16.0,Turnover by G. Niang (bad pass; steal by P. Pritchard),37-31, ,,2,31,37,-6,884.0
9:13.0, ,37-33,J. Tatum makes 2-pt dunk from 1 ft (assist by P. Pritchard),,2,33,37,-4,887.0
9:13.0,Cleveland full timeout,37-33, ,,2,33,37,-4,887.0
9:13.0,J. Allen enters the game for I. Okoro,37-33, ,,2,33,37,-4,887.0
9:13.0,D. Mitchell enters the game for T. Thompson,37-33, ,,2,33,37,-4,887.0
9:01.0,D. Garland makes 2-pt layup from 4 ft,39-33, ,,2,33,39,-6,899.0
8:47.0, ,39-33,J. Tatum misses 3-pt jump shot from 26 ft,,2,33,39,-6,913.0
8:45.0,Defensive rebound by D. Mitchell,39-33, ,,2,33,39,-6,915.0
8:33.0,D. Garland misses 2-pt jump shot from 6 ft,39-33, ,,2,33,39,-6,927.0
8:32.0,Offensive rebound by J. Allen,39-33, ,,2,33,39,-6,928.0
8:26.0,Turnover by D. Mitchell (lost ball; steal by J. Holiday),39-33, ,,2,33,39,-6,934.0
8:22.0, ,39-33,S. Hauser misses 2-pt layup from 3 ft (block by J. Allen),,2,33,39,-6,938.0
8:21.0,Defensive rebound by M. Strus,39-33, ,,2,33,39,-6,939.0
8:08.0,D. Mitchell misses 2-pt layup from 7 ft (block by J. Tatum),39-33, ,,2,33,39,-6,952.0
8:07.0, ,39-33,Defensive rebound by Team,,2,33,39,-6,953.0
8:07.0, ,39-33,J. Brown enters the game for S. Hauser,,2,33,39,-6,953.0
8:07.0, ,39-33,D. White enters the game for P. Pritchard,,2,33,39,-6,953.0
7:52.0, ,39-33,J. Tatum misses 3-pt jump shot from 26 ft,,2,33,39,-6,968.0
7:51.0, ,39-33,Offensive rebound by L. Kornet,,2,33,39,-6,969.0
7:51.0, ,39-33,L. Kornet misses 2-pt layup at rim,,2,33,39,-6,969.0
7:47.0, ,39-33,Offensive rebound by L. Kornet,,2,33,39,-6,973.0
7:46.0, ,39-35,L. Kornet makes 2-pt layup from 4 ft,,2,35,39,-4,974.0
7:30.0,M. Strus makes 3-pt jump shot from 29 ft (assist by G. Niang),42-35, ,,2,35,42,-7,990.0
7:13.0, ,42-35,Turnover by J. Brown (bad pass; steal by J. Allen),,2,35,42,-7,1007.0
7:03.0,D. Mitchell makes 2-pt jump shot from 17 ft,44-35, ,,2,35,44,-9,1017.0
6:47.0, ,44-38,D. White makes 3-pt jump shot from 23 ft (assist by J. Holiday),,2,38,44,-6,1033.0
6:31.0,J. Allen makes 2-pt hook shot from 13 ft (assist by D. Garland),46-38, ,,2,38,46,-8,1049.0
6:11.0, ,46-41,D. White makes 3-pt jump shot from 26 ft (assist by J. Tatum),,2,41,46,-5,1069.0
5:50.0,Turnover by M. Strus (lost ball; steal by J. Holiday),46-41, ,,2,41,46,-5,1090.0
5:44.0, ,46-44,D. White makes 3-pt jump shot from 24 ft (assist by J. Brown),,2,44,46,-2,1096.0
5:25.0,D. Mitchell makes 3-pt jump shot from 27 ft,49-44, ,,2,44,49,-5,1115.0
5:23.0, ,49-44,Boston full timeout,,2,44,49,-5,1117.0
5:23.0,C. LeVert enters the game for D. Garland,49-44, ,,2,44,49,-5,1117.0
5:23.0,D. Wade enters the game for G. Niang,49-44, ,,2,44,49,-5,1117.0
5:23.0, ,49-44,A. Horford enters the game for J. Holiday,,2,44,49,-5,1117.0
5:23.0, ,49-44,K. Porziņģis enters the game for L. Kornet,,2,44,49,-5,1117.0
5:14.0, ,49-46,J. Brown makes 2-pt dunk from 1 ft (assist by K. Porziņģis),,2,46,49,-3,1126.0
4:53.0,M. Strus makes 3-pt jump shot from 31 ft (assist by C. LeVert),52-46, ,,2,46,52,-6,1147.0
4:41.0, ,52-46,J. Brown misses 3-pt jump shot from 29 ft,,2,46,52,-6,1159.0
4:40.0,Defensive rebound by J. Allen,52-46, ,,2,46,52,-6,1160.0
4:38.0,Turnover by J. Allen (lost ball; steal by D. White),52-46, ,,2,46,52,-6,1162.0
4:35.0, ,52-46,Shooting foul by D. Wade (drawn by D. White),,2,46,52,-6,1165.0
4:35.0, ,52-47,D. White makes free throw 1 of 2,,2,47,52,-5,1165.0
4:35.0, ,52-48,D. White makes free throw 2 of 2,,2,48,52,-4,1165.0
4:18.0,M. Strus misses 3-pt jump shot from 27 ft,52-48, ,,2,48,52,-4,1182.0
4:17.0, ,52-48,Defensive rebound by J. Tatum,,2,48,52,-4,1183.0
4:11.0, ,52-50,J. Tatum makes 2-pt layup from 2 ft,,2,50,52,-2,1189.0
3:58.0,D. Wade misses 3-pt jump shot from 26 ft,52-50, ,,2,50,52,-2,1202.0
3:57.0, ,52-50,Defensive rebound by J. Tatum,,2,50,52,-2,1203.0
3:52.0, ,52-50,Shooting foul by D. Mitchell (drawn by J. Brown),,2,50,52,-2,1208.0
3:52.0, ,52-51,J. Brown makes free throw 1 of 2,,2,51,52,-1,1208.0
3:52.0, ,52-52,J. Brown makes free throw 2 of 2,Tie,2,52,52,0,1208.0
3:34.0,D. Wade makes 3-pt jump shot from 27 ft (assist by D. Mitchell),55-52, ,,2,52,55,-3,1226.0
3:21.0, ,55-52,Turnover by J. Tatum (traveling),,2,52,55,-3,1239.0
3:21.0,D. Garland enters the game for M. Strus,55-52, ,,2,52,55,-3,1239.0
3:11.0,D. Wade misses 3-pt jump shot from 24 ft,55-52, ,,2,52,55,-3,1249.0
3:09.0, ,55-52,Defensive rebound by J. Tatum,,2,52,55,-3,1251.0
3:03.0, ,55-52,Personal foul by C. LeVert (drawn by J. Tatum),,2,52,55,-3,1257.0
3:03.0, ,55-53,J. Tatum makes free throw 1 of 2,,2,53,55,-2,1257.0
3:03.0, ,55-53,J. Holiday enters the game for D. White,,2,53,55,-2,1257.0
3:03.0, ,55-54,J. Tatum makes free throw 2 of 2,,2,54,55,-1,1257.0
2:52.0,J. Allen makes 2-pt hook shot from 7 ft (assist by D. Garland),57-54, ,,2,54,57,-3,1268.0
2:34.0, ,57-54,K. Porziņģis misses 3-pt jump shot from 27 ft,,2,54,57,-3,1286.0
2:33.0, ,57-54,Offensive rebound by Team,,2,54,57,-3,1287.0
2:33.0,Loose ball foul by D. Wade (drawn by J. Tatum),57-54, ,,2,54,57,-3,1287.0
2:33.0, ,57-55,J. Tatum makes free throw 1 of 2,,2,55,57,-2,1287.0
2:33.0,G. Niang enters the game for C. LeVert,57-55, ,,2,55,57,-2,1287.0
2:33.0,M. Strus enters the game for D. Wade,57-55, ,,2,55,57,-2,1287.0
2:33.0, ,57-55,D. White enters the game for A. Horford,,2,55,57,-2,1287.0
2:33.0, ,57-56,J. Tatum makes free throw 2 of 2,,2,56,57,-1,1287.0
2:18.0,Turnover by D. Mitchell (out of bounds lost ball),57-56, ,,2,56,57,-1,1302.0
2:18.0,Technical foul by D. Mitchell,57-56, ,,2,56,57,-1,1302.0
2:18.0, ,57-57,J. Tatum makes technical free throw,Tie,2,57,57,0,1302.0
2:05.0, ,57-57,Turnover by J. Tatum (out of bounds lost ball),,2,57,57,0,1315.0
1:58.0,D. Garland misses 2-pt jump shot from 13 ft,57-57, ,,2,57,57,0,1322.0
1:57.0, ,57-57,Defensive rebound by K. Porziņģis,,2,57,57,0,1323.0
1:51.0, ,57-57,D. White misses 3-pt jump shot from 27 ft,,2,57,57,0,1329.0
1:50.0, ,57-57,Offensive rebound by J. Holiday,,2,57,57,0,1330.0
1:39.0, ,57-59,J. Brown makes 2-pt layup from 1 ft (assist by J. Holiday),Lead change,2,59,57,2,1341.0
1:26.0,D. Mitchell misses 2-pt jump shot from 18 ft,57-59, ,,2,59,57,2,1354.0
1:24.0, ,57-59,Defensive rebound by J. Tatum,,2,59,57,2,1356.0
1:17.0, ,57-59,J. Brown misses 2-pt dunk from 2 ft,,2,59,57,2,1363.0
1:16.0,Defensive rebound by M. Strus,57-59, ,,2,59,57,2,1364.0
1:11.0,Personal foul by J. Holiday (drawn by D. Mitchell),57-59, ,,2,59,57,2,1369.0
1:11.0, ,57-59,A. Horford enters the game for J. Brown,,2,59,57,2,1369.0
1:03.0,D. Garland makes 3-pt jump shot from 27 ft (assist by M. Strus),60-59, ,Lead change,2,59,60,-1,1377.0
0:43.0, ,60-59,J. Tatum misses 3-pt jump shot from 29 ft,,2,59,60,-1,1397.0
0:42.0, ,60-59,Offensive rebound by K. Porziņģis,,2,59,60,-1,1398.0
0:35.0, ,60-59,K. Porziņģis misses 2-pt hook shot from 13 ft,,2,59,60,-1,1405.0
0:33.0,Defensive rebound by M. Strus,60-59, ,,2,59,60,-1,1407.0
0:17.0,D. Mitchell misses 3-pt jump shot from 26 ft,60-59, ,,2,59,60,-1,1423.0
0:15.0, ,60-59,Defensive rebound by A. Horford,,2,59,60,-1,1425.0
0:01.0, ,60-59,K. Porziņģis misses 2-pt jump shot from 15 ft,,2,59,60,-1,1439.0
0:01.0, ,60-59,Offensive rebound by Team,,2,59,60,-1,1439.0
0:00.0,End of 2nd quarter,60-59,,,2,59,60,-1,1440.0
12:00.0,Start of 3rd quarter,60-59,,,3,59,60,-1,1440.0
11:47.0, ,60-61,J. Brown makes 2-pt layup from 4 ft (assist by K. Porziņģis),Lead change,3,61,60,1,1453.0
11:21.0,Turnover by D. Garland (bad pass; steal by J. Holiday),60-61, ,,3,61,60,1,1479.0
11:14.0, ,60-64,J. Brown makes 3-pt jump shot from 26 ft,,3,64,60,4,1486.0
11:00.0,D. Wade misses 3-pt jump shot from 27 ft,60-64, ,,3,64,60,4,1500.0
10:59.0,Offensive rebound by J. Allen,60-64, ,,3,64,60,4,1501.0
10:57.0,Shooting foul by J. Holiday (drawn by J. Allen),60-64, ,,3,64,60,4,1503.0
10:57.0,J. Allen makes free throw 1 of 2,61-64, ,,3,64,61,3,1503.0
10:57.0,J. Allen misses free throw 2 of 2,61-64, ,,3,64,61,3,1503.0
10:57.0, ,61-64,Defensive rebound by K. Porziņģis,,3,64,61,3,1503.0
10:36.0, ,61-66,K. Porziņģis makes 2-pt jump shot from 8 ft (assist by J. Tatum),,3,66,61,5,1524.0
10:15.0,D. Mitchell makes 3-pt jump shot from 26 ft,64-66, ,,3,66,64,2,1545.0
10:06.0, ,64-66,Turnover by J. Brown (bad pass; steal by D. Garland),,3,66,64,2,1554.0
9:59.0,D. Garland misses 2-pt layup from 5 ft,64-66, ,,3,66,64,2,1561.0
9:57.0,Offensive rebound by Team,64-66, ,,3,66,64,2,1563.0
9:54.0,Offensive foul by J. Allen (drawn by D. White),64-66, ,,3,66,64,2,1566.0
9:54.0,Turnover by J. Allen (offensive foul),64-66, ,,3,66,64,2,1566.0
9:38.0, ,64-66,J. Holiday misses 2-pt layup from 7 ft (block by D. Wade),,3,66,64,2,1582.0
9:37.0, ,64-66,Offensive rebound by J. Holiday,,3,66,64,2,1583.0
9:33.0, ,64-68,J. Holiday makes 2-pt hook shot from 6 ft,,3,68,64,4,1587.0
9:19.0,D. Mitchell makes 3-pt jump shot from 27 ft (assist by D. Wade),67-68, ,,3,68,67,1,1601.0
9:07.0, ,67-68,J. Brown misses 3-pt jump shot from 24 ft,,3,68,67,1,1613.0
9:05.0,Defensive rebound by D. Mitchell,67-68, ,,3,68,67,1,1615.0
8:55.0,D. Mitchell makes 3-pt jump shot from 29 ft (assist by D. Garland),70-68, ,Lead change,3,68,70,-2,1625.0
8:39.0, ,70-68,Offensive foul by J. Tatum (drawn by D. Garland),,3,68,70,-2,1641.0
8:39.0, ,70-68,Turnover by J. Tatum (offensive foul),,3,68,70,-2,1641.0
8:26.0,D. Mitchell makes 2-pt layup from 2 ft (assist by J. Allen),72-68, ,,3,68,72,-4,1654.0
8:26.0, ,72-68,Boston full timeout,,3,68,72,-4,1654.0
8:19.0, ,72-68,Turnover by J. Brown (out of bounds lost ball),,3,68,72,-4,1661.0
8:00.0,D. Mitchell misses 3-pt jump shot from 28 ft,72-68, ,,3,68,72,-4,1680.0
7:58.0, ,72-68,Defensive rebound by K. Porziņģis,,3,68,72,-4,1682.0
7:48.0, ,72-68,Turnover by J. Tatum (lost ball; steal by J. Allen),,3,68,72,-4,1692.0
7:41.0,M. Strus misses 3-pt jump shot from 28 ft (block by J. Tatum),72-68, ,,3,68,72,-4,1699.0
7:39.0,Offensive rebound by Team,72-68, ,,3,68,72,-4,1701.0
7:30.0,J. Allen makes 2-pt jump shot from 15 ft (assist by M. Strus),74-68, ,,3,68,74,-6,1710.0
7:04.0, ,74-70,K. Porziņģis makes 2-pt layup from 4 ft (assist by J. Brown),,3,70,74,-4,1736.0
7:04.0, ,74-70,Shooting foul by J. Allen (drawn by K. Porziņģis),,3,70,74,-4,1736.0
7:04.0, ,74-71,K. Porziņģis makes free throw 1 of 1,,3,71,74,-3,1736.0
6:48.0,Shooting foul by D. White (drawn by D. Wade),74-71, ,,3,71,74,-3,1752.0
6:48.0,D. Wade makes free throw 1 of 2,75-71, ,,3,71,75,-4,1752.0
6:48.0,D. Wade makes free throw 2 of 2,76-71, ,,3,71,76,-5,1752.0
6:38.0, ,76-74,D. White makes 3-pt jump shot from 28 ft,,3,74,76,-2,1762.0
6:24.0,D. Garland makes 3-pt jump shot from 28 ft (assist by D. Wade),79-74, ,,3,74,79,-5,1776.0
6:07.0, ,79-74,J. Tatum misses 2-pt layup from 3 ft,,3,74,79,-5,1793.0
6:06.0, ,79-74,Offensive rebound by K. Porziņģis,,3,74,79,-5,1794.0
6:06.0, ,79-74,K. Porziņģis misses 2-pt layup at rim,,3,74,79,-5,1794.0
6:05.0, ,79-74,Offensive rebound by K. Porziņģis,,3,74,79,-5,1795.0
6:05.0, ,79-74,K. Porziņģis misses 2-pt layup from 1 ft,,3,74,79,-5,1795.0
6:04.0,Defensive rebound by M. Strus,79-74, ,,3,74,79,-5,1796.0
5:58.0,D. Mitchell misses 3-pt jump shot from 27 ft,79-74, ,,3,74,79,-5,1802.0
5:54.0,Offensive rebound by D. Wade,79-74, ,,3,74,79,-5,1806.0
5:52.0,M. Strus makes 3-pt jump shot from 26 ft (assist by D. Wade),82-74, ,,3,74,82,-8,1808.0
5:35.0, ,82-77,J. Holiday makes 3-pt jump shot from 27 ft (assist by K. Porziņģis),,3,77,82,-5,1825.0
5:11.0,M. Strus misses 2-pt layup from 3 ft (block by K. Porziņģis),82-77, ,,3,77,82,-5,1849.0
5:10.0, ,82-77,Defensive rebound by Team,,3,77,82,-5,1850.0
5:10.0,I. Okoro enters the game for D. Garland,82-77, ,,3,77,82,-5,1850.0
5:10.0, ,82-77,S. Hauser enters the game for J. Brown,,3,77,82,-5,1850.0
5:10.0, ,82-77,A. Horford enters the game for D. White,,3,77,82,-5,1850.0
4:56.0, ,82-80,K. Porziņģis makes 3-pt jump shot from 26 ft,,3,80,82,-2,1864.0
4:38.0,M. Strus misses 3-pt jump shot from 27 ft,82-80, ,,3,80,82,-2,1882.0
4:37.0, ,82-80,Defensive rebound by J. Tatum,,3,80,82,-2,1883.0
4:26.0, ,82-80,J. Tatum misses 2-pt dunk from 2 ft (block by J. Allen),,3,80,82,-2,1894.0
4:24.0,Defensive rebound by M. Strus,82-80, ,,3,80,82,-2,1896.0
4:19.0,M. Strus misses 2-pt layup from 2 ft (block by J. Holiday),82-80, ,,3,80,82,-2,1901.0
