Time,Boston,Score,Philadelphia,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:03.0, ,16-16,R. Covington makes 2-pt hook shot from 7 ft (assist by J. Embiid),Tie,1,16,16,0,357.0
5:52.0,J. Holiday makes 2-pt layup from 1 ft (assist by D. White),18-16, ,,1,18,16,2,368.0
5:52.0, ,18-16,Philadelphia full timeout,,1,18,16,2,368.0
5:52.0,D. Banton enters the game for J. Tatum,18-16, ,,1,18,16,2,368.0
5:52.0,P. Pritchard enters the game for D. White,18-16, ,,1,18,16,2,368.0
5:32.0, ,18-16,J. Embiid misses 2-pt jump shot from 14 ft,,1,18,16,2,388.0
5:27.0,Defensive rebound by D. Banton,18-16, ,,1,18,16,2,393.0
5:23.0,J. Holiday misses 3-pt jump shot from 26 ft,18-16, ,,1,18,16,2,397.0
5:18.0,Offensive rebound by D. Banton,18-16, ,,1,18,16,2,402.0
5:18.0,D. Banton makes 2-pt layup at rim,20-16, ,,1,20,16,4,402.0
4:57.0, ,20-16,Shooting foul by D. Banton (drawn by R. Covington),,1,20,16,4,423.0
4:57.0, ,20-17,R. Covington makes free throw 1 of 2,,1,20,17,3,423.0
4:57.0, ,20-17,P. Beverley enters the game for T. Harris,,1,20,17,3,423.0
4:57.0, ,20-17,M. Morris enters the game for T. Maxey,,1,20,17,3,423.0
4:57.0, ,20-18,R. Covington makes free throw 2 of 2,,1,20,18,2,423.0
4:42.0,D. Banton misses 3-pt jump shot from 24 ft,20-18, ,,1,20,18,2,438.0
4:40.0, ,20-18,Defensive rebound by D. Melton,,1,20,18,2,440.0
4:34.0, ,20-18,R. Covington misses 3-pt jump shot from 24 ft,,1,20,18,2,446.0
4:31.0,Defensive rebound by D. Banton,20-18, ,,1,20,18,2,449.0
4:15.0,A. Horford misses 3-pt jump shot from 27 ft,20-18, ,,1,20,18,2,465.0
4:12.0,Offensive rebound by S. Hauser,20-18, ,,1,20,18,2,468.0
4:11.0,P. Pritchard makes 3-pt jump shot from 26 ft (assist by S. Hauser),23-18, ,,1,23,18,5,469.0
3:45.0, ,23-18,P. Beverley misses 2-pt hook shot from 2 ft,,1,23,18,5,495.0
3:43.0,Defensive rebound by D. Banton,23-18, ,,1,23,18,5,497.0
3:26.0,D. Banton misses 2-pt layup from 4 ft,23-18, ,,1,23,18,5,514.0
3:24.0, ,23-18,Defensive rebound by J. Embiid,,1,23,18,5,516.0
3:21.0, ,23-18,Turnover by J. Embiid (lost ball; steal by D. Banton),,1,23,18,5,519.0
3:17.0,J. Holiday makes 2-pt dunk from 2 ft (assist by S. Hauser),25-18, ,,1,25,18,7,523.0
3:01.0, ,25-18,J. Embiid misses 2-pt layup from 2 ft,,1,25,18,7,539.0
2:59.0,Defensive rebound by A. Horford,25-18, ,,1,25,18,7,541.0
2:56.0,Turnover by J. Holiday (bad pass),25-18, ,,1,25,18,7,544.0
2:56.0,Boston full timeout,25-18, ,,1,25,18,7,544.0
2:56.0,L. Kornet enters the game for S. Hauser,25-18, ,,1,25,18,7,544.0
2:56.0,S. Mykhailiuk enters the game for A. Horford,25-18, ,,1,25,18,7,544.0
2:56.0, ,25-18,D. House enters the game for R. Covington,,1,25,18,7,544.0
2:56.0, ,25-18,F. Korkmaz enters the game for D. Melton,,1,25,18,7,544.0
2:42.0, ,25-18,M. Morris misses 2-pt jump shot from 10 ft,,1,25,18,7,558.0
2:40.0,Defensive rebound by J. Holiday,25-18, ,,1,25,18,7,560.0
2:37.0,S. Mykhailiuk makes 3-pt jump shot from 28 ft (assist by J. Holiday),28-18, ,,1,28,18,10,563.0
2:24.0, ,28-18,Turnover by M. Morris (bad pass; steal by J. Holiday),,1,28,18,10,576.0
2:19.0,J. Holiday makes 2-pt layup from 1 ft,30-18, ,,1,30,18,12,581.0
1:59.0, ,30-18,P. Beverley misses 3-pt jump shot from 26 ft,,1,30,18,12,601.0
1:56.0,Defensive rebound by D. Banton,30-18, ,,1,30,18,12,604.0
1:43.0,D. Banton misses 2-pt jump shot from 7 ft,30-18, ,,1,30,18,12,617.0
1:40.0, ,30-18,Defensive rebound by P. Beverley,,1,30,18,12,620.0
1:36.0, ,30-18,M. Morris misses 3-pt jump shot from 27 ft,,1,30,18,12,624.0
1:33.0, ,30-18,Offensive rebound by J. Embiid,,1,30,18,12,627.0
1:33.0, ,30-18,Shooting foul by D. Banton (drawn by J. Embiid),,1,30,18,12,627.0
1:33.0, ,30-19,J. Embiid makes free throw 1 of 2,,1,30,19,11,627.0
1:33.0,J. Tatum enters the game for D. Banton,30-19, ,,1,30,19,11,627.0
1:33.0,D. White enters the game for J. Holiday,30-19, ,,1,30,19,11,627.0
1:33.0, ,30-20,J. Embiid makes free throw 2 of 2,,1,30,20,10,627.0
1:16.0,J. Tatum misses 3-pt jump shot from 27 ft,30-20, ,,1,30,20,10,644.0
1:12.0, ,30-20,Defensive rebound by J. Embiid,,1,30,20,10,648.0
1:04.0, ,30-22,J. Embiid makes 2-pt layup from 3 ft (assist by P. Beverley),,1,30,22,8,656.0
0:52.0,D. White makes 3-pt jump shot from 26 ft (assist by P. Pritchard),33-22, ,,1,33,22,11,668.0
0:40.0, ,33-22,F. Korkmaz misses 3-pt jump shot from 26 ft,,1,33,22,11,680.0
0:37.0,Defensive rebound by L. Kornet,33-22, ,,1,33,22,11,683.0
0:32.0,J. Tatum misses 3-pt jump shot from 28 ft,33-22, ,,1,33,22,11,688.0
0:28.0,Offensive rebound by S. Mykhailiuk,33-22, ,,1,33,22,11,692.0
0:28.0,S. Mykhailiuk makes 2-pt layup at rim,35-22, ,,1,35,22,13,692.0
0:06.0, ,35-22,P. Beverley misses 2-pt jump shot from 13 ft,,1,35,22,13,714.0
0:04.0,Defensive rebound by J. Tatum,35-22, ,,1,35,22,13,716.0
0:03.0,Shooting foul by P. Beverley (drawn by D. White),35-22, ,,1,35,22,13,717.0
0:03.0,D. White makes free throw 1 of 2,36-22, ,,1,36,22,14,717.0
0:03.0,J. Holiday enters the game for L. Kornet,36-22, ,,1,36,22,14,717.0
0:03.0, ,36-22,T. Maxey enters the game for F. Korkmaz,,1,36,22,14,717.0
0:03.0,D. White makes free throw 2 of 2,37-22, ,,1,37,22,15,717.0
0:00.0, ,37-22,D. House misses 3-pt jump shot from 46 ft,,1,37,22,15,720.0
0:00.0, ,37-22,Offensive rebound by Team,,1,37,22,15,720.0
0:00.0,End of 1st quarter,37-22,,,1,37,22,15,720.0
12:00.0,Start of 2nd quarter,37-22,,,2,37,22,15,720.0
11:40.0,J. Tatum makes 2-pt jump shot from 18 ft,39-22, ,,2,39,22,17,740.0
11:22.0, ,39-25,J. Springer makes 3-pt jump shot from 24 ft (assist by P. Reed),,2,39,25,14,758.0
11:13.0,Turnover by J. Tatum (bad pass; steal by J. Springer),39-25, ,,2,39,25,14,767.0
11:09.0, ,39-27,J. Springer makes 2-pt dunk from 1 ft,,2,39,27,12,771.0
10:46.0,J. Tatum makes 2-pt jump shot from 15 ft,41-27, ,,2,41,27,14,794.0
10:35.0, ,41-27,Personal foul by J. Tatum (drawn by T. Maxey),,2,41,27,14,805.0
10:25.0, ,41-30,T. Maxey makes 3-pt jump shot from 26 ft,,2,41,30,11,815.0
10:04.0,L. Kornet makes 2-pt dunk from 1 ft (assist by P. Pritchard),43-30, ,,2,43,30,13,836.0
9:55.0, ,43-32,T. Maxey makes 2-pt layup from 2 ft,,2,43,32,11,845.0
9:43.0,P. Pritchard makes 2-pt layup from 3 ft,45-32, ,,2,45,32,13,857.0
9:28.0, ,45-32,Turnover by J. Springer (traveling),,2,45,32,13,872.0
9:12.0,Turnover by L. Kornet (bad pass; steal by R. Covington),45-32, ,,2,45,32,13,888.0
9:07.0, ,45-32,Turnover by P. Reed (bad pass; steal by S. Mykhailiuk),,2,45,32,13,893.0
8:55.0,Jump ball: R. Covington vs. D. White (P. Reed gains possession),45-32,,,2,45,32,13,905.0
8:55.0,S. Hauser enters the game for S. Mykhailiuk,45-32, ,,2,45,32,13,905.0
8:51.0,Turnover by D. White (lost ball; steal by R. Covington),45-32, ,,2,45,32,13,909.0
8:38.0, ,45-32,Offensive foul by J. Springer (drawn by J. Tatum),,2,45,32,13,922.0
8:38.0, ,45-32,Turnover by J. Springer (offensive foul),,2,45,32,13,922.0
8:28.0,Shooting foul by T. Maxey (drawn by D. White),45-32, ,,2,45,32,13,932.0
8:28.0,D. White makes free throw 1 of 2,46-32, ,,2,46,32,14,932.0
8:28.0,D. White makes free throw 2 of 2,47-32, ,,2,47,32,15,932.0
8:06.0, ,47-32,R. Covington misses 3-pt jump shot from 25 ft,,2,47,32,15,954.0
8:03.0, ,47-32,Offensive rebound by P. Reed,,2,47,32,15,957.0
8:00.0, ,47-34,P. Reed makes 2-pt layup from 2 ft,,2,47,34,13,960.0
7:44.0,S. Hauser misses 3-pt jump shot from 24 ft,47-34, ,,2,47,34,13,976.0
7:43.0, ,47-34,Defensive rebound by Team,,2,47,34,13,977.0
7:24.0, ,47-36,R. Covington makes 2-pt layup from 1 ft (assist by P. Reed),,2,47,36,11,996.0
7:04.0,J. Tatum misses 2-pt layup from 1 ft (block by P. Reed),47-36, ,,2,47,36,11,1016.0
7:00.0, ,47-36,Defensive rebound by J. Springer,,2,47,36,11,1020.0
6:59.0, ,47-36,T. Maxey misses 2-pt layup from 2 ft (block by S. Hauser),,2,47,36,11,1021.0
6:59.0, ,47-36,Offensive rebound by Team,,2,47,36,11,1021.0
6:59.0, ,47-36,Technical foul by T. Maxey,,2,47,36,11,1021.0
6:59.0, ,47-36,Philadelphia full timeout,,2,47,36,11,1021.0
6:59.0,J. Holiday enters the game for P. Pritchard,47-36, ,,2,47,36,11,1021.0
6:59.0,J. Tatum misses technical free throw,47-36, ,,2,47,36,11,1021.0
6:59.0, ,47-36,Defensive rebound by Team,,2,47,36,11,1021.0
6:57.0, ,47-36,Turnover by T. Maxey (bad pass; steal by L. Kornet),,2,47,36,11,1023.0
6:45.0,S. Hauser misses 3-pt jump shot from 27 ft,47-36, ,,2,47,36,11,1035.0
6:42.0, ,47-36,Defensive rebound by P. Reed,,2,47,36,11,1038.0
6:31.0, ,47-38,T. Harris makes 2-pt jump shot from 8 ft,,2,47,38,9,1049.0
6:21.0,D. White misses 3-pt jump shot from 27 ft,47-38, ,,2,47,38,9,1059.0
6:15.0,Offensive rebound by L. Kornet,47-38, ,,2,47,38,9,1065.0
6:15.0,Turnover by L. Kornet (bad pass),47-38, ,,2,47,38,9,1065.0
5:54.0, ,47-40,J. Springer makes 2-pt layup from 1 ft (assist by T. Harris),,2,47,40,7,1086.0
5:43.0,J. Holiday misses 2-pt layup from 1 ft,47-40, ,,2,47,40,7,1097.0
5:40.0, ,47-40,Defensive rebound by J. Springer,,2,47,40,7,1100.0
5:38.0, ,47-40,Shooting foul by D. White (drawn by T. Maxey),,2,47,40,7,1102.0
5:38.0, ,47-41,T. Maxey makes free throw 1 of 2,,2,47,41,6,1102.0
5:38.0, ,47-42,T. Maxey makes free throw 2 of 2,,2,47,42,5,1102.0
5:20.0,J. Holiday misses 3-pt jump shot from 26 ft,47-42, ,,2,47,42,5,1120.0
5:17.0, ,47-42,Defensive rebound by P. Reed,,2,47,42,5,1123.0
5:08.0, ,47-42,P. Reed misses 2-pt layup from 2 ft,,2,47,42,5,1132.0
5:05.0,Defensive rebound by J. Tatum,47-42, ,,2,47,42,5,1135.0
5:03.0,S. Hauser makes 2-pt layup from 3 ft (assist by J. Tatum),49-42, ,,2,49,42,7,1137.0
4:37.0, ,49-45,P. Reed makes 3-pt jump shot from 27 ft (assist by T. Harris),,2,49,45,4,1163.0
4:24.0,J. Holiday misses 2-pt jump shot from 6 ft,49-45, ,,2,49,45,4,1176.0
4:21.0,Offensive rebound by J. Holiday,49-45, ,,2,49,45,4,1179.0
4:19.0,D. White makes 3-pt jump shot from 23 ft (assist by J. Tatum),52-45, ,,2,52,45,7,1181.0
3:55.0, ,52-45,T. Maxey misses 3-pt jump shot from 28 ft,,2,52,45,7,1205.0
3:55.0,Defensive rebound by Team,52-45, ,,2,52,45,7,1205.0
3:55.0,A. Horford enters the game for L. Kornet,52-45, ,,2,52,45,7,1205.0
3:55.0,S. Mykhailiuk enters the game for D. White,52-45, ,,2,52,45,7,1205.0
3:55.0, ,52-45,J. Embiid enters the game for T. Harris,,2,52,45,7,1205.0
3:55.0, ,52-45,D. Melton enters the game for P. Reed,,2,52,45,7,1205.0
3:35.0,J. Tatum misses 3-pt jump shot from 26 ft,52-45, ,,2,52,45,7,1225.0
3:32.0, ,52-45,Defensive rebound by J. Embiid,,2,52,45,7,1228.0
3:17.0, ,52-48,D. Melton makes 3-pt jump shot from 26 ft,,2,52,48,4,1243.0
3:14.0,Boston full timeout,52-48, ,,2,52,48,4,1246.0
3:14.0, ,52-48,T. Harris enters the game for R. Covington,,2,52,48,4,1246.0
2:55.0,Turnover by S. Mykhailiuk (bad pass; steal by J. Embiid),52-48, ,,2,52,48,4,1265.0
2:34.0, ,52-50,T. Harris makes 2-pt jump shot from 5 ft,,2,52,50,2,1286.0
2:34.0, ,52-50,Shooting foul by S. Hauser (drawn by T. Harris),,2,52,50,2,1286.0
2:34.0,D. White enters the game for S. Mykhailiuk,52-50, ,,2,52,50,2,1286.0
2:34.0, ,52-51,T. Harris makes free throw 1 of 1,,2,52,51,1,1286.0
2:18.0,J. Tatum misses 3-pt jump shot from 27 ft,52-51, ,,2,52,51,1,1302.0
2:15.0, ,52-51,Defensive rebound by T. Maxey,,2,52,51,1,1305.0
2:05.0, ,52-53,T. Harris makes 2-pt jump shot from 6 ft (assist by J. Embiid),Lead change,2,52,53,-1,1315.0
1:51.0,D. White makes 2-pt jump shot from 6 ft (assist by J. Tatum),54-53, ,Lead change,2,54,53,1,1329.0
1:30.0, ,54-53,J. Embiid misses 2-pt jump shot from 14 ft,,2,54,53,1,1350.0
1:28.0,Defensive rebound by J. Holiday,54-53, ,,2,54,53,1,1352.0
1:25.0,Personal foul by T. Maxey (drawn by J. Tatum),54-53, ,,2,54,53,1,1355.0
1:23.0,Offensive foul by D. White (drawn by T. Harris),54-53, ,,2,54,53,1,1357.0
1:23.0,Turnover by D. White (offensive foul),54-53, ,,2,54,53,1,1357.0
1:00.0, ,54-55,J. Embiid makes 2-pt layup from 3 ft,Lead change,2,54,55,-1,1380.0
0:43.0,J. Holiday makes 3-pt jump shot from 26 ft (assist by J. Tatum),57-55, ,Lead change,2,57,55,2,1397.0
0:32.0, ,57-58,T. Maxey makes 3-pt jump shot from 27 ft,Lead change,2,57,58,-1,1408.0
0:22.0,S. Hauser misses 3-pt jump shot from 27 ft,57-58, ,,2,57,58,-1,1418.0
0:19.0, ,57-58,Defensive rebound by T. Harris,,2,57,58,-1,1421.0
0:00.0, ,57-58,J. Embiid misses 3-pt jump shot from 26 ft,,2,57,58,-1,1440.0
0:00.0, ,57-58,Offensive rebound by Team,,2,57,58,-1,1440.0
0:00.0,End of 2nd quarter,57-58,,,2,57,58,-1,1440.0
12:00.0,Start of 3rd quarter,57-58,,,3,57,58,-1,1440.0
11:42.0,A. Horford misses 3-pt jump shot from 27 ft,57-58, ,,3,57,58,-1,1458.0
11:38.0, ,57-58,Defensive rebound by T. Harris,,3,57,58,-1,1462.0
11:22.0, ,57-60,J. Embiid makes 2-pt jump shot from 16 ft (assist by T. Maxey),,3,57,60,-3,1478.0
10:59.0,J. Tatum misses 2-pt layup from 7 ft,57-60, ,,3,57,60,-3,1501.0
10:55.0,Offensive rebound by A. Horford,57-60, ,,3,57,60,-3,1505.0
10:54.0,D. White misses 3-pt jump shot from 26 ft,57-60, ,,3,57,60,-3,1506.0
10:52.0, ,57-60,Defensive rebound by R. Covington,,3,57,60,-3,1508.0
10:37.0, ,57-60,D. Melton misses 2-pt layup from 2 ft (block by A. Horford),,3,57,60,-3,1523.0
10:36.0, ,57-60,Offensive rebound by J. Embiid,,3,57,60,-3,1524.0
10:36.0, ,57-60,Shooting foul by D. White (drawn by J. Embiid),,3,57,60,-3,1524.0
10:36.0, ,57-61,J. Embiid makes free throw 1 of 2,,3,57,61,-4,1524.0
10:36.0, ,57-62,J. Embiid makes free throw 2 of 2,,3,57,62,-5,1524.0
10:28.0,J. Tatum makes 3-pt jump shot from 26 ft (assist by J. Holiday),60-62, ,,3,60,62,-2,1532.0
10:10.0, ,60-62,Turnover by T. Maxey (lost ball; steal by J. Tatum),,3,60,62,-2,1550.0
10:04.0,J. Holiday misses 3-pt jump shot from 23 ft,60-62, ,,3,60,62,-2,1556.0
10:00.0,Offensive rebound by J. Tatum,60-62, ,,3,60,62,-2,1560.0
9:59.0,S. Hauser misses 3-pt jump shot from 25 ft,60-62, ,,3,60,62,-2,1561.0
9:57.0, ,60-62,Defensive rebound by T. Harris,,3,60,62,-2,1563.0
9:46.0, ,60-62,T. Harris misses 2-pt layup from 2 ft,,3,60,62,-2,1574.0
9:46.0,Defensive rebound by Team,60-62, ,,3,60,62,-2,1574.0
9:35.0,J. Holiday misses 3-pt jump shot from 25 ft,60-62, ,,3,60,62,-2,1585.0
9:31.0, ,60-62,Defensive rebound by T. Harris,,3,60,62,-2,1589.0
9:23.0, ,60-62,Personal foul by A. Horford (drawn by T. Harris),,3,60,62,-2,1597.0
9:13.0, ,60-62,J. Embiid misses 2-pt jump shot from 16 ft,,3,60,62,-2,1607.0
9:09.0,Defensive rebound by J. Holiday,60-62, ,,3,60,62,-2,1611.0
9:03.0,A. Horford makes 3-pt jump shot from 24 ft (assist by D. White),63-62, ,Lead change,3,63,62,1,1617.0
8:46.0, ,63-62,Turnover by T. Harris (lost ball; steal by D. White),,3,63,62,1,1634.0
8:43.0,Shooting foul by J. Embiid (drawn by D. White),63-62, ,,3,63,62,1,1637.0
8:43.0,D. White misses free throw 1 of 2,63-62, ,,3,63,62,1,1637.0
8:43.0,Offensive rebound by Team,63-62, ,,3,63,62,1,1637.0
8:43.0,D. White makes free throw 2 of 2,64-62, ,,3,64,62,2,1637.0
8:21.0, ,64-65,D. Melton makes 3-pt jump shot from 26 ft (assist by J. Embiid),Lead change,3,64,65,-1,1659.0
8:07.0,Turnover by J. Tatum (out of bounds lost ball),64-65, ,,3,64,65,-1,1673.0
7:48.0, ,64-67,T. Maxey makes 2-pt layup from 6 ft,,3,64,67,-3,1692.0
7:38.0,A. Horford makes 3-pt jump shot from 26 ft (assist by J. Holiday),67-67, ,Tie,3,67,67,0,1702.0
7:15.0, ,67-69,R. Covington makes 2-pt layup from 5 ft (assist by J. Embiid),,3,67,69,-2,1725.0
6:59.0,A. Horford makes 3-pt jump shot from 27 ft (assist by J. Tatum),70-69, ,Lead change,3,70,69,1,1741.0
6:40.0, ,70-69,T. Maxey misses 3-pt jump shot from 27 ft,,3,70,69,1,1760.0
6:37.0,Defensive rebound by A. Horford,70-69, ,,3,70,69,1,1763.0
6:24.0,J. Tatum makes 2-pt jump shot from 18 ft,72-69, ,,3,72,69,3,1776.0
6:22.0, ,72-69,Philadelphia full timeout,,3,72,69,3,1778.0
6:22.0,P. Pritchard enters the game for D. White,72-69, ,,3,72,69,3,1778.0
6:07.0, ,72-71,J. Embiid makes 2-pt hook shot from 3 ft,,3,72,71,1,1793.0
5:52.0,S. Hauser makes 3-pt jump shot from 23 ft (assist by A. Horford),75-71, ,,3,75,71,4,1808.0
5:27.0, ,75-73,J. Embiid makes 2-pt jump shot from 13 ft,,3,75,73,2,1833.0
5:11.0,J. Holiday misses 3-pt jump shot from 26 ft,75-73, ,,3,75,73,2,1849.0
5:07.0, ,75-73,Defensive rebound by D. Melton,,3,75,73,2,1853.0
4:53.0, ,75-73,J. Embiid misses 3-pt jump shot from 27 ft,,3,75,73,2,1867.0
4:51.0,Defensive rebound by A. Horford,75-73, ,,3,75,73,2,1869.0
4:30.0,S. Hauser misses 3-pt jump shot from 26 ft,75-73, ,,3,75,73,2,1890.0
4:27.0, ,75-73,Defensive rebound by J. Embiid,,3,75,73,2,1893.0
4:14.0, ,75-73,D. Melton misses 2-pt layup from 6 ft,,3,75,73,2,1906.0
4:10.0, ,75-73,Offensive rebound by D. Melton,,3,75,73,2,1910.0
4:10.0, ,75-73,D. Melton misses 2-pt layup at rim,,3,75,73,2,1910.0
4:09.0,Defensive rebound by J. Holiday,75-73, ,,3,75,73,2,1911.0
3:59.0,Personal foul by D. Melton (drawn by J. Holiday),75-73, ,,3,75,73,2,1921.0
3:59.0, ,75-73,P. Beverley enters the game for T. Maxey,,3,75,73,2,1921.0
3:50.0,J. Tatum makes 3-pt jump shot from 25 ft,78-73, ,,3,78,73,5,1930.0
3:28.0, ,78-73,T. Harris misses 2-pt layup from 3 ft,,3,78,73,5,1952.0
3:25.0, ,78-73,Offensive rebound by R. Covington,,3,78,73,5,1955.0
3:25.0, ,78-73,R. Covington misses 2-pt layup at rim,,3,78,73,5,1955.0
3:24.0,Defensive rebound by J. Holiday,78-73, ,,3,78,73,5,1956.0
3:20.0,J. Tatum misses 3-pt jump shot from 26 ft,78-73, ,,3,78,73,5,1960.0
3:20.0, ,78-73,Defensive rebound by Team,,3,78,73,5,1960.0
3:20.0,S. Mykhailiuk enters the game for J. Tatum,78-73, ,,3,78,73,5,1960.0
3:20.0, ,78-73,M. Morris enters the game for T. Harris,,3,78,73,5,1960.0
3:03.0, ,78-73,J. Embiid misses 2-pt jump shot from 16 ft (block by A. Horford),,3,78,73,5,1977.0
2:59.0,Defensive rebound by S. Hauser,78-73, ,,3,78,73,5,1981.0
2:57.0,P. Pritchard misses 3-pt jump shot from 26 ft,78-73, ,,3,78,73,5,1983.0
2:55.0, ,78-73,Defensive rebound by D. Melton,,3,78,73,5,1985.0
2:48.0, ,78-73,D. Melton misses 3-pt jump shot from 27 ft,,3,78,73,5,1992.0
2:45.0,Defensive rebound by J. Holiday,78-73, ,,3,78,73,5,1995.0
2:25.0,J. Holiday makes 2-pt layup from 1 ft,80-73, ,,3,80,73,7,2015.0
2:10.0, ,80-73,Shooting foul by A. Horford (drawn by R. Covington),,3,80,73,7,2030.0
2:10.0,Boston full timeout,80-73, ,,3,80,73,7,2030.0
2:10.0,D. Banton enters the game for S. Hauser,80-73, ,,3,80,73,7,2030.0
2:10.0,L. Kornet enters the game for A. Horford,80-73, ,,3,80,73,7,2030.0
2:10.0, ,80-73,J. Springer enters the game for D. Melton,,3,80,73,7,2030.0
2:10.0, ,80-74,R. Covington makes free throw 1 of 2,,3,80,74,6,2030.0
2:10.0, ,80-75,R. Covington makes free throw 2 of 2,,3,80,75,5,2030.0
1:48.0,S. Mykhailiuk misses 3-pt jump shot from 24 ft,80-75, ,,3,80,75,5,2052.0
1:44.0, ,80-75,Defensive rebound by J. Embiid,,3,80,75,5,2056.0
1:32.0, ,80-75,Shooting foul by S. Mykhailiuk (drawn by P. Beverley),,3,80,75,5,2068.0
1:32.0, ,80-75,P. Beverley misses free throw 1 of 2,,3,80,75,5,2068.0
1:32.0, ,80-75,Offensive rebound by Team,,3,80,75,5,2068.0
1:32.0, ,80-75,P. Beverley misses free throw 2 of 2,,3,80,75,5,2068.0
1:30.0,Defensive rebound by J. Holiday,80-75, ,,3,80,75,5,2070.0
1:17.0,J. Holiday makes 3-pt jump shot from 23 ft (assist by P. Pritchard),83-75, ,,3,83,75,8,2083.0
0:56.0, ,83-75,P. Beverley misses 3-pt jump shot from 24 ft,,3,83,75,8,2104.0
0:54.0,Defensive rebound by L. Kornet,83-75, ,,3,83,75,8,2106.0
0:32.0,P. Pritchard misses 3-pt jump shot from 26 ft,83-75, ,,3,83,75,8,2128.0
