Time,Boston,Score,Minnesota,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:45.0,A. Horford makes 3-pt jump shot from 25 ft (assist by J. Brown),42-40, ,Lead change,2,42,40,2,1095.0
5:32.0, ,42-40,Turnover by K. Anderson (bad pass),,2,42,40,2,1108.0
5:32.0,P. Pritchard enters the game for S. Hauser,42-40, ,,2,42,40,2,1108.0
5:25.0,Personal foul by A. Edwards (drawn by K. Porziņģis),42-40, ,,2,42,40,2,1115.0
5:19.0,J. Holiday makes 2-pt layup from 2 ft,44-40, ,,2,44,40,4,1121.0
4:58.0, ,44-40,K. Anderson misses 3-pt jump shot from 24 ft,,2,44,40,4,1142.0
4:56.0,Defensive rebound by A. Horford,44-40, ,,2,44,40,4,1144.0
4:44.0,Shooting foul by K. Anderson (drawn by K. Porziņģis),44-40, ,,2,44,40,4,1156.0
4:44.0,K. Porziņģis makes free throw 1 of 2,45-40, ,,2,45,40,5,1156.0
4:44.0, ,45-40,J. McDaniels enters the game for K. Anderson,,2,45,40,5,1156.0
4:44.0,K. Porziņģis makes free throw 2 of 2,46-40, ,,2,46,40,6,1156.0
4:33.0, ,46-40,J. McDaniels misses 2-pt jump shot from 6 ft,,2,46,40,6,1167.0
4:31.0,Defensive rebound by J. Brown,46-40, ,,2,46,40,6,1169.0
4:25.0,J. Brown makes 2-pt jump shot from 14 ft,48-40, ,,2,48,40,8,1175.0
4:12.0, ,48-40,N. Reid misses 3-pt jump shot from 23 ft,,2,48,40,8,1188.0
4:12.0, ,48-40,Offensive rebound by Team,,2,48,40,8,1188.0
4:12.0,Loose ball foul by K. Porziņģis (drawn by R. Gobert),48-40, ,,2,48,40,8,1188.0
4:12.0,J. Tatum enters the game for A. Horford,48-40, ,,2,48,40,8,1188.0
4:12.0, ,48-40,N. Alexander-Walker enters the game for M. Conley,,2,48,40,8,1188.0
4:01.0, ,48-40,A. Edwards misses 3-pt jump shot from 25 ft,,2,48,40,8,1199.0
3:58.0, ,48-40,Offensive rebound by J. McDaniels,,2,48,40,8,1202.0
3:56.0, ,48-40,J. McDaniels misses 2-pt layup from 2 ft,,2,48,40,8,1204.0
3:54.0, ,48-40,Offensive rebound by R. Gobert,,2,48,40,8,1206.0
3:54.0, ,48-42,R. Gobert makes 2-pt dunk from 1 ft,,2,48,42,6,1206.0
3:41.0,P. Pritchard misses 3-pt jump shot from 22 ft,48-42, ,,2,48,42,6,1219.0
