Time,Boston,Score,Brooklyn,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
10:52.0,Defensive rebound by L. Kornet,36-33, ,,2,36,33,3,788.0
10:47.0,P. Pritchard makes 3-pt jump shot from 22 ft (assist by O. Brissett),39-33, ,,2,39,33,6,793.0
10:46.0, ,39-33,Brooklyn full timeout,,2,39,33,6,794.0
10:46.0, ,39-33,Technical foul by M. Bridges,,2,39,33,6,794.0
10:46.0,D. White makes technical free throw,40-33, ,,2,40,33,7,794.0
10:46.0,A. Horford enters the game for L. Kornet,40-33, ,,2,40,33,7,794.0
10:28.0, ,40-36,L. Walker makes 3-pt jump shot from 27 ft (assist by D. Schröder),,2,40,36,4,812.0
10:11.0,Shooting foul by M. Bridges (drawn by J. Brown),40-36, ,,2,40,36,4,829.0
10:11.0,J. Brown makes free throw 1 of 2,41-36, ,,2,41,36,5,829.0
10:11.0,J. Brown misses free throw 2 of 2,41-36, ,,2,41,36,5,829.0
10:08.0, ,41-36,Defensive rebound by D. Sharpe,,2,41,36,5,832.0
9:52.0, ,41-36,Turnover by D. Smith (bad pass; steal by A. Horford),,2,41,36,5,848.0
9:37.0,J. Brown makes 2-pt jump shot from 15 ft,43-36, ,,2,43,36,7,863.0
9:22.0, ,43-36,D. Smith misses 3-pt jump shot from 23 ft,,2,43,36,7,878.0
9:21.0, ,43-36,Offensive rebound by D. Sharpe,,2,43,36,7,879.0
9:21.0, ,43-38,D. Sharpe makes 2-pt layup at rim,,2,43,38,5,879.0
9:21.0, ,43-38,Shooting foul by P. Pritchard (drawn by D. Sharpe),,2,43,38,5,879.0
9:21.0, ,43-39,D. Sharpe makes free throw 1 of 1,,2,43,39,4,879.0
9:04.0,A. Horford makes 2-pt jump shot from 5 ft (assist by D. White),45-39, ,,2,45,39,6,896.0
9:04.0, ,45-39,Violation by Team (def goaltending),,2,45,39,6,896.0
8:43.0, ,45-41,M. Bridges makes 2-pt jump shot from 13 ft,,2,45,41,4,917.0
8:30.0,J. Brown misses 3-pt jump shot from 25 ft,45-41, ,,2,45,41,4,930.0
8:24.0, ,45-41,Defensive rebound by L. Walker,,2,45,41,4,936.0
8:18.0, ,45-41,D. Schröder misses 3-pt jump shot from 26 ft,,2,45,41,4,942.0
8:17.0,Defensive rebound by Team,45-41, ,,2,45,41,4,943.0
8:17.0, ,45-41,Loose ball foul by D. Sharpe (drawn by D. White),,2,45,41,4,943.0
