Time,Boston,Score,Milwaukee,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
1:10.0,O. Brissett misses 3-pt jump shot from 23 ft,23-36, ,,1,23,36,-13,650.0
1:06.0, ,23-36,Defensive rebound by A. Jackson,,1,23,36,-13,654.0
0:46.0, ,23-39,B. Portis makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),,1,23,39,-16,674.0
0:27.0,Turnover by J. Tatum (bad pass; steal by B. Portis),23-39, ,,1,23,39,-16,693.0
0:23.0, ,23-41,B. Portis makes 2-pt layup from 3 ft,,1,23,41,-18,697.0
0:03.0,J. Tatum misses 3-pt jump shot from 26 ft,23-41, ,,1,23,41,-18,717.0
0:01.0,Offensive rebound by Team,23-41, ,,1,23,41,-18,719.0
0:00.0,End of 1st quarter,23-41,,,1,23,41,-18,720.0
12:00.0,Start of 2nd quarter,23-41,,,2,23,41,-18,720.0
11:36.0, ,23-41,Turnover by Team (shot clock),,2,23,41,-18,744.0
11:21.0,J. Holiday misses 3-pt jump shot from 27 ft,23-41, ,,2,23,41,-18,759.0
11:16.0,Offensive rebound by S. Hauser,23-41, ,,2,23,41,-18,764.0
11:16.0,Turnover by S. Hauser (bad pass),23-41, ,,2,23,41,-18,764.0
10:58.0, ,23-43,G. Antetokounmpo makes 2-pt jump shot from 13 ft (assist by K. Middleton),,2,23,43,-20,782.0
10:41.0,P. Pritchard misses 3-pt jump shot from 23 ft,23-43, ,,2,23,43,-20,799.0
10:36.0, ,23-43,Defensive rebound by B. Portis,,2,23,43,-20,804.0
10:24.0, ,23-43,K. Middleton misses 2-pt jump shot from 10 ft,,2,23,43,-20,816.0
10:22.0, ,23-43,Offensive rebound by A. Jackson,,2,23,43,-20,818.0
10:20.0, ,23-46,B. Portis makes 3-pt jump shot from 25 ft (assist by A. Jackson),,2,23,46,-23,820.0
10:07.0,S. Hauser misses 3-pt jump shot from 23 ft,23-46, ,,2,23,46,-23,833.0
10:03.0, ,23-46,Defensive rebound by B. Portis,,2,23,46,-23,837.0
9:54.0, ,23-46,B. Portis misses 3-pt jump shot from 27 ft,,2,23,46,-23,846.0
9:51.0, ,23-46,Offensive rebound by G. Antetokounmpo,,2,23,46,-23,849.0
9:49.0, ,23-46,K. Middleton misses 3-pt jump shot from 26 ft,,2,23,46,-23,851.0
9:46.0, ,23-46,Offensive rebound by P. Connaughton,,2,23,46,-23,854.0
9:43.0, ,23-46,Shooting foul by J. Tatum (drawn by G. Antetokounmpo),,2,23,46,-23,857.0
9:43.0, ,23-46,G. Antetokounmpo misses free throw 1 of 2,,2,23,46,-23,857.0
9:43.0, ,23-46,Offensive rebound by Team,,2,23,46,-23,857.0
9:43.0, ,23-47,G. Antetokounmpo makes free throw 2 of 2,,2,23,47,-24,857.0
9:27.0,J. Holiday misses 3-pt jump shot from 23 ft,23-47, ,,2,23,47,-24,873.0
9:23.0, ,23-47,Defensive rebound by B. Portis,,2,23,47,-24,877.0
9:14.0, ,23-49,G. Antetokounmpo makes 2-pt dunk from 3 ft (assist by K. Middleton),,2,23,49,-26,886.0
9:07.0,P. Pritchard misses 3-pt jump shot from 27 ft,23-49, ,,2,23,49,-26,893.0
9:02.0, ,23-49,Defensive rebound by B. Portis,,2,23,49,-26,898.0
8:56.0, ,23-51,B. Portis makes 2-pt jump shot from 16 ft,,2,23,51,-28,904.0
8:56.0,Boston full timeout,23-51, ,,2,23,51,-28,904.0
8:56.0,J. Brown enters the game for S. Hauser,23-51, ,,2,23,51,-28,904.0
8:56.0,K. Porziņģis enters the game for J. Tatum,23-51, ,,2,23,51,-28,904.0
8:56.0, ,23-51,M. Beasley enters the game for G. Antetokounmpo,,2,23,51,-28,904.0
8:56.0, ,23-51,B. Lopez enters the game for A. Jackson,,2,23,51,-28,904.0
8:34.0,J. Holiday misses 2-pt jump shot from 14 ft,23-51, ,,2,23,51,-28,926.0
8:31.0, ,23-51,Defensive rebound by B. Lopez,,2,23,51,-28,929.0
8:26.0, ,23-54,K. Middleton makes 3-pt jump shot from 27 ft,,2,23,54,-31,934.0
8:14.0,J. Brown misses 2-pt jump shot from 7 ft,23-54, ,,2,23,54,-31,946.0
8:09.0, ,23-54,Defensive rebound by B. Portis,,2,23,54,-31,951.0
8:09.0,D. White enters the game for L. Kornet,23-54, ,,2,23,54,-31,951.0
8:02.0, ,23-56,B. Lopez makes 2-pt jump shot from 11 ft (assist by K. Middleton),,2,23,56,-33,958.0
7:54.0,Personal foul by K. Middleton (drawn by J. Holiday),23-56, ,,2,23,56,-33,966.0
7:38.0,J. Brown makes 2-pt dunk from 1 ft (assist by K. Porziņģis),25-56, ,,2,25,56,-31,982.0
7:21.0, ,25-56,K. Middleton misses 2-pt layup from 6 ft,,2,25,56,-31,999.0
7:18.0,Defensive rebound by P. Pritchard,25-56, ,,2,25,56,-31,1002.0
7:15.0,J. Holiday makes 2-pt layup from 1 ft (assist by J. Brown),27-56, ,,2,27,56,-29,1005.0
7:15.0, ,27-56,Milwaukee full timeout,,2,27,56,-29,1005.0
6:57.0, ,27-59,M. Beasley makes 3-pt jump shot from 26 ft (assist by K. Middleton),,2,27,59,-32,1023.0
6:44.0,J. Holiday misses 3-pt jump shot from 26 ft,27-59, ,,2,27,59,-32,1036.0
6:41.0, ,27-59,Defensive rebound by B. Lopez,,2,27,59,-32,1039.0
6:24.0, ,27-59,M. Beasley misses 3-pt jump shot from 27 ft,,2,27,59,-32,1056.0
6:21.0,Defensive rebound by J. Brown,27-59, ,,2,27,59,-32,1059.0
6:16.0,J. Brown makes 2-pt jump shot from 16 ft,29-59, ,,2,29,59,-30,1064.0
5:55.0, ,29-59,B. Portis misses 2-pt hook shot from 8 ft,,2,29,59,-30,1085.0
5:52.0,Defensive rebound by D. White,29-59, ,,2,29,59,-30,1088.0
5:48.0,Personal foul by B. Lopez (drawn by J. Brown),29-59, ,,2,29,59,-30,1092.0
5:48.0, ,29-59,G. Antetokounmpo enters the game for K. Middleton,,2,29,59,-30,1092.0
5:48.0, ,29-59,D. Lillard enters the game for B. Portis,,2,29,59,-30,1092.0
5:39.0,K. Porziņģis misses 2-pt jump shot from 16 ft,29-59, ,,2,29,59,-30,1101.0
5:36.0, ,29-59,Defensive rebound by G. Antetokounmpo,,2,29,59,-30,1104.0
5:25.0, ,29-59,D. Lillard misses 3-pt jump shot from 26 ft,,2,29,59,-30,1115.0
5:22.0,Defensive rebound by J. Holiday,29-59, ,,2,29,59,-30,1118.0
5:16.0,K. Porziņģis misses 3-pt jump shot from 26 ft,29-59, ,,2,29,59,-30,1124.0
5:12.0, ,29-59,Defensive rebound by B. Lopez,,2,29,59,-30,1128.0
5:06.0, ,29-59,M. Beasley misses 3-pt jump shot from 27 ft,,2,29,59,-30,1134.0
5:02.0,Defensive rebound by P. Pritchard,29-59, ,,2,29,59,-30,1138.0
4:50.0,Turnover by J. Holiday (bad pass; steal by G. Antetokounmpo),29-59, ,,2,29,59,-30,1150.0
4:45.0, ,29-61,M. Beasley makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),,2,29,61,-32,1155.0
4:39.0,J. Brown makes 2-pt layup from 2 ft (assist by J. Holiday),31-61, ,,2,31,61,-30,1161.0
4:17.0, ,31-64,D. Lillard makes 3-pt jump shot from 26 ft (assist by B. Lopez),,2,31,64,-33,1183.0
4:16.0,Boston full timeout,31-64, ,,2,31,64,-33,1184.0
4:16.0,J. Tatum enters the game for J. Holiday,31-64, ,,2,31,64,-33,1184.0
4:16.0, ,31-64,A. Jackson enters the game for P. Connaughton,,2,31,64,-33,1184.0
3:57.0,J. Brown misses 2-pt layup from 1 ft,31-64, ,,2,31,64,-33,1203.0
3:55.0, ,31-64,Defensive rebound by B. Lopez,,2,31,64,-33,1205.0
3:53.0, ,31-64,Offensive foul by G. Antetokounmpo (drawn by D. White),,2,31,64,-33,1207.0
3:53.0, ,31-64,Turnover by G. Antetokounmpo (offensive foul),,2,31,64,-33,1207.0
3:44.0,D. White misses 2-pt jump shot from 10 ft,31-64, ,,2,31,64,-33,1216.0
3:41.0, ,31-64,Defensive rebound by M. Beasley,,2,31,64,-33,1219.0
3:25.0, ,31-64,G. Antetokounmpo misses 2-pt jump shot from 14 ft,,2,31,64,-33,1235.0
3:22.0, ,31-64,Offensive rebound by A. Jackson,,2,31,64,-33,1238.0
3:21.0, ,31-67,B. Lopez makes 3-pt jump shot from 29 ft (assist by A. Jackson),,2,31,67,-36,1239.0
3:01.0,P. Pritchard misses 3-pt jump shot from 23 ft,31-67, ,,2,31,67,-36,1259.0
2:57.0, ,31-67,Defensive rebound by G. Antetokounmpo,,2,31,67,-36,1263.0
2:44.0, ,31-67,M. Beasley misses 2-pt jump shot from 10 ft (block by P. Pritchard),,2,31,67,-36,1276.0
2:44.0, ,31-67,Offensive rebound by M. Beasley,,2,31,67,-36,1276.0
2:42.0, ,31-67,A. Jackson misses 3-pt jump shot from 23 ft,,2,31,67,-36,1278.0
2:41.0, ,31-67,Offensive rebound by G. Antetokounmpo,,2,31,67,-36,1279.0
2:38.0, ,31-69,G. Antetokounmpo makes 2-pt dunk at rim,,2,31,69,-38,1282.0
2:26.0,Personal foul by A. Jackson (drawn by J. Tatum),31-69, ,,2,31,69,-38,1294.0
2:26.0,J. Holiday enters the game for P. Pritchard,31-69, ,,2,31,69,-38,1294.0
2:20.0,J. Tatum makes 2-pt layup from 2 ft (assist by K. Porziņģis),33-69, ,,2,33,69,-36,1300.0
2:09.0, ,33-69,Shooting foul by K. Porziņģis (drawn by D. Lillard),,2,33,69,-36,1311.0
2:09.0, ,33-70,D. Lillard makes free throw 1 of 2,,2,33,70,-37,1311.0
2:09.0, ,33-71,D. Lillard makes free throw 2 of 2,,2,33,71,-38,1311.0
1:48.0,J. Brown misses 2-pt layup from 3 ft (block by G. Antetokounmpo),33-71, ,,2,33,71,-38,1332.0
1:48.0,Offensive rebound by Team,33-71, ,,2,33,71,-38,1332.0
1:43.0,J. Holiday makes 2-pt jump shot from 14 ft (assist by J. Tatum),35-71, ,,2,35,71,-36,1337.0
1:34.0, ,35-73,D. Lillard makes 2-pt layup from 2 ft,,2,35,73,-38,1346.0
1:25.0,D. White makes 2-pt jump shot from 12 ft (assist by J. Holiday),37-73, ,,2,37,73,-36,1355.0
1:16.0, ,37-73,Offensive foul by B. Lopez (drawn by J. Holiday),,2,37,73,-36,1364.0
1:16.0, ,37-73,Turnover by B. Lopez (offensive foul),,2,37,73,-36,1364.0
1:03.0,J. Tatum misses 2-pt jump shot from 12 ft,37-73, ,,2,37,73,-36,1377.0
1:00.0, ,37-73,Defensive rebound by D. Lillard,,2,37,73,-36,1380.0
0:56.0, ,37-73,D. Lillard misses 3-pt jump shot from 31 ft,,2,37,73,-36,1384.0
0:52.0,Defensive rebound by J. Holiday,37-73, ,,2,37,73,-36,1388.0
0:45.0,J. Brown misses 2-pt layup from 3 ft,37-73, ,,2,37,73,-36,1395.0
0:42.0, ,37-73,Defensive rebound by D. Lillard,,2,37,73,-36,1398.0
0:40.0, ,37-73,Personal foul by J. Tatum (drawn by G. Antetokounmpo),,2,37,73,-36,1400.0
0:34.0, ,37-73,M. Beasley misses 3-pt jump shot from 26 ft,,2,37,73,-36,1406.0
0:31.0,Defensive rebound by J. Tatum,37-73, ,,2,37,73,-36,1409.0
0:28.0,Shooting foul by A. Jackson (drawn by J. Tatum),37-73, ,,2,37,73,-36,1412.0
0:28.0,J. Tatum misses free throw 1 of 2,37-73, ,,2,37,73,-36,1412.0
0:28.0,Offensive rebound by Team,37-73, ,,2,37,73,-36,1412.0
0:28.0, ,37-73,K. Middleton enters the game for A. Jackson,,2,37,73,-36,1412.0
0:28.0,J. Tatum makes free throw 2 of 2,38-73, ,,2,38,73,-35,1412.0
0:04.0, ,38-75,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by D. Lillard),,2,38,75,-37,1436.0
0:00.0,J. Holiday misses 2-pt jump shot from 10 ft,38-75, ,,2,38,75,-37,1440.0
0:00.0,Offensive rebound by Team,38-75, ,,2,38,75,-37,1440.0
0:00.0,End of 2nd quarter,38-75,,,2,38,75,-37,1440.0
12:00.0,Start of 3rd quarter,38-75,,,3,38,75,-37,1440.0
11:45.0, ,38-77,B. Lopez makes 2-pt layup from 3 ft (assist by G. Antetokounmpo),,3,38,77,-39,1455.0
11:28.0,P. Pritchard misses 3-pt jump shot from 29 ft,38-77, ,,3,38,77,-39,1472.0
11:24.0, ,38-77,Defensive rebound by M. Beasley,,3,38,77,-39,1476.0
11:12.0, ,38-77,Personal foul by L. Stevens (drawn by G. Antetokounmpo),,3,38,77,-39,1488.0
10:56.0, ,38-77,K. Middleton misses 3-pt jump shot from 23 ft,,3,38,77,-39,1504.0
10:53.0,Defensive rebound by L. Stevens,38-77, ,,3,38,77,-39,1507.0
10:49.0,L. Stevens misses 2-pt jump shot from 14 ft,38-77, ,,3,38,77,-39,1511.0
10:49.0,Offensive rebound by Team,38-77, ,,3,38,77,-39,1511.0
10:49.0, ,38-77,Loose ball foul by K. Middleton (drawn by L. Kornet),,3,38,77,-39,1511.0
10:34.0,S. Mykhailiuk misses 2-pt jump shot from 19 ft,38-77, ,,3,38,77,-39,1526.0
10:33.0, ,38-77,Defensive rebound by G. Antetokounmpo,,3,38,77,-39,1527.0
10:27.0, ,38-77,Shooting foul by L. Kornet (drawn by G. Antetokounmpo),,3,38,77,-39,1533.0
10:27.0, ,38-78,G. Antetokounmpo makes free throw 1 of 2,,3,38,78,-40,1533.0
10:27.0, ,38-79,G. Antetokounmpo makes free throw 2 of 2,,3,38,79,-41,1533.0
10:11.0,S. Hauser makes 3-pt jump shot from 27 ft (assist by L. Kornet),41-79, ,,3,41,79,-38,1549.0
9:55.0, ,41-81,D. Lillard makes 2-pt jump shot from 22 ft,,3,41,81,-40,1565.0
9:47.0,Def 3 sec tech foul by Team,41-81, ,,3,41,81,-40,1573.0
9:47.0,S. Hauser makes technical free throw,42-81, ,,3,42,81,-39,1573.0
9:42.0,S. Mykhailiuk misses 3-pt jump shot from 25 ft,42-81, ,,3,42,81,-39,1578.0
9:42.0, ,42-81,Defensive rebound by Team,,3,42,81,-39,1578.0
9:29.0, ,42-83,B. Lopez makes 2-pt layup from 1 ft (assist by K. Middleton),,3,42,83,-41,1591.0
9:20.0,S. Hauser misses 3-pt jump shot from 26 ft,42-83, ,,3,42,83,-41,1600.0
9:15.0, ,42-83,Defensive rebound by K. Middleton,,3,42,83,-41,1605.0
9:04.0, ,42-83,B. Lopez misses 3-pt jump shot from 27 ft,,3,42,83,-41,1616.0
9:03.0, ,42-83,Offensive rebound by G. Antetokounmpo,,3,42,83,-41,1617.0
9:01.0, ,42-85,G. Antetokounmpo makes 2-pt dunk from 1 ft,,3,42,85,-43,1619.0
8:46.0,P. Pritchard makes 3-pt jump shot from 27 ft,45-85, ,,3,45,85,-40,1634.0
8:33.0, ,45-85,K. Middleton misses 2-pt jump shot from 21 ft,,3,45,85,-40,1647.0
8:30.0,Defensive rebound by L. Stevens,45-85, ,,3,45,85,-40,1650.0
8:25.0,Shooting foul by B. Lopez (drawn by P. Pritchard),45-85, ,,3,45,85,-40,1655.0
8:25.0,P. Pritchard makes free throw 1 of 2,46-85, ,,3,46,85,-39,1655.0
8:25.0,P. Pritchard makes free throw 2 of 2,47-85, ,,3,47,85,-38,1655.0
8:01.0, ,47-85,B. Lopez misses 3-pt jump shot from 23 ft,,3,47,85,-38,1679.0
7:58.0,Defensive rebound by L. Stevens,47-85, ,,3,47,85,-38,1682.0
7:54.0,S. Mykhailiuk makes 3-pt jump shot from 27 ft (assist by P. Pritchard),50-85, ,,3,50,85,-35,1686.0
7:54.0, ,50-85,Milwaukee full timeout,,3,50,85,-35,1686.0
7:38.0, ,50-87,B. Lopez makes 2-pt dunk from 1 ft (assist by G. Antetokounmpo),,3,50,87,-37,1702.0
7:25.0,Turnover by P. Pritchard (bad pass),50-87, ,,3,50,87,-37,1715.0
7:10.0, ,50-90,M. Beasley makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),,3,50,90,-40,1730.0
6:57.0,Def 3 sec tech foul by Team,50-90, ,,3,50,90,-40,1743.0
6:57.0,S. Hauser makes technical free throw,51-90, ,,3,51,90,-39,1743.0
6:45.0,P. Pritchard misses 3-pt jump shot from 26 ft,51-90, ,,3,51,90,-39,1755.0
6:41.0, ,51-90,Defensive rebound by G. Antetokounmpo,,3,51,90,-39,1759.0
6:30.0, ,51-90,K. Middleton misses 3-pt jump shot from 27 ft,,3,51,90,-39,1770.0
6:28.0, ,51-90,Offensive rebound by B. Lopez,,3,51,90,-39,1772.0
6:25.0, ,51-93,M. Beasley makes 3-pt jump shot from 25 ft (assist by B. Lopez),,3,51,93,-42,1775.0
6:08.0,S. Mykhailiuk makes 2-pt jump shot from 12 ft,53-93, ,,3,53,93,-40,1792.0
5:57.0, ,53-93,Turnover by G. Antetokounmpo (palming),,3,53,93,-40,1803.0
5:57.0,D. Banton enters the game for S. Hauser,53-93, ,,3,53,93,-40,1803.0
5:57.0,O. Brissett enters the game for L. Kornet,53-93, ,,3,53,93,-40,1803.0
5:57.0,N. Queta enters the game for L. Stevens,53-93, ,,3,53,93,-40,1803.0
5:57.0, ,53-93,P. Connaughton enters the game for B. Lopez,,3,53,93,-40,1803.0
5:57.0, ,53-93,B. Portis enters the game for K. Middleton,,3,53,93,-40,1803.0
5:38.0,O. Brissett misses 3-pt jump shot from 26 ft,53-93, ,,3,53,93,-40,1822.0
5:35.0, ,53-93,Defensive rebound by B. Portis,,3,53,93,-40,1825.0
5:31.0, ,53-93,Shooting foul by D. Banton (drawn by D. Lillard),,3,53,93,-40,1829.0
5:31.0, ,53-94,D. Lillard makes free throw 1 of 2,,3,53,94,-41,1829.0
5:31.0, ,53-95,D. Lillard makes free throw 2 of 2,,3,53,95,-42,1829.0
5:13.0,O. Brissett makes 2-pt hook shot from 2 ft (assist by P. Pritchard),55-95, ,,3,55,95,-40,1847.0
5:13.0, ,55-95,Violation by Team (def goaltending),,3,55,95,-40,1847.0
