Time,Philadelphia,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:11.0, ,66-77,Offensive rebound by Team,,3,77,66,11,1969.0
3:11.0, ,66-77,K. Porziņģis enters the game for D. White,,3,77,66,11,1969.0
3:11.0, ,66-78,J. Brown makes free throw 2 of 2,,3,78,66,12,1969.0
2:51.0,M. Bamba misses 2-pt hook shot from 5 ft,66-78, ,,3,78,66,12,1989.0
2:49.0, ,66-78,Defensive rebound by K. Porziņģis,,3,78,66,12,1991.0
2:43.0, ,66-80,J. Brown makes 2-pt layup from 4 ft (assist by J. Holiday),,3,80,66,14,1997.0
2:31.0,T. Maxey makes 3-pt jump shot from 25 ft,69-80, ,,3,80,69,11,2009.0
2:06.0, ,69-80,Shooting foul by M. Bamba (drawn by K. Porziņģis),,3,80,69,11,2034.0
2:06.0, ,69-81,K. Porziņģis makes free throw 1 of 2,,3,81,69,12,2034.0
2:06.0,T. Harris enters the game for M. Bamba,69-81, ,,3,81,69,12,2034.0
2:06.0, ,69-82,K. Porziņģis makes free throw 2 of 2,,3,82,69,13,2034.0
1:48.0,T. Harris makes 3-pt jump shot from 26 ft (assist by T. Maxey),72-82, ,,3,82,72,10,2052.0
1:40.0, ,72-82,Personal foul by N. Batum (drawn by K. Porziņģis),,3,82,72,10,2060.0
1:40.0, ,72-83,K. Porziņģis makes free throw 1 of 2,,3,83,72,11,2060.0
1:40.0, ,72-84,K. Porziņģis makes free throw 2 of 2,,3,84,72,12,2060.0
1:22.0,Personal foul by S. Hauser (drawn by T. Maxey),72-84, ,,3,84,72,12,2078.0
1:22.0, ,72-84,P. Pritchard enters the game for K. Porziņģis,,3,84,72,12,2078.0
1:13.0,Turnover by N. Batum (back court),72-84, ,,3,84,72,12,2087.0
0:59.0, ,72-84,A. Horford misses 3-pt jump shot from 24 ft,,3,84,72,12,2101.0
0:57.0,Defensive rebound by R. Council,72-84, ,,3,84,72,12,2103.0
0:51.0,R. Council makes 2-pt layup from 3 ft,74-84, ,,3,84,74,10,2109.0
0:51.0,Shooting foul by S. Hauser (drawn by R. Council),74-84, ,,3,84,74,10,2109.0
0:51.0, ,74-84,J. Tatum enters the game for J. Brown,,3,84,74,10,2109.0
0:51.0,R. Council makes free throw 1 of 1,75-84, ,,3,84,75,9,2109.0
0:34.0, ,75-84,Turnover by P. Pritchard (bad pass; steal by K. Lowry),,3,84,75,9,2126.0
0:31.0,R. Council misses 2-pt layup from 2 ft,75-84, ,,3,84,75,9,2129.0
0:30.0, ,75-84,Defensive rebound by J. Tatum,,3,84,75,9,2130.0
0:07.0, ,75-84,J. Tatum misses 2-pt layup from 4 ft,,3,84,75,9,2153.0
0:06.0,Defensive rebound by N. Batum,75-84, ,,3,84,75,9,2154.0
0:05.0,Turnover by N. Batum (bad pass; steal by J. Holiday),75-84, ,,3,84,75,9,2155.0
0:04.0, ,75-86,J. Tatum makes 2-pt dunk from 1 ft (assist by J. Holiday),,3,86,75,11,2156.0
0:00.0,T. Maxey misses 3-pt jump shot from 50 ft,75-86, ,,3,86,75,11,2160.0
0:00.0,Offensive rebound by Team,75-86, ,,3,86,75,11,2160.0
0:00.0,End of 3rd quarter,75-86,,,3,86,75,11,2160.0
12:00.0,Start of 4th quarter,75-86,,,4,86,75,11,2160.0
11:46.0, ,75-86,Turnover by S. Hauser (lost ball; steal by K. Lowry),,4,86,75,11,2174.0
11:37.0,R. Council makes 2-pt layup from 3 ft,77-86, ,,4,86,77,9,2183.0
11:37.0,Shooting foul by A. Horford (drawn by R. Council),77-86, ,,4,86,77,9,2183.0
11:37.0,R. Council makes free throw 1 of 1,78-86, ,,4,86,78,8,2183.0
11:25.0, ,78-88,A. Horford makes 2-pt layup from 6 ft (assist by J. Tatum),,4,88,78,10,2195.0
11:08.0,C. Payne makes 2-pt layup from 5 ft,80-88, ,,4,88,80,8,2212.0
10:56.0, ,80-88,P. Pritchard misses 3-pt jump shot from 24 ft,,4,88,80,8,2224.0
10:55.0,Defensive rebound by R. Council,80-88, ,,4,88,80,8,2225.0
10:32.0,K. Lowry misses 2-pt jump shot from 16 ft,80-88, ,,4,88,80,8,2248.0
10:31.0, ,80-88,Defensive rebound by S. Hauser,,4,88,80,8,2249.0
10:14.0, ,80-88,A. Horford misses 3-pt jump shot from 23 ft,,4,88,80,8,2266.0
10:02.0,Defensive rebound by K. Oubre,80-88, ,,4,88,80,8,2278.0
9:57.0,C. Payne makes 3-pt jump shot from 29 ft (assist by R. Council),83-88, ,,4,88,83,5,2283.0
9:35.0, ,83-90,J. Tatum makes 2-pt jump shot from 21 ft,,4,90,83,7,2305.0
9:35.0, ,83-90,Shooting foul by K. Oubre (drawn by J. Tatum),,4,90,83,7,2305.0
9:35.0, ,83-91,J. Tatum makes free throw 1 of 1,,4,91,83,8,2305.0
9:22.0,C. Payne makes 3-pt jump shot from 29 ft (assist by K. Lowry),86-91, ,,4,91,86,5,2318.0
9:00.0, ,86-91,J. Tatum misses 3-pt jump shot from 27 ft,,4,91,86,5,2340.0
8:58.0,Defensive rebound by K. Lowry,86-91, ,,4,91,86,5,2342.0
8:50.0,T. Harris makes 3-pt jump shot from 24 ft (assist by K. Lowry),89-91, ,,4,91,89,2,2350.0
8:49.0, ,89-91,Boston full timeout,,4,91,89,2,2351.0
8:49.0,M. Bamba enters the game for K. Oubre,89-91, ,,4,91,89,2,2351.0
8:49.0, ,89-91,L. Kornet enters the game for S. Hauser,,4,91,89,2,2351.0
8:42.0, ,89-91,Personal foul by C. Payne (drawn by J. Tatum),,4,91,89,2,2358.0
8:32.0, ,89-91,J. Holiday misses 2-pt jump shot from 6 ft (block by M. Bamba),,4,91,89,2,2368.0
8:31.0, ,89-91,Offensive rebound by J. Holiday,,4,91,89,2,2369.0
8:29.0, ,89-91,Turnover by J. Holiday (out of bounds lost ball),,4,91,89,2,2371.0
8:08.0,C. Payne misses 3-pt jump shot from 26 ft,89-91, ,,4,91,89,2,2392.0
8:06.0, ,89-91,Defensive rebound by J. Tatum,,4,91,89,2,2394.0
7:55.0, ,89-93,J. Holiday makes 2-pt jump shot from 14 ft,,4,93,89,4,2405.0
7:37.0,Turnover by C. Payne (bad pass; steal by P. Pritchard),89-93, ,,4,93,89,4,2423.0
7:29.0, ,89-93,Shooting foul by C. Payne (drawn by J. Tatum),,4,93,89,4,2431.0
7:29.0, ,89-94,J. Tatum makes free throw 1 of 2,,4,94,89,5,2431.0
7:29.0,T. Maxey enters the game for C. Payne,89-94, ,,4,94,89,5,2431.0
7:29.0, ,89-95,J. Tatum makes free throw 2 of 2,,4,95,89,6,2431.0
7:09.0,Turnover by M. Bamba (bad pass; steal by A. Horford),89-95, ,,4,95,89,6,2451.0
7:02.0,Violation by Team (kicked ball),89-95, ,,4,95,89,6,2458.0
6:57.0, ,89-95,J. Tatum misses 3-pt jump shot from 28 ft,,4,95,89,6,2463.0
6:55.0,Defensive rebound by Team,89-95, ,,4,95,89,6,2465.0
6:55.0, ,89-95,Loose ball foul by L. Kornet (drawn by M. Bamba),,4,95,89,6,2465.0
6:55.0, ,89-95,D. White enters the game for P. Pritchard,,4,95,89,6,2465.0
6:35.0,M. Bamba misses 2-pt hook shot from 8 ft,89-95, ,,4,95,89,6,2485.0
6:34.0, ,89-95,Defensive rebound by L. Kornet,,4,95,89,6,2486.0
6:18.0, ,89-97,A. Horford makes 2-pt hook shot from 5 ft (assist by D. White),,4,97,89,8,2502.0
6:05.0,T. Maxey misses 2-pt jump shot from 7 ft,89-97, ,,4,97,89,8,2515.0
6:04.0, ,89-97,Defensive rebound by J. Tatum,,4,97,89,8,2516.0
6:01.0, ,89-97,Shooting foul by T. Harris (drawn by J. Tatum),,4,97,89,8,2519.0
6:01.0, ,89-98,J. Tatum makes free throw 1 of 2,,4,98,89,9,2519.0
6:01.0,N. Batum enters the game for M. Bamba,89-98, ,,4,98,89,9,2519.0
6:01.0,B. Hield enters the game for R. Council,89-98, ,,4,98,89,9,2519.0
6:01.0, ,89-98,J. Brown enters the game for A. Horford,,4,98,89,9,2519.0
6:01.0, ,89-98,K. Porziņģis enters the game for L. Kornet,,4,98,89,9,2519.0
6:01.0, ,89-99,J. Tatum makes free throw 2 of 2,,4,99,89,10,2519.0
5:42.0,T. Harris misses 2-pt layup from 6 ft,89-99, ,,4,99,89,10,2538.0
5:41.0, ,89-99,Defensive rebound by J. Tatum,,4,99,89,10,2539.0
5:35.0, ,89-101,J. Tatum makes 2-pt layup from 5 ft,,4,101,89,12,2545.0
5:35.0,Philadelphia full timeout,89-101, ,,4,101,89,12,2545.0
5:22.0,T. Harris misses 3-pt jump shot from 24 ft,89-101, ,,4,101,89,12,2558.0
5:20.0, ,89-101,Defensive rebound by K. Porziņģis,,4,101,89,12,2560.0
5:07.0, ,89-101,J. Tatum misses 2-pt jump shot from 5 ft,,4,101,89,12,2573.0
5:05.0, ,89-101,Offensive rebound by K. Porziņģis,,4,101,89,12,2575.0
5:04.0, ,89-101,K. Porziņģis misses 2-pt layup from 2 ft,,4,101,89,12,2576.0
5:04.0, ,89-101,Offensive rebound by K. Porziņģis,,4,101,89,12,2576.0
5:04.0, ,89-101,K. Porziņģis misses 2-pt layup at rim,,4,101,89,12,2576.0
5:02.0, ,89-101,Offensive rebound by J. Brown,,4,101,89,12,2578.0
4:59.0, ,89-103,K. Porziņģis makes 2-pt dunk from 2 ft (assist by J. Brown),,4,103,89,14,2581.0
4:40.0,T. Maxey misses 3-pt jump shot from 26 ft,89-103, ,,4,103,89,14,2600.0
4:39.0, ,89-103,Defensive rebound by J. Tatum,,4,103,89,14,2601.0
4:31.0, ,89-106,J. Brown makes 3-pt jump shot from 24 ft (assist by D. White),,4,106,89,17,2609.0
4:19.0,T. Harris misses 3-pt jump shot from 27 ft,89-106, ,,4,106,89,17,2621.0
4:18.0, ,89-106,Defensive rebound by J. Tatum,,4,106,89,17,2622.0
4:00.0, ,89-106,Shooting foul by T. Harris (drawn by J. Tatum),,4,106,89,17,2640.0
4:00.0, ,89-107,J. Tatum makes free throw 1 of 2,,4,107,89,18,2640.0
4:00.0,D. Bazley enters the game for N. Batum,89-107, ,,4,107,89,18,2640.0
4:00.0,R. Council enters the game for T. Harris,89-107, ,,4,107,89,18,2640.0
4:00.0,C. Payne enters the game for K. Lowry,89-107, ,,4,107,89,18,2640.0
4:00.0, ,89-108,J. Tatum makes free throw 2 of 2,,4,108,89,19,2640.0
3:50.0,C. Payne makes 2-pt layup from 2 ft,91-108, ,,4,108,91,17,2650.0
3:23.0, ,91-110,J. Tatum makes 2-pt dunk from 3 ft,,4,110,91,19,2677.0
3:06.0,R. Council makes 2-pt layup from 4 ft (assist by D. Bazley),93-110, ,,4,110,93,17,2694.0
2:47.0, ,93-110,J. Tatum misses 2-pt layup from 3 ft (block by C. Payne),,4,110,93,17,2713.0
2:46.0,Defensive rebound by Team,93-110, ,,4,110,93,17,2714.0
2:46.0, ,93-110,Violation by Team (delay of game),,4,110,93,17,2714.0
2:39.0,Turnover by C. Payne (lost ball; steal by K. Porziņģis),93-110, ,,4,110,93,17,2721.0
2:36.0, ,93-112,J. Tatum makes 2-pt dunk from 1 ft,,4,112,93,19,2724.0
2:22.0,T. Maxey makes 2-pt layup from 2 ft,95-112, ,,4,112,95,17,2738.0
2:04.0, ,95-114,J. Brown makes 2-pt layup from 4 ft (assist by D. White),,4,114,95,19,2756.0
2:04.0, ,95-114,Shooting foul by B. Hield (drawn by J. Brown),,4,114,95,19,2756.0
2:04.0,M. Bamba enters the game for T. Maxey,95-114, ,,4,114,95,19,2756.0
2:04.0, ,95-114,O. Brissett enters the game for J. Holiday,,4,114,95,19,2756.0
2:04.0, ,95-114,S. Hauser enters the game for K. Porziņģis,,4,114,95,19,2756.0
2:04.0, ,95-114,L. Kornet enters the game for J. Tatum,,4,114,95,19,2756.0
2:04.0, ,95-114,P. Pritchard enters the game for D. White,,4,114,95,19,2756.0
2:04.0, ,95-115,J. Brown makes free throw 1 of 1,,4,115,95,20,2756.0
2:04.0,Personal take foul by S. Hauser (drawn by C. Payne),95-115, ,,4,115,95,20,2756.0
2:04.0, ,95-115,J. Springer enters the game for J. Brown,,4,115,95,20,2756.0
1:46.0,R. Council makes 2-pt dunk from 2 ft (assist by B. Hield),97-115, ,,4,115,97,18,2774.0
1:25.0, ,97-115,J. Springer misses 2-pt jump shot from 5 ft,,4,115,97,18,2795.0
1:23.0, ,97-115,Offensive rebound by J. Springer,,4,115,97,18,2797.0
1:21.0, ,97-115,S. Hauser misses 3-pt jump shot from 27 ft,,4,115,97,18,2799.0
1:20.0,Defensive rebound by D. Bazley,97-115, ,,4,115,97,18,2800.0
1:03.0,B. Hield misses 3-pt jump shot from 27 ft,97-115, ,,4,115,97,18,2817.0
1:02.0, ,97-115,Defensive rebound by S. Hauser,,4,115,97,18,2818.0
0:47.0, ,97-117,P. Pritchard makes 2-pt jump shot from 14 ft,,4,117,97,20,2833.0
0:40.0,Personal foul by J. Springer (drawn by C. Payne),97-117, ,,4,117,97,20,2840.0
0:33.0,Personal foul by S. Hauser (drawn by R. Council),97-117, ,,4,117,97,20,2847.0
0:33.0,Philadelphia full timeout,97-117, ,,4,117,97,20,2847.0
0:33.0,R. Council makes free throw 1 of 2,98-117, ,,4,117,98,19,2847.0
0:33.0,R. Council makes free throw 2 of 2,99-117, ,,4,117,99,18,2847.0
0:22.0, ,99-117,O. Brissett misses 3-pt jump shot from 27 ft,,4,117,99,18,2858.0
0:20.0,Defensive rebound by Team,99-117, ,,4,117,99,18,2860.0
0:11.0,R. Council misses 2-pt layup from 5 ft,99-117, ,,4,117,99,18,2869.0
0:09.0, ,99-117,Defensive rebound by P. Pritchard,,4,117,99,18,2871.0
0:00.0,End of 4th quarter,99-117,,,4,117,99,18,2880.0
