Time,Philadelphia,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:57.0,N. Batum makes 3-pt jump shot from 27 ft (assist by K. Lowry),37-34, ,,2,34,37,-3,903.0
8:36.0, ,37-34,Shooting foul by M. Bamba (drawn by L. Kornet),,2,34,37,-3,924.0
8:36.0, ,37-35,L. Kornet makes free throw 1 of 2,,2,35,37,-2,924.0
8:36.0, ,37-36,L. Kornet makes free throw 2 of 2,,2,36,37,-1,924.0
8:21.0,K. Oubre makes 2-pt jump shot from 6 ft (assist by C. Payne),39-36, ,,2,36,39,-3,939.0
8:03.0, ,39-38,J. Holiday makes 2-pt jump shot from 12 ft,,2,38,39,-1,957.0
7:44.0,N. Batum misses 3-pt jump shot from 25 ft,39-38, ,,2,38,39,-1,976.0
7:43.0, ,39-38,Defensive rebound by A. Horford,,2,38,39,-1,977.0
7:33.0, ,39-40,J. Brown makes 2-pt hook shot from 3 ft (assist by J. Holiday),Lead change,2,40,39,1,987.0
7:26.0,K. Oubre misses 3-pt jump shot from 27 ft,39-40, ,,2,40,39,1,994.0
7:24.0, ,39-40,Defensive rebound by J. Holiday,,2,40,39,1,996.0
7:12.0, ,39-40,Turnover by J. Holiday (bad pass),,2,40,39,1,1008.0
7:12.0,Philadelphia full timeout,39-40, ,,2,40,39,1,1008.0
7:12.0,T. Harris enters the game for N. Batum,39-40, ,,2,40,39,1,1008.0
7:12.0,B. Hield enters the game for K. Lowry,39-40, ,,2,40,39,1,1008.0
7:12.0,T. Maxey enters the game for K. Oubre,39-40, ,,2,40,39,1,1008.0
7:12.0, ,39-40,S. Hauser enters the game for A. Horford,,2,40,39,1,1008.0
7:12.0, ,39-40,D. White enters the game for P. Pritchard,,2,40,39,1,1008.0
7:00.0,C. Payne misses 2-pt layup from 6 ft (block by J. Holiday),39-40, ,,2,40,39,1,1020.0
6:59.0, ,39-40,Defensive rebound by J. Holiday,,2,40,39,1,1021.0
6:58.0, ,39-40,Turnover by J. Holiday (out of bounds lost ball),,2,40,39,1,1022.0
6:45.0,T. Harris misses 2-pt jump shot from 5 ft (block by S. Hauser),39-40, ,,2,40,39,1,1035.0
6:43.0,Offensive rebound by T. Harris,39-40, ,,2,40,39,1,1037.0
6:38.0,C. Payne misses 2-pt jump shot from 10 ft,39-40, ,,2,40,39,1,1042.0
6:37.0,Offensive rebound by M. Bamba,39-40, ,,2,40,39,1,1043.0
6:37.0,M. Bamba makes 2-pt layup at rim,41-40, ,Lead change,2,40,41,-1,1043.0
6:26.0, ,41-40,J. Holiday misses 2-pt jump shot from 5 ft,,2,40,41,-1,1054.0
6:24.0,Defensive rebound by M. Bamba,41-40, ,,2,40,41,-1,1056.0
6:16.0,M. Bamba makes 3-pt jump shot from 26 ft (assist by C. Payne),44-40, ,,2,40,44,-4,1064.0
6:00.0, ,44-40,D. White misses 2-pt layup from 4 ft (block by T. Maxey),,2,40,44,-4,1080.0
5:58.0,Defensive rebound by T. Maxey,44-40, ,,2,40,44,-4,1082.0
5:53.0,T. Harris makes 2-pt layup from 3 ft (assist by T. Maxey),46-40, ,,2,40,46,-6,1087.0
5:46.0, ,46-40,Boston full timeout,,2,40,46,-6,1094.0
5:46.0, ,46-40,K. Porziņģis enters the game for J. Holiday,,2,40,46,-6,1094.0
5:46.0, ,46-40,J. Tatum enters the game for L. Kornet,,2,40,46,-6,1094.0
5:32.0, ,46-42,J. Brown makes 2-pt jump shot from 3 ft (assist by J. Tatum),,2,42,46,-4,1108.0
5:04.0,T. Harris misses 2-pt jump shot from 10 ft,46-42, ,,2,42,46,-4,1136.0
5:02.0, ,46-42,Defensive rebound by S. Hauser,,2,42,46,-4,1138.0
4:53.0, ,46-42,J. Tatum misses 2-pt jump shot from 15 ft,,2,42,46,-4,1147.0
4:51.0,Defensive rebound by M. Bamba,46-42, ,,2,42,46,-4,1149.0
4:40.0,M. Bamba misses 3-pt jump shot from 26 ft,46-42, ,,2,42,46,-4,1160.0
4:39.0, ,46-42,Defensive rebound by D. White,,2,42,46,-4,1161.0
4:27.0, ,46-42,Turnover by J. Tatum (bad pass),,2,42,46,-4,1173.0
4:27.0,D. Melton enters the game for C. Payne,46-42, ,,2,42,46,-4,1173.0
4:10.0,M. Bamba misses 2-pt layup from 6 ft,46-42, ,,2,42,46,-4,1190.0
4:08.0, ,46-42,Defensive rebound by S. Hauser,,2,42,46,-4,1192.0
4:05.0, ,46-44,J. Brown makes 2-pt layup from 2 ft (assist by D. White),,2,44,46,-2,1195.0
