Time,Phoenix,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:45.0, ,75-95,A. Horford makes 3-pt jump shot from 27 ft (assist by J. Tatum),,3,95,75,20,1995.0
2:27.0,K. Durant misses 2-pt jump shot from 22 ft,75-95, ,,3,95,75,20,2013.0
2:25.0, ,75-95,Defensive rebound by S. Hauser,,3,95,75,20,2015.0
2:15.0, ,75-95,J. Tatum misses 3-pt jump shot from 26 ft,,3,95,75,20,2025.0
2:13.0,Defensive rebound by J. Nurkić,75-95, ,,3,95,75,20,2027.0
2:02.0,G. Allen makes 3-pt jump shot from 24 ft (assist by D. Booker),78-95, ,,3,95,78,17,2038.0
1:42.0, ,78-97,X. Tillman makes 2-pt hook shot from 6 ft (assist by J. Holiday),,3,97,78,19,2058.0
1:26.0,J. Nurkić misses 2-pt layup from 5 ft (block by J. Holiday),78-97, ,,3,97,78,19,2074.0
1:25.0,Offensive rebound by J. Nurkić,78-97, ,,3,97,78,19,2075.0
1:23.0,J. Nurkić makes 2-pt layup from 1 ft,80-97, ,,3,97,80,17,2077.0
1:23.0,Violation by Team (delay of game),80-97, ,,3,97,80,17,2077.0
1:12.0, ,80-97,A. Horford misses 3-pt jump shot from 26 ft,,3,97,80,17,2088.0
1:09.0,Defensive rebound by J. Nurkić,80-97, ,,3,97,80,17,2091.0
1:02.0,D. Booker makes 3-pt jump shot from 28 ft,83-97, ,,3,97,83,14,2098.0
1:00.0, ,83-97,Boston full timeout,,3,97,83,14,2100.0
1:00.0,B. Beal enters the game for G. Allen,83-97, ,,3,97,83,14,2100.0
1:00.0,B. Bol enters the game for K. Durant,83-97, ,,3,97,83,14,2100.0
1:00.0,I. Wainright enters the game for J. Nurkić,83-97, ,,3,97,83,14,2100.0
1:00.0, ,83-97,P. Pritchard enters the game for A. Horford,,3,97,83,14,2100.0
0:52.0, ,83-100,S. Hauser makes 3-pt jump shot from 25 ft (assist by J. Tatum),,3,100,83,17,2108.0
0:43.0,D. Booker makes 2-pt jump shot from 20 ft,85-100, ,,3,100,85,15,2117.0
0:37.0, ,85-102,S. Hauser makes 2-pt layup from 2 ft (assist by J. Holiday),,3,102,85,17,2123.0
0:20.0,Turnover by B. Beal (lost ball; steal by S. Hauser),85-102, ,,3,102,85,17,2140.0
0:03.0, ,85-102,J. Tatum misses 2-pt jump shot from 8 ft,,3,102,85,17,2157.0
0:02.0,Defensive rebound by I. Wainright,85-102, ,,3,102,85,17,2158.0
0:00.0,End of 3rd quarter,85-102,,,3,102,85,17,2160.0
12:00.0,Start of 4th quarter,85-102,,,4,102,85,17,2160.0
11:48.0,I. Wainright misses 2-pt layup from 5 ft,85-102, ,,4,102,85,17,2172.0
11:47.0,Offensive rebound by I. Wainright,85-102, ,,4,102,85,17,2173.0
11:47.0,I. Wainright misses 2-pt layup from 3 ft,85-102, ,,4,102,85,17,2173.0
11:45.0,Offensive rebound by I. Wainright,85-102, ,,4,102,85,17,2175.0
11:42.0,G. Allen makes 3-pt jump shot from 27 ft (assist by R. O'Neale),88-102, ,,4,102,88,14,2178.0
11:24.0, ,88-104,J. Brown makes 2-pt jump shot from 7 ft (assist by D. White),,4,104,88,16,2196.0
11:13.0,B. Beal misses 3-pt jump shot from 26 ft,88-104, ,,4,104,88,16,2207.0
11:11.0, ,88-104,Defensive rebound by D. White,,4,104,88,16,2209.0
11:04.0, ,88-104,D. White misses 2-pt jump shot from 8 ft,,4,104,88,16,2216.0
11:01.0,Defensive rebound by I. Wainright,88-104, ,,4,104,88,16,2219.0
10:52.0,I. Wainright misses 3-pt jump shot from 28 ft,88-104, ,,4,104,88,16,2228.0
10:49.0, ,88-104,Defensive rebound by J. Brown,,4,104,88,16,2231.0
10:33.0, ,88-104,S. Hauser misses 3-pt jump shot from 26 ft,,4,104,88,16,2247.0
10:29.0,Defensive rebound by B. Bol,88-104, ,,4,104,88,16,2251.0
10:12.0,B. Beal makes 2-pt jump shot from 16 ft (assist by I. Wainright),90-104, ,,4,104,90,14,2268.0
9:46.0, ,90-106,J. Brown makes 2-pt jump shot from 15 ft,,4,106,90,16,2294.0
9:31.0,I. Wainright misses 3-pt jump shot from 27 ft,90-106, ,,4,106,90,16,2309.0
9:29.0, ,90-106,Defensive rebound by L. Kornet,,4,106,90,16,2311.0
9:12.0, ,90-109,J. Brown makes 3-pt jump shot from 26 ft,,4,109,90,19,2328.0
9:10.0,Phoenix full timeout,90-109, ,,4,109,90,19,2330.0
9:10.0,D. Booker enters the game for B. Bol,90-109, ,,4,109,90,19,2330.0
9:10.0,K. Durant enters the game for I. Wainright,90-109, ,,4,109,90,19,2330.0
9:10.0, ,90-109,X. Tillman enters the game for L. Kornet,,4,109,90,19,2330.0
9:00.0,K. Durant makes 2-pt dunk from 1 ft,92-109, ,,4,109,92,17,2340.0
8:40.0, ,92-109,J. Brown misses 3-pt jump shot from 26 ft,,4,109,92,17,2360.0
8:38.0, ,92-109,Offensive rebound by P. Pritchard,,4,109,92,17,2362.0
8:37.0, ,92-109,P. Pritchard misses 2-pt layup from 2 ft,,4,109,92,17,2363.0
8:36.0, ,92-109,Offensive rebound by D. White,,4,109,92,17,2364.0
8:36.0, ,92-111,D. White makes 2-pt layup at rim,,4,111,92,19,2364.0
8:28.0,Personal foul by D. White (drawn by D. Booker),92-111, ,,4,111,92,19,2372.0
8:17.0,D. Booker makes 2-pt jump shot from 17 ft,94-111, ,,4,111,94,17,2383.0
7:48.0, ,94-111,P. Pritchard misses 2-pt jump shot from 16 ft,,4,111,94,17,2412.0
7:46.0,Defensive rebound by G. Allen,94-111, ,,4,111,94,17,2414.0
7:36.0,G. Allen makes 2-pt layup from 1 ft,96-111, ,,4,111,96,15,2424.0
7:15.0, ,96-111,D. White misses 3-pt jump shot from 27 ft,,4,111,96,15,2445.0
7:13.0,Defensive rebound by R. O'Neale,96-111, ,,4,111,96,15,2447.0
7:06.0,Shooting foul by X. Tillman (drawn by D. Booker),96-111, ,,4,111,96,15,2454.0
7:06.0,D. Booker makes free throw 1 of 2,97-111, ,,4,111,97,14,2454.0
7:06.0, ,97-111,J. Holiday enters the game for S. Hauser,,4,111,97,14,2454.0
7:06.0, ,97-111,A. Horford enters the game for P. Pritchard,,4,111,97,14,2454.0
7:06.0, ,97-111,J. Tatum enters the game for X. Tillman,,4,111,97,14,2454.0
7:06.0,D. Booker makes free throw 2 of 2,98-111, ,,4,111,98,13,2454.0
6:50.0, ,98-114,J. Holiday makes 3-pt jump shot from 24 ft (assist by A. Horford),,4,114,98,16,2470.0
6:35.0,K. Durant misses 2-pt layup from 4 ft (block by A. Horford),98-114, ,,4,114,98,16,2485.0
6:32.0, ,98-114,Defensive rebound by D. White,,4,114,98,16,2488.0
6:27.0, ,98-116,A. Horford makes 2-pt layup from 3 ft (assist by D. White),,4,116,98,18,2493.0
6:15.0,D. Booker misses 2-pt layup from 2 ft,98-116, ,,4,116,98,18,2505.0
6:12.0,Offensive rebound by R. O'Neale,98-116, ,,4,116,98,18,2508.0
6:04.0,G. Allen makes 2-pt layup from 2 ft (assist by R. O'Neale),100-116, ,,4,116,100,16,2516.0
5:47.0, ,100-119,A. Horford makes 3-pt jump shot from 24 ft (assist by J. Tatum),,4,119,100,19,2533.0
5:20.0,R. O'Neale misses 2-pt jump shot from 8 ft,100-119, ,,4,119,100,19,2560.0
5:18.0, ,100-119,Defensive rebound by J. Brown,,4,119,100,19,2562.0
5:04.0, ,100-119,J. Brown misses 2-pt layup from 5 ft,,4,119,100,19,2576.0
5:01.0,Defensive rebound by D. Booker,100-119, ,,4,119,100,19,2579.0
4:58.0,B. Beal makes 2-pt layup from 1 ft (assist by D. Booker),102-119, ,,4,119,102,17,2582.0
4:29.0, ,102-119,Personal foul by G. Allen (drawn by J. Tatum),,4,119,102,17,2611.0
4:18.0, ,102-119,J. Tatum misses 2-pt jump shot from 9 ft,,4,119,102,17,2622.0
4:17.0,Defensive rebound by Team,102-119, ,,4,119,102,17,2623.0
4:03.0,D. Booker makes 2-pt jump shot from 21 ft (assist by B. Beal),104-119, ,,4,119,104,15,2637.0
3:38.0, ,104-122,D. White makes 3-pt jump shot from 27 ft (assist by J. Brown),,4,122,104,18,2662.0
3:27.0,D. Booker makes 2-pt layup from 5 ft,106-122, ,,4,122,106,16,2673.0
3:05.0, ,106-122,J. Brown misses 3-pt jump shot from 26 ft,,4,122,106,16,2695.0
3:03.0,Defensive rebound by G. Allen,106-122, ,,4,122,106,16,2697.0
3:01.0,Turnover by G. Allen (bad pass; steal by J. Brown),106-122, ,,4,122,106,16,2699.0
2:58.0, ,106-124,J. Brown makes 2-pt dunk from 1 ft,,4,124,106,18,2702.0
2:58.0,Phoenix full timeout,106-124, ,,4,124,106,18,2702.0
2:58.0,B. Bol enters the game for G. Allen,106-124, ,,4,124,106,18,2702.0
2:58.0,N. Little enters the game for B. Beal,106-124, ,,4,124,106,18,2702.0
2:58.0,D. Roddy enters the game for D. Booker,106-124, ,,4,124,106,18,2702.0
2:58.0,I. Wainright enters the game for K. Durant,106-124, ,,4,124,106,18,2702.0
2:58.0,T. Young enters the game for R. O'Neale,106-124, ,,4,124,106,18,2702.0
2:58.0, ,106-124,O. Brissett enters the game for J. Brown,,4,124,106,18,2702.0
2:58.0, ,106-124,S. Hauser enters the game for J. Holiday,,4,124,106,18,2702.0
2:58.0, ,106-124,L. Kornet enters the game for A. Horford,,4,124,106,18,2702.0
2:58.0, ,106-124,P. Pritchard enters the game for J. Tatum,,4,124,106,18,2702.0
2:58.0, ,106-124,X. Tillman enters the game for D. White,,4,124,106,18,2702.0
2:50.0,D. Roddy makes 2-pt layup from 2 ft (assist by T. Young),108-124, ,,4,124,108,16,2710.0
2:32.0, ,108-127,X. Tillman makes 3-pt jump shot from 25 ft (assist by S. Hauser),,4,127,108,19,2728.0
2:07.0,I. Wainright misses 3-pt jump shot from 27 ft,108-127, ,,4,127,108,19,2753.0
2:06.0,Offensive rebound by Team,108-127, ,,4,127,108,19,2754.0
1:51.0,N. Little misses 3-pt jump shot from 29 ft,108-127, ,,4,127,108,19,2769.0
1:49.0, ,108-127,Defensive rebound by Team,,4,127,108,19,2771.0
1:41.0, ,108-127,X. Tillman misses 3-pt jump shot from 24 ft,,4,127,108,19,2779.0
1:37.0,Defensive rebound by D. Roddy,108-127, ,,4,127,108,19,2783.0
1:31.0,D. Roddy makes 2-pt layup from 2 ft,110-127, ,,4,127,110,17,2789.0
1:15.0, ,110-127,Turnover by P. Pritchard (bad pass; steal by I. Wainright),,4,127,110,17,2805.0
1:10.0,B. Bol misses 2-pt jump shot from 7 ft,110-127, ,,4,127,110,17,2810.0
1:08.0, ,110-127,Defensive rebound by X. Tillman,,4,127,110,17,2812.0
1:01.0, ,110-127,Turnover by P. Pritchard (bad pass),,4,127,110,17,2819.0
0:49.0,Turnover by D. Roddy (lost ball; steal by L. Kornet),110-127, ,,4,127,110,17,2831.0
0:44.0, ,110-127,S. Hauser misses 3-pt jump shot from 25 ft,,4,127,110,17,2836.0
0:41.0,Defensive rebound by N. Little,110-127, ,,4,127,110,17,2839.0
0:35.0,D. Roddy misses 3-pt jump shot from 26 ft,110-127, ,,4,127,110,17,2845.0
0:33.0,Offensive rebound by T. Young,110-127, ,,4,127,110,17,2847.0
0:31.0,T. Young makes 2-pt layup from 2 ft,112-127, ,,4,127,112,15,2849.0
0:07.0, ,112-127,Turnover by Team (shot clock),,4,127,112,15,2873.0
0:00.0,End of 4th quarter,112-127,,,4,127,112,15,2880.0
