Time,Phoenix,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
11:32.0,Offensive rebound by Team,32-38, ,,2,38,32,6,748.0
11:32.0, ,32-38,Loose ball foul by X. Tillman (drawn by J. Nurkić),,2,38,32,6,748.0
11:20.0,B. Beal misses 2-pt layup from 7 ft,32-38, ,,2,38,32,6,760.0
11:16.0,Offensive rebound by J. Nurkić,32-38, ,,2,38,32,6,764.0
11:15.0,G. Allen misses 3-pt jump shot from 26 ft,32-38, ,,2,38,32,6,765.0
11:13.0,Offensive rebound by Team,32-38, ,,2,38,32,6,767.0
11:10.0,B. Beal misses 2-pt layup from 7 ft (block by X. Tillman),32-38, ,,2,38,32,6,770.0
11:08.0,Offensive rebound by B. Beal,32-38, ,,2,38,32,6,772.0
11:07.0,B. Beal misses 2-pt layup from 3 ft,32-38, ,,2,38,32,6,773.0
11:05.0, ,32-38,Defensive rebound by X. Tillman,,2,38,32,6,775.0
10:53.0, ,32-41,D. White makes 3-pt jump shot from 28 ft (assist by J. Brown),,2,41,32,9,787.0
10:39.0,G. Allen makes 2-pt jump shot from 13 ft (assist by J. Nurkić),34-41, ,,2,41,34,7,801.0
10:32.0, ,34-41,Personal foul by B. Beal (drawn by D. White),,2,41,34,7,808.0
10:20.0, ,34-41,J. Brown misses 3-pt jump shot from 26 ft,,2,41,34,7,820.0
10:16.0,Defensive rebound by R. O'Neale,34-41, ,,2,41,34,7,824.0
10:02.0,G. Allen makes 3-pt jump shot from 23 ft (assist by B. Beal),37-41, ,,2,41,37,4,838.0
9:49.0, ,37-41,D. White misses 3-pt jump shot from 27 ft,,2,41,37,4,851.0
9:47.0,Defensive rebound by R. O'Neale,37-41, ,,2,41,37,4,853.0
9:40.0,B. Beal misses 2-pt layup from 2 ft,37-41, ,,2,41,37,4,860.0
9:39.0,Offensive rebound by J. Nurkić,37-41, ,,2,41,37,4,861.0
9:38.0,J. Nurkić makes 2-pt layup from 2 ft,39-41, ,,2,41,39,2,862.0
9:23.0, ,39-43,J. Brown makes 2-pt jump shot from 10 ft,,2,43,39,4,877.0
9:07.0,B. Bol makes 3-pt jump shot from 25 ft (assist by B. Beal),42-43, ,,2,43,42,1,893.0
8:52.0, ,42-43,Turnover by P. Pritchard (3 sec),,2,43,42,1,908.0
8:52.0, ,42-43,A. Horford enters the game for S. Hauser,,2,43,42,1,908.0
8:35.0,B. Beal misses 2-pt jump shot from 12 ft,42-43, ,,2,43,42,1,925.0
8:31.0, ,42-43,Defensive rebound by P. Pritchard,,2,43,42,1,929.0
8:28.0, ,42-45,J. Brown makes 2-pt layup from 3 ft (assist by P. Pritchard),,2,45,42,3,932.0
8:10.0,Personal foul by J. Brown (drawn by B. Beal),42-45, ,,2,45,42,3,950.0
8:01.0,Turnover by G. Allen (bad pass; steal by J. Brown),42-45, ,,2,45,42,3,959.0
7:43.0, ,42-45,A. Horford misses 2-pt layup from 5 ft (block by J. Nurkić),,2,45,42,3,977.0
7:42.0, ,42-45,Offensive rebound by Team,,2,45,42,3,978.0
7:40.0, ,42-45,Offensive foul by A. Horford (drawn by B. Beal),,2,45,42,3,980.0
7:40.0, ,42-45,Turnover by A. Horford (offensive foul),,2,45,42,3,980.0
7:40.0,Phoenix full timeout,42-45, ,,2,45,42,3,980.0
7:40.0,Instant Replay (Challenge: Ruling Stands),42-45, ,,2,45,42,3,980.0
7:40.0,D. Booker enters the game for B. Beal,42-45, ,,2,45,42,3,980.0
7:26.0,Personal foul by P. Pritchard (drawn by J. Nurkić),42-45, ,,2,45,42,3,994.0
7:16.0,R. O'Neale misses 3-pt jump shot from 24 ft,42-45, ,,2,45,42,3,1004.0
7:13.0,Offensive rebound by J. Nurkić,42-45, ,,2,45,42,3,1007.0
7:12.0,B. Bol makes 2-pt jump shot from 10 ft (assist by J. Nurkić),44-45, ,,2,45,44,1,1008.0
6:56.0, ,44-48,J. Brown makes 3-pt jump shot from 28 ft,,2,48,44,4,1024.0
6:32.0,R. O'Neale misses 3-pt jump shot from 27 ft,44-48, ,,2,48,44,4,1048.0
6:29.0,Offensive rebound by B. Bol,44-48, ,,2,48,44,4,1051.0
6:28.0,B. Bol makes 2-pt layup from 2 ft,46-48, ,,2,48,46,2,1052.0
6:19.0, ,46-50,J. Brown makes 2-pt layup from 4 ft,,2,50,46,4,1061.0
6:02.0,D. Booker makes 2-pt jump shot from 21 ft,48-50, ,,2,50,48,2,1078.0
5:47.0, ,48-50,J. Brown misses 3-pt jump shot from 26 ft,,2,50,48,2,1093.0
5:44.0,Defensive rebound by J. Nurkić,48-50, ,,2,50,48,2,1096.0
5:28.0,D. Booker misses 2-pt jump shot from 10 ft,48-50, ,,2,50,48,2,1112.0
5:26.0,Offensive rebound by B. Bol,48-50, ,,2,50,48,2,1114.0
5:24.0,R. O'Neale misses 3-pt jump shot from 25 ft,48-50, ,,2,50,48,2,1116.0
5:23.0, ,48-50,Defensive rebound by P. Pritchard,,2,50,48,2,1117.0
5:13.0, ,48-50,X. Tillman misses 3-pt jump shot from 24 ft,,2,50,48,2,1127.0
5:10.0,Defensive rebound by D. Booker,48-50, ,,2,50,48,2,1130.0
4:58.0,B. Bol makes 3-pt jump shot from 24 ft (assist by D. Booker),51-50, ,Lead change,2,50,51,-1,1142.0
4:57.0, ,51-50,Boston full timeout,,2,50,51,-1,1143.0
4:57.0,B. Beal enters the game for G. Allen,51-50, ,,2,50,51,-1,1143.0
4:57.0,K. Durant enters the game for R. O'Neale,51-50, ,,2,50,51,-1,1143.0
4:57.0, ,51-50,J. Holiday enters the game for P. Pritchard,,2,50,51,-1,1143.0
4:57.0, ,51-50,J. Tatum enters the game for X. Tillman,,2,50,51,-1,1143.0
4:37.0, ,51-50,Shooting foul by D. Booker (drawn by J. Brown),,2,50,51,-1,1163.0
4:37.0, ,51-50,J. Brown misses free throw 1 of 2,,2,50,51,-1,1163.0
4:37.0, ,51-50,Offensive rebound by Team,,2,50,51,-1,1163.0
4:37.0, ,51-50,J. Brown misses free throw 2 of 2,,2,50,51,-1,1163.0
4:37.0,Defensive rebound by B. Bol,51-50, ,,2,50,51,-1,1163.0
4:17.0,D. Booker misses 2-pt jump shot from 21 ft,51-50, ,,2,50,51,-1,1183.0
4:15.0, ,51-50,Defensive rebound by D. White,,2,50,51,-1,1185.0
4:03.0, ,51-52,J. Tatum makes 2-pt layup from 2 ft,Lead change,2,52,51,1,1197.0
3:53.0,K. Durant misses 2-pt jump shot from 13 ft,51-52, ,,2,52,51,1,1207.0
3:51.0,Offensive rebound by J. Nurkić,51-52, ,,2,52,51,1,1209.0
3:51.0,J. Nurkić misses 2-pt layup at rim,51-52, ,,2,52,51,1,1209.0
3:50.0, ,51-52,Defensive rebound by Team,,2,52,51,1,1210.0
3:43.0, ,51-54,J. Brown makes 2-pt layup from 2 ft (assist by J. Holiday),,2,54,51,3,1217.0
3:43.0, ,51-54,Shooting foul by B. Beal (drawn by J. Brown),,2,54,51,3,1217.0
3:43.0,I. Wainright enters the game for B. Bol,51-54, ,,2,54,51,3,1217.0
3:43.0, ,51-55,J. Brown makes free throw 1 of 1,,2,55,51,4,1217.0
3:33.0,B. Beal makes 2-pt layup from 3 ft,53-55, ,,2,55,53,2,1227.0
3:17.0, ,53-55,D. White misses 3-pt jump shot from 23 ft,,2,55,53,2,1243.0
3:15.0,Defensive rebound by J. Nurkić,53-55, ,,2,55,53,2,1245.0
3:11.0,Jump ball: D. Booker vs. J. Holiday (K. Durant gains possession),53-55,,,2,55,53,2,1249.0
3:06.0,K. Durant misses 2-pt jump shot from 15 ft,53-55, ,,2,55,53,2,1254.0
3:04.0, ,53-55,Defensive rebound by J. Tatum,,2,55,53,2,1256.0
2:59.0, ,53-55,Shooting foul by K. Durant (drawn by J. Tatum),,2,55,53,2,1261.0
2:59.0, ,53-55,J. Tatum misses free throw 1 of 2,,2,55,53,2,1261.0
2:59.0, ,53-55,Offensive rebound by Team,,2,55,53,2,1261.0
2:59.0, ,53-56,J. Tatum makes free throw 2 of 2,,2,56,53,3,1261.0
2:48.0,I. Wainright makes 3-pt jump shot from 26 ft (assist by B. Beal),56-56, ,Tie,2,56,56,0,1272.0
2:27.0, ,56-59,A. Horford makes 3-pt jump shot from 29 ft (assist by J. Tatum),,2,59,56,3,1293.0
2:18.0,Offensive foul by I. Wainright (drawn by J. Holiday),56-59, ,,2,59,56,3,1302.0
2:18.0,Turnover by I. Wainright (offensive foul),56-59, ,,2,59,56,3,1302.0
2:05.0, ,56-59,D. White misses 3-pt jump shot from 23 ft,,2,59,56,3,1315.0
2:03.0,Defensive rebound by Team,56-59, ,,2,59,56,3,1317.0
2:03.0, ,56-59,Loose ball foul by J. Brown (drawn by J. Nurkić),,2,59,56,3,1317.0
1:42.0,Shooting foul by J. Tatum (drawn by B. Beal),56-59, ,,2,59,56,3,1338.0
1:42.0,B. Beal makes free throw 1 of 2,57-59, ,,2,59,57,2,1338.0
1:42.0,B. Beal makes free throw 2 of 2,58-59, ,,2,59,58,1,1338.0
1:32.0, ,58-59,A. Horford misses 3-pt jump shot from 27 ft,,2,59,58,1,1348.0
1:29.0,Defensive rebound by J. Nurkić,58-59, ,,2,59,58,1,1351.0
1:27.0,Turnover by J. Nurkić (bad pass; steal by A. Horford),58-59, ,,2,59,58,1,1353.0
1:20.0, ,58-59,D. White misses 3-pt jump shot from 29 ft,,2,59,58,1,1360.0
1:16.0, ,58-59,Offensive rebound by J. Tatum,,2,59,58,1,1364.0
1:14.0, ,58-62,J. Tatum makes 3-pt jump shot from 26 ft,,2,62,58,4,1366.0
1:00.0,D. Booker misses 3-pt jump shot from 27 ft,58-62, ,,2,62,58,4,1380.0
