Time,Boston,Score,Houston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
0:29.0,J. Tatum makes free throw 1 of 2,34-25, ,,1,34,25,9,691.0
0:29.0,J. Tatum makes free throw 2 of 2,35-25, ,,1,35,25,10,691.0
0:15.0, ,35-25,D. Brooks misses 3-pt jump shot from 26 ft,,1,35,25,10,705.0
0:13.0,Defensive rebound by D. White,35-25, ,,1,35,25,10,707.0
0:00.0,J. Tatum misses 2-pt layup from 8 ft (block by J. Tate),35-25, ,,1,35,25,10,720.0
0:00.0,Offensive rebound by Team,35-25, ,,1,35,25,10,720.0
0:00.0,End of 1st quarter,35-25,,,1,35,25,10,720.0
12:00.0,Start of 2nd quarter,35-25,,,2,35,25,10,720.0
11:42.0,Turnover by D. White (bad pass),35-25, ,,2,35,25,10,738.0
11:22.0, ,35-25,Shooting foul by D. White (drawn by D. Brooks),,2,35,25,10,758.0
11:22.0, ,35-26,D. Brooks makes free throw 1 of 2,,2,35,26,9,758.0
11:22.0, ,35-27,D. Brooks makes free throw 2 of 2,,2,35,27,8,758.0
11:07.0,J. Tatum makes 2-pt layup from 3 ft (assist by O. Brissett),37-27, ,,2,37,27,10,773.0
10:55.0, ,37-29,A. Holiday makes 2-pt layup from 2 ft,,2,37,29,8,785.0
10:42.0,J. Tatum misses 3-pt jump shot from 26 ft,37-29, ,,2,37,29,8,798.0
10:41.0,Offensive rebound by O. Brissett,37-29, ,,2,37,29,8,799.0
10:30.0,O. Brissett makes 2-pt jump shot from 17 ft (assist by P. Pritchard),39-29, ,,2,39,29,10,810.0
10:19.0, ,39-32,D. Brooks makes 3-pt jump shot from 24 ft (assist by A. Holiday),,2,39,32,7,821.0
10:04.0,D. White makes 3-pt jump shot from 22 ft (assist by J. Tatum),42-32, ,,2,42,32,10,836.0
9:50.0, ,42-32,Shooting foul by N. Queta (drawn by J. Landale),,2,42,32,10,850.0
9:50.0, ,42-32,J. Landale misses free throw 1 of 2,,2,42,32,10,850.0
9:50.0, ,42-32,Offensive rebound by Team,,2,42,32,10,850.0
9:50.0, ,42-33,J. Landale makes free throw 2 of 2,,2,42,33,9,850.0
9:32.0,J. Tatum makes 2-pt jump shot from 20 ft,44-33, ,,2,44,33,11,868.0
9:20.0, ,44-33,D. Brooks misses 3-pt jump shot from 27 ft,,2,44,33,11,880.0
9:18.0, ,44-33,Offensive rebound by Team,,2,44,33,11,882.0
9:18.0, ,44-33,C. Whitmore enters the game for J. Tate,,2,44,33,11,882.0
9:11.0, ,44-33,J. Williams misses 2-pt layup from 7 ft,,2,44,33,11,889.0
9:09.0, ,44-33,Offensive rebound by J. Landale,,2,44,33,11,891.0
9:08.0, ,44-33,Turnover by J. Landale (lost ball; steal by N. Queta),,2,44,33,11,892.0
8:59.0,Personal foul by A. Holiday (drawn by J. Tatum),44-33, ,,2,44,33,11,901.0
8:59.0, ,44-33,Technical foul by A. Holiday,,2,44,33,11,901.0
8:59.0,J. Tatum misses technical free throw,44-33, ,,2,44,33,11,901.0
8:59.0,Offensive rebound by Team,44-33, ,,2,44,33,11,901.0
8:59.0, ,44-33,A. Thompson enters the game for A. Holiday,,2,44,33,11,901.0
8:49.0,D. White misses 2-pt jump shot from 7 ft,44-33, ,,2,44,33,11,911.0
8:47.0, ,44-33,Defensive rebound by J. Landale,,2,44,33,11,913.0
8:47.0,J. Brown enters the game for O. Brissett,44-33, ,,2,44,33,11,913.0
8:47.0, ,44-33,J. Green enters the game for D. Brooks,,2,44,33,11,913.0
8:37.0, ,44-33,Shooting foul by N. Queta (drawn by A. Thompson),,2,44,33,11,923.0
8:37.0, ,44-34,A. Thompson makes free throw 1 of 2,,2,44,34,10,923.0
8:37.0,L. Kornet enters the game for N. Queta,44-34, ,,2,44,34,10,923.0
8:37.0, ,44-35,A. Thompson makes free throw 2 of 2,,2,44,35,9,923.0
8:21.0,J. Brown misses 2-pt jump shot from 6 ft,44-35, ,,2,44,35,9,939.0
8:19.0, ,44-35,Defensive rebound by A. Thompson,,2,44,35,9,941.0
8:12.0, ,44-37,J. Green makes 2-pt layup from 2 ft,,2,44,37,7,948.0
8:12.0,Boston full timeout,44-37, ,,2,44,37,7,948.0
8:12.0,S. Hauser enters the game for P. Pritchard,44-37, ,,2,44,37,7,948.0
8:12.0, ,44-37,A. Sengun enters the game for J. Landale,,2,44,37,7,948.0
7:48.0,Turnover by J. Tatum (bad pass),44-37, ,,2,44,37,7,972.0
7:39.0, ,44-39,J. Green makes 2-pt layup from 2 ft (assist by A. Sengun),,2,44,39,5,981.0
7:19.0,D. White makes 2-pt layup from 3 ft (assist by L. Kornet),46-39, ,,2,46,39,7,1001.0
7:15.0,Violation by Team (delay of game),46-39, ,,2,46,39,7,1005.0
7:06.0, ,46-39,A. Sengun misses 3-pt jump shot from 25 ft,,2,46,39,7,1014.0
7:05.0,Defensive rebound by J. Brown,46-39, ,,2,46,39,7,1015.0
6:50.0,J. Tatum misses 2-pt jump shot from 10 ft,46-39, ,,2,46,39,7,1030.0
6:48.0, ,46-39,Defensive rebound by A. Thompson,,2,46,39,7,1032.0
6:43.0, ,46-39,A. Thompson misses 2-pt layup from 2 ft,,2,46,39,7,1037.0
6:40.0,Defensive rebound by D. White,46-39, ,,2,46,39,7,1040.0
6:36.0,L. Kornet makes 2-pt dunk from 2 ft (assist by J. Brown),48-39, ,,2,48,39,9,1044.0
6:20.0, ,48-39,Shooting foul by L. Kornet (drawn by A. Sengun),,2,48,39,9,1060.0
6:20.0, ,48-40,A. Sengun makes free throw 1 of 2,,2,48,40,8,1060.0
6:20.0,K. Porziņģis enters the game for L. Kornet,48-40, ,,2,48,40,8,1060.0
6:20.0,P. Pritchard enters the game for J. Tatum,48-40, ,,2,48,40,8,1060.0
6:20.0, ,48-40,D. Brooks enters the game for J. Williams,,2,48,40,8,1060.0
6:20.0, ,48-41,A. Sengun makes free throw 2 of 2,,2,48,41,7,1060.0
5:53.0,P. Pritchard makes 3-pt jump shot from 28 ft (assist by J. Brown),51-41, ,,2,51,41,10,1087.0
5:44.0, ,51-43,A. Sengun makes 2-pt jump shot from 11 ft (assist by A. Thompson),,2,51,43,8,1096.0
5:33.0,K. Porziņģis misses 3-pt jump shot from 25 ft,51-43, ,,2,51,43,8,1107.0
5:33.0,Offensive rebound by P. Pritchard,51-43, ,,2,51,43,8,1107.0
5:28.0,J. Brown misses 2-pt layup from 7 ft,51-43, ,,2,51,43,8,1112.0
5:28.0,Offensive rebound by Team,51-43, ,,2,51,43,8,1112.0
5:28.0,O. Brissett enters the game for J. Brown,51-43, ,,2,51,43,8,1112.0
5:24.0,S. Hauser makes 3-pt jump shot from 23 ft (assist by D. White),54-43, ,,2,54,43,11,1116.0
5:12.0, ,54-43,Turnover by A. Thompson (traveling),,2,54,43,11,1128.0
4:57.0,D. White misses 3-pt jump shot from 25 ft,54-43, ,,2,54,43,11,1143.0
4:55.0,Offensive rebound by K. Porziņģis,54-43, ,,2,54,43,11,1145.0
4:50.0,O. Brissett makes 2-pt layup from 2 ft (assist by P. Pritchard),56-43, ,,2,56,43,13,1150.0
4:38.0, ,56-43,Turnover by A. Sengun (bad pass; steal by K. Porziņģis),,2,56,43,13,1162.0
4:35.0,Turnover by O. Brissett (step out of bounds),56-43, ,,2,56,43,13,1165.0
4:22.0, ,56-43,A. Thompson misses 2-pt layup from 2 ft,,2,56,43,13,1178.0
4:22.0,Defensive rebound by K. Porziņģis,56-43, ,,2,56,43,13,1178.0
4:13.0,S. Hauser misses 3-pt jump shot from 25 ft,56-43, ,,2,56,43,13,1187.0
4:13.0, ,56-43,Defensive rebound by C. Whitmore,,2,56,43,13,1187.0
4:01.0, ,56-45,D. Brooks makes 2-pt jump shot from 21 ft (assist by A. Thompson),,2,56,45,11,1199.0
3:44.0,K. Porziņģis misses 3-pt jump shot from 25 ft,56-45, ,,2,56,45,11,1216.0
3:43.0, ,56-45,Defensive rebound by A. Sengun,,2,56,45,11,1217.0
3:27.0, ,56-45,C. Whitmore misses 3-pt jump shot from 26 ft,,2,56,45,11,1233.0
3:27.0,Defensive rebound by D. White,56-45, ,,2,56,45,11,1233.0
3:17.0,S. Hauser makes 3-pt jump shot from 26 ft (assist by O. Brissett),59-45, ,,2,59,45,14,1243.0
3:16.0, ,59-45,Houston full timeout,,2,59,45,14,1244.0
3:16.0, ,59-45,J. Williams enters the game for A. Thompson,,2,59,45,14,1244.0
3:06.0, ,59-45,J. Green misses 2-pt layup from 1 ft,,2,59,45,14,1254.0
3:06.0,Defensive rebound by D. White,59-45, ,,2,59,45,14,1254.0
3:00.0,D. White misses 3-pt jump shot from 26 ft,59-45, ,,2,59,45,14,1260.0
2:57.0, ,59-45,Defensive rebound by D. Brooks,,2,59,45,14,1263.0
2:52.0, ,59-45,Turnover by A. Sengun (bad pass; steal by S. Hauser),,2,59,45,14,1268.0
2:43.0,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by D. White),62-45, ,,2,62,45,17,1277.0
2:24.0, ,62-47,A. Sengun makes 2-pt jump shot from 13 ft,,2,62,47,15,1296.0
2:07.0,D. White makes 2-pt dunk from 1 ft,64-47, ,,2,64,47,17,1313.0
2:06.0, ,64-47,Houston full timeout,,2,64,47,17,1314.0
1:55.0, ,64-50,J. Williams makes 3-pt jump shot from 26 ft (assist by J. Green),,2,64,50,14,1325.0
1:43.0,D. White misses 2-pt jump shot from 14 ft,64-50, ,,2,64,50,14,1337.0
1:43.0,Offensive rebound by Team,64-50, ,,2,64,50,14,1337.0
1:43.0, ,64-50,Loose ball foul by J. Williams (drawn by K. Porziņģis),,2,64,50,14,1337.0
1:41.0,Personal foul by D. Brooks (drawn by K. Porziņģis),64-50, ,,2,64,50,14,1339.0
1:41.0,K. Porziņģis makes free throw 1 of 2,65-50, ,,2,65,50,15,1339.0
1:41.0,K. Porziņģis makes free throw 2 of 2,66-50, ,,2,66,50,16,1339.0
1:23.0, ,66-53,J. Green makes 3-pt jump shot from 25 ft (assist by A. Sengun),,2,66,53,13,1357.0
1:04.0,D. White makes 2-pt layup from 2 ft,68-53, ,,2,68,53,15,1376.0
1:01.0, ,68-53,Turnover by J. Green (inbound),,2,68,53,15,1379.0
0:57.0,K. Porziņģis misses 2-pt jump shot from 10 ft,68-53, ,,2,68,53,15,1383.0
0:56.0,Offensive rebound by D. White,68-53, ,,2,68,53,15,1384.0
0:53.0,O. Brissett misses 3-pt jump shot from 25 ft,68-53, ,,2,68,53,15,1387.0
0:53.0, ,68-53,Defensive rebound by C. Whitmore,,2,68,53,15,1387.0
0:45.0, ,68-55,C. Whitmore makes 2-pt layup from 1 ft,,2,68,55,13,1395.0
0:28.0,S. Hauser misses 3-pt jump shot from 22 ft,68-55, ,,2,68,55,13,1412.0
0:27.0, ,68-55,Defensive rebound by D. Brooks,,2,68,55,13,1413.0
0:09.0, ,68-55,J. Green misses 3-pt jump shot from 25 ft,,2,68,55,13,1431.0
0:09.0,Defensive rebound by D. White,68-55, ,,2,68,55,13,1431.0
0:02.0,D. White makes 2-pt jump shot from 12 ft,70-55, ,,2,70,55,15,1438.0
0:00.0, ,70-55,A. Sengun misses 3-pt jump shot from 67 ft (block by D. White),,2,70,55,15,1440.0
0:00.0, ,70-55,Offensive rebound by Team,,2,70,55,15,1440.0
0:00.0,End of 2nd quarter,70-55,,,2,70,55,15,1440.0
12:00.0,Start of 3rd quarter,70-55,,,3,70,55,15,1440.0
11:40.0,J. Tatum misses 2-pt jump shot from 14 ft,70-55, ,,3,70,55,15,1460.0
11:38.0, ,70-55,Defensive rebound by A. Thompson,,3,70,55,15,1462.0
11:33.0, ,70-57,A. Thompson makes 2-pt layup from 3 ft (assist by A. Sengun),,3,70,57,13,1467.0
11:33.0, ,70-57,Shooting foul by K. Porziņģis (drawn by A. Thompson),,3,70,57,13,1467.0
11:33.0, ,70-58,A. Thompson makes free throw 1 of 1,,3,70,58,12,1467.0
11:16.0,D. White misses 2-pt jump shot from 11 ft,70-58, ,,3,70,58,12,1484.0
11:14.0, ,70-58,Defensive rebound by C. Whitmore,,3,70,58,12,1486.0
11:04.0, ,70-58,Turnover by A. Sengun (out of bounds lost ball),,3,70,58,12,1496.0
10:54.0,Turnover by J. Brown (traveling),70-58, ,,3,70,58,12,1506.0
10:37.0, ,70-58,J. Green misses 3-pt jump shot from 26 ft,,3,70,58,12,1523.0
10:36.0,Defensive rebound by S. Hauser,70-58, ,,3,70,58,12,1524.0
10:31.0,D. White makes 2-pt layup from 2 ft (assist by S. Hauser),72-58, ,,3,72,58,14,1529.0
10:11.0, ,72-58,A. Thompson misses 3-pt jump shot from 22 ft,,3,72,58,14,1549.0
10:11.0,Defensive rebound by S. Hauser,72-58, ,,3,72,58,14,1549.0
10:01.0,K. Porziņģis misses 3-pt jump shot from 25 ft,72-58, ,,3,72,58,14,1559.0
9:59.0,Offensive rebound by S. Hauser,72-58, ,,3,72,58,14,1561.0
9:56.0,Turnover by K. Porziņģis (lost ball; steal by D. Brooks),72-58, ,,3,72,58,14,1564.0
9:50.0, ,72-58,C. Whitmore misses 2-pt dunk from 2 ft,,3,72,58,14,1570.0
9:48.0, ,72-58,Offensive rebound by A. Thompson,,3,72,58,14,1572.0
9:43.0, ,72-60,A. Sengun makes 2-pt hook shot from 2 ft (assist by J. Green),,3,72,60,12,1577.0
9:35.0,D. White misses 3-pt jump shot from 26 ft,72-60, ,,3,72,60,12,1585.0
9:33.0, ,72-60,Defensive rebound by A. Thompson,,3,72,60,12,1587.0
9:26.0, ,72-62,J. Green makes 2-pt layup from 4 ft (assist by A. Thompson),,3,72,62,10,1594.0
9:06.0,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by D. White),75-62, ,,3,75,62,13,1614.0
8:55.0, ,75-62,D. Brooks misses 2-pt layup from 3 ft,,3,75,62,13,1625.0
8:53.0, ,75-62,Offensive rebound by D. Brooks,,3,75,62,13,1627.0
8:51.0, ,75-64,D. Brooks makes 2-pt layup at rim,,3,75,64,11,1629.0
8:42.0,J. Brown misses 3-pt jump shot from 25 ft,75-64, ,,3,75,64,11,1638.0
