Time,Dallas,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:12.0,M. Kleber enters the game for P. Washington,19-30, ,,1,30,19,11,468.0
4:01.0,K. Irving makes 2-pt jump shot from 16 ft,21-30, ,,1,30,21,9,479.0
3:45.0, ,21-33,D. White makes 3-pt jump shot from 29 ft (assist by K. Porziņģis),,1,33,21,12,495.0
3:32.0,K. Irving misses 3-pt jump shot from 26 ft,21-33, ,,1,33,21,12,508.0
3:30.0,Offensive rebound by K. Irving,21-33, ,,1,33,21,12,510.0
3:25.0,T. Hardaway makes 3-pt jump shot from 24 ft (assist by M. Kleber),24-33, ,,1,33,24,9,515.0
3:07.0, ,24-33,D. White misses 3-pt jump shot from 26 ft,,1,33,24,9,533.0
3:06.0,Defensive rebound by K. Irving,24-33, ,,1,33,24,9,534.0
2:50.0,M. Kleber misses 3-pt jump shot from 26 ft,24-33, ,,1,33,24,9,550.0
2:48.0, ,24-33,Defensive rebound by A. Horford,,1,33,24,9,552.0
2:39.0, ,24-33,J. Tatum misses 2-pt jump shot from 19 ft,,1,33,24,9,561.0
2:38.0,Defensive rebound by T. Hardaway,24-33, ,,1,33,24,9,562.0
2:30.0,T. Hardaway makes 3-pt jump shot from 28 ft,27-33, ,,1,33,27,6,570.0
2:18.0, ,27-36,K. Porziņģis makes 3-pt jump shot from 26 ft (assist by D. White),,1,36,27,9,582.0
2:02.0,Shooting foul by A. Horford (drawn by M. Kleber),27-36, ,,1,36,27,9,598.0
2:02.0,M. Kleber makes free throw 1 of 2,28-36, ,,1,36,28,8,598.0
2:02.0, ,28-36,P. Pritchard enters the game for D. White,,1,36,28,8,598.0
2:02.0,M. Kleber misses free throw 2 of 2,28-36, ,,1,36,28,8,598.0
2:02.0, ,28-36,Defensive rebound by A. Horford,,1,36,28,8,598.0
1:47.0, ,28-36,S. Hauser misses 3-pt jump shot from 26 ft,,1,36,28,8,613.0
1:44.0,Defensive rebound by T. Hardaway,28-36, ,,1,36,28,8,616.0
1:37.0,T. Hardaway misses 2-pt jump shot from 19 ft,28-36, ,,1,36,28,8,623.0
1:36.0, ,28-36,Defensive rebound by A. Horford,,1,36,28,8,624.0
1:28.0, ,28-36,Turnover by A. Horford (traveling),,1,36,28,8,632.0
1:28.0,L. Dončić enters the game for K. Irving,28-36, ,,1,36,28,8,632.0
1:28.0, ,28-36,J. Holiday enters the game for K. Porziņģis,,1,36,28,8,632.0
1:16.0,L. Dončić misses 2-pt jump shot from 10 ft,28-36, ,,1,36,28,8,644.0
1:15.0, ,28-36,Defensive rebound by P. Pritchard,,1,36,28,8,645.0
1:04.0, ,28-36,Turnover by J. Tatum (bad pass),,1,36,28,8,656.0
0:48.0,L. Dončić makes 2-pt layup from 8 ft,30-36, ,,1,36,30,6,672.0
0:33.0, ,30-36,J. Tatum misses 3-pt jump shot from 26 ft,,1,36,30,6,687.0
0:28.0,Defensive rebound by T. Hardaway,30-36, ,,1,36,30,6,692.0
0:21.0,Turnover by L. Dončić (bad pass; steal by J. Holiday),30-36, ,,1,36,30,6,699.0
0:18.0, ,30-36,Shooting foul by T. Hardaway (drawn by J. Tatum),,1,36,30,6,702.0
