Time,Boston,Score,Dallas,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:03.0,L. Kornet enters the game for P. Pritchard,51-39, ,,2,51,39,12,1137.0
5:03.0, ,51-39,T. Hardaway enters the game for L. Dončić,,2,51,39,12,1137.0
5:03.0,J. Brown makes free throw 1 of 1,52-39, ,,2,52,39,13,1137.0
4:50.0, ,52-41,M. Kleber makes 2-pt layup from 1 ft (assist by K. Irving),,2,52,41,11,1150.0
4:41.0,A. Horford makes 3-pt jump shot from 26 ft (assist by J. Brown),55-41, ,,2,55,41,14,1159.0
4:33.0, ,55-41,Personal foul by J. Brown (drawn by K. Irving),,2,55,41,14,1167.0
4:33.0,S. Hauser enters the game for J. Tatum,55-41, ,,2,55,41,14,1167.0
4:24.0, ,55-44,T. Hardaway makes 3-pt jump shot from 25 ft (assist by K. Irving),,2,55,44,11,1176.0
4:01.0,D. White misses 2-pt jump shot from 6 ft,55-44, ,,2,55,44,11,1199.0
3:59.0, ,55-44,Defensive rebound by K. Irving,,2,55,44,11,1201.0
3:56.0, ,55-44,Turnover by K. Irving (out of bounds lost ball),,2,55,44,11,1204.0
3:56.0,Boston full timeout,55-44, ,,2,55,44,11,1204.0
3:56.0,Instant Replay (Challenge: Ruling Stands),55-44, ,,2,55,44,11,1204.0
3:41.0,L. Kornet misses 2-pt dunk from 4 ft,55-44, ,,2,55,44,11,1219.0
3:37.0, ,55-44,Defensive rebound by T. Hardaway,,2,55,44,11,1223.0
3:31.0, ,55-46,T. Hardaway makes 2-pt jump shot from 15 ft,,2,55,46,9,1229.0
3:14.0,J. Brown misses 2-pt layup from 3 ft (block by D. Lively),55-46, ,,2,55,46,9,1246.0
3:13.0,Offensive rebound by Team,55-46, ,,2,55,46,9,1247.0
3:13.0,J. Holiday enters the game for S. Hauser,55-46, ,,2,55,46,9,1247.0
3:13.0,J. Tatum enters the game for L. Kornet,55-46, ,,2,55,46,9,1247.0
3:13.0, ,55-46,L. Dončić enters the game for D. Jones,,2,55,46,9,1247.0
