Time,Cleveland,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:52.0, ,7-9,J. Brown makes 2-pt jump shot from 3 ft,,1,9,7,2,188.0
8:35.0,D. Mitchell misses 2-pt jump shot from 19 ft,7-9, ,,1,9,7,2,205.0
8:33.0, ,7-9,Defensive rebound by K. Porziņģis,,1,9,7,2,207.0
8:27.0, ,7-12,J. Brown makes 3-pt jump shot from 25 ft (assist by D. White),,1,12,7,5,213.0
8:04.0,D. Wade misses 3-pt jump shot from 24 ft,7-12, ,,1,12,7,5,236.0
8:01.0,Offensive rebound by J. Allen,7-12, ,,1,12,7,5,239.0
8:00.0,Turnover by J. Allen (bad pass),7-12, ,,1,12,7,5,240.0
7:45.0, ,7-14,K. Porziņģis makes 2-pt dunk from 2 ft (assist by J. Brown),,1,14,7,7,255.0
7:45.0,Cleveland full timeout,7-14, ,,1,14,7,7,255.0
7:45.0,C. LeVert enters the game for D. Wade,7-14, ,,1,14,7,7,255.0
7:27.0,J. Allen makes 2-pt layup from 2 ft,9-14, ,,1,14,9,5,273.0
7:11.0, ,9-14,Shooting foul by M. Strus (drawn by J. Tatum),,1,14,9,5,289.0
7:11.0, ,9-14,J. Tatum misses free throw 1 of 2,,1,14,9,5,289.0
7:11.0, ,9-14,Offensive rebound by Team,,1,14,9,5,289.0
7:11.0, ,9-15,J. Tatum makes free throw 2 of 2,,1,15,9,6,289.0
6:57.0,Shooting foul by J. Brown (drawn by D. Mitchell),9-15, ,,1,15,9,6,303.0
6:57.0,D. Mitchell makes free throw 1 of 2,10-15, ,,1,15,10,5,303.0
6:57.0,D. Mitchell makes free throw 2 of 2,11-15, ,,1,15,11,4,303.0
6:39.0, ,11-18,J. Tatum makes 3-pt jump shot from 29 ft,,1,18,11,7,321.0
6:30.0,D. Mitchell makes 2-pt layup from 4 ft,13-18, ,,1,18,13,5,330.0
6:19.0, ,13-20,J. Brown makes 2-pt jump shot from 6 ft,,1,20,13,7,341.0
6:08.0,C. LeVert misses 3-pt jump shot from 28 ft,13-20, ,,1,20,13,7,352.0
6:06.0, ,13-20,Defensive rebound by J. Tatum,,1,20,13,7,354.0
6:02.0, ,13-20,J. Brown misses 3-pt jump shot from 26 ft,,1,20,13,7,358.0
6:00.0,Defensive rebound by D. Garland,13-20, ,,1,20,13,7,360.0
5:54.0,D. Garland misses 3-pt jump shot from 31 ft,13-20, ,,1,20,13,7,366.0
5:53.0, ,13-20,Defensive rebound by J. Tatum,,1,20,13,7,367.0
5:45.0, ,13-20,D. White misses 3-pt jump shot from 23 ft,,1,20,13,7,375.0
5:43.0,Defensive rebound by D. Mitchell,13-20, ,,1,20,13,7,377.0
5:35.0,Turnover by D. Mitchell (lost ball; steal by J. Brown),13-20, ,,1,20,13,7,385.0
5:31.0, ,13-20,Turnover by D. White (bad pass; steal by D. Garland),,1,20,13,7,389.0
5:28.0,Offensive foul by J. Allen (drawn by K. Porziņģis),13-20, ,,1,20,13,7,392.0
5:28.0,Turnover by J. Allen (offensive foul),13-20, ,,1,20,13,7,392.0
5:28.0, ,13-20,S. Hauser enters the game for J. Holiday,,1,20,13,7,392.0
5:28.0, ,13-20,A. Horford enters the game for J. Tatum,,1,20,13,7,392.0
5:16.0, ,13-22,J. Brown makes 2-pt dunk from 1 ft,,1,22,13,9,404.0
5:16.0,Cleveland full timeout,13-22, ,,1,22,13,9,404.0
5:16.0,I. Okoro enters the game for D. Garland,13-22, ,,1,22,13,9,404.0
5:06.0,M. Strus makes 2-pt layup from 2 ft (assist by J. Allen),15-22, ,,1,22,15,7,414.0
4:56.0, ,15-22,Turnover by K. Porziņģis (bad pass),,1,22,15,7,424.0
4:43.0,C. LeVert makes 2-pt layup from 2 ft (assist by J. Allen),17-22, ,,1,22,17,5,437.0
4:29.0, ,17-25,K. Porziņģis makes 3-pt jump shot from 30 ft (assist by D. White),,1,25,17,8,451.0
4:20.0,Personal foul by S. Hauser (drawn by M. Strus),17-25, ,,1,25,17,8,460.0
4:20.0,G. Niang enters the game for M. Strus,17-25, ,,1,25,17,8,460.0
