Time,Boston,Score,LA Lakers,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
10:56.0, ,58-59,A. Davis misses 2-pt jump shot from 8 ft,,3,58,59,-1,1504.0
10:54.0,Defensive rebound by J. Tatum,58-59, ,,3,58,59,-1,1506.0
10:52.0,Shooting foul by J. Vanderbilt (drawn by J. Brown),58-59, ,,3,58,59,-1,1508.0
10:52.0,J. Brown makes free throw 1 of 2,59-59, ,Tie,3,59,59,0,1508.0
10:52.0,J. Brown makes free throw 2 of 2,60-59, ,Lead change,3,60,59,1,1508.0
10:38.0, ,60-62,T. Prince makes 3-pt jump shot from 26 ft (assist by A. Davis),Lead change,3,60,62,-2,1522.0
10:20.0,K. Porziņģis makes 2-pt hook shot from 3 ft (assist by J. Holiday),62-62, ,Tie,3,62,62,0,1540.0
10:20.0,Shooting foul by L. James (drawn by K. Porziņģis),62-62, ,,3,62,62,0,1540.0
10:20.0,K. Porziņģis misses free throw 1 of 1,62-62, ,,3,62,62,0,1540.0
10:17.0, ,62-62,Defensive rebound by L. James,,3,62,62,0,1543.0
10:14.0, ,62-62,Shooting foul by J. Brown (drawn by C. Reddish),,3,62,62,0,1546.0
10:14.0, ,62-63,C. Reddish makes free throw 1 of 2,,3,62,63,-1,1546.0
10:14.0, ,62-64,C. Reddish makes free throw 2 of 2,,3,62,64,-2,1546.0
10:00.0,Shooting foul by T. Prince (drawn by J. Tatum),62-64, ,,3,62,64,-2,1560.0
10:00.0,J. Tatum makes free throw 1 of 2,63-64, ,,3,63,64,-1,1560.0
10:00.0,J. Tatum makes free throw 2 of 2,64-64, ,Tie,3,64,64,0,1560.0
9:40.0, ,64-66,J. Vanderbilt makes 2-pt dunk from 3 ft (assist by A. Davis),,3,64,66,-2,1580.0
9:35.0,K. Porziņģis makes 2-pt dunk from 2 ft (assist by J. Holiday),66-66, ,Tie,3,66,66,0,1585.0
9:21.0, ,66-66,Turnover by A. Davis (out of bounds lost ball),,3,66,66,0,1599.0
9:14.0,J. Holiday makes 3-pt jump shot from 26 ft (assist by D. White),69-66, ,Lead change,3,69,66,3,1606.0
8:57.0, ,69-66,A. Davis misses 2-pt jump shot from 7 ft (block by J. Tatum),,3,69,66,3,1623.0
8:54.0, ,69-66,Offensive rebound by A. Davis,,3,69,66,3,1626.0
8:54.0, ,69-66,L. James misses 2-pt layup from 6 ft (block by K. Porziņģis),,3,69,66,3,1626.0
8:53.0, ,69-66,Offensive rebound by A. Davis,,3,69,66,3,1627.0
8:53.0, ,69-66,A. Davis misses 2-pt layup from 6 ft,,3,69,66,3,1627.0
8:53.0,Defensive rebound by D. White,69-66, ,,3,69,66,3,1627.0
8:53.0,Personal foul by J. Vanderbilt (drawn by D. White),69-66, ,,3,69,66,3,1627.0
8:37.0,J. Brown makes 2-pt dunk from 3 ft (assist by D. White),71-66, ,,3,71,66,5,1643.0
8:37.0, ,71-66,LA Lakers full timeout,,3,71,66,5,1643.0
8:20.0, ,71-68,A. Davis makes 2-pt layup from 4 ft (assist by L. James),,3,71,68,3,1660.0
8:05.0,J. Brown misses 3-pt jump shot from 25 ft,71-68, ,,3,71,68,3,1675.0
8:03.0, ,71-68,Defensive rebound by T. Prince,,3,71,68,3,1677.0
7:51.0, ,71-68,Def 3 sec tech foul by Team,,3,71,68,3,1689.0
7:51.0, ,71-69,A. Davis makes technical free throw,,3,71,69,2,1689.0
7:51.0, ,71-69,A. Reaves enters the game for C. Reddish,,3,71,69,2,1689.0
7:38.0, ,71-69,A. Davis misses 2-pt hook shot from 8 ft,,3,71,69,2,1702.0
7:36.0,Defensive rebound by K. Porziņģis,71-69, ,,3,71,69,2,1704.0
7:31.0,K. Porziņģis makes 2-pt layup from 1 ft (assist by J. Holiday),73-69, ,,3,73,69,4,1709.0
7:31.0,Shooting foul by J. Vanderbilt (drawn by K. Porziņģis),73-69, ,,3,73,69,4,1709.0
7:31.0, ,73-69,R. Hachimura enters the game for J. Vanderbilt,,3,73,69,4,1709.0
7:31.0,K. Porziņģis misses free throw 1 of 1,73-69, ,,3,73,69,4,1709.0
7:27.0, ,73-69,Defensive rebound by A. Davis,,3,73,69,4,1713.0
7:10.0, ,73-72,T. Prince makes 3-pt jump shot from 26 ft (assist by L. James),,3,73,72,1,1730.0
6:51.0,D. White makes 3-pt jump shot from 26 ft,76-72, ,,3,76,72,4,1749.0
6:34.0, ,76-72,R. Hachimura misses 3-pt jump shot from 24 ft,,3,76,72,4,1766.0
6:32.0,Defensive rebound by Team,76-72, ,,3,76,72,4,1768.0
6:31.0, ,76-72,Loose ball foul by A. Davis (drawn by K. Porziņģis),,3,76,72,4,1769.0
6:31.0,K. Porziņģis makes free throw 1 of 2,77-72, ,,3,77,72,5,1769.0
