Time,Boston,Score,Phoenix,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
9:03.0,L. Kornet misses 2-pt jump shot from 8 ft,38-31, ,,2,38,31,7,897.0
9:00.0,Offensive rebound by L. Kornet,38-31, ,,2,38,31,7,900.0
8:58.0,P. Pritchard misses 3-pt jump shot from 24 ft,38-31, ,,2,38,31,7,902.0
8:55.0, ,38-31,Defensive rebound by D. Eubanks,,2,38,31,7,905.0
8:37.0, ,38-33,B. Bol makes 2-pt jump shot from 12 ft (assist by B. Beal),,2,38,33,5,923.0
8:18.0,S. Hauser makes 3-pt jump shot from 23 ft (assist by J. Tatum),41-33, ,,2,41,33,8,942.0
8:17.0, ,41-33,Phoenix full timeout,,2,41,33,8,943.0
8:17.0,J. Brown enters the game for S. Hauser,41-33, ,,2,41,33,8,943.0
8:17.0,A. Horford enters the game for L. Kornet,41-33, ,,2,41,33,8,943.0
8:17.0,D. White enters the game for J. Tatum,41-33, ,,2,41,33,8,943.0
8:17.0, ,41-33,J. Nurkić enters the game for G. Allen,,2,41,33,8,943.0
8:17.0, ,41-33,R. O'Neale enters the game for D. Eubanks,,2,41,33,8,943.0
8:05.0, ,41-35,B. Beal makes 2-pt jump shot from 8 ft,,2,41,35,6,955.0
7:51.0,A. Horford misses 3-pt jump shot from 26 ft,41-35, ,,2,41,35,6,969.0
7:49.0, ,41-35,Defensive rebound by B. Bol,,2,41,35,6,971.0
7:42.0, ,41-35,B. Beal misses 2-pt jump shot from 15 ft,,2,41,35,6,978.0
7:39.0, ,41-35,Offensive rebound by J. Nurkić,,2,41,35,6,981.0
7:37.0, ,41-35,Turnover by J. Nurkić (bad pass; steal by J. Holiday),,2,41,35,6,983.0
7:25.0,J. Brown makes 3-pt jump shot from 26 ft (assist by J. Holiday),44-35, ,,2,44,35,9,995.0
7:10.0, ,44-35,Turnover by B. Beal (out of bounds lost ball),,2,44,35,9,1010.0
6:52.0,D. White misses 3-pt jump shot from 25 ft,44-35, ,,2,44,35,9,1028.0
6:48.0, ,44-35,Defensive rebound by J. Nurkić,,2,44,35,9,1032.0
6:32.0, ,44-35,R. O'Neale misses 3-pt jump shot from 27 ft,,2,44,35,9,1048.0
6:28.0,Defensive rebound by A. Horford,44-35, ,,2,44,35,9,1052.0
6:15.0,J. Brown makes 2-pt jump shot from 7 ft,46-35, ,,2,46,35,11,1065.0
6:04.0, ,46-35,B. Beal misses 2-pt jump shot from 10 ft,,2,46,35,11,1076.0
6:02.0,Defensive rebound by A. Horford,46-35, ,,2,46,35,11,1078.0
5:53.0,J. Holiday misses 3-pt jump shot from 22 ft,46-35, ,,2,46,35,11,1087.0
5:48.0, ,46-35,Defensive rebound by B. Bol,,2,46,35,11,1092.0
5:44.0, ,46-37,B. Bol makes 2-pt layup from 2 ft (assist by R. O'Neale),,2,46,37,9,1096.0
5:28.0,D. White makes 2-pt jump shot from 6 ft (assist by A. Horford),48-37, ,,2,48,37,11,1112.0
5:27.0, ,48-37,Phoenix full timeout,,2,48,37,11,1113.0
5:27.0,J. Tatum enters the game for J. Holiday,48-37, ,,2,48,37,11,1113.0
5:27.0, ,48-37,G. Allen enters the game for B. Beal,,2,48,37,11,1113.0
5:27.0, ,48-37,K. Durant enters the game for B. Bol,,2,48,37,11,1113.0
5:27.0, ,48-37,D. Roddy enters the game for E. Gordon,,2,48,37,11,1113.0
5:07.0, ,48-39,G. Allen makes 2-pt layup from 3 ft,,2,48,39,9,1133.0
4:41.0,P. Pritchard makes 3-pt jump shot from 23 ft (assist by J. Tatum),51-39, ,,2,51,39,12,1159.0
4:34.0, ,51-39,G. Allen misses 3-pt jump shot from 28 ft,,2,51,39,12,1166.0
4:31.0,Defensive rebound by A. Horford,51-39, ,,2,51,39,12,1169.0
4:23.0,P. Pritchard misses 3-pt jump shot from 26 ft,51-39, ,,2,51,39,12,1177.0
4:20.0, ,51-39,Defensive rebound by G. Allen,,2,51,39,12,1180.0
4:04.0, ,51-39,R. O'Neale misses 2-pt jump shot from 8 ft,,2,51,39,12,1196.0
4:02.0,Defensive rebound by A. Horford,51-39, ,,2,51,39,12,1198.0
3:50.0,J. Tatum misses 2-pt jump shot from 7 ft,51-39, ,,2,51,39,12,1210.0
3:48.0, ,51-39,Defensive rebound by K. Durant,,2,51,39,12,1212.0
3:45.0, ,51-39,Turnover by K. Durant (bad pass),,2,51,39,12,1215.0
3:37.0,J. Brown misses 2-pt layup from 2 ft,51-39, ,,2,51,39,12,1223.0
3:36.0,Offensive rebound by A. Horford,51-39, ,,2,51,39,12,1224.0
3:25.0,Turnover by J. Brown (traveling),51-39, ,,2,51,39,12,1235.0
3:08.0, ,51-41,K. Durant makes 2-pt jump shot from 11 ft,,2,51,41,10,1252.0
2:49.0,A. Horford misses 2-pt jump shot from 7 ft,51-41, ,,2,51,41,10,1271.0
2:48.0,Offensive rebound by A. Horford,51-41, ,,2,51,41,10,1272.0
2:46.0,A. Horford misses 2-pt layup from 3 ft,51-41, ,,2,51,41,10,1274.0
2:42.0,Offensive rebound by D. White,51-41, ,,2,51,41,10,1278.0
2:42.0,D. White makes 2-pt layup at rim,53-41, ,,2,53,41,12,1278.0
2:32.0, ,53-41,Turnover by G. Allen (bad pass),,2,53,41,12,1288.0
2:32.0,J. Holiday enters the game for P. Pritchard,53-41, ,,2,53,41,12,1288.0
2:32.0, ,53-41,B. Beal enters the game for D. Roddy,,2,53,41,12,1288.0
2:17.0,A. Horford makes 2-pt layup from 5 ft (assist by J. Tatum),55-41, ,,2,55,41,14,1303.0
2:01.0, ,55-44,B. Beal makes 3-pt jump shot from 26 ft,,2,55,44,11,1319.0
1:48.0,Turnover by J. Tatum (lost ball; steal by J. Nurkić),55-44, ,,2,55,44,11,1332.0
1:44.0, ,55-44,R. O'Neale misses 2-pt layup from 4 ft (block by D. White),,2,55,44,11,1336.0
1:41.0,Defensive rebound by A. Horford,55-44, ,,2,55,44,11,1339.0
1:31.0,J. Brown makes 2-pt hook shot from 4 ft,57-44, ,,2,57,44,13,1349.0
1:08.0, ,57-44,Shooting foul by D. White (drawn by K. Durant),,2,57,44,13,1372.0
1:08.0, ,57-44,K. Durant misses free throw 1 of 2,,2,57,44,13,1372.0
1:08.0, ,57-44,Offensive rebound by Team,,2,57,44,13,1372.0
1:08.0, ,57-44,E. Gordon enters the game for J. Nurkić,,2,57,44,13,1372.0
1:08.0, ,57-45,K. Durant makes free throw 2 of 2,,2,57,45,12,1372.0
0:55.0,J. Brown makes 3-pt jump shot from 25 ft (assist by J. Tatum),60-45, ,,2,60,45,15,1385.0
0:45.0, ,60-47,K. Durant makes 2-pt layup from 3 ft,,2,60,47,13,1395.0
0:25.0,J. Holiday makes 2-pt layup from 5 ft,62-47, ,,2,62,47,15,1415.0
0:07.0, ,62-49,K. Durant makes 2-pt jump shot from 17 ft,,2,62,49,13,1433.0
0:07.0, ,62-49,Shooting foul by A. Horford (drawn by K. Durant),,2,62,49,13,1433.0
0:07.0, ,62-49,D. Roddy enters the game for B. Beal,,2,62,49,13,1433.0
0:07.0, ,62-50,K. Durant makes free throw 1 of 1,,2,62,50,12,1433.0
0:02.0,J. Brown misses 3-pt jump shot from 26 ft,62-50, ,,2,62,50,12,1438.0
0:01.0, ,62-50,Defensive rebound by E. Gordon,,2,62,50,12,1439.0
0:00.0,End of 2nd quarter,62-50,,,2,62,50,12,1440.0
12:00.0,Start of 3rd quarter,62-50,,,3,62,50,12,1440.0
11:43.0, ,62-50,Turnover by J. Nurkić (lost ball; steal by J. Brown),,3,62,50,12,1457.0
