Time,Boston,Score,Milwaukee,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
10:55.0, ,21-39,B. Portis misses 3-pt jump shot from 28 ft,,2,21,39,-18,785.0
10:53.0,Defensive rebound by P. Pritchard,21-39, ,,2,21,39,-18,787.0
10:32.0,J. Holiday misses 2-pt jump shot from 15 ft,21-39, ,,2,21,39,-18,808.0
10:32.0,Offensive rebound by Team,21-39, ,,2,21,39,-18,808.0
10:29.0,P. Pritchard misses 3-pt jump shot from 24 ft,21-39, ,,2,21,39,-18,811.0
10:24.0, ,21-39,Defensive rebound by G. Antetokounmpo,,2,21,39,-18,816.0
10:12.0, ,21-41,G. Antetokounmpo makes 2-pt jump shot from 8 ft (assist by P. Connaughton),,2,21,41,-20,828.0
9:53.0,J. Tatum makes 2-pt dunk from 1 ft,23-41, ,,2,23,41,-18,847.0
9:29.0, ,23-41,P. Connaughton misses 3-pt jump shot from 26 ft,,2,23,41,-18,871.0
9:27.0,Defensive rebound by P. Pritchard,23-41, ,,2,23,41,-18,873.0
9:19.0,Turnover by J. Holiday (bad pass; steal by B. Portis),23-41, ,,2,23,41,-18,881.0
9:09.0, ,23-43,P. Connaughton makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),,2,23,43,-20,891.0
8:49.0,J. Holiday misses 3-pt jump shot from 23 ft,23-43, ,,2,23,43,-20,911.0
8:47.0, ,23-43,Defensive rebound by G. Antetokounmpo,,2,23,43,-20,913.0
8:35.0, ,23-43,P. Connaughton misses 2-pt layup from 3 ft (block by X. Tillman),,2,23,43,-20,925.0
8:34.0, ,23-43,Offensive rebound by Team,,2,23,43,-20,926.0
8:29.0, ,23-43,M. Beasley misses 3-pt jump shot from 24 ft,,2,23,43,-20,931.0
8:27.0, ,23-43,Offensive rebound by G. Antetokounmpo,,2,23,43,-20,933.0
8:20.0, ,23-45,M. Beasley makes 2-pt layup from 1 ft (assist by B. Portis),,2,23,45,-22,940.0
8:11.0,Turnover by P. Pritchard (bad pass; steal by G. Antetokounmpo),23-45, ,,2,23,45,-22,949.0
8:02.0, ,23-47,B. Portis makes 2-pt dunk from 1 ft (assist by G. Antetokounmpo),,2,23,47,-24,958.0
8:02.0,Boston full timeout,23-47, ,,2,23,47,-24,958.0
7:47.0,X. Tillman makes 3-pt jump shot from 27 ft (assist by J. Tatum),26-47, ,,2,26,47,-21,973.0
7:30.0, ,26-47,Personal foul by X. Tillman (drawn by G. Antetokounmpo),,2,26,47,-21,990.0
7:30.0,D. White enters the game for S. Hauser,26-47, ,,2,26,47,-21,990.0
7:22.0, ,26-49,P. Connaughton makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),,2,26,49,-23,998.0
7:03.0,D. White makes 3-pt jump shot from 23 ft (assist by J. Holiday),29-49, ,,2,29,49,-20,1017.0
6:46.0, ,29-49,Turnover by B. Portis (lost ball; steal by X. Tillman),,2,29,49,-20,1034.0
6:36.0,P. Pritchard makes 3-pt jump shot from 28 ft (assist by X. Tillman),32-49, ,,2,32,49,-17,1044.0
6:34.0, ,32-49,Milwaukee full timeout,,2,32,49,-17,1046.0
6:34.0, ,32-49,D. Lillard enters the game for G. Antetokounmpo,,2,32,49,-17,1046.0
6:34.0, ,32-49,B. Lopez enters the game for P. Connaughton,,2,32,49,-17,1046.0
6:34.0, ,32-49,K. Middleton enters the game for B. Portis,,2,32,49,-17,1046.0
6:11.0, ,32-49,B. Lopez misses 2-pt jump shot from 14 ft,,2,32,49,-17,1069.0
6:09.0,Defensive rebound by J. Tatum,32-49, ,,2,32,49,-17,1071.0
6:09.0,J. Brown enters the game for P. Pritchard,32-49, ,,2,32,49,-17,1071.0
6:09.0,L. Kornet enters the game for X. Tillman,32-49, ,,2,32,49,-17,1071.0
5:59.0,J. Tatum misses 2-pt jump shot from 21 ft,32-49, ,,2,32,49,-17,1081.0
5:58.0, ,32-49,Defensive rebound by M. Beasley,,2,32,49,-17,1082.0
5:54.0, ,32-49,M. Beasley misses 2-pt layup from 5 ft,,2,32,49,-17,1086.0
5:52.0, ,32-49,Offensive rebound by D. Lillard,,2,32,49,-17,1088.0
5:52.0, ,32-51,D. Lillard makes 2-pt layup at rim,,2,32,51,-19,1088.0
5:36.0,D. White misses 3-pt jump shot from 24 ft,32-51, ,,2,32,51,-19,1104.0
5:34.0,Offensive rebound by L. Kornet,32-51, ,,2,32,51,-19,1106.0
5:26.0,J. Holiday misses 2-pt layup from 6 ft,32-51, ,,2,32,51,-19,1114.0
5:24.0,Offensive rebound by J. Holiday,32-51, ,,2,32,51,-19,1116.0
5:24.0,J. Holiday misses 2-pt layup at rim,32-51, ,,2,32,51,-19,1116.0
5:22.0, ,32-51,Defensive rebound by B. Lopez,,2,32,51,-19,1118.0
5:12.0, ,32-51,B. Lopez misses 3-pt jump shot from 28 ft,,2,32,51,-19,1128.0
5:10.0,Defensive rebound by J. Holiday,32-51, ,,2,32,51,-19,1130.0
5:02.0,J. Tatum misses 2-pt jump shot from 6 ft,32-51, ,,2,32,51,-19,1138.0
5:00.0,Offensive rebound by J. Brown,32-51, ,,2,32,51,-19,1140.0
4:59.0,Offensive foul by J. Brown (drawn by K. Middleton),32-51, ,,2,32,51,-19,1141.0
4:59.0,Turnover by J. Brown (offensive foul),32-51, ,,2,32,51,-19,1141.0
4:59.0, ,32-51,Milwaukee full timeout,,2,32,51,-19,1141.0
4:59.0, ,32-51,Instant Replay (Challenge: Ruling Stands),,2,32,51,-19,1141.0
