Time,Boston,Score,Charlotte,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
10:18.0, ,68-58,L. Ball misses 2-pt layup from 2 ft,,3,68,58,10,1542.0
10:13.0, ,68-58,Offensive rebound by M. Williams,,3,68,58,10,1547.0
10:13.0, ,68-60,M. Williams makes 2-pt layup at rim,,3,68,60,8,1547.0
10:08.0,Turnover by J. Holiday (bad pass; steal by L. Ball),68-60, ,,3,68,60,8,1552.0
10:02.0, ,68-63,L. Ball makes 3-pt jump shot from 23 ft (assist by B. Miller),,3,68,63,5,1558.0
9:39.0,K. Porziņģis misses 2-pt jump shot from 17 ft,68-63, ,,3,68,63,5,1581.0
9:36.0, ,68-63,Defensive rebound by L. Ball,,3,68,63,5,1584.0
9:24.0, ,68-65,L. Ball makes 2-pt jump shot from 15 ft (assist by M. Bridges),,3,68,65,3,1596.0
9:07.0,Turnover by S. Hauser (bad pass),68-65, ,,3,68,65,3,1613.0
8:50.0, ,68-65,M. Bridges misses 2-pt layup from 1 ft,,3,68,65,3,1630.0
8:48.0,Defensive rebound by K. Porziņģis,68-65, ,,3,68,65,3,1632.0
8:40.0,J. Tatum makes 2-pt layup from 2 ft,70-65, ,,3,70,65,5,1640.0
8:21.0, ,70-68,M. Bridges makes 3-pt jump shot from 25 ft,,3,70,68,2,1659.0
7:58.0,J. Tatum misses 2-pt jump shot from 12 ft,70-68, ,,3,70,68,2,1682.0
7:55.0, ,70-68,Defensive rebound by M. Bridges,,3,70,68,2,1685.0
7:52.0, ,70-68,G. Hayward misses 3-pt jump shot from 25 ft,,3,70,68,2,1688.0
7:49.0, ,70-68,Offensive rebound by M. Williams,,3,70,68,2,1691.0
7:47.0, ,70-68,M. Bridges misses 3-pt jump shot from 27 ft,,3,70,68,2,1693.0
7:42.0,Defensive rebound by J. Tatum,70-68, ,,3,70,68,2,1698.0
7:34.0,Shooting foul by M. Williams (drawn by K. Porziņģis),70-68, ,,3,70,68,2,1706.0
7:34.0,K. Porziņģis misses free throw 1 of 2,70-68, ,,3,70,68,2,1706.0
7:34.0,Offensive rebound by Team,70-68, ,,3,70,68,2,1706.0
7:34.0,K. Porziņģis makes free throw 2 of 2,71-68, ,,3,71,68,3,1706.0
7:14.0, ,71-68,G. Hayward misses 2-pt layup from 1 ft,,3,71,68,3,1726.0
7:12.0,Defensive rebound by K. Porziņģis,71-68, ,,3,71,68,3,1728.0
7:08.0,J. Brown makes 2-pt layup from 2 ft,73-68, ,,3,73,68,5,1732.0
7:07.0, ,73-68,Charlotte full timeout,,3,73,68,5,1733.0
7:07.0, ,73-68,P. Washington enters the game for M. Bridges,,3,73,68,5,1733.0
6:53.0, ,73-68,L. Ball misses 2-pt jump shot from 6 ft,,3,73,68,5,1747.0
6:52.0, ,73-68,Offensive rebound by M. Williams,,3,73,68,5,1748.0
6:49.0, ,73-68,P. Washington misses 3-pt jump shot from 26 ft,,3,73,68,5,1751.0
6:46.0, ,73-68,Offensive rebound by B. Miller,,3,73,68,5,1754.0
6:42.0, ,73-68,L. Ball misses 3-pt jump shot from 27 ft,,3,73,68,5,1758.0
6:39.0,Defensive rebound by J. Brown,73-68, ,,3,73,68,5,1761.0
6:33.0,J. Brown misses 2-pt jump shot from 8 ft,73-68, ,,3,73,68,5,1767.0
6:30.0, ,73-68,Defensive rebound by G. Hayward,,3,73,68,5,1770.0
6:17.0, ,73-70,L. Ball makes 2-pt jump shot at rim,,3,73,70,3,1783.0
6:17.0, ,73-70,Shooting foul by J. Brown (drawn by L. Ball),,3,73,70,3,1783.0
6:17.0,P. Pritchard enters the game for J. Brown,73-70, ,,3,73,70,3,1783.0
6:17.0, ,73-71,L. Ball makes free throw 1 of 1,,3,73,71,2,1783.0
6:03.0,K. Porziņģis makes 3-pt jump shot from 27 ft (assist by J. Holiday),76-71, ,,3,76,71,5,1797.0
5:48.0, ,76-71,P. Washington misses 2-pt jump shot from 5 ft,,3,76,71,5,1812.0
5:46.0,Defensive rebound by J. Tatum,76-71, ,,3,76,71,5,1814.0
5:40.0,K. Porziņģis misses 3-pt jump shot from 27 ft,76-71, ,,3,76,71,5,1820.0
5:37.0,Offensive rebound by J. Holiday,76-71, ,,3,76,71,5,1823.0
5:36.0,J. Holiday misses 2-pt layup from 4 ft (block by P. Washington),76-71, ,,3,76,71,5,1824.0
5:35.0, ,76-71,Turnover by G. Hayward (out of bounds lost ball),,3,76,71,5,1825.0
5:35.0, ,76-71,Defensive rebound by G. Hayward,,3,76,71,5,1825.0
5:35.0, ,76-71,I. Smith enters the game for L. Ball,,3,76,71,5,1825.0
5:25.0,J. Holiday misses 2-pt jump shot from 9 ft,76-71, ,,3,76,71,5,1835.0
5:25.0,Offensive rebound by K. Porziņģis,76-71, ,,3,76,71,5,1835.0
5:25.0,Shooting foul by G. Hayward (drawn by K. Porziņģis),76-71, ,,3,76,71,5,1835.0
5:25.0,K. Porziņģis makes free throw 1 of 2,77-71, ,,3,77,71,6,1835.0
