Time,Houston,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:16.0, ,74-92,Defensive rebound by K. Porziņģis,,3,92,74,18,1844.0
5:10.0, ,74-92,S. Hauser misses 3-pt jump shot from 26 ft,,3,92,74,18,1850.0
5:06.0,Defensive rebound by J. Smith,74-92, ,,3,92,74,18,1854.0
4:57.0,J. Smith misses 3-pt jump shot from 26 ft,74-92, ,,3,92,74,18,1863.0
4:56.0,Offensive rebound by Team,74-92, ,,3,92,74,18,1864.0
4:56.0, ,74-92,Loose ball foul by K. Porziņģis (drawn by A. Sengun),,3,92,74,18,1864.0
4:56.0,J. Green enters the game for A. Sengun,74-92, ,,3,92,74,18,1864.0
4:52.0,Shooting foul by J. Tatum (drawn by D. Brooks),74-92, ,,3,92,74,18,1868.0
4:52.0,D. Brooks makes free throw 1 of 2,75-92, ,,3,92,75,17,1868.0
4:52.0,D. Brooks makes free throw 2 of 2,76-92, ,,3,92,76,16,1868.0
4:29.0, ,76-92,Turnover by J. Tatum (lost ball; steal by A. Thompson),,3,92,76,16,1891.0
4:25.0,A. Thompson makes 2-pt dunk from 3 ft (assist by J. Smith),78-92, ,,3,92,78,14,1895.0
4:13.0, ,78-92,Shooting foul by C. Whitmore (drawn by J. Brown),,3,92,78,14,1907.0
4:13.0, ,78-93,J. Brown makes free throw 1 of 2,,3,93,78,15,1907.0
4:13.0, ,78-93,A. Horford enters the game for J. Tatum,,3,93,78,15,1907.0
4:13.0, ,78-94,J. Brown makes free throw 2 of 2,,3,94,78,16,1907.0
4:03.0,C. Whitmore misses 3-pt jump shot from 27 ft,78-94, ,,3,94,78,16,1917.0
4:00.0, ,78-94,Defensive rebound by K. Porziņģis,,3,94,78,16,1920.0
3:51.0, ,78-96,K. Porziņģis makes 2-pt dunk from 1 ft (assist by D. White),,3,96,78,18,1929.0
3:37.0,Turnover by A. Thompson (traveling),78-96, ,,3,96,78,18,1943.0
3:24.0, ,78-99,S. Hauser makes 3-pt jump shot from 24 ft (assist by D. White),,3,99,78,21,1956.0
3:08.0,J. Green makes 2-pt hook shot from 11 ft,80-99, ,,3,99,80,19,1972.0
3:00.0, ,80-102,J. Brown makes 3-pt jump shot from 25 ft,,3,102,80,22,1980.0
2:49.0,Personal foul by J. Brown (drawn by D. Brooks),80-102, ,,3,102,80,22,1991.0
2:49.0,Houston full timeout,80-102, ,,3,102,80,22,1991.0
2:49.0,J. Tate enters the game for J. Smith,80-102, ,,3,102,80,22,1991.0
2:49.0, ,80-102,P. Pritchard enters the game for D. White,,3,102,80,22,1991.0
2:49.0,D. Brooks makes free throw 1 of 2,81-102, ,,3,102,81,21,1991.0
2:49.0,D. Brooks makes free throw 2 of 2,82-102, ,,3,102,82,20,1991.0
2:30.0, ,82-104,J. Brown makes 2-pt dunk from 1 ft (assist by K. Porziņģis),,3,104,82,22,2010.0
2:12.0,J. Green misses 2-pt hook shot from 3 ft (block by A. Horford),82-104, ,,3,104,82,22,2028.0
2:10.0, ,82-104,Defensive rebound by J. Brown,,3,104,82,22,2030.0
2:06.0, ,82-104,J. Brown misses 3-pt jump shot from 25 ft,,3,104,82,22,2034.0
2:02.0, ,82-104,Offensive rebound by Team,,3,104,82,22,2038.0
2:02.0,A. Holiday enters the game for D. Brooks,82-104, ,,3,104,82,22,2038.0
1:50.0, ,82-107,P. Pritchard makes 3-pt jump shot from 27 ft,,3,107,82,25,2050.0
1:36.0,C. Whitmore misses 2-pt dunk from 2 ft (block by K. Porziņģis),82-107, ,,3,107,82,25,2064.0
1:34.0, ,82-107,Defensive rebound by S. Hauser,,3,107,82,25,2066.0
1:23.0, ,82-109,A. Horford makes 2-pt hook shot from 3 ft,,3,109,82,27,2077.0
1:14.0,A. Holiday makes 2-pt layup from 5 ft,84-109, ,,3,109,84,25,2086.0
0:54.0, ,84-109,J. Brown misses 2-pt jump shot from 23 ft,,3,109,84,25,2106.0
0:52.0,Defensive rebound by A. Thompson,84-109, ,,3,109,84,25,2108.0
0:49.0,Personal foul by J. Brown (drawn by C. Whitmore),84-109, ,,3,109,84,25,2111.0
0:49.0,C. Whitmore makes free throw 1 of 2,85-109, ,,3,109,85,24,2111.0
0:49.0, ,85-109,J. Holiday enters the game for J. Brown,,3,109,85,24,2111.0
0:49.0,C. Whitmore makes free throw 2 of 2,86-109, ,,3,109,86,23,2111.0
0:35.0, ,86-109,J. Holiday misses 2-pt jump shot from 8 ft,,3,109,86,23,2125.0
0:34.0, ,86-109,Offensive rebound by J. Holiday,,3,109,86,23,2126.0
0:34.0, ,86-109,J. Holiday misses 2-pt layup at rim,,3,109,86,23,2126.0
0:33.0, ,86-109,Offensive rebound by P. Pritchard,,3,109,86,23,2127.0
0:29.0, ,86-109,S. Hauser misses 3-pt jump shot from 28 ft,,3,109,86,23,2131.0
0:27.0, ,86-109,Offensive rebound by K. Porziņģis,,3,109,86,23,2133.0
0:27.0, ,86-109,K. Porziņģis misses 2-pt layup at rim,,3,109,86,23,2133.0
0:25.0, ,86-109,Offensive rebound by J. Holiday,,3,109,86,23,2135.0
0:22.0, ,86-112,P. Pritchard makes 3-pt jump shot from 26 ft (assist by J. Holiday),,3,112,86,26,2138.0
0:01.0,C. Whitmore misses 3-pt jump shot from 27 ft,86-112, ,,3,112,86,26,2159.0
0:01.0, ,86-112,Defensive rebound by P. Pritchard,,3,112,86,26,2159.0
0:00.0,End of 3rd quarter,86-112,,,3,112,86,26,2160.0
12:00.0,Start of 4th quarter,86-112,,,4,112,86,26,2160.0
11:41.0, ,86-112,J. Tatum misses 2-pt layup from 4 ft,,4,112,86,26,2179.0
11:40.0, ,86-112,Offensive rebound by J. Tatum,,4,112,86,26,2180.0
11:38.0, ,86-112,J. Tatum misses 2-pt layup from 2 ft (block by R. Bullock),,4,112,86,26,2182.0
11:36.0,Defensive rebound by R. Bullock,86-112, ,,4,112,86,26,2184.0
11:36.0,C. Whitmore makes 2-pt layup from 3 ft (assist by A. Holiday),88-112, ,,4,112,88,24,2184.0
11:36.0,Shooting foul by J. Holiday (drawn by C. Whitmore),88-112, ,,4,112,88,24,2184.0
11:36.0,C. Whitmore misses free throw 1 of 1,88-112, ,,4,112,88,24,2184.0
11:34.0, ,88-112,Defensive rebound by S. Hauser,,4,112,88,24,2186.0
11:23.0, ,88-115,J. Holiday makes 3-pt jump shot from 26 ft (assist by J. Tatum),,4,115,88,27,2197.0
11:08.0,J. Landale misses 2-pt jump shot from 12 ft,88-115, ,,4,115,88,27,2212.0
11:05.0, ,88-115,Defensive rebound by A. Horford,,4,115,88,27,2215.0
10:58.0, ,88-117,J. Holiday makes 2-pt layup from 2 ft (assist by P. Pritchard),,4,117,88,29,2222.0
10:46.0,A. Thompson misses 2-pt jump shot from 22 ft,88-117, ,,4,117,88,29,2234.0
10:42.0,Offensive rebound by J. Landale,88-117, ,,4,117,88,29,2238.0
10:39.0,A. Holiday misses 3-pt jump shot from 26 ft,88-117, ,,4,117,88,29,2241.0
10:39.0, ,88-117,Defensive rebound by S. Hauser,,4,117,88,29,2241.0
10:27.0, ,88-117,J. Tatum misses 2-pt dunk from 3 ft (block by C. Whitmore),,4,117,88,29,2253.0
10:27.0,Defensive rebound by R. Bullock,88-117, ,,4,117,88,29,2253.0
10:21.0,A. Holiday makes 2-pt layup from 4 ft,90-117, ,,4,117,90,27,2259.0
10:17.0, ,90-117,Technical foul by J. Tatum,,4,117,90,27,2263.0
10:17.0,A. Holiday misses technical free throw,90-117, ,,4,117,90,27,2263.0
10:17.0, ,90-117,Defensive rebound by Team,,4,117,90,27,2263.0
10:17.0, ,90-117,J. Tatum ejected from game,,4,117,90,27,2263.0
10:17.0,A. Holiday makes technical free throw,91-117, ,,4,117,91,26,2263.0
10:17.0, ,91-117,D. White enters the game for J. Tatum,,4,117,91,26,2263.0
10:07.0, ,91-117,S. Hauser misses 2-pt layup from 2 ft,,4,117,91,26,2273.0
10:04.0,Defensive rebound by R. Bullock,91-117, ,,4,117,91,26,2276.0
9:59.0,A. Thompson misses 2-pt layup from 9 ft,91-117, ,,4,117,91,26,2281.0
9:56.0, ,91-117,Defensive rebound by S. Hauser,,4,117,91,26,2284.0
9:54.0, ,91-119,P. Pritchard makes 2-pt layup from 2 ft,,4,119,91,28,2286.0
9:54.0,Violation by Team (def goaltending),91-119, ,,4,119,91,28,2286.0
9:44.0,C. Whitmore misses 3-pt jump shot from 25 ft,91-119, ,,4,119,91,28,2296.0
9:39.0, ,91-119,Defensive rebound by P. Pritchard,,4,119,91,28,2301.0
9:34.0, ,91-122,S. Hauser makes 3-pt jump shot from 26 ft (assist by P. Pritchard),,4,122,91,31,2306.0
9:18.0,J. Landale misses 3-pt jump shot from 27 ft,91-122, ,,4,122,91,31,2322.0
9:15.0, ,91-122,Defensive rebound by A. Horford,,4,122,91,31,2325.0
9:09.0, ,91-124,D. White makes 2-pt jump shot from 11 ft,,4,124,91,33,2331.0
9:08.0,Houston full timeout,91-124, ,,4,124,91,33,2332.0
9:08.0,J. Williams enters the game for R. Bullock,91-124, ,,4,124,91,33,2332.0
9:08.0, ,91-124,O. Brissett enters the game for J. Holiday,,4,124,91,33,2332.0
9:08.0, ,91-124,L. Kornet enters the game for A. Horford,,4,124,91,33,2332.0
9:08.0, ,91-124,S. Mykhailiuk enters the game for D. White,,4,124,91,33,2332.0
8:58.0,A. Holiday misses 2-pt jump shot from 16 ft,91-124, ,,4,124,91,33,2342.0
8:55.0,Offensive rebound by J. Landale,91-124, ,,4,124,91,33,2345.0
8:55.0,J. Landale makes 2-pt layup at rim,93-124, ,,4,124,93,31,2345.0
8:41.0, ,93-126,P. Pritchard makes 2-pt layup from 2 ft,,4,126,93,33,2359.0
8:29.0,Shooting foul by L. Kornet (drawn by A. Thompson),93-126, ,,4,126,93,33,2371.0
8:29.0,A. Thompson makes free throw 1 of 2,94-126, ,,4,126,94,32,2371.0
8:29.0,A. Thompson makes free throw 2 of 2,95-126, ,,4,126,95,31,2371.0
8:17.0, ,95-129,S. Mykhailiuk makes 3-pt jump shot from 27 ft (assist by O. Brissett),,4,129,95,34,2383.0
8:01.0,A. Holiday misses 3-pt jump shot from 27 ft,95-129, ,,4,129,95,34,2399.0
7:59.0, ,95-129,Defensive rebound by Team,,4,129,95,34,2401.0
7:41.0, ,95-131,P. Pritchard makes 2-pt jump shot from 10 ft,,4,131,95,36,2419.0
7:27.0,C. Whitmore makes 2-pt jump shot from 23 ft (assist by A. Thompson),97-131, ,,4,131,97,34,2433.0
7:17.0, ,97-131,S. Hauser misses 3-pt jump shot from 27 ft,,4,131,97,34,2443.0
7:14.0,Defensive rebound by C. Whitmore,97-131, ,,4,131,97,34,2446.0
7:08.0,J. Landale misses 3-pt jump shot from 26 ft,97-131, ,,4,131,97,34,2452.0
7:05.0, ,97-131,Defensive rebound by O. Brissett,,4,131,97,34,2455.0
7:00.0, ,97-131,S. Hauser misses 3-pt jump shot from 27 ft,,4,131,97,34,2460.0
6:58.0,Defensive rebound by C. Whitmore,97-131, ,,4,131,97,34,2462.0
6:50.0,Turnover by A. Thompson (bad pass; steal by O. Brissett),97-131, ,,4,131,97,34,2470.0
6:50.0, ,97-131,L. Stevens enters the game for S. Hauser,,4,131,97,34,2470.0
6:44.0, ,97-131,Turnover by L. Stevens (lost ball; steal by C. Whitmore),,4,131,97,34,2476.0
6:39.0,Shooting foul by L. Kornet (drawn by C. Whitmore),97-131, ,,4,131,97,34,2481.0
6:39.0,C. Whitmore makes free throw 1 of 2,98-131, ,,4,131,98,33,2481.0
6:39.0,B. Marjanović enters the game for A. Thompson,98-131, ,,4,131,98,33,2481.0
6:39.0,C. Whitmore makes free throw 2 of 2,99-131, ,,4,131,99,32,2481.0
6:24.0, ,99-131,P. Pritchard misses 3-pt jump shot from 26 ft,,4,131,99,32,2496.0
6:20.0, ,99-131,Offensive rebound by S. Mykhailiuk,,4,131,99,32,2500.0
6:12.0, ,99-131,P. Pritchard misses 3-pt jump shot from 23 ft,,4,131,99,32,2508.0
6:09.0,Defensive rebound by C. Whitmore,99-131, ,,4,131,99,32,2511.0
6:01.0,Turnover by C. Whitmore (traveling),99-131, ,,4,131,99,32,2519.0
5:45.0, ,99-134,O. Brissett makes 3-pt jump shot from 24 ft (assist by P. Pritchard),,4,134,99,35,2535.0
5:30.0,Personal foul by S. Mykhailiuk (drawn by A. Holiday),99-134, ,,4,134,99,35,2550.0
5:24.0,A. Holiday misses 3-pt jump shot from 27 ft,99-134, ,,4,134,99,35,2556.0
5:22.0,Offensive rebound by C. Whitmore,99-134, ,,4,134,99,35,2558.0
5:15.0,J. Williams misses 2-pt jump shot from 5 ft,99-134, ,,4,134,99,35,2565.0
5:13.0, ,99-134,Defensive rebound by L. Kornet,,4,134,99,35,2567.0
5:13.0, ,99-134,Personal foul by J. Williams (drawn by O. Brissett),,4,134,99,35,2567.0
5:13.0,A. Thompson enters the game for A. Holiday,99-134, ,,4,134,99,35,2567.0
5:01.0, ,99-134,P. Pritchard misses 3-pt jump shot from 25 ft,,4,134,99,35,2579.0
4:58.0,Defensive rebound by A. Thompson,99-134, ,,4,134,99,35,2582.0
4:41.0,J. Williams makes 2-pt layup from 3 ft,101-134, ,,4,134,101,33,2599.0
4:41.0,Shooting foul by O. Brissett (drawn by J. Williams),101-134, ,,4,134,101,33,2599.0
4:41.0,J. Williams makes free throw 1 of 1,102-134, ,,4,134,102,32,2599.0
4:26.0, ,102-134,S. Mykhailiuk misses 2-pt jump shot from 13 ft,,4,134,102,32,2614.0
4:23.0,Defensive rebound by B. Marjanović,102-134, ,,4,134,102,32,2617.0
4:15.0,J. Landale misses 2-pt hook shot from 4 ft (block by L. Kornet),102-134, ,,4,134,102,32,2625.0
4:13.0,Offensive rebound by J. Landale,102-134, ,,4,134,102,32,2627.0
4:11.0,B. Marjanović makes 2-pt layup from 3 ft (assist by J. Landale),104-134, ,,4,134,104,30,2629.0
4:11.0,Shooting foul by L. Kornet (drawn by B. Marjanović),104-134, ,,4,134,104,30,2629.0
4:11.0,B. Marjanović misses free throw 1 of 1,104-134, ,,4,134,104,30,2629.0
4:09.0, ,104-134,Defensive rebound by O. Brissett,,4,134,104,30,2631.0
4:03.0, ,104-137,S. Mykhailiuk makes 3-pt jump shot from 24 ft (assist by O. Brissett),,4,137,104,33,2637.0
3:49.0,A. Thompson makes 2-pt layup from 4 ft,106-137, ,,4,137,106,31,2651.0
3:38.0, ,106-137,S. Mykhailiuk misses 3-pt jump shot from 26 ft,,4,137,106,31,2662.0
3:34.0,Defensive rebound by A. Thompson,106-137, ,,4,137,106,31,2666.0
3:16.0,J. Landale misses 3-pt jump shot from 27 ft,106-137, ,,4,137,106,31,2684.0
3:12.0,Offensive rebound by J. Williams,106-137, ,,4,137,106,31,2688.0
3:11.0,Turnover by Team (shot clock),106-137, ,,4,137,106,31,2689.0
2:55.0, ,106-137,L. Stevens misses 2-pt jump shot from 7 ft,,4,137,106,31,2705.0
2:54.0, ,106-137,Offensive rebound by P. Pritchard,,4,137,106,31,2706.0
2:48.0, ,106-137,L. Stevens misses 2-pt layup from 3 ft,,4,137,106,31,2712.0
2:47.0,Defensive rebound by B. Marjanović,106-137, ,,4,137,106,31,2713.0
2:37.0,A. Thompson misses 2-pt layup from 5 ft,106-137, ,,4,137,106,31,2723.0
2:36.0, ,106-137,Defensive rebound by O. Brissett,,4,137,106,31,2724.0
2:33.0, ,106-139,O. Brissett makes 2-pt dunk at rim,,4,139,106,33,2727.0
2:14.0,C. Whitmore makes 2-pt jump shot from 22 ft,108-139, ,,4,139,108,31,2746.0
2:01.0, ,108-139,Shooting foul by B. Marjanović (drawn by P. Pritchard),,4,139,108,31,2759.0
2:01.0, ,108-139,Boston full timeout,,4,139,108,31,2759.0
2:01.0, ,108-140,P. Pritchard makes free throw 1 of 2,,4,140,108,32,2759.0
2:01.0, ,108-141,P. Pritchard makes free throw 2 of 2,,4,141,108,33,2759.0
1:39.0,B. Marjanović misses 2-pt layup from 3 ft,108-141, ,,4,141,108,33,2781.0
1:38.0,Offensive rebound by B. Marjanović,108-141, ,,4,141,108,33,2782.0
1:38.0,B. Marjanović misses 2-pt layup at rim,108-141, ,,4,141,108,33,2782.0
1:36.0,Offensive rebound by J. Williams,108-141, ,,4,141,108,33,2784.0
1:34.0,J. Williams makes 2-pt hook shot from 7 ft,110-141, ,,4,141,110,31,2786.0
1:15.0, ,110-141,Turnover by P. Pritchard (bad pass; steal by A. Thompson),,4,141,110,31,2805.0
1:12.0,Personal foul by P. Pritchard (drawn by C. Whitmore),110-141, ,,4,141,110,31,2808.0
1:12.0,C. Whitmore misses free throw 1 of 2,110-141, ,,4,141,110,31,2808.0
1:12.0,Offensive rebound by Team,110-141, ,,4,141,110,31,2808.0
1:12.0,C. Whitmore makes free throw 2 of 2,111-141, ,,4,141,111,30,2808.0
1:00.0, ,111-141,S. Mykhailiuk misses 2-pt jump shot from 15 ft,,4,141,111,30,2820.0
0:58.0, ,111-141,Offensive rebound by L. Kornet,,4,141,111,30,2822.0
0:58.0, ,111-143,L. Kornet makes 2-pt layup at rim,,4,143,111,32,2822.0
0:51.0,Turnover by A. Thompson (out of bounds lost ball),111-143, ,,4,143,111,32,2829.0
0:44.0, ,111-145,P. Pritchard makes 2-pt layup from 6 ft,,4,145,111,34,2836.0
0:35.0,B. Marjanović misses 2-pt hook shot from 6 ft,111-145, ,,4,145,111,34,2845.0
0:34.0,Offensive rebound by A. Thompson,111-145, ,,4,145,111,34,2846.0
0:34.0,A. Thompson makes 2-pt layup at rim,113-145, ,,4,145,113,32,2846.0
0:10.0, ,113-145,Turnover by Team (shot clock),,4,145,113,32,2870.0
0:00.0,End of 4th quarter,113-145,,,4,145,113,32,2880.0
