Time,Boston,Score,Charlotte,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:49.0,L. Kornet enters the game for K. Porziņģis,25-29, ,,1,25,29,-4,551.0
2:49.0, ,25-29,T. Mann enters the game for V. Micić,,1,25,29,-4,551.0
2:49.0, ,25-30,B. Miller makes free throw 1 of 1,,1,25,30,-5,551.0
2:28.0,J. Tatum makes 2-pt layup from 1 ft,27-30, ,,1,27,30,-3,572.0
2:07.0, ,27-30,Turnover by B. Miller (lost ball; steal by J. Tatum),,1,27,30,-3,593.0
2:04.0,Turnover by J. Tatum (lost ball; steal by B. Miller),27-30, ,,1,27,30,-3,596.0
1:45.0, ,27-30,M. Bridges misses 2-pt jump shot from 13 ft,,1,27,30,-3,615.0
1:43.0,Defensive rebound by L. Kornet,27-30, ,,1,27,30,-3,617.0
1:32.0,S. Hauser makes 3-pt jump shot from 25 ft (assist by P. Pritchard),30-30, ,Tie,1,30,30,0,628.0
1:13.0, ,30-30,M. Bridges misses 2-pt layup from 2 ft,,1,30,30,0,647.0
1:12.0,Defensive rebound by O. Brissett,30-30, ,,1,30,30,0,648.0
1:06.0,J. Tatum misses 3-pt jump shot from 26 ft,30-30, ,,1,30,30,0,654.0
1:02.0, ,30-30,Defensive rebound by T. Mann,,1,30,30,0,658.0
1:00.0, ,30-32,M. Bridges makes 2-pt dunk from 1 ft (assist by T. Mann),,1,30,32,-2,660.0
0:45.0,P. Pritchard misses 3-pt jump shot from 26 ft,30-32, ,,1,30,32,-2,675.0
0:43.0, ,30-32,Defensive rebound by A. Pokusevski,,1,30,32,-2,677.0
0:33.0, ,30-32,A. Pokusevski misses 2-pt jump shot from 19 ft,,1,30,32,-2,687.0
0:31.0,Defensive rebound by J. Tatum,30-32, ,,1,30,32,-2,689.0
0:13.0,Turnover by P. Pritchard (step out of bounds),30-32, ,,1,30,32,-2,707.0
0:13.0, ,30-32,D. Bertāns enters the game for B. Miller,,1,30,32,-2,707.0
0:07.0, ,30-32,Personal foul by P. Pritchard (drawn by T. Mann),,1,30,32,-2,713.0
0:07.0,D. White enters the game for L. Kornet,30-32, ,,1,30,32,-2,713.0
0:01.0, ,30-32,A. Pokusevski misses 2-pt jump shot from 17 ft,,1,30,32,-2,719.0
0:01.0,Defensive rebound by P. Pritchard,30-32, ,,1,30,32,-2,719.0
0:00.0,End of 1st quarter,30-32,,,1,30,32,-2,720.0
12:00.0,Start of 2nd quarter,30-32,,,2,30,32,-2,720.0
11:49.0, ,30-32,Turnover by G. Williams (bad pass; steal by L. Kornet),,2,30,32,-2,731.0
11:44.0,Turnover by D. White (bad pass; steal by A. Pokusevski),30-32, ,,2,30,32,-2,736.0
11:37.0, ,30-32,D. Bertāns misses 3-pt jump shot from 27 ft,,2,30,32,-2,743.0
11:34.0,Defensive rebound by S. Hauser,30-32, ,,2,30,32,-2,746.0
11:26.0,D. White misses 3-pt jump shot from 26 ft,30-32, ,,2,30,32,-2,754.0
11:20.0,Offensive rebound by L. Kornet,30-32, ,,2,30,32,-2,760.0
11:20.0,L. Kornet makes 2-pt dunk at rim,32-32, ,Tie,2,32,32,0,760.0
11:01.0, ,32-34,G. Williams makes 2-pt layup from 2 ft (assist by A. Pokusevski),,2,32,34,-2,779.0
11:01.0, ,32-34,Shooting foul by S. Hauser (drawn by G. Williams),,2,32,34,-2,779.0
11:01.0, ,32-34,G. Williams misses free throw 1 of 1,,2,32,34,-2,779.0
10:59.0,Defensive rebound by J. Holiday,32-34, ,,2,32,34,-2,781.0
10:47.0,Turnover by D. White (bad pass),32-34, ,,2,32,34,-2,793.0
10:47.0,A. Horford enters the game for S. Hauser,32-34, ,,2,32,34,-2,793.0
10:30.0, ,32-34,G. Williams misses 2-pt jump shot from 6 ft,,2,32,34,-2,810.0
10:28.0,Defensive rebound by L. Kornet,32-34, ,,2,32,34,-2,812.0
10:23.0,J. Holiday misses 3-pt jump shot from 26 ft,32-34, ,,2,32,34,-2,817.0
10:20.0,Offensive rebound by P. Pritchard,32-34, ,,2,32,34,-2,820.0
10:11.0,D. White misses 3-pt jump shot from 26 ft,32-34, ,,2,32,34,-2,829.0
10:07.0, ,32-34,Defensive rebound by A. Pokusevski,,2,32,34,-2,833.0
9:53.0, ,32-34,A. Pokusevski misses 3-pt jump shot from 25 ft,,2,32,34,-2,847.0
9:50.0,Defensive rebound by D. White,32-34, ,,2,32,34,-2,850.0
