Time,Boston,Score,Brooklyn,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:24.0, ,17-13,C. Thomas misses 2-pt layup from 3 ft,,1,17,13,4,336.0
6:24.0,Defensive rebound by A. Horford,17-13, ,,1,17,13,4,336.0
6:20.0,J. Holiday makes 3-pt jump shot from 24 ft (assist by A. Horford),20-13, ,,1,20,13,7,340.0
6:02.0, ,20-13,M. Bridges misses 3-pt jump shot from 26 ft,,1,20,13,7,358.0
6:00.0,Defensive rebound by K. Porziņģis,20-13, ,,1,20,13,7,360.0
5:51.0,J. Holiday misses 3-pt jump shot from 24 ft,20-13, ,,1,20,13,7,369.0
5:47.0,Offensive rebound by J. Tatum,20-13, ,,1,20,13,7,373.0
5:46.0,J. Tatum misses 2-pt layup from 2 ft,20-13, ,,1,20,13,7,374.0
5:46.0,Offensive rebound by A. Horford,20-13, ,,1,20,13,7,374.0
5:44.0,A. Horford makes 2-pt layup from 2 ft,22-13, ,,1,22,13,9,376.0
5:44.0, ,22-13,Brooklyn full timeout,,1,22,13,9,376.0
5:44.0,S. Hauser enters the game for A. Horford,22-13, ,,1,22,13,9,376.0
5:44.0,P. Pritchard enters the game for J. Tatum,22-13, ,,1,22,13,9,376.0
5:27.0, ,22-13,Personal foul by S. Hauser (drawn by R. O'Neale),,1,22,13,9,393.0
5:14.0, ,22-13,D. Finney-Smith misses 3-pt jump shot from 26 ft,,1,22,13,9,406.0
5:10.0,Defensive rebound by K. Porziņģis,22-13, ,,1,22,13,9,410.0
4:56.0,Personal foul by R. O'Neale (drawn by K. Porziņģis),22-13, ,,1,22,13,9,424.0
4:56.0, ,22-13,D. Smith enters the game for S. Dinwiddie,,1,22,13,9,424.0
4:56.0, ,22-13,L. Walker enters the game for C. Thomas,,1,22,13,9,424.0
4:43.0,J. Holiday misses 2-pt jump shot from 13 ft,22-13, ,,1,22,13,9,437.0
4:41.0, ,22-13,Defensive rebound by R. O'Neale,,1,22,13,9,439.0
4:31.0, ,22-15,D. Finney-Smith makes 2-pt layup from 3 ft (assist by L. Walker),,1,22,15,7,449.0
4:17.0,J. Brown makes 2-pt jump shot from 21 ft (assist by J. Holiday),24-15, ,,1,24,15,9,463.0
4:07.0, ,24-18,L. Walker makes 3-pt jump shot from 26 ft,,1,24,18,6,473.0
4:04.0, ,24-18,Violation by Team (delay of game),,1,24,18,6,476.0
3:53.0,Shooting foul by R. O'Neale (drawn by J. Brown),24-18, ,,1,24,18,6,487.0
3:53.0,J. Brown makes free throw 1 of 2,25-18, ,,1,25,18,7,487.0
3:53.0,O. Brissett enters the game for J. Holiday,25-18, ,,1,25,18,7,487.0
3:53.0, ,25-18,T. Watford enters the game for R. O'Neale,,1,25,18,7,487.0
3:53.0,J. Brown makes free throw 2 of 2,26-18, ,,1,26,18,8,487.0
3:32.0, ,26-20,L. Walker makes 2-pt layup from 3 ft (assist by T. Watford),,1,26,20,6,508.0
3:18.0,K. Porziņģis misses 3-pt jump shot from 27 ft,26-20, ,,1,26,20,6,522.0
3:15.0, ,26-20,Defensive rebound by L. Walker,,1,26,20,6,525.0
3:10.0, ,26-20,Shooting foul by J. Brown (drawn by L. Walker),,1,26,20,6,530.0
3:10.0, ,26-21,L. Walker makes free throw 1 of 2,,1,26,21,5,530.0
3:10.0, ,26-21,S. Dinwiddie enters the game for M. Bridges,,1,26,21,5,530.0
3:10.0, ,26-21,D. Sharpe enters the game for D. Finney-Smith,,1,26,21,5,530.0
3:10.0, ,26-22,L. Walker makes free throw 2 of 2,,1,26,22,4,530.0
2:53.0,J. Brown misses 3-pt jump shot from 25 ft,26-22, ,,1,26,22,4,547.0
2:49.0, ,26-22,Defensive rebound by T. Watford,,1,26,22,4,551.0
2:41.0, ,26-24,L. Walker makes 2-pt jump shot from 21 ft,,1,26,24,2,559.0
2:29.0,Shooting foul by T. Watford (drawn by K. Porziņģis),26-24, ,,1,26,24,2,571.0
2:29.0,Boston full timeout,26-24, ,,1,26,24,2,571.0
2:29.0,J. Tatum enters the game for J. Brown,26-24, ,,1,26,24,2,571.0
2:29.0,K. Porziņģis makes free throw 1 of 2,27-24, ,,1,27,24,3,571.0
2:29.0,K. Porziņģis misses free throw 2 of 2,27-24, ,,1,27,24,3,571.0
2:26.0, ,27-24,Defensive rebound by T. Watford,,1,27,24,3,574.0
2:10.0, ,27-26,D. Sharpe makes 2-pt dunk from 1 ft (assist by S. Dinwiddie),,1,27,26,1,590.0
1:50.0,O. Brissett makes 3-pt jump shot from 26 ft (assist by P. Pritchard),30-26, ,,1,30,26,4,610.0
1:36.0, ,30-29,S. Dinwiddie makes 3-pt jump shot from 26 ft (assist by D. Smith),,1,30,29,1,624.0
1:26.0,Shooting foul by S. Dinwiddie (drawn by K. Porziņģis),30-29, ,,1,30,29,1,634.0
1:26.0,K. Porziņģis makes free throw 1 of 2,31-29, ,,1,31,29,2,634.0
1:26.0,K. Porziņģis misses free throw 2 of 2,31-29, ,,1,31,29,2,634.0
1:24.0, ,31-29,Defensive rebound by D. Sharpe,,1,31,29,2,636.0
1:09.0, ,31-29,L. Walker misses 2-pt jump shot from 2 ft,,1,31,29,2,651.0
1:07.0, ,31-29,Offensive rebound by D. Sharpe,,1,31,29,2,653.0
1:07.0, ,31-31,D. Sharpe makes 2-pt layup at rim,Tie,1,31,31,0,653.0
1:07.0,Technical foul by K. Porziņģis,31-31, ,,1,31,31,0,653.0
1:07.0, ,31-31,S. Dinwiddie misses technical free throw,,1,31,31,0,653.0
1:07.0,Defensive rebound by Team,31-31, ,,1,31,31,0,653.0
1:03.0,P. Pritchard misses 3-pt jump shot from 25 ft,31-31, ,,1,31,31,0,657.0
0:58.0, ,31-31,Defensive rebound by D. Smith,,1,31,31,0,662.0
0:43.0, ,31-31,D. Smith misses 3-pt jump shot from 26 ft,,1,31,31,0,677.0
0:40.0,Defensive rebound by O. Brissett,31-31, ,,1,31,31,0,680.0
0:35.0,J. Tatum misses 2-pt layup from 5 ft (block by D. Smith),31-31, ,,1,31,31,0,685.0
0:35.0,Offensive rebound by Team,31-31, ,,1,31,31,0,685.0
0:35.0,L. Kornet enters the game for K. Porziņģis,31-31, ,,1,31,31,0,685.0
0:35.0, ,31-31,D. Finney-Smith enters the game for D. Sharpe,,1,31,31,0,685.0
0:32.0,S. Hauser makes 3-pt jump shot from 28 ft (assist by J. Tatum),34-31, ,,1,34,31,3,688.0
0:17.0, ,34-31,Personal foul by P. Pritchard (drawn by D. Smith),,1,34,31,3,703.0
0:17.0,J. Holiday enters the game for L. Kornet,34-31, ,,1,34,31,3,703.0
0:17.0, ,34-31,M. Bridges enters the game for D. Smith,,1,34,31,3,703.0
0:17.0, ,34-31,C. Thomas enters the game for T. Watford,,1,34,31,3,703.0
0:03.0, ,34-33,C. Thomas makes 2-pt jump shot from 11 ft,,1,34,33,1,717.0
0:03.0, ,34-33,Shooting foul by S. Hauser (drawn by C. Thomas),,1,34,33,1,717.0
0:03.0, ,34-33,R. O'Neale enters the game for L. Walker,,1,34,33,1,717.0
0:03.0, ,34-34,C. Thomas makes free throw 1 of 1,Tie,1,34,34,0,717.0
0:00.0,P. Pritchard misses 3-pt jump shot from 25 ft,34-34, ,,1,34,34,0,720.0
0:00.0,Offensive rebound by Team,34-34, ,,1,34,34,0,720.0
0:00.0,End of 1st quarter,34-34,,,1,34,34,0,720.0
12:00.0,Start of 2nd quarter,34-34,,,2,34,34,0,720.0
11:46.0, ,34-34,D. Finney-Smith misses 3-pt jump shot from 23 ft,,2,34,34,0,734.0
11:43.0,Defensive rebound by L. Kornet,34-34, ,,2,34,34,0,737.0
11:37.0,J. Tatum misses 2-pt layup from 2 ft (block by M. Bridges),34-34, ,,2,34,34,0,743.0
11:33.0,Offensive rebound by J. Holiday,34-34, ,,2,34,34,0,747.0
11:21.0,J. Holiday misses 2-pt jump shot from 12 ft,34-34, ,,2,34,34,0,759.0
11:19.0, ,34-34,Defensive rebound by D. Sharpe,,2,34,34,0,761.0
11:07.0, ,34-34,Shooting foul by L. Kornet (drawn by D. Sharpe),,2,34,34,0,773.0
11:07.0, ,34-35,D. Sharpe makes free throw 1 of 2,Lead change,2,34,35,-1,773.0
11:07.0, ,34-36,D. Sharpe makes free throw 2 of 2,,2,34,36,-2,773.0
10:57.0,J. Tatum misses 3-pt jump shot from 24 ft,34-36, ,,2,34,36,-2,783.0
10:54.0, ,34-36,Defensive rebound by Team,,2,34,36,-2,786.0
10:37.0, ,34-38,C. Thomas makes 2-pt jump shot from 12 ft (assist by M. Bridges),,2,34,38,-4,803.0
10:22.0,O. Brissett misses 3-pt jump shot from 23 ft,34-38, ,,2,34,38,-4,818.0
10:20.0, ,34-38,Defensive rebound by M. Bridges,,2,34,38,-4,820.0
10:20.0, ,34-38,Personal foul by J. Tatum (drawn by M. Bridges),,2,34,38,-4,820.0
10:20.0,A. Horford enters the game for O. Brissett,34-38, ,,2,34,38,-4,820.0
10:06.0, ,34-38,C. Thomas misses 2-pt jump shot from 12 ft,,2,34,38,-4,834.0
10:02.0,Defensive rebound by L. Kornet,34-38, ,,2,34,38,-4,838.0
9:55.0,Shooting foul by M. Bridges (drawn by J. Holiday),34-38, ,,2,34,38,-4,845.0
9:55.0,J. Holiday makes free throw 1 of 2,35-38, ,,2,35,38,-3,845.0
9:55.0,P. Pritchard enters the game for S. Hauser,35-38, ,,2,35,38,-3,845.0
9:55.0,J. Holiday makes free throw 2 of 2,36-38, ,,2,36,38,-2,845.0
9:43.0, ,36-41,D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie),,2,36,41,-5,857.0
9:31.0,J. Holiday misses 3-pt jump shot from 24 ft,36-41, ,,2,36,41,-5,869.0
9:26.0, ,36-41,Defensive rebound by D. Finney-Smith,,2,36,41,-5,874.0
9:23.0, ,36-41,D. Finney-Smith misses 3-pt jump shot from 26 ft,,2,36,41,-5,877.0
9:20.0,Defensive rebound by L. Kornet,36-41, ,,2,36,41,-5,880.0
9:15.0,L. Kornet makes 2-pt layup from 2 ft (assist by A. Horford),38-41, ,,2,38,41,-3,885.0
8:50.0, ,38-41,C. Thomas misses 2-pt jump shot from 9 ft,,2,38,41,-3,910.0
8:48.0,Defensive rebound by A. Horford,38-41, ,,2,38,41,-3,912.0
8:41.0,L. Kornet makes 2-pt layup from 3 ft (assist by J. Holiday),40-41, ,,2,40,41,-1,919.0
8:41.0, ,40-41,Brooklyn full timeout,,2,40,41,-1,919.0
8:41.0,J. Brown enters the game for L. Kornet,40-41, ,,2,40,41,-1,919.0
8:41.0, ,40-41,R. O'Neale enters the game for D. Sharpe,,2,40,41,-1,919.0
8:28.0, ,40-41,Shooting foul by P. Pritchard (drawn by S. Dinwiddie),,2,40,41,-1,932.0
8:28.0, ,40-41,S. Dinwiddie misses free throw 1 of 2,,2,40,41,-1,932.0
8:28.0, ,40-41,Offensive rebound by Team,,2,40,41,-1,932.0
8:28.0, ,40-41,S. Dinwiddie misses free throw 2 of 2,,2,40,41,-1,932.0
8:26.0,Defensive rebound by J. Brown,40-41, ,,2,40,41,-1,934.0
8:13.0,J. Tatum makes 3-pt jump shot from 24 ft,43-41, ,Lead change,2,43,41,2,947.0
7:49.0, ,43-41,M. Bridges misses 3-pt jump shot from 26 ft,,2,43,41,2,971.0
7:47.0,Defensive rebound by J. Tatum,43-41, ,,2,43,41,2,973.0
7:40.0,J. Tatum makes 2-pt jump shot from 5 ft,45-41, ,,2,45,41,4,980.0
7:23.0, ,45-44,D. Finney-Smith makes 3-pt jump shot from 26 ft (assist by C. Thomas),,2,45,44,1,997.0
7:09.0,A. Horford misses 3-pt jump shot from 23 ft,45-44, ,,2,45,44,1,1011.0
7:05.0, ,45-44,Defensive rebound by S. Dinwiddie,,2,45,44,1,1015.0
6:59.0, ,45-44,M. Bridges misses 2-pt jump shot from 10 ft,,2,45,44,1,1021.0
6:57.0, ,45-44,Offensive rebound by D. Finney-Smith,,2,45,44,1,1023.0
6:50.0, ,45-44,M. Bridges misses 3-pt jump shot from 25 ft,,2,45,44,1,1030.0
6:46.0, ,45-44,Offensive rebound by D. Finney-Smith,,2,45,44,1,1034.0
6:44.0, ,45-44,C. Thomas misses 3-pt jump shot from 25 ft,,2,45,44,1,1036.0
6:40.0,Defensive rebound by J. Holiday,45-44, ,,2,45,44,1,1040.0
6:32.0,J. Brown makes 2-pt jump shot from 10 ft,47-44, ,,2,47,44,3,1048.0
6:18.0, ,47-46,C. Thomas makes 2-pt jump shot from 14 ft,,2,47,46,1,1062.0
6:08.0,Turnover by J. Brown (traveling),47-46, ,,2,47,46,1,1072.0
6:08.0,K. Porziņģis enters the game for P. Pritchard,47-46, ,,2,47,46,1,1072.0
6:08.0, ,47-46,D. Smith enters the game for S. Dinwiddie,,2,47,46,1,1072.0
5:59.0, ,47-46,R. O'Neale misses 3-pt jump shot from 26 ft,,2,47,46,1,1081.0
5:56.0,Defensive rebound by A. Horford,47-46, ,,2,47,46,1,1084.0
5:53.0,Personal foul by D. Finney-Smith (drawn by J. Tatum),47-46, ,,2,47,46,1,1087.0
5:47.0,J. Holiday makes 2-pt layup from 1 ft,49-46, ,,2,49,46,3,1093.0
5:24.0, ,49-46,Shooting foul by J. Brown (drawn by C. Thomas),,2,49,46,3,1116.0
5:24.0, ,49-47,C. Thomas makes free throw 1 of 2,,2,49,47,2,1116.0
5:24.0, ,49-48,C. Thomas makes free throw 2 of 2,,2,49,48,1,1116.0
5:13.0,J. Brown misses 2-pt layup from 3 ft (block by D. Smith),49-48, ,,2,49,48,1,1127.0
5:09.0,Offensive rebound by Team,49-48, ,,2,49,48,1,1131.0
5:09.0,Jump ball: J. Brown vs. D. Smith (J. Holiday gains possession),49-48,,,2,49,48,1,1131.0
5:05.0,J. Tatum makes 2-pt layup from 2 ft (assist by J. Holiday),51-48, ,,2,51,48,3,1135.0
5:05.0,Shooting foul by C. Thomas (drawn by J. Tatum),51-48, ,,2,51,48,3,1135.0
5:05.0,J. Tatum makes free throw 1 of 1,52-48, ,,2,52,48,4,1135.0
4:46.0, ,52-48,C. Thomas misses 2-pt jump shot from 16 ft,,2,52,48,4,1154.0
4:45.0,Defensive rebound by Team,52-48, ,,2,52,48,4,1155.0
4:45.0, ,52-48,Loose ball foul by D. Smith (drawn by K. Porziņģis),,2,52,48,4,1155.0
4:32.0,J. Tatum misses 2-pt layup from 6 ft (block by C. Thomas),52-48, ,,2,52,48,4,1168.0
4:32.0,Offensive rebound by Team,52-48, ,,2,52,48,4,1168.0
4:29.0,Turnover by J. Tatum (bad pass; steal by D. Smith),52-48, ,,2,52,48,4,1171.0
4:25.0, ,52-50,C. Thomas makes 2-pt layup from 3 ft (assist by M. Bridges),,2,52,50,2,1175.0
4:15.0,Boston full timeout,52-50, ,,2,52,50,2,1185.0
4:15.0,Instant Replay (Challenge: Ruling Stands),52-50, ,,2,52,50,2,1185.0
4:15.0, ,52-50,L. Walker enters the game for C. Thomas,,2,52,50,2,1185.0
4:02.0,Shooting foul by D. Smith (drawn by J. Brown),52-50, ,,2,52,50,2,1198.0
4:02.0,J. Brown makes free throw 1 of 2,53-50, ,,2,53,50,3,1198.0
4:02.0,J. Brown makes free throw 2 of 2,54-50, ,,2,54,50,4,1198.0
3:53.0, ,54-50,D. Smith misses 3-pt jump shot from 27 ft,,2,54,50,4,1207.0
3:50.0,Defensive rebound by J. Tatum,54-50, ,,2,54,50,4,1210.0
3:44.0,J. Brown makes 2-pt layup from 2 ft,56-50, ,,2,56,50,6,1216.0
3:30.0, ,56-50,R. O'Neale misses 3-pt jump shot from 23 ft,,2,56,50,6,1230.0
3:27.0,Defensive rebound by J. Tatum,56-50, ,,2,56,50,6,1233.0
3:20.0,A. Horford misses 3-pt jump shot from 25 ft,56-50, ,,2,56,50,6,1240.0
3:16.0,Offensive rebound by J. Holiday,56-50, ,,2,56,50,6,1244.0
3:16.0,Shooting foul by D. Smith (drawn by J. Tatum),56-50, ,,2,56,50,6,1244.0
3:16.0,J. Tatum makes free throw 1 of 2,57-50, ,,2,57,50,7,1244.0
3:16.0, ,57-50,S. Dinwiddie enters the game for M. Bridges,,2,57,50,7,1244.0
3:16.0, ,57-50,D. Sharpe enters the game for D. Finney-Smith,,2,57,50,7,1244.0
3:16.0, ,57-50,C. Thomas enters the game for D. Smith,,2,57,50,7,1244.0
3:16.0,J. Tatum makes free throw 2 of 2,58-50, ,,2,58,50,8,1244.0
3:07.0, ,58-50,R. O'Neale misses 3-pt jump shot from 27 ft,,2,58,50,8,1253.0
3:06.0, ,58-50,Offensive rebound by Team,,2,58,50,8,1254.0
3:06.0,Loose ball foul by K. Porziņģis (drawn by D. Sharpe),58-50, ,,2,58,50,8,1254.0
3:06.0, ,58-50,D. Sharpe misses free throw 1 of 2,,2,58,50,8,1254.0
3:06.0, ,58-51,D. Sharpe makes free throw 2 of 2,,2,58,51,7,1254.0
2:50.0,Turnover by J. Tatum (traveling),58-51, ,,2,58,51,7,1270.0
2:30.0, ,58-54,R. O'Neale makes 3-pt jump shot from 27 ft (assist by S. Dinwiddie),,2,58,54,4,1290.0
2:18.0,J. Tatum misses 3-pt jump shot from 25 ft,58-54, ,,2,58,54,4,1302.0
2:14.0,Offensive rebound by K. Porziņģis,58-54, ,,2,58,54,4,1306.0
2:12.0,K. Porziņģis makes 2-pt layup from 1 ft,60-54, ,,2,60,54,6,1308.0
2:04.0, ,60-54,L. Walker misses 3-pt jump shot from 23 ft,,2,60,54,6,1316.0
2:00.0,Defensive rebound by J. Brown,60-54, ,,2,60,54,6,1320.0
1:56.0,K. Porziņģis makes 2-pt dunk from 2 ft (assist by J. Brown),62-54, ,,2,62,54,8,1324.0
1:35.0, ,62-54,Shooting foul by A. Horford (drawn by D. Sharpe),,2,62,54,8,1345.0
1:35.0, ,62-55,D. Sharpe makes free throw 1 of 2,,2,62,55,7,1345.0
1:35.0, ,62-56,D. Sharpe makes free throw 2 of 2,,2,62,56,6,1345.0
1:26.0,J. Brown misses 3-pt jump shot from 25 ft,62-56, ,,2,62,56,6,1354.0
1:20.0, ,62-56,Defensive rebound by S. Dinwiddie,,2,62,56,6,1360.0
1:15.0, ,62-56,R. O'Neale misses 2-pt layup from 3 ft,,2,62,56,6,1365.0
1:10.0, ,62-56,Offensive rebound by D. Sharpe,,2,62,56,6,1370.0
1:10.0, ,62-58,D. Sharpe makes 2-pt dunk at rim,,2,62,58,4,1370.0
1:05.0,J. Holiday makes 3-pt jump shot from 25 ft,65-58, ,,2,65,58,7,1375.0
0:55.0, ,65-58,R. O'Neale misses 3-pt jump shot from 23 ft,,2,65,58,7,1385.0
0:52.0,Defensive rebound by J. Holiday,65-58, ,,2,65,58,7,1388.0
0:38.0,Shooting foul by D. Sharpe (drawn by K. Porziņģis),65-58, ,,2,65,58,7,1402.0
0:38.0,K. Porziņģis makes free throw 1 of 2,66-58, ,,2,66,58,8,1402.0
0:38.0,K. Porziņģis makes free throw 2 of 2,67-58, ,,2,67,58,9,1402.0
0:38.0, ,67-58,M. Bridges enters the game for D. Sharpe,,2,67,58,9,1402.0
0:38.0, ,67-58,D. Finney-Smith enters the game for L. Walker,,2,67,58,9,1402.0
0:14.0, ,67-58,R. O'Neale misses 3-pt jump shot from 26 ft,,2,67,58,9,1426.0
0:14.0, ,67-58,Offensive rebound by Team,,2,67,58,9,1426.0
0:14.0, ,67-58,Turnover by Team (shot clock),,2,67,58,9,1426.0
0:00.0,J. Tatum makes 3-pt jump shot from 27 ft (assist by K. Porziņģis),70-58, ,,2,70,58,12,1440.0
0:00.0,Instant Replay (Request: Ruling Stands),70-58, ,,2,70,58,12,1440.0
0:00.0,End of 2nd quarter,70-58,,,2,70,58,12,1440.0
12:00.0,Start of 3rd quarter,70-58,,,3,70,58,12,1440.0
11:38.0, ,70-60,M. Bridges makes 2-pt jump shot from 14 ft,,3,70,60,10,1462.0
11:16.0,Turnover by J. Brown (bad pass),70-60, ,,3,70,60,10,1484.0
11:07.0, ,70-63,M. Bridges makes 3-pt jump shot from 25 ft,,3,70,63,7,1493.0
10:55.0,J. Holiday misses 3-pt jump shot from 25 ft,70-63, ,,3,70,63,7,1505.0
10:53.0, ,70-63,Defensive rebound by D. Finney-Smith,,3,70,63,7,1507.0
10:40.0, ,70-66,D. Finney-Smith makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie),,3,70,66,4,1520.0
10:17.0,K. Porziņģis makes 2-pt layup from 1 ft (assist by J. Holiday),72-66, ,,3,72,66,6,1543.0
10:06.0, ,72-69,S. Dinwiddie makes 3-pt jump shot from 26 ft,,3,72,69,3,1554.0
9:49.0,K. Porziņģis makes 2-pt jump shot from 3 ft,74-69, ,,3,74,69,5,1571.0
9:41.0, ,74-69,M. Bridges misses 3-pt jump shot from 25 ft,,3,74,69,5,1579.0
9:38.0,Defensive rebound by J. Tatum,74-69, ,,3,74,69,5,1582.0
9:34.0,J. Brown misses 2-pt layup from 3 ft,74-69, ,,3,74,69,5,1586.0
9:34.0, ,74-69,Defensive rebound by Team,,3,74,69,5,1586.0
9:34.0, ,74-69,Brooklyn full timeout,,3,74,69,5,1586.0
9:34.0, ,74-69,Instant Replay (Challenge: Ruling Stands),,3,74,69,5,1586.0
9:13.0, ,74-69,M. Bridges misses 3-pt jump shot from 25 ft,,3,74,69,5,1607.0
9:10.0,Defensive rebound by A. Horford,74-69, ,,3,74,69,5,1610.0
8:51.0,J. Brown misses 2-pt jump shot from 13 ft,74-69, ,,3,74,69,5,1629.0
8:48.0, ,74-69,Defensive rebound by C. Thomas,,3,74,69,5,1632.0
8:34.0, ,74-69,C. Thomas misses 2-pt jump shot from 15 ft,,3,74,69,5,1646.0
8:32.0,Defensive rebound by J. Tatum,74-69, ,,3,74,69,5,1648.0
8:27.0,J. Holiday misses 3-pt jump shot from 28 ft,74-69, ,,3,74,69,5,1653.0
8:24.0, ,74-69,Defensive rebound by C. Thomas,,3,74,69,5,1656.0
8:15.0, ,74-71,S. Dinwiddie makes 2-pt layup from 2 ft (assist by R. O'Neale),,3,74,71,3,1665.0
8:04.0,J. Holiday makes 2-pt layup from 2 ft,76-71, ,,3,76,71,5,1676.0
7:56.0, ,76-73,C. Thomas makes 2-pt layup from 3 ft,,3,76,73,3,1684.0
7:56.0,Boston full timeout,76-73, ,,3,76,73,3,1684.0
7:45.0,Turnover by J. Holiday (bad pass; steal by M. Bridges),76-73, ,,3,76,73,3,1695.0
7:34.0, ,76-73,S. Dinwiddie misses 3-pt jump shot from 25 ft,,3,76,73,3,1706.0
7:31.0,Defensive rebound by J. Tatum,76-73, ,,3,76,73,3,1709.0
7:20.0,J. Brown makes 3-pt jump shot from 24 ft (assist by J. Holiday),79-73, ,,3,79,73,6,1720.0
6:57.0, ,79-73,R. O'Neale misses 3-pt jump shot from 25 ft,,3,79,73,6,1743.0
6:53.0, ,79-73,Offensive rebound by M. Bridges,,3,79,73,6,1747.0
6:52.0, ,79-75,M. Bridges makes 2-pt layup from 1 ft,,3,79,75,4,1748.0
6:44.0,Personal foul by M. Bridges (drawn by J. Brown),79-75, ,,3,79,75,4,1756.0
