Time,Boston,Score,Portland,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
1:33.0, ,31-25,T. Camara makes free throw 2 of 2,,1,31,25,6,627.0
1:13.0,L. Kornet makes 2-pt dunk from 2 ft (assist by P. Pritchard),33-25, ,,1,33,25,8,647.0
1:02.0, ,33-28,D. Reath makes 3-pt jump shot from 28 ft (assist by T. Camara),,1,33,28,5,658.0
0:39.0,J. Tatum misses 2-pt layup from 4 ft,33-28, ,,1,33,28,5,681.0
0:39.0,Offensive rebound by Team,33-28, ,,1,33,28,5,681.0
0:39.0, ,33-28,Loose ball foul by D. Banton (drawn by J. Tatum),,1,33,28,5,681.0
0:33.0,J. Tatum makes 2-pt layup from 3 ft,35-28, ,,1,35,28,7,687.0
0:12.0, ,35-28,S. Henderson misses 3-pt jump shot from 26 ft,,1,35,28,7,708.0
0:10.0,Defensive rebound by Team,35-28, ,,1,35,28,7,710.0
0:10.0,D. White enters the game for O. Brissett,35-28, ,,1,35,28,7,710.0
0:01.0,P. Pritchard misses 2-pt layup from 4 ft,35-28, ,,1,35,28,7,719.0
0:00.0,Offensive rebound by L. Kornet,35-28, ,,1,35,28,7,720.0
0:00.0,L. Kornet makes 2-pt layup at rim,37-28, ,,1,37,28,9,720.0
0:00.0,End of 1st quarter,37-28,,,1,37,28,9,720.0
12:00.0,Start of 2nd quarter,37-28,,,2,37,28,9,720.0
11:40.0, ,37-28,D. Reath misses 3-pt jump shot from 25 ft,,2,37,28,9,740.0
11:37.0,Defensive rebound by O. Brissett,37-28, ,,2,37,28,9,743.0
11:24.0,O. Brissett misses 3-pt jump shot from 26 ft,37-28, ,,2,37,28,9,756.0
11:21.0,Offensive rebound by O. Brissett,37-28, ,,2,37,28,9,759.0
11:19.0,Shooting foul by D. Banton (drawn by O. Brissett),37-28, ,,2,37,28,9,761.0
11:19.0,O. Brissett misses free throw 1 of 2,37-28, ,,2,37,28,9,761.0
11:19.0,Offensive rebound by Team,37-28, ,,2,37,28,9,761.0
11:19.0,O. Brissett makes free throw 2 of 2,38-28, ,,2,38,28,10,761.0
11:09.0, ,38-28,S. Henderson misses 2-pt layup from 3 ft,,2,38,28,10,771.0
11:06.0,Defensive rebound by O. Brissett,38-28, ,,2,38,28,10,774.0
11:03.0,J. Tatum makes 2-pt dunk from 2 ft (assist by P. Pritchard),40-28, ,,2,40,28,12,777.0
10:45.0, ,40-30,T. Camara makes 2-pt jump shot from 6 ft,,2,40,30,10,795.0
10:28.0,S. Hauser makes 3-pt jump shot from 26 ft (assist by L. Kornet),43-30, ,,2,43,30,13,812.0
10:16.0, ,43-30,J. Grant misses 3-pt jump shot from 25 ft,,2,43,30,13,824.0
10:13.0,Defensive rebound by S. Hauser,43-30, ,,2,43,30,13,827.0
10:08.0,S. Hauser misses 3-pt jump shot from 26 ft,43-30, ,,2,43,30,13,832.0
10:04.0,Offensive rebound by L. Kornet,43-30, ,,2,43,30,13,836.0
10:02.0,P. Pritchard makes 2-pt jump shot from 12 ft (assist by L. Kornet),45-30, ,,2,45,30,15,838.0
10:02.0, ,45-30,Portland full timeout,,2,45,30,15,838.0
10:02.0, ,45-30,A. Simons enters the game for D. Banton,,2,45,30,15,838.0
9:42.0, ,45-33,D. Reath makes 3-pt jump shot from 27 ft (assist by S. Henderson),,2,45,33,12,858.0
9:16.0,S. Hauser misses 3-pt jump shot from 23 ft,45-33, ,,2,45,33,12,884.0
9:14.0, ,45-33,Defensive rebound by J. Grant,,2,45,33,12,886.0
9:05.0, ,45-33,J. Grant misses 2-pt layup from 4 ft,,2,45,33,12,895.0
9:02.0,Defensive rebound by J. Tatum,45-33, ,,2,45,33,12,898.0
9:00.0,P. Pritchard makes 3-pt jump shot from 24 ft (assist by J. Tatum),48-33, ,,2,48,33,15,900.0
8:46.0, ,48-33,A. Simons misses 3-pt jump shot from 28 ft,,2,48,33,15,914.0
8:44.0,Defensive rebound by P. Pritchard,48-33, ,,2,48,33,15,916.0
8:39.0,S. Hauser misses 3-pt jump shot from 24 ft,48-33, ,,2,48,33,15,921.0
8:35.0,Offensive rebound by O. Brissett,48-33, ,,2,48,33,15,925.0
8:33.0,P. Pritchard misses 3-pt jump shot from 24 ft,48-33, ,,2,48,33,15,927.0
8:30.0, ,48-33,Defensive rebound by S. Henderson,,2,48,33,15,930.0
8:15.0, ,48-33,A. Simons misses 2-pt jump shot from 14 ft,,2,48,33,15,945.0
8:11.0, ,48-33,Offensive rebound by D. Reath,,2,48,33,15,949.0
8:06.0, ,48-33,D. Reath misses 2-pt jump shot from 10 ft,,2,48,33,15,954.0
8:03.0,Defensive rebound by L. Kornet,48-33, ,,2,48,33,15,957.0
7:51.0,J. Tatum misses 2-pt layup from 8 ft,48-33, ,,2,48,33,15,969.0
7:47.0,Offensive rebound by L. Kornet,48-33, ,,2,48,33,15,973.0
7:47.0,L. Kornet makes 2-pt dunk at rim,50-33, ,,2,50,33,17,973.0
7:38.0, ,50-33,Shooting foul by O. Brissett (drawn by J. Grant),,2,50,33,17,982.0
7:38.0, ,50-34,J. Grant makes free throw 1 of 2,,2,50,34,16,982.0
7:38.0,J. Brown enters the game for O. Brissett,50-34, ,,2,50,34,16,982.0
7:38.0,A. Horford enters the game for S. Hauser,50-34, ,,2,50,34,16,982.0
7:38.0,D. White enters the game for J. Tatum,50-34, ,,2,50,34,16,982.0
7:38.0, ,50-34,D. Ayton enters the game for T. Camara,,2,50,34,16,982.0
7:38.0, ,50-34,K. Murray enters the game for D. Reath,,2,50,34,16,982.0
7:38.0, ,50-35,J. Grant makes free throw 2 of 2,,2,50,35,15,982.0
7:22.0,J. Brown makes 2-pt jump shot from 8 ft,52-35, ,,2,52,35,17,998.0
7:07.0, ,52-37,D. Ayton makes 2-pt jump shot from 17 ft (assist by A. Simons),,2,52,37,15,1013.0
6:41.0,P. Pritchard misses 2-pt jump shot from 13 ft,52-37, ,,2,52,37,15,1039.0
6:37.0, ,52-37,Defensive rebound by D. Ayton,,2,52,37,15,1043.0
6:31.0, ,52-39,D. Ayton makes 2-pt jump shot from 16 ft (assist by S. Henderson),,2,52,39,13,1049.0
6:12.0,J. Brown makes 2-pt jump shot from 10 ft (assist by A. Horford),54-39, ,,2,54,39,15,1068.0
5:55.0,Violation by Team (kicked ball),54-39, ,,2,54,39,15,1085.0
5:55.0,J. Tatum enters the game for L. Kornet,54-39, ,,2,54,39,15,1085.0
5:55.0, ,54-39,M. Thybulle enters the game for J. Grant,,2,54,39,15,1085.0
5:40.0, ,54-39,S. Henderson misses 3-pt jump shot from 25 ft,,2,54,39,15,1100.0
5:38.0,Defensive rebound by J. Tatum,54-39, ,,2,54,39,15,1102.0
5:34.0,D. White makes 2-pt layup from 3 ft (assist by J. Tatum),56-39, ,,2,56,39,17,1106.0
5:18.0, ,56-42,M. Thybulle makes 3-pt jump shot from 24 ft (assist by A. Simons),,2,56,42,14,1122.0
4:58.0,J. Brown misses 2-pt jump shot from 8 ft,56-42, ,,2,56,42,14,1142.0
4:57.0,Offensive rebound by J. Brown,56-42, ,,2,56,42,14,1143.0
4:55.0,D. White misses 3-pt jump shot from 24 ft,56-42, ,,2,56,42,14,1145.0
4:52.0, ,56-42,Defensive rebound by M. Thybulle,,2,56,42,14,1148.0
4:44.0, ,56-45,A. Simons makes 3-pt jump shot from 26 ft (assist by S. Henderson),,2,56,45,11,1156.0
4:43.0,Boston full timeout,56-45, ,,2,56,45,11,1157.0
4:43.0,S. Hauser enters the game for P. Pritchard,56-45, ,,2,56,45,11,1157.0
4:43.0, ,56-45,D. Banton enters the game for S. Henderson,,2,56,45,11,1157.0
4:23.0,J. Brown misses 2-pt jump shot from 7 ft,56-45, ,,2,56,45,11,1177.0
4:20.0, ,56-45,Defensive rebound by D. Banton,,2,56,45,11,1180.0
4:12.0, ,56-45,M. Thybulle misses 3-pt jump shot from 26 ft,,2,56,45,11,1188.0
4:10.0, ,56-45,Offensive rebound by D. Ayton,,2,56,45,11,1190.0
4:08.0, ,56-47,D. Ayton makes 2-pt jump shot from 6 ft,,2,56,47,9,1192.0
3:45.0,J. Tatum misses 3-pt jump shot from 25 ft,56-47, ,,2,56,47,9,1215.0
3:43.0, ,56-47,Defensive rebound by D. Ayton,,2,56,47,9,1217.0
3:37.0, ,56-50,A. Simons makes 3-pt jump shot from 26 ft,,2,56,50,6,1223.0
3:13.0,J. Brown misses 3-pt jump shot from 27 ft (block by M. Thybulle),56-50, ,,2,56,50,6,1247.0
3:11.0,Offensive rebound by J. Brown,56-50, ,,2,56,50,6,1249.0
3:11.0,J. Brown makes 2-pt layup from 3 ft,58-50, ,,2,58,50,8,1249.0
2:52.0, ,58-50,A. Simons misses 3-pt jump shot from 26 ft,,2,58,50,8,1268.0
2:50.0,Defensive rebound by A. Horford,58-50, ,,2,58,50,8,1270.0
2:44.0,D. White makes 2-pt layup from 1 ft (assist by J. Brown),60-50, ,,2,60,50,10,1276.0
2:24.0, ,60-50,D. Banton misses 3-pt jump shot from 27 ft,,2,60,50,10,1296.0
2:21.0,Defensive rebound by J. Tatum,60-50, ,,2,60,50,10,1299.0
2:15.0,J. Tatum makes 2-pt dunk from 1 ft,62-50, ,,2,62,50,12,1305.0
