Time,Brooklyn,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:52.0,M. Bridges misses 2-pt jump shot from 10 ft,35-40, ,,2,40,35,5,908.0
8:52.0, ,35-40,Defensive rebound by J. Tatum,,2,40,35,5,908.0
8:35.0, ,35-40,K. Porziņģis misses 3-pt jump shot from 28 ft,,2,40,35,5,925.0
8:33.0,Defensive rebound by A. Brooks,35-40, ,,2,40,35,5,927.0
8:13.0,A. Brooks misses 3-pt jump shot from 28 ft,35-40, ,,2,40,35,5,947.0
8:11.0, ,35-40,Defensive rebound by J. Tatum,,2,40,35,5,949.0
8:00.0, ,35-42,J. Holiday makes 2-pt layup from 3 ft,,2,42,35,7,960.0
7:46.0,M. Bridges makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie),38-42, ,,2,42,38,4,974.0
7:34.0, ,38-44,J. Holiday makes 2-pt layup from 3 ft (assist by P. Pritchard),,2,44,38,6,986.0
7:10.0,A. Brooks misses 2-pt jump shot from 23 ft,38-44, ,,2,44,38,6,1010.0
7:05.0,Offensive rebound by D. Finney-Smith,38-44, ,,2,44,38,6,1015.0
7:00.0,S. Dinwiddie misses 3-pt jump shot from 33 ft,38-44, ,,2,44,38,6,1020.0
6:58.0, ,38-44,Defensive rebound by J. Holiday,,2,44,38,6,1022.0
6:57.0, ,38-44,Boston full timeout,,2,44,38,6,1023.0
6:57.0,C. Johnson enters the game for A. Brooks,38-44, ,,2,44,38,6,1023.0
6:57.0, ,38-44,J. Brown enters the game for S. Mykhailiuk,,2,44,38,6,1023.0
6:44.0, ,38-47,J. Tatum makes 3-pt jump shot from 26 ft (assist by K. Porziņģis),,2,47,38,9,1036.0
6:14.0,Turnover by R. O'Neale (lost ball; steal by J. Brown),38-47, ,,2,47,38,9,1066.0
6:12.0, ,38-47,Shooting foul by R. O'Neale (drawn by J. Brown),,2,47,38,9,1068.0
6:12.0, ,38-47,J. Brown misses free throw 1 of 2,,2,47,38,9,1068.0
6:12.0, ,38-47,Offensive rebound by Team,,2,47,38,9,1068.0
6:12.0, ,38-48,J. Brown makes free throw 2 of 2,,2,48,38,10,1068.0
5:51.0,C. Johnson makes 3-pt jump shot from 26 ft (assist by R. O'Neale),41-48, ,,2,48,41,7,1089.0
5:37.0, ,41-50,J. Tatum makes 2-pt jump shot from 22 ft (assist by K. Porziņģis),,2,50,41,9,1103.0
5:17.0, ,41-50,Instant Replay,,2,50,41,9,1123.0
5:11.0,M. Bridges misses 3-pt jump shot from 24 ft,41-50, ,,2,50,41,9,1129.0
5:09.0, ,41-50,Defensive rebound by J. Holiday,,2,50,41,9,1131.0
4:59.0, ,41-50,J. Brown misses 2-pt layup from 2 ft,,2,50,41,9,1141.0
4:57.0, ,41-50,Offensive rebound by J. Holiday,,2,50,41,9,1143.0
4:54.0, ,41-53,J. Tatum makes 3-pt jump shot from 27 ft (assist by J. Holiday),,2,53,41,12,1146.0
4:38.0,R. O'Neale makes 3-pt jump shot from 29 ft (assist by D. Finney-Smith),44-53, ,,2,53,44,9,1162.0
4:17.0, ,44-53,Shooting foul by R. O'Neale (drawn by J. Tatum),,2,53,44,9,1183.0
4:17.0, ,44-54,J. Tatum makes free throw 1 of 2,,2,54,44,10,1183.0
4:17.0,D. Smith enters the game for M. Bridges,44-54, ,,2,54,44,10,1183.0
4:17.0,L. Walker enters the game for S. Dinwiddie,44-54, ,,2,54,44,10,1183.0
4:17.0, ,44-54,D. White enters the game for J. Holiday,,2,54,44,10,1183.0
4:17.0, ,44-55,J. Tatum makes free throw 2 of 2,,2,55,44,11,1183.0
3:59.0,L. Walker makes 2-pt layup from 3 ft (assist by D. Smith),46-55, ,,2,55,46,9,1201.0
3:49.0, ,46-58,J. Tatum makes 3-pt jump shot from 26 ft (assist by D. White),,2,58,46,12,1211.0
3:24.0,D. Smith misses 3-pt jump shot from 25 ft,46-58, ,,2,58,46,12,1236.0
3:22.0,Offensive rebound by C. Johnson,46-58, ,,2,58,46,12,1238.0
3:22.0,Turnover by Team (shot clock),46-58, ,,2,58,46,12,1238.0
3:10.0, ,46-61,J. Brown makes 3-pt jump shot from 28 ft (assist by J. Tatum),,2,61,46,15,1250.0
3:08.0,Brooklyn full timeout,46-61, ,,2,61,46,15,1252.0
2:47.0,C. Johnson misses 2-pt layup from 10 ft,46-61, ,,2,61,46,15,1273.0
2:45.0, ,46-61,Defensive rebound by J. Tatum,,2,61,46,15,1275.0
2:36.0, ,46-61,J. Tatum misses 2-pt layup from 7 ft,,2,61,46,15,1284.0
2:33.0,Defensive rebound by L. Walker,46-61, ,,2,61,46,15,1287.0
2:25.0,D. Finney-Smith makes 3-pt jump shot from 27 ft (assist by L. Walker),49-61, ,,2,61,49,12,1295.0
2:01.0, ,49-64,J. Brown makes 3-pt jump shot from 28 ft,,2,64,49,15,1319.0
1:40.0,L. Walker misses 2-pt layup from 8 ft (block by D. White),49-64, ,,2,64,49,15,1340.0
1:39.0, ,49-64,Defensive rebound by D. White,,2,64,49,15,1341.0
1:34.0, ,49-66,J. Brown makes 2-pt layup from 4 ft (assist by D. White),,2,66,49,17,1346.0
1:10.0,D. Smith makes 2-pt jump shot from 23 ft,51-66, ,,2,66,51,15,1370.0
0:57.0, ,51-66,J. Tatum misses 3-pt jump shot from 27 ft,,2,66,51,15,1383.0
0:54.0,Defensive rebound by L. Walker,51-66, ,,2,66,51,15,1386.0
0:51.0,L. Walker makes 3-pt jump shot from 25 ft,54-66, ,,2,66,54,12,1389.0
0:34.0, ,54-66,D. White misses 3-pt jump shot from 28 ft,,2,66,54,12,1406.0
0:32.0,Defensive rebound by L. Walker,54-66, ,,2,66,54,12,1408.0
0:16.0,L. Walker misses 3-pt jump shot from 26 ft,54-66, ,,2,66,54,12,1424.0
0:14.0, ,54-66,Defensive rebound by D. White,,2,66,54,12,1426.0
0:02.0, ,54-66,Offensive foul by J. Tatum (drawn by C. Johnson),,2,66,54,12,1438.0
0:02.0, ,54-66,Turnover by J. Tatum (offensive foul),,2,66,54,12,1438.0
0:00.0,End of 2nd quarter,54-66,,,2,66,54,12,1440.0
12:00.0,Start of 3rd quarter,54-66,,,3,66,54,12,1440.0
11:51.0,D. Finney-Smith makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie),57-66, ,,3,66,57,9,1449.0
11:37.0, ,57-66,Personal foul by R. O'Neale (drawn by K. Porziņģis),,3,66,57,9,1463.0
11:29.0, ,57-69,D. White makes 3-pt jump shot from 27 ft (assist by J. Brown),,3,69,57,12,1471.0
11:15.0,M. Bridges misses 3-pt jump shot from 26 ft,57-69, ,,3,69,57,12,1485.0
11:13.0, ,57-69,Defensive rebound by J. Holiday,,3,69,57,12,1487.0
11:09.0, ,57-69,D. White misses 3-pt jump shot from 26 ft,,3,69,57,12,1491.0
11:07.0,Defensive rebound by M. Bridges,57-69, ,,3,69,57,12,1493.0
10:51.0,C. Johnson misses 2-pt jump shot from 19 ft,57-69, ,,3,69,57,12,1509.0
10:49.0, ,57-69,Defensive rebound by J. Tatum,,3,69,57,12,1511.0
10:39.0, ,57-69,J. Brown misses 3-pt jump shot from 25 ft,,3,69,57,12,1521.0
10:37.0,Defensive rebound by C. Johnson,57-69, ,,3,69,57,12,1523.0
10:28.0,C. Johnson misses 2-pt jump shot from 20 ft,57-69, ,,3,69,57,12,1532.0
10:26.0, ,57-69,Defensive rebound by J. Brown,,3,69,57,12,1534.0
10:20.0, ,57-71,J. Brown makes 2-pt layup from 1 ft,,3,71,57,14,1540.0
10:10.0,D. Finney-Smith makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie),60-71, ,,3,71,60,11,1550.0
9:56.0, ,60-71,K. Porziņģis misses 3-pt jump shot from 27 ft,,3,71,60,11,1564.0
9:54.0,Defensive rebound by R. O'Neale,60-71, ,,3,71,60,11,1566.0
9:38.0,Offensive foul by S. Dinwiddie (drawn by K. Porziņģis),60-71, ,,3,71,60,11,1582.0
9:38.0,Turnover by S. Dinwiddie (offensive foul),60-71, ,,3,71,60,11,1582.0
9:28.0, ,60-71,J. Tatum misses 2-pt jump shot from 20 ft,,3,71,60,11,1592.0
9:26.0,Defensive rebound by M. Bridges,60-71, ,,3,71,60,11,1594.0
9:10.0,Shooting foul by J. Holiday (drawn by S. Dinwiddie),60-71, ,,3,71,60,11,1610.0
9:10.0,S. Dinwiddie misses free throw 1 of 2,60-71, ,,3,71,60,11,1610.0
9:10.0,Offensive rebound by Team,60-71, ,,3,71,60,11,1610.0
9:10.0,S. Dinwiddie makes free throw 2 of 2,61-71, ,,3,71,61,10,1610.0
9:04.0, ,61-71,Personal foul by D. Finney-Smith (drawn by K. Porziņģis),,3,71,61,10,1616.0
9:00.0, ,61-71,Turnover by J. Brown (traveling),,3,71,61,10,1620.0
8:35.0,C. Johnson misses 2-pt layup from 6 ft,61-71, ,,3,71,61,10,1645.0
8:33.0, ,61-71,Defensive rebound by J. Tatum,,3,71,61,10,1647.0
8:27.0, ,61-73,D. White makes 2-pt jump shot from 11 ft (assist by J. Holiday),,3,73,61,12,1653.0
8:01.0,Turnover by Team (shot clock),61-73, ,,3,73,61,12,1679.0
7:47.0, ,61-73,Shooting foul by C. Johnson (drawn by K. Porziņģis),,3,73,61,12,1693.0
7:47.0, ,61-74,K. Porziņģis makes free throw 1 of 2,,3,74,61,13,1693.0
7:47.0,T. Watford enters the game for D. Finney-Smith,61-74, ,,3,74,61,13,1693.0
7:47.0, ,61-75,K. Porziņģis makes free throw 2 of 2,,3,75,61,14,1693.0
7:43.0,Personal foul by D. White (drawn by M. Bridges),61-75, ,,3,75,61,14,1697.0
7:34.0,S. Dinwiddie misses 3-pt jump shot from 27 ft,61-75, ,,3,75,61,14,1706.0
7:30.0,Offensive rebound by T. Watford,61-75, ,,3,75,61,14,1710.0
7:22.0,R. O'Neale misses 3-pt jump shot from 29 ft,61-75, ,,3,75,61,14,1718.0
7:19.0, ,61-75,Defensive rebound by K. Porziņģis,,3,75,61,14,1721.0
7:09.0, ,61-77,D. White makes 2-pt layup from 2 ft,,3,77,61,16,1731.0
6:51.0,M. Bridges misses 2-pt jump shot from 20 ft,61-77, ,,3,77,61,16,1749.0
6:47.0, ,61-77,Defensive rebound by J. Tatum,,3,77,61,16,1753.0
6:40.0, ,61-77,J. Tatum misses 3-pt jump shot from 28 ft,,3,77,61,16,1760.0
6:38.0,Defensive rebound by R. O'Neale,61-77, ,,3,77,61,16,1762.0
6:34.0,T. Watford makes 2-pt dunk from 3 ft (assist by R. O'Neale),63-77, ,,3,77,63,14,1766.0
6:34.0, ,63-77,Boston full timeout,,3,77,63,14,1766.0
6:34.0,D. Smith enters the game for M. Bridges,63-77, ,,3,77,63,14,1766.0
6:34.0,L. Walker enters the game for S. Dinwiddie,63-77, ,,3,77,63,14,1766.0
6:34.0, ,63-77,S. Hauser enters the game for J. Tatum,,3,77,63,14,1766.0
6:20.0, ,63-79,J. Holiday makes 2-pt jump shot from 19 ft (assist by D. White),,3,79,63,16,1780.0
6:06.0,T. Watford misses 2-pt layup from 4 ft (block by K. Porziņģis),63-79, ,,3,79,63,16,1794.0
6:04.0, ,63-79,Defensive rebound by J. Holiday,,3,79,63,16,1796.0
5:53.0, ,63-79,J. Brown misses 3-pt jump shot from 27 ft,,3,79,63,16,1807.0
5:51.0,Defensive rebound by Team,63-79, ,,3,79,63,16,1809.0
5:34.0,L. Walker misses 2-pt layup from 4 ft,63-79, ,,3,79,63,16,1826.0
5:33.0, ,63-79,Defensive rebound by J. Brown,,3,79,63,16,1827.0
5:28.0, ,63-79,J. Holiday misses 2-pt layup from 2 ft (block by T. Watford),,3,79,63,16,1832.0
5:25.0, ,63-79,Offensive rebound by J. Holiday,,3,79,63,16,1835.0
5:23.0, ,63-79,J. Holiday misses 3-pt jump shot from 26 ft,,3,79,63,16,1837.0
5:21.0,Defensive rebound by T. Watford,63-79, ,,3,79,63,16,1839.0
5:11.0,T. Watford misses 2-pt jump shot from 12 ft,63-79, ,,3,79,63,16,1849.0
5:11.0, ,63-79,Defensive rebound by D. White,,3,79,63,16,1849.0
5:07.0, ,63-79,J. Brown misses 2-pt layup from 5 ft (block by L. Walker),,3,79,63,16,1853.0
5:06.0,Defensive rebound by D. Smith,63-79, ,,3,79,63,16,1854.0
4:59.0,Turnover by C. Johnson (lost ball; steal by J. Holiday),63-79, ,,3,79,63,16,1861.0
4:47.0, ,63-81,J. Brown makes 2-pt jump shot from 16 ft,,3,81,63,18,1873.0
4:45.0,Brooklyn full timeout,63-81, ,,3,81,63,18,1875.0
4:45.0,M. Bridges enters the game for C. Johnson,63-81, ,,3,81,63,18,1875.0
4:32.0,D. Smith makes 2-pt layup from 7 ft (assist by L. Walker),65-81, ,,3,81,65,16,1888.0
4:31.0, ,65-81,Technical foul by K. Porziņģis,,3,81,65,16,1889.0
4:31.0,M. Bridges makes technical free throw,66-81, ,,3,81,66,15,1889.0
4:31.0, ,66-81,L. Kornet enters the game for K. Porziņģis,,3,81,66,15,1889.0
4:21.0, ,66-83,L. Kornet makes 2-pt dunk from 1 ft (assist by D. White),,3,83,66,17,1899.0
4:05.0,L. Walker makes 2-pt layup from 6 ft,68-83, ,,3,83,68,15,1915.0
4:05.0,Shooting foul by L. Kornet (drawn by L. Walker),68-83, ,,3,83,68,15,1915.0
4:05.0,L. Walker makes free throw 1 of 1,69-83, ,,3,83,69,14,1915.0
3:53.0, ,69-86,J. Brown makes 3-pt jump shot from 26 ft (assist by J. Holiday),,3,86,69,17,1927.0
3:40.0,D. Smith makes 2-pt layup from 4 ft,71-86, ,,3,86,71,15,1940.0
